E(MeV)	Mg-nat
4.96869E-03	3.0601
4.96897E-03	3.11898
4.96911E-03	3.14662
4.96926E-03	3.18098
4.96954E-03	3.24611
4.96962E-03	3.26472
4.96983E-03	3.31549
4.97012E-03	3.3866
4.97041E-03	3.45806
4.97066E-03	3.52207
4.97069E-03	3.53017
4.97113E-03	3.64262
4.97156E-03	3.75585
4.97199E-03	3.86986
4.97229E-03	3.94968
4.97242E-03	3.98215
4.97299E-03	4.12547
4.97317E-03	4.16939
4.97357E-03	4.25918
4.97376E-03	4.30156
4.97434E-03	4.41715
4.97443E-03	4.43127
4.97493E-03	4.51226
4.97552E-03	4.58367
4.97572E-03	4.59965
4.97611E-03	4.62852
4.97640E-03	4.64064
4.97654E-03	4.64166
4.97696E-03	4.64376
4.97701E-03	4.64182
4.97749E-03	4.62217
4.97752E-03	4.6205
4.97796E-03	4.58298
4.97809E-03	4.57179
4.97844E-03	4.52746
4.97865E-03	4.49965
4.97891E-03	4.45583
4.97939E-03	4.37436
4.97940E-03	4.37215
4.97986E-03	4.27662
4.98015E-03	4.21582
4.98031E-03	4.17865
4.98074E-03	4.07944
4.98116E-03	3.97831
4.98159E-03	3.87531
4.98201E-03	3.77056
4.98240E-03	3.67358
4.98244E-03	3.66497
4.98286E-03	3.56595
4.98327E-03	3.4698
4.98350E-03	3.42088
4.98414E-03	3.28381
4.98479E-03	3.15779
4.98499E-03	3.12351
4.98544E-03	3.04464
4.98631E-03	2.91289
4.98669E-03	2.86403
4.98718E-03	2.80132
4.98733E-03	2.7846
4.98791E-03	2.72274
4.98805E-03	2.70784
4.98834E-03	2.68135
4.98877E-03	2.64273
4.98892E-03	2.62982
4.98920E-03	2.60865
4.98961E-03	2.57865
4.99002E-03	2.54936
4.99022E-03	2.53587
4.99030E-03	2.53116
4.99058E-03	2.51552
4.99085E-03	2.50019
4.99112E-03	2.48516
4.99140E-03	2.47043
4.99169E-03	2.45519
4.99196E-03	2.44155
4.99198E-03	2.44046
4.99227E-03	2.42819
4.99256E-03	2.41622
4.99285E-03	2.40453
4.99314E-03	2.3931
4.99343E-03	2.38194
4.99373E-03	2.37102
4.99402E-03	2.36032
4.99431E-03	2.34984
4.99456E-03	2.34077
4.99458E-03	2.3402
4.99483E-03	2.33327
4.99508E-03	2.32646
4.99533E-03	2.31978
4.99558E-03	2.31321
4.99583E-03	2.30675
4.99607E-03	2.30038
4.99632E-03	2.2941
4.99657E-03	2.28791
4.99682E-03	2.28179
4.99707E-03	2.27574
4.99717E-03	2.27329
4.99732E-03	2.27063
4.99756E-03	2.2662
4.99781E-03	2.26182
4.99806E-03	2.25749
4.99831E-03	2.2532
4.99848E-03	2.25037
4.99881E-03	2.24474
4.99914E-03	2.23918
4.99947E-03	2.23367
4.99977E-03	2.22861
4.99980E-03	2.22829
5.00008E-03	2.22462
5.00051E-03	2.21916
5.00094E-03	2.21375
5.00136E-03	2.20838
5.00179E-03	2.20305
5.00208E-03	2.19951
5.00264E-03	2.19246
5.00321E-03	2.18545
5.00378E-03	2.17846
5.00463E-03	2.16801
5.00549E-03	2.15759
5.00662E-03	2.14373
5.00672E-03	2.14251
5.00890E-03	2.12358
5.01020E-03	2.11228
5.01231E-03	2.10394
5.01313E-03	2.10074
5.01402E-03	2.10011
5.01516E-03	2.09933
5.01629E-03	2.09856
5.01743E-03	2.09782
5.01800E-03	2.09745
5.01828E-03	2.09743
5.01911E-03	2.09736
5.02021E-03	2.0973
5.02132E-03	2.09725
5.02242E-03	2.09721
5.02464E-03	2.09715
5.16750E-03	2.09439
7.25990E-03	2.05616
9.64160E-03	2.01144
1.17950E-02	1.97183
1.37880E-02	1.96784
1.48480E-02	1.96608
1.49656E-02	1.96585
1.49697E-02	1.96585
1.49717E-02	1.96586
1.49733E-02	1.96588
1.49748E-02	1.96591
1.49759E-02	1.96594
1.49769E-02	1.96598
1.49779E-02	1.96604
1.49790E-02	1.96611
1.49800E-02	1.96619
1.49809E-02	1.96617
1.49818E-02	1.96616
1.49831E-02	1.96616
1.49844E-02	1.96618
