E(MeV)	mcnp/Co-59:1			
7.08571E-06	8.401302826			
8.09434E-06	8.280651137			
1.01116E-05	8.109937732			
1.21289E-05	8.001909737			
1.41461E-05	7.936718205			
1.61634E-05	7.903772624			
2.01979E-05	7.911234394			
2.42324E-05	7.998785868			
2.82669E-05	8.158725629			
3.23015E-05	8.391646851			
3.93619E-05	8.989646983			
4.64223E-05	9.885612596			
4.84396E-05	10.2093986			
5.44913E-05	11.40573669			
5.65086E-05	11.89324994			
6.05431E-05	13.03649248			
6.45777E-05	14.44631041			
6.86122E-05	16.1967562			
7.26467E-05	18.38762513			
7.66812E-05	21.15201798			
7.86985E-05	22.80696297			
8.07157E-05	24.69071491			
8.2733E-05	26.83793652			
8.47503E-05	29.29620013			
8.67675E-05	32.12413703			
8.87848E-05	35.39463409			
9.0802E-05	39.1991552			
9.28193E-05	43.6536613			
9.48366E-05	48.90683885			
9.68538E-05	55.1517533			
9.88711E-05	62.64254113			
0.000100888	71.71874677			
0.000102906	82.84158798			
0.000104923	96.58981634			
0.000105932	104.7076878			
0.00010694	113.9068949			
0.000107949	124.3191024			
0.000108957	136.1621536			
0.000109966	149.7002448			
0.000110975	165.2652101			
0.000111983	183.2712414			
0.000112992	204.244482			
0.000114001	228.8509149			
0.000115009	257.9597965			
0.000116018	292.7085148			
0.000117026	334.6146988			
0.000118035	385.7156746			
0.000119044	448.8287768			
0.000120052	527.2074922			
0.000120557	573.7310313			
0.000121061	626.9412242			
0.000121565	687.5374133			
0.00012207	756.8591609			
0.000122574	836.5904547			
0.000123078	928.8230035			
0.000123582	1036.172455			
0.000124087	1161.932378			
0.000124591	1310.277663			
0.000125095	1486.568432			
0.0001256	1697.554177			
0.000126104	1952.021297			
0.000126608	2261.18789			
0.000127113	2639.383141			
0.000127617	3104.172532			
0.000128121	3676.657478			
0.000128626	4379.153422			
0.00012913	5228.89347			
0.000129489	5927.671222			
0.000131283	9774.123147			
0.000131641	10209.63016			
0.000132	10371.52078			
0.000132359	10237.53354			
0.000132718	9829.706481			
