E(MeV)	pendfb7/Pd106:1	
3.90897000E-11	21.5729529	
3.90915000E-11	21.5724823	
3.92547000E-11	21.5311695	
3.99230000E-11	21.3619945	
4.00923000E-11	21.3191375	
4.04321000E-11	21.234575	
4.04339000E-11	21.234127	
4.06028000E-11	21.1934259	
4.12941000E-11	21.0268378	
4.18206000E-11	20.9021173	
4.18225000E-11	20.9016672	
4.19971000E-11	20.8616141	
4.25327000E-11	20.7387481	
4.27122000E-11	20.6982748	
4.32568000E-11	20.5754795	
4.32587000E-11	20.5750511	
4.34394000E-11	20.5355925	
4.38076000E-11	20.4551902	
4.41790000E-11	20.3754827	
4.47423000E-11	20.2545907	
4.47443000E-11	20.2541615	
4.49312000E-11	20.2153129	
4.51216000E-11	20.1757368	
4.56962000E-11	20.0583634	
4.62788000E-11	19.939356	
4.62809000E-11	19.938927	
4.64742000E-11	19.9006822	
4.72654000E-11	19.7468537	
4.78681000E-11	19.6296743	
4.78703000E-11	19.6292538	
4.80702000E-11	19.5922632	
4.88886000E-11	19.440822	
4.93030000E-11	19.3641392	
4.95120000E-11	19.3261217	
4.95142000E-11	19.3257215	
4.97210000E-11	19.2893015	
5.05675000E-11	19.1402224	
5.07818000E-11	19.1024816	
5.12123000E-11	19.0279584	
5.12146000E-11	19.0275603	
5.14285000E-11	18.9917086	
5.23041000E-11	18.8449499	
5.29710000E-11	18.7350871	
5.29734000E-11	18.7346917	
5.31946000E-11	18.6994073	
5.38729000E-11	18.5912091	
5.41003000E-11	18.5555611	
5.47901000E-11	18.4474255	
5.47926000E-11	18.4470336	
5.50214000E-11	18.412301	
5.54878000E-11	18.3414999	
5.59582000E-11	18.2713291	
5.66717000E-11	18.1648945	
5.66742000E-11	18.1645216	
5.69109000E-11	18.1303275	
5.71521000E-11	18.0954833	
5.78799000E-11	17.9921746	
5.86179000E-11	17.8874181	
5.86205000E-11	17.887049	
5.88653000E-11	17.8533957	
5.98676000E-11	17.7180213	
6.06310000E-11	17.6149137	
6.06337000E-11	17.6145552	
6.08869000E-11	17.5820154	
6.19235000E-11	17.4487977	
6.24484000E-11	17.3813406	
6.27131000E-11	17.3479066	
6.27159000E-11	17.3475529	
6.29778000E-11	17.315529	
6.40501000E-11	17.1844133	
6.43215000E-11	17.1512278	
6.48668000E-11	17.0856994	
6.48697000E-11	17.0853509	
6.51406000E-11	17.0538347	
6.62496000E-11	16.9248151	
6.70944000E-11	16.828237	
6.70974000E-11	16.827894	
6.73776000E-11	16.7968805	
6.82368000E-11	16.7017813	
6.85248000E-11	16.6704596	
6.93985000E-11	16.5754395	
6.94016000E-11	16.5751023	
6.96915000E-11	16.5445751	
7.02822000E-11	16.4823729	
7.08780000E-11	16.4207337	
7.17818000E-11	16.3272299	
7.17850000E-11	16.3268988	
7.20848000E-11	16.2968656	
7.23903000E-11	16.2662613	
7.33121000E-11	16.1755449	
7.39335000E-11	16.1143915	
7.42469000E-11	16.0835491	
7.42502000E-11	16.0832244	
7.45603000E-11	16.053672	
7.58297000E-11	15.9348413	
7.67967000E-11	15.8443189	
7.68001000E-11	15.8440061	
7.71208000E-11	15.8154506	
7.84338000E-11	15.6985399	
7.90987000E-11	15.6393365	
7.94340000E-11	15.6099995	
7.94375000E-11	15.6096933	
7.97692000E-11	15.5816017	
8.04454000E-11	15.5243346	
8.11274000E-11	15.4665763	
8.14712000E-11	15.43746	
8.21619000E-11	15.3799856	
8.21655000E-11	15.379686	
8.25086000E-11	15.3520496	
8.39134000E-11	15.2388944	
8.49834000E-11	15.1542211	
8.49872000E-11	15.1539204	
8.53421000E-11	15.1267328	
8.64304000E-11	15.043362	
8.67951000E-11	15.015917	
8.75309000E-11	14.9605453	
8.79019000E-11	14.9326262	
8.79058000E-11	14.9323327	
8.82729000E-11	14.9055877	
8.90212000E-11	14.8510705	
8.97758000E-11	14.797071	
9.09206000E-11	14.7151487	
9.09246000E-11	14.7148625	
9.13043000E-11	14.6885554	
9.16913000E-11	14.6617426	
9.28589000E-11	14.5822931	
9.40430000E-11	14.5017208	
9.40471000E-11	14.5014418	
9.44399000E-11	14.4755624	
9.52404000E-11	14.4237698	
9.60478000E-11	14.3715308	
9.72725000E-11	14.2922924	
9.72769000E-11	14.2920127	
9.76831000E-11	14.2670234	
9.93462000E-11	14.1647099	
1.00188000E-10	14.1129226	
1.00613000E-10	14.0872402	
1.00618000E-10	14.0869381	
1.01038000E-10	14.0623749	
1.02758000E-10	13.9617831	
1.03193000E-10	13.9363427	
1.03629000E-10	13.9112953	
1.04068000E-10	13.8860755	
1.04073000E-10	13.8857882	
1.04507000E-10	13.8616568	
1.06287000E-10	13.7626844	
1.07642000E-10	13.6886841	
1.07647000E-10	13.688411	
1.08096000E-10	13.6646762	
1.09475000E-10	13.5917803	
1.09937000E-10	13.5677961	
1.11339000E-10	13.4950129	
1.11344000E-10	13.4947533	
1.11809000E-10	13.4713859	
1.12756000E-10	13.4237967	
1.13712000E-10	13.3766286	
1.15162000E-10	13.3050871	
1.15167000E-10	13.3048404	
1.15648000E-10	13.2818664	
1.16139000E-10	13.2584147	
1.17617000E-10	13.1891017	
