E(MeV)	"F-19(N,TOT)"
4.36540E-02	5.03704
4.36552E-02	5.03792
4.36570E-02	5.03924
4.36588E-02	5.04057
4.36613E-02	5.04234
4.36649E-02	5.04502
4.36697E-02	5.0486
4.36745E-02	5.05218
4.49665E-02	6.01497
4.50570E-02	6.08243
4.51285E-02	6.16633
4.52000E-02	6.25023
4.55000E-02	6.6663
4.57160E-02	7.03596
4.57580E-02	7.10784
4.58000E-02	7.18883
4.61000E-02	7.85837
4.63000E-02	8.41282
4.64000E-02	8.73302
4.67000E-02	9.90405
4.68360E-02	10.5672
4.69590E-02	11.2789
4.70000E-02	11.5162
4.72625E-02	13.5089
4.73000E-02	13.7936
4.74080E-02	14.8418
4.75520E-02	16.5455
4.76000E-02	17.1134
4.77070E-02	18.7632
4.78140E-02	20.413
4.78785E-02	21.6257
4.79000E-02	22.0299
4.81056E-02	26.7617
4.81350E-02	27.4377
4.81947E-02	29.0754
4.82066E-02	29.4029
4.82544E-02	30.8884
4.85170E-02	39.0584
4.87310E-02	45.1386
4.87965E-02	46.4454
4.88456E-02	47.1298
4.88620E-02	47.2926
4.89783E-02	47.3971
4.89976E-02	47.4145
4.90170E-02	47.3619
4.90945E-02	46.342
4.91526E-02	45.1335
4.91720E-02	44.6737
4.93270E-02	40.0119
4.94345E-02	36.2639
4.95420E-02	32.5157
4.97090E-02	27.1338
4.99277E-02	21.4578
4.99590E-02	20.6725
4.99992E-02	19.8165
5.02408E-02	15.708
5.02609E-02	15.3756
5.02810E-02	15.0432
5.02910E-02	14.9138
5.03109E-02	14.6548
5.03209E-02	14.5471
5.06000E-02	11.5308
5.06375E-02	11.2161
5.06563E-02	11.0588
5.06750E-02	10.9296
5.09000E-02	9.37874
5.10910E-02	8.38245
5.12000E-02	7.91182
5.15000E-02	6.88431
5.16630E-02	6.45116
5.18000E-02	6.14136
5.21000E-02	5.593
5.24369E-02	5.14363
5.24850E-02	5.07944
5.33086E-02	4.45595
5.35580E-02	4.26715
5.40000E-02	4.07686
5.48101E-02	3.84469
5.48584E-02	3.83085
5.58030E-02	3.669
5.77460E-02	3.50693
5.80000E-02	3.49832
5.84091E-02	3.48446
6.00000E-02	3.44341
6.17049E-02	3.43538
6.17115E-02	3.43535
6.20000E-02	3.43793
6.40000E-02	3.45578
6.49165E-02	3.47439
6.60000E-02	3.49639
6.80000E-02	3.55918
6.82820E-02	3.56804
7.00000E-02	3.64232
7.12960E-02	3.71457
7.16480E-02	3.7342
7.20000E-02	3.75972
7.30158E-02	3.83337
7.40000E-02	3.91069
7.42115E-02	3.9273
7.44230E-02	3.94914
7.59712E-02	4.10904
7.59794E-02	4.10989
7.59877E-02	4.11074
7.59938E-02	4.11139
7.60000E-02	4.11203
7.60063E-02	4.11291
7.60126E-02	4.11379
7.60209E-02	4.11496
7.60335E-02	4.11673
7.79298E-02	4.3835
7.79439E-02	4.38546
7.79509E-02	4.38642
7.79562E-02	4.3871
7.79615E-02	4.38775
7.79650E-02	4.38815
7.79685E-02	4.38852
7.79720E-02	4.38886
7.79763E-02	4.38923
7.79806E-02	4.38957
7.79913E-02	4.39035
7.79956E-02	4.39069
7.79989E-02	4.39096
7.80000E-02	4.39106
7.80021E-02	4.39135
7.80053E-02	4.39183
7.80085E-02	4.39233
7.80118E-02	4.39285
7.80150E-02	4.39339
7.80193E-02	4.39413
7.80257E-02	4.39529
7.80322E-02	4.39647
7.80407E-02	4.39805
7.97687E-02	4.71758
7.97859E-02	4.72075
7.97944E-02	4.72234
7.98030E-02	4.72393
7.98118E-02	4.72556
7.98206E-02	4.7272
7.98338E-02	4.72967
7.99015E-02	4.74232
8.00141E-02	4.7716
8.20000E-02	5.28814
8.25500E-02	5.46674
8.40000E-02	6.03105
8.58720E-02	7.027
8.59360E-02	7.06105
8.60000E-02	7.10964
8.63033E-02	7.33994
8.80000E-02	8.67392
8.89660E-02	9.68044
9.00000E-02	10.9865
9.20000E-02	14.3028
9.40000E-02	18.6352
9.49946E-02	20.7897
9.60200E-02	23.0238
9.71120E-02	24.6563
9.80000E-02	25.2654
9.80220E-02	25.2805
9.88863E-02	25.1689
9.89505E-02	25.1201
9.92320E-02	24.9059
9.97960E-02	24.4209
1.00000E-01	24.1741
1.00980E-01	22.7101
1.02535E-01	19.9291
1.03070E-01	18.9531
1.04000E-01	17.339
1.05850E-01	14.5662
1.05925E-01	14.4538
1.06000E-01	14.3681
1.08000E-01	12.0838
1.08400E-01	11.7042
1.09929E-01	10.4502
1.10630E-01	9.95449
1.12000E-01	9.13017
1.13450E-01	8.41361
1.14000E-01	8.1765
1.15840E-01	7.49491
1.15840E-01	7.51304
1.16250E-01	7.38142
1.16250E-01	7.38213
1.19880E-01	6.46236
1.20000E-01	6.43195
1.20039E-01	6.42471
1.21571E-01	6.13663
1.21670E-01	6.11808
1.22640E-01	5.95756
1.25190E-01	5.59875
1.26400E-01	5.4605
1.29992E-01	5.1246
1.34240E-01	4.82728
1.40000E-01	4.53592
1.40550E-01	4.5081
1.41100E-01	4.48863
1.48500E-01	4.22661
1.50000E-01	4.18772
1.51058E-01	4.16028
1.56439E-01	4.03644
1.65190E-01	3.89473
1.72852E-01	3.81161
1.72866E-01	3.81145
1.72876E-01	3.81135
1.72883E-01	3.81127
1.72890E-01	3.8112
1.72898E-01	3.81112
1.72904E-01	3.81106
1.72910E-01	3.811
1.72916E-01	3.81094
1.72923E-01	3.81087
1.72935E-01	3.81075
1.72959E-01	3.81053
1.73338E-01	3.80698
1.73353E-01	3.80684
1.73363E-01	3.80675
1.73369E-01	3.8067
1.73375E-01	3.80666
1.73379E-01	3.80664
1.73382E-01	3.80662
1.73386E-01	3.8066
1.73390E-01	3.80659
1.73394E-01	3.80659
1.73398E-01	3.80659
1.73400E-01	3.8066
1.73402E-01	3.80662
1.73406E-01	3.80669
1.73411E-01	3.80677
1.73416E-01	3.80686
1.73419E-01	3.80692
1.73425E-01	3.80706
1.73431E-01	3.80721
1.73444E-01	3.80751
1.73462E-01	3.80797
1.73472E-01	3.8082
1.73481E-01	3.8084
1.73487E-01	3.80852
1.73494E-01	3.80862
1.73500E-01	3.8087
1.73507E-01	3.80878
1.73514E-01	3.80882
1.73519E-01	3.80884
1.73528E-01	3.80886
1.73537E-01	3.80886
1.73556E-01	3.80884
1.73669E-01	3.80864
1.73688E-01	3.8086
1.73702E-01	3.80855
1.73716E-01	3.80848
1.73725E-01	3.80843
1.73763E-01	3.8082
1.74051E-01	3.80638
1.74065E-01	3.80629
1.74072E-01	3.80625
1.74079E-01	3.80621
1.74084E-01	3.80619
1.74088E-01	3.80617
1.74092E-01	3.80615
1.74095E-01	3.80614
1.74099E-01	3.80613
1.74100E-01	3.80613
1.74102E-01	3.80613
1.74106E-01	3.80613
1.74110E-01	3.80614
1.74113E-01	3.80615
1.74117E-01	3.80616
1.74119E-01	3.80617
1.74124E-01	3.80618
1.74129E-01	3.8062
1.74134E-01	3.80622
1.74138E-01	3.80624
1.74148E-01	3.80628
1.74167E-01	3.80636
1.82997E-01	3.84491
1.83200E-01	3.8458
1.85785E-01	3.86526
1.85860E-01	3.86582
1.90000E-01	3.92788
1.92590E-01	3.97523
1.97510E-01	4.06518
2.01100E-01	4.18142
2.07460E-01	4.41092
2.07460E-01	4.41519
2.11590E-01	4.59061
2.18630E-01	4.99513
2.19315E-01	5.03534
2.20000E-01	5.08193
2.27030E-01	5.56014
2.29310E-01	5.71415
2.30000E-01	5.76076
2.31622E-01	5.87036
2.35970E-01	6.17141
2.39299E-01	6.36046
2.39330E-01	6.36222
2.40000E-01	6.40099
2.43386E-01	6.59692
2.43550E-01	6.60642
2.45300E-01	6.68841
2.50000E-01	6.90863
2.50170E-01	6.91659
