E(MeV)	C-nat			
2.46000E+00	1.58662			
2.52000E+00	1.60042			
2.56000E+00	1.61652			
2.60000E+00	1.63952			
2.64000E+00	1.67092			
2.68000E+00	1.71322			
2.71000E+00	1.75491			
2.74000E+00	1.80592			
2.76000E+00	1.84783			
2.78500E+00	1.91204			
2.80000E+00	1.96118			
2.80600E+00	1.99046			
2.80800E+00	2.00734			
2.81000E+00	2.03965			
2.81100E+00	2.07335			
2.81188E+00	2.13231			
2.81200E+00	2.14523			
2.81225E+00	2.18706			
2.81281E+00	2.294			
2.81291E+00	2.31802			
2.81300E+00	2.35611			
2.81309E+00	2.4137			
2.81325E+00	2.53641			
2.81381E+00	3.0065			
2.81391E+00	3.09525			
2.81397E+00	3.16657			
2.81403E+00	3.25229			
2.81413E+00	3.40673			
2.81437E+00	3.87693			
2.81478E+00	4.64912			
2.81484E+00	4.75661			
2.81491E+00	4.84193			
2.81495E+00	4.8799			
2.81498E+00	4.88862			
2.81503E+00	4.87404			
2.81508E+00	4.82753			
2.81512E+00	4.75512			
2.81519E+00	4.63253			
2.81544E+00	4.06696			
2.81581E+00	3.20994			
2.81591E+00	3.01279			
2.81597E+00	2.90173			
2.81602E+00	2.83415			
2.81606E+00	2.7807			
2.81612E+00	2.72782			
2.81622E+00	2.67142			
2.81687E+00	2.3528			
2.81700E+00	2.30505			
2.81713E+00	2.27564			
2.81775E+00	2.19159			
2.81800E+00	2.16243			
2.81850E+00	2.13396			
2.81900E+00	2.1102			
2.82000E+00	2.08694			
2.82200E+00	2.07002			
2.82400E+00	2.06745			
2.82950E+00	2.08146			
2.83500E+00	2.10295			
2.84500E+00	2.15225			
2.85500E+00	2.21025			
2.86500E+00	2.27746			
2.87500E+00	2.35557			
2.88500E+00	2.44708			
2.89500E+00	2.55489			
2.90500E+00	2.6819			
2.91500E+00	2.82968			
2.93200E+00	3.10661			
2.93600E+00	3.16316			
2.94000E+00	3.20677			
2.94400E+00	3.22936			
2.94800E+00	3.22074			
2.95200E+00	3.17013			
2.95600E+00	3.06798			
2.96000E+00	2.91003			
2.96400E+00	2.7009			
2.96800E+00	2.45555			
2.97300E+00	2.13346			
2.97600E+00	1.94612			
2.98000E+00	1.72394			
2.98400E+00	1.53996			
2.98800E+00	1.39663			
2.99200E+00	1.29117			
2.99600E+00	1.2179			
3.00000E+00	1.17076			
3.01000E+00	1.12979			
3.02000E+00	1.15043			
3.03000E+00	1.19766			
3.06000E+00	1.37249			
3.08000E+00	1.48248			
3.10000E+00	1.58259			
3.12000E+00	1.67439			
3.15000E+00	1.80016			
3.18000E+00	1.91541			
3.20000E+00	1.99039			
3.24000E+00	2.12849			
3.28000E+00	2.25489			
3.32000E+00	2.36779			
3.36000E+00	2.46439			
3.39000E+00	2.52391			
3.42000E+00	2.57289			
3.45000E+00	2.60831			
3.48000E+00	2.63239			
3.51000E+00	2.64261			
