E(MeV)	Xe-124
2.684000E-08	4.77140008
2.764505E-08	4.76723508
2.847374E-08	4.76311626
2.932779E-08	4.75903745
3.020692E-08	4.75500235
3.111296E-08	4.75100488
3.204560E-08	4.74704861
3.300679E-08	4.74312758
3.399621E-08	4.73924532
3.501590E-08	4.73539599
3.591396E-08	4.73213372
3.606554E-08	4.73162255
3.714730E-08	4.72812195
3.826083E-08	4.72466377
3.940844E-08	4.72124298
4.058975E-08	4.71786281
4.180722E-08	4.71451829
4.306043E-08	4.71121255
4.435200E-08	4.7079407
4.568150E-08	4.70470579
4.705169E-08	4.70150301
4.846211E-08	4.69833532
4.991571E-08	4.69519803
5.141198E-08	4.69209405
5.295405E-08	4.68901878
5.454141E-08	4.68597508
5.500375E-08	4.68512252
5.617734E-08	4.68311963
5.786132E-08	4.68036408
5.959683E-08	4.67764082
6.138331E-08	4.67495232
6.322446E-08	4.6722945
6.511968E-08	4.66966973
6.707291E-08	4.66707413
6.908349E-08	4.66451018
7.115561E-08	4.6619742
7.328857E-08	4.65946865
7.548682E-08	4.65698993
7.774961E-08	4.65454038
8.008167E-08	4.6521164
8.248220E-08	4.64972026
8.495620E-08	4.64734841
8.750285E-08	4.64500303
9.012745E-08	4.64268066
9.282911E-08	4.64038342
9.440961E-08	4.63909175
9.561346E-08	4.63818127
9.847958E-08	4.63610426
1.014334E-07	4.63405303
1.044740E-07	4.63202957
1.076076E-07	4.63003102
1.108333E-07	4.62805939
1.141576E-07	4.62611194
1.175796E-07	4.62419051
1.211064E-07	4.62229214
1.247367E-07	4.62041832
1.284781E-07	4.61856609
1.323293E-07	4.61673724
1.362985E-07	4.61492924
1.403842E-07	4.61314396
1.445949E-07	4.61137888
1.489293E-07	4.60963568
1.533963E-07	4.60791182
1.579945E-07	4.60620892
1.627335E-07	4.60452447
1.676116E-07	4.60286006
1.726390E-07	4.60121323
1.778140E-07	4.59958552
1.831475E-07	4.59797451
1.886375E-07	4.59638171
1.942956E-07	4.59480475
1.984376E-07	4.59369556
2.001198E-07	4.59327878
2.061222E-07	4.59185429
2.123010E-07	4.59044973
2.186688E-07	4.58906308
2.252236E-07	4.58769572
2.319791E-07	4.58634581
2.389329E-07	4.58501487
2.460995E-07	4.58370099
2.534766E-07	4.58240494
2.610795E-07	4.58112441
2.689056E-07	4.5798607
2.769713E-07	4.57861228
2.852738E-07	4.57738048
2.938304E-07	4.57616355
3.026383E-07	4.57496265
3.117158E-07	4.57377605
3.210598E-07	4.57260487
3.306898E-07	4.5714474
3.406025E-07	4.57030475
3.508187E-07	4.56917525
3.613348E-07	4.56805998
3.721729E-07	4.5669573
