E(MeV)	pendfb7/Ce142:1	
4.40211E-04	0.6681	
4.44852E-04	0.7175	
4.51128E-04	0.787516	
4.54311E-04	0.825077	
4.57493E-04	0.862643	
4.63947E-04	0.943203	
4.70493E-04	1.02954	
4.77131E-04	1.12206	
4.83549E-04	1.21649	
4.89803E-04	1.31333	
4.96056E-04	1.41509	
5.02310E-04	1.52194	
5.08564E-04	1.63406	
5.11691E-04	1.69285	
5.14817E-04	1.75165	
5.24198E-04	1.93933	
5.33579E-04	2.13931	
5.39833E-04	2.28297	
5.42959E-04	2.3548	
5.52340E-04	2.58411	
5.61721E-04	2.83084	
5.64847E-04	2.91826	
5.71101E-04	3.09314	
5.80482E-04	3.37509	
5.89862E-04	3.67467	
5.99243E-04	3.99654	
6.08624E-04	4.33847	
6.14877E-04	4.58333	
6.18004E-04	4.70577	
6.27385E-04	5.09601	
6.36766E-04	5.5153	
6.46146E-04	5.96092	
6.55527E-04	6.43997	
6.58654E-04	6.60977	
6.64907E-04	6.9494	
6.74288E-04	7.4975	
6.80542E-04	7.88638	
6.83669E-04	8.08084	
6.93049E-04	8.70913	
6.99303E-04	9.15541	
7.02430E-04	9.37856	
7.11811E-04	10.1005	
7.18064E-04	10.614	
7.21191E-04	10.8708	
7.30572E-04	11.7029	
7.33699E-04	11.9993	
7.39952E-04	12.592	
7.49333E-04	13.5543	
7.52460E-04	13.8977	
7.58714E-04	14.5845	
7.68094E-04	15.702	
7.77475E-04	16.9007	
7.83729E-04	17.7698	
7.86856E-04	18.2043	
7.96236E-04	19.6061	
7.99363E-04	20.1074	
8.02490E-04	20.6088	
8.12496E-04	22.33	
8.16248E-04	23.027	
8.20000E-04	23.724	
8.30006E-04	25.739	
8.37511E-04	27.3943	
8.45016E-04	29.1289	
8.52520E-04	31.0083	
8.57523E-04	32.363	
8.60024E-04	33.0404	
8.67529E-04	35.2176	
8.70030E-04	36.0047	
8.75033E-04	37.579	
8.80037E-04	39.2706	
8.82538E-04	40.1165	
8.90042E-04	42.8783	
8.97547E-04	45.8556	
9.00049E-04	46.94	
9.05052E-04	49.109	
9.10054E-04	51.4557	
9.12556E-04	52.6292	
9.20060E-04	56.4928	
9.27565E-04	60.6908	
9.30067E-04	62.2344	
9.35070E-04	65.3216	
9.37571E-04	67.0067	
9.42574E-04	70.3771	
9.45075E-04	72.2091	
9.47577E-04	74.0412	
9.52580E-04	77.9556	
9.57583E-04	82.1431	
9.60084E-04	84.3862	
9.62586E-04	86.6293	
9.67589E-04	91.4428	
9.72592E-04	96.6161	
9.75094E-04	99.4007	
9.77595E-04	102.185	
9.80097E-04	105.188	
9.82598E-04	108.192	
9.85099E-04	111.437	
9.87601E-04	114.682	
9.90103E-04	118.195	
9.92604E-04	121.709	
9.95105E-04	125.521	
9.97607E-04	129.333	
1.00011E-03	133.478	
1.00261E-03	137.624	
1.00511E-03	142.143	
1.00761E-03	146.662	
1.01262E-03	156.54	
1.01762E-03	167.365	
1.02262E-03	179.262	
1.02763E-03	192.361	
1.03263E-03	206.85	
1.03763E-03	222.947	
1.04213E-03	239	
1.04664E-03	256.766	
1.05089E-03	275.327	
1.05464E-03	293.32	
1.05839E-03	313.093	
1.06215E-03	334.853	
1.06590E-03	358.874	
1.06965E-03	385.48	
1.07340E-03	415.054	
1.07590E-03	437.05	
1.07715E-03	448.049	
1.07841E-03	460.128	
1.07966E-03	472.208	
1.08091E-03	485.26	
1.08216E-03	498.311	
1.08341E-03	512.439	
1.08466E-03	526.567	
1.08591E-03	541.888	
1.08716E-03	557.211	
1.08841E-03	573.86	
1.08966E-03	590.509	
1.09091E-03	608.637	
1.09216E-03	626.765	
1.09341E-03	646.542	
1.09467E-03	666.32	
1.09592E-03	687.94	
1.09717E-03	709.56	
1.09842E-03	733.241	
1.09967E-03	756.922	
1.10092E-03	782.909	
1.10217E-03	808.897	
1.10342E-03	837.466	
1.10467E-03	866.036	
1.10530E-03	881.765	
1.10717E-03	928.954	
1.10905E-03	980.983	
1.10967E-03	998.326	
1.11092E-03	1036.61	
1.11218E-03	1074.89	
1.11280E-03	1096.02	
1.11468E-03	1159.41	
1.11655E-03	1229.38	
1.11718E-03	1252.7	
1.11843E-03	1304.1	
1.11968E-03	1355.5	
1.12031E-03	1383.74	
1.12218E-03	1468.46	
1.12406E-03	1561.11	
1.12468E-03	1591.99	
1.12593E-03	1659.02	
1.12718E-03	1726.04	
1.12781E-03	1762.01	
1.12969E-03	1869.89	
1.13219E-03	2023.1	
1.13344E-03	2099.7	
1.13469E-03	2177.21	
1.13844E-03	2409.76	
1.14094E-03	2550.24	
1.14282E-03	2640.7	
1.14344E-03	2664.78	
1.14470E-03	2712.93	
