MeV	K-0
3.39274E-03	219.646
3.39372E-03	233.039
3.39382E-03	234.626
3.39491E-03	250.748
3.39563E-03	261.602
3.39707E-03	283.091
3.39708E-03	283.28
3.39780E-03	292.701
3.39781E-03	292.824
3.39835E-03	298.449
3.39854E-03	300.376
3.39890E-03	303.01
3.39903E-03	303.896
3.39945E-03	305.543
3.39964E-03	306.198
3.39988E-03	306.42
3.40000E-03	306.231
3.40041E-03	305.449
3.40052E-03	304.859
3.40103E-03	301.932
3.40104E-03	301.827
3.40156E-03	296.93
3.40164E-03	296.104
3.40207E-03	290.741
3.40226E-03	288.448
3.40277E-03	280.864
3.40328E-03	273.084
3.40415E-03	259.073
3.40553E-03	236.702
3.40574E-03	233.29
3.40663E-03	220
3.40696E-03	215.025
3.40772E-03	204.402
3.40815E-03	198.529
3.40882E-03	189.892
3.40934E-03	183.295
3.40992E-03	176.406
3.41052E-03	169.231
3.41101E-03	163.875
3.41171E-03	156.251
3.41211E-03	152.181
3.41290E-03	144.27
3.41321E-03	141.3
3.41410E-03	133.088
3.41432E-03	131.194
3.41530E-03	122.778
3.41542E-03	121.81
3.41650E-03	113.272
3.41652E-03	113.099
3.41761E-03	105.155
3.41770E-03	104.512
3.41867E-03	97.9708
3.41890E-03	96.437
3.41973E-03	91.2752
3.42011E-03	88.9319
3.42080E-03	85.0314
3.42133E-03	81.9856
3.42186E-03	79.2075
3.42255E-03	75.5819
3.42292E-03	73.7761
3.42376E-03	69.6798
3.42405E-03	68.3754
3.42498E-03	64.2404
3.42519E-03	63.3718
3.42624E-03	59.0583
3.42632E-03	58.7296
3.42746E-03	54.448
3.42758E-03	53.9882
3.42859E-03	50.4952
3.42893E-03	49.3572
3.42972E-03	46.8453
3.43027E-03	45.1244
3.43085E-03	43.4623
3.43162E-03	41.255
3.43197E-03	40.3167
3.43296E-03	37.7187
3.43310E-03	37.393
3.43422E-03	34.6932
3.43431E-03	34.4812
3.43535E-03	32.1994
3.43566E-03	31.525
3.43648E-03	29.8654
3.43700E-03	28.8231
3.43762E-03	27.6961
3.43835E-03	26.3533
3.43875E-03	25.6803
3.43970E-03	24.0957
3.43989E-03	23.8074
3.44102E-03	22.0712
3.44105E-03	22.0312
3.44214E-03	20.5061
3.44240E-03	20.1452
3.44326E-03	19.0485
3.44375E-03	18.4219
3.44437E-03	17.6925
3.44510E-03	16.8495
3.44549E-03	16.4282
3.44600E-03	15.8833
3.44623E-03	15.6476
3.44690E-03	14.9874
3.44698E-03	14.914
3.44771E-03	14.2475
3.44782E-03	14.1509
3.44845E-03	13.6405
3.44853E-03	13.5739
3.44918E-03	13.104
3.44924E-03	13.0627
3.44992E-03	12.6418
3.44995E-03	12.6214
3.45066E-03	12.2534
3.45066E-03	12.249
3.45114E-03	12.0364
3.45139E-03	11.9407
3.45209E-03	11.681
3.45213E-03	11.6685
3.45286E-03	11.4467
3.45303E-03	11.3955
3.45433E-03	11.0757
