MeV	Eu-nat	
3.79528E-07	3789.63	
3.79665E-07	3794.78	
3.82205E-07	3909.6	
3.83678E-07	3976.18	
3.84883E-07	4040.41	
3.87598E-07	4185.2	
3.87728E-07	4192.15	
3.90313E-07	4352.54	
3.91816E-07	4445.89	
3.93066E-07	4535.2	
3.95819E-07	4732.07	
3.95962E-07	4742.27	
3.98611E-07	4958.48	
4.00147E-07	5083.86	
4.01404E-07	5199.89	
4.04235E-07	5461.48	
4.04371E-07	5474.03	
4.07067E-07	5753.21	
4.08635E-07	5915.7	
4.09938E-07	6065.47	
4.12810E-07	6395.59	
4.12958E-07	6412.7	
4.15722E-07	6760.59	
4.17323E-07	6962.31	
4.18634E-07	7140.04	
4.21587E-07	7540.7	
4.21728E-07	7559.91	
4.24540E-07	7965.8	
4.29032E-07	8614.68	
4.29181E-07	8636.27	
4.35085E-07	9494.7	
4.35236E-07	9516.73	
4.39831E-07	10142.9	
4.42763E-07	10504.3	
4.42922E-07	10524	
4.46036E-07	10861.4	
4.47448E-07	10988.4	
4.49171E-07	11143.2	
4.50593E-07	11240	
4.52329E-07	11357.8	
4.53761E-07	11419.9	
4.55508E-07	11495.5	
4.56561E-07	11513	
4.58715E-07	11548.7	
4.58994E-07	11549.1	
4.59038E-07	11549.1	
4.61701E-07	11518.4	
4.61921E-07	11510.5	
4.64857E-07	11403.5	
4.65164E-07	11384.5	
4.67575E-07	11234.4	
4.68013E-07	11207.1	
4.70873E-07	10960	
4.71315E-07	10921.8	
4.74172E-07	10613.2	
4.74616E-07	10565.1	
4.77516E-07	10199.8	
4.77964E-07	10143.4	
4.80861E-07	9730.76	
4.83010E-07	9424.48	
4.84253E-07	9232.01	
4.89365E-07	8440.2	
4.96269E-07	7370.08	
4.96735E-07	7297.96	
5.01972E-07	6528.69	
5.05040E-07	6106.6	
5.05513E-07	6041.47	
5.09054E-07	5584.89	
5.10371E-07	5427.05	
5.12645E-07	5154.68	
5.15752E-07	4811.16	
5.16236E-07	4757.75	
5.19878E-07	4388.55	
5.21210E-07	4265.12	
5.23519E-07	4051.32	
5.24874E-07	3937.1	
5.27212E-07	3740.04	
5.28563E-07	3636.59	
5.30905E-07	3457.38	
5.32279E-07	3362.03	
5.34650E-07	3197.52	
5.36020E-07	3111.38	
5.38395E-07	2962.17	
5.39788E-07	2882.88	
5.42193E-07	2746.1	
5.43582E-07	2674.52	
5.45991E-07	2550.54	
5.49327E-07	2394.89	
5.49842E-07	2370.89	
5.53694E-07	2208.15	
5.55126E-07	2153.21	
5.57600E-07	2058.48	
5.60980E-07	1940.85	
5.61505E-07	1922.58	
5.65466E-07	1797.36	
5.66915E-07	1755.64	
5.69427E-07	1683.42	
5.72907E-07	1592.18	
5.73444E-07	1578.12	
5.77461E-07	1482.09	
5.78955E-07	1449.43	
5.81534E-07	1393.12	
5.85059E-07	1322.67	
5.85608E-07	1311.72	
5.89739E-07	1236.13	
5.91250E-07	1210.75	
5.93870E-07	1166.8	
5.97499E-07	1110.84	
5.98059E-07	1102.21	
6.02248E-07	1042.83	
6.03806E-07	1022.48	
6.06496E-07	987.384	
6.10173E-07	943.137	
6.10745E-07	936.262	
6.15053E-07	888.432	
6.18781E-07	850.155	
6.19361E-07	844.208	
6.25915E-07	783.173	
6.27511E-07	769.899	
6.32530E-07	728.233	
6.36364E-07	699.745	
6.39207E-07	678.654	
6.45342E-07	637.831	
6.45947E-07	633.811	
6.52782E-07	593.001	
6.54447E-07	584.051	
6.59681E-07	555.958	
6.63680E-07	536.604	
6.66645E-07	522.275	
6.73043E-07	494.35	
6.73674E-07	491.6	
6.80802E-07	463.51	
6.82539E-07	457.316	
6.87998E-07	437.878	
6.95260E-07	414.435	
6.97051E-07	409.19	
7.02591E-07	392.995	
7.10025E-07	373.262	
7.11836E-07	368.896	
7.17530E-07	355.201	
7.25104E-07	338.656	
7.26971E-07	334.954	
7.32750E-07	323.523	
7.42391E-07	306.507	
7.43087E-07	305.282	
7.53571E-07	289.133	
7.58176E-07	282.957	
7.64203E-07	274.895	
7.74258E-07	263.273	
7.74984E-07	262.436	
7.85918E-07	251.669	
7.96259E-07	243.109	
7.97006E-07	242.493	
8.08250E-07	234.906	
8.18885E-07	229.291	
8.19653E-07	228.888	
8.31217E-07	224.51	
8.40012E-07	222.347	
8.48095E-07	221.298	
8.48344E-07	221.267	
8.53743E-07	221.104	
8.62777E-07	221.823	
8.71896E-07	223.911	
8.81100E-07	227.571	
8.90390E-07	233.072	
8.90694E-07	233.309	
8.96671E-07	237.975	
9.02952E-07	243.965	
9.09321E-07	251.298	
9.15691E-07	260.082	
9.22150E-07	270.701	
9.26995E-07	279.966	
9.31885E-07	290.61	
