E(MeV)	mcnp/Bi209:1
1.56042E-05	9.286775918
1.87199E-05	9.283636091
2.18357E-05	9.280504796
2.49515E-05	9.277372626
0.000031183	9.271085177
3.74145E-05	9.264747596
4.36461E-05	9.258346419
4.98776E-05	9.251873141
6.23407E-05	9.238689782
7.48038E-05	9.225164479
8.72669E-05	9.211271308
9.973E-05	9.196985936
0.000124656	9.167151152
0.000149582	9.135470473
0.000174508	9.101731081
0.000199435	9.06568672
0.000249287	8.985535653
0.000299139	8.892122701
0.000336528	8.811005653
0.000386381	8.683534897
0.000436233	8.526365952
0.000461159	8.432919557
0.000486085	8.326692633
0.000498549	8.267865969
0.000535938	8.062860735
0.000548401	7.982886951
0.000573327	7.800437798
0.00058579	7.695685412
0.000610716	7.451552863
0.000623179	7.308096588
0.000635642	7.146848964
0.000648106	6.96442582
0.000660569	6.756391802
0.0006668	6.641058364
0.000679263	6.383745047
0.000685495	6.239834864
0.000691726	6.084298362
0.000697958	5.915914399
0.000704189	5.733409166
0.000710421	5.535510307
0.000716652	5.321108258
0.000722884	5.089660497
0.000726	4.967618879
0.000729115	4.841446421
0.000735347	4.57896377
0.000738463	4.444403321
0.000741579	4.309616187
0.000744694	4.177073402
0.00074781	4.050464824
0.000750926	3.935309303
0.000754042	3.839880334
0.000757157	3.776729484
0.000760273	3.765128869
0.000763389	3.832982948
0.000764947	3.910362772
0.000766505	4.02938781
0.000768063	4.199562186
0.000769621	4.435093445
0.000771178	4.754688004
0.000772736	5.183258756
0.000774294	5.754372971
0.000775852	6.506601461
0.000776631	6.968768222
0.00077741	7.508650516
0.000778189	8.133368676
0.000778968	8.85743059
0.000779747	9.698259258
0.000780526	10.67747961
0.000781305	11.82103572
0.000782084	13.16150736
0.000782863	14.73864214
0.000783642	16.60305306
0.00078442	18.81769511
0.000785199	21.46408213
0.000785978	24.64590955
0.000786757	28.49966994
0.000787536	33.20531473
0.000788315	39.0008656
0.000789094	46.15823523
0.000789484	50.38796192
0.000789873	55.17098019
0.000790262	60.58468029
0.000790652	66.72593165
0.000791041	73.71498759
0.000791431	81.70170451
0.00079182	90.8666002
0.00079221	101.4389326
0.000792599	113.693855
0.000792989	127.9761354
0.000793378	144.7124807
0.000793768	164.4544172
0.000794157	187.8856645
0.000794547	215.8815186
0.000794936	249.5503135
0.000795326	290.3372491
0.000795715	340.0519595
0.000796105	400.9801208
0.000796494	475.8991572
0.000796884	568.0848179
0.000797273	680.8793063
0.000797663	817.1453808
0.000797955	935.460662
0.000798247	1066.344084
0.000799123	1481.728732
0.000799416	1597.181482
0.000799708	1682.022622
0.0008	1726.683295
0.000800292	1726.493101
0.000800584	1682.923913
0.000800877	1602.981564
0.000801169	1497.132863
0.000801753	1251.664527
0.000802045	1129.558786
0.000802338	1015.162613
0.000802703	886.4193418
0.000803069	774.8590809
0.000803435	679.7180104
0.000803801	599.2010328
0.000804167	531.2063752
0.000804533	473.7069486
0.000804899	424.9133245
0.000805265	383.3136365
0.00080563	347.6681298
0.000805996	316.937618
0.000806362	290.3035074
0.000806728	267.0924943
0.000807094	246.7579971
0.00080746	228.8615989
0.000807826	213.061951
0.000808192	199.0692186
0.000808923	175.3238809
0.000809655	155.9549296
0.000810387	140.0359858
0.000811119	126.7961642
0.000811851	115.6581677
0.000812582	106.1919623
0.000813314	98.07225553
0.000814046	91.04943808
0.000814778	84.93025835
0.00081551	79.56039946
0.000816241	74.82180734
0.000816973	70.65126359
0.000818437	63.55411148
0.0008199	57.75097739
