E(MeV)	pendfb7/Sm149:1	
4.09286E-09	64911.2878	
4.11014E-09	64798.7036	
4.23342E-09	63995.2594	
4.36032E-09	63212.1857	
4.37880E-09	63098.1442	
4.49111E-09	62442.1144	
4.52918E-09	62219.7206	
4.62573E-09	61685.8905	
4.64534E-09	61577.4935	
4.68472E-09	61359.7881	
4.76448E-09	60942.5226	
4.84560E-09	60518.1581	
4.90730E-09	60212.802	
5.01200E-09	59694.6206	
5.05449E-09	59495.7609	
5.18412E-09	58888.9968	
5.20600E-09	58792.1649	
5.31708E-09	58300.5797	
5.36215E-09	58101.1117	
5.52289E-09	57428.7346	
5.54630E-09	57330.8121	
5.71256E-09	56673.6288	
5.73677E-09	56577.9187	
5.90873E-09	55935.7996	
5.93378E-09	55842.2851	
6.08596E-09	55305.6731	
6.11165E-09	55215.1062	
6.13755E-09	55123.767	
6.34833E-09	54422.2532	
6.56634E-09	53737.596	
6.59405E-09	53655.5092	
6.79184E-09	53069.6874	
6.90747E-09	52746.8013	
6.93663E-09	52665.3964	
7.02508E-09	52418.4274	
7.26633E-09	51783.7376	
7.29700E-09	51707.7562	
7.51587E-09	51165.5162	
7.77398E-09	50563.6966	
7.87297E-09	50346.611	
8.00701E-09	50052.6628	
8.04095E-09	49978.2416	
8.31709E-09	49409.0972	
8.60271E-09	48856.2241	
8.86058E-09	48387.8221	
8.89814E-09	48319.6095	
9.20371E-09	47799.2734	
9.24256E-09	47737.3214	
9.51979E-09	47295.2	
9.76394E-09	46930.9127	
9.84671E-09	46807.4186	
9.93018E-09	46691.0435	
1.01849E-08	46335.9936	
1.05346E-08	45880.9701	
1.05791E-08	45827.071	
1.08964E-08	45442.4162	
1.09424E-08	45390.5518	
1.10351E-08	45285.9458	
1.12706E-08	45020.4425	
1.16084E-08	44666.6955	
1.16577E-08	44615.177	
1.19566E-08	44325.0855	
1.20580E-08	44226.7447	
1.21089E-08	44181.0957	
1.23151E-08	43996.1916	
1.24721E-08	43855.3503	
1.26844E-08	43679.7518	
1.29004E-08	43501.1639	
1.30647E-08	43376.2995	
1.32313E-08	43249.6662	
1.33434E-08	43164.4199	
1.34565E-08	43085.6727	
1.38017E-08	42845.4023	
1.38599E-08	42808.406	
1.42756E-08	42544.3746	
1.43359E-08	42509.6294	
1.47659E-08	42261.7108	
1.52730E-08	41997.746	
1.54674E-08	41906.9561	
1.57975E-08	41752.9222	
1.63400E-08	41527.6851	
1.65480E-08	41451.6141	
1.69011E-08	41322.5611	
1.74815E-08	41138.1004	
1.76297E-08	41097.8164	
1.77791E-08	41057.2072	
1.80819E-08	40974.9533	
1.83897E-08	40904.9608	
1.87028E-08	40833.7765	
1.90212E-08	40775.0794	
1.93451E-08	40715.383	
1.96745E-08	40668.3609	
1.97575E-08	40656.5059	
2.00094E-08	40620.5666	
2.03501E-08	40585.7135	
2.06966E-08	40550.2672	
2.07839E-08	40544.7593	
2.10490E-08	40528.0799	
2.14074E-08	40505.5254	
2.17718E-08	40498.2758	
2.18637E-08	40496.4481	
2.23302E-08	40487.2268	
2.24245E-08	40489.3478	
2.29029E-08	40500.1151	
2.30971E-08	40504.508	
2.31118E-08	40504.8421	
2.37894E-08	40545.1816	
2.38903E-08	40551.1845	
2.39055E-08	40552.0961	
2.45030E-08	40609.2742	
2.47265E-08	40630.6653	
2.52237E-08	40692.3167	
2.52687E-08	40698.4367	
2.53000E-08	40702.6908	
2.60589E-08	40820.7006	
2.61688E-08	40837.8042	
2.62798E-08	40858.9623	
2.68400E-08	40965.9089	
2.70675E-08	41009.3415	
2.72970E-08	41060.7117	
2.75284E-08	41112.5494	
2.78794E-08	41191.187	
2.82344E-08	41281.6772	
2.87151E-08	41404.281	
2.89585E-08	41473.9233	
2.92040E-08	41544.1562	
2.95764E-08	41650.7553	
2.97012E-08	41690.4009	
3.02069E-08	41851.0058	
3.04630E-08	41932.3702	
3.11130E-08	42159.5314	
3.12443E-08	42205.4457	
3.13767E-08	42251.749	
3.20456E-08	42507.2106	
3.23173E-08	42611.0025	
3.28675E-08	42839.3479	
3.30068E-08	42897.1609	
3.32866E-08	43013.327	
3.35688E-08	43139.9912	
3.39962E-08	43331.8683	
3.42844E-08	43461.283	
3.48681E-08	43742.1555	
3.50159E-08	43813.2928	
3.51637E-08	43884.4307	
3.56121E-08	44113.9373	
3.57624E-08	44190.8708	
3.60655E-08	44346.0971	
3.63713E-08	44512.2411	
3.66796E-08	44679.7932	
3.69905E-08	44848.8265	
3.71473E-08	44939.1424	
3.76203E-08	45211.622	
3.79392E-08	45395.3906	
3.84230E-08	45690.3987	
3.87487E-08	45889.0773	
3.89123E-08	45988.8357	
3.92421E-08	46201.5287	
3.95748E-08	46416.0895	
3.99102E-08	46632.4686	
4.00794E-08	46747.1754	
4.04192E-08	46977.6302	
4.07618E-08	47210.0385	
4.09338E-08	47332.1074	
4.11073E-08	47455.2483	
4.16308E-08	47826.7583	
4.18072E-08	47957.71	
4.23396E-08	48352.9075	
4.25190E-08	48486.1297	
4.26985E-08	48625.3859	
