E(MeV)  mcnp	Total /Ca:1 mcnp/Ca
3.326000E-01	7.27752
3.351000E-01	8.24322
3.365000E-01	6.86753
3.408000E-01	6.48546
3.419000E-01	4.3684
3.436000E-01	4.23944
3.444000E-01	3.32498
3.455000E-01	3.29163
3.470000E-01	3.78756
3.505000E-01	2.53667
3.527000E-01	1.57508
3.532500E-01	0.672122
3.538000E-01	0.881887
3.542500E-01	1.10374
3.547000E-01	1.54855
3.554000E-01	2.00914
3.555000E-01	3.56374
3.558000E-01	3.82378
3.560500E-01	5.69137
3.563000E-01	6.17079
3.575000E-01	6.58262
3.593000E-01	4.94908
3.635000E-01	3.73512
3.689000E-01	2.5225
3.716000E-01	2.0443
3.795000E-01	2.19756
3.802000E-01	1.72123
3.846000E-01	1.70873
3.848000E-01	1.13929
3.862000E-01	1.04553
3.867000E-01	2.36035
3.885000E-01	1.9599
3.935000E-01	1.56679
4.000000E-01	1.27694
4.024000E-01	1.19021
4.061000E-01	1.24245
4.080000E-01	1.03347
4.083000E-01	1.16538
4.102000E-01	0.84343
4.108000E-01	0.984742
4.127000E-01	0.846209
4.140000E-01	0.997383
4.161000E-01	0.900301
4.172000E-01	1.0611
4.193000E-01	0.62729
4.213000E-01	1.17198
4.281000E-01	0.701051
4.296000E-01	0.63152
4.331000E-01	0.500444
4.353000E-01	0.733485
4.357000E-01	1.15873
4.366000E-01	1.41422
4.375000E-01	2.3851
4.387000E-01	4.10309
4.393000E-01	4.16376
4.400000E-01	4.74864
4.407000E-01	5.80501
4.421000E-01	6.4863
4.436000E-01	6.01856
4.447000E-01	5.08723
4.470000E-01	4.31234
4.499000E-01	3.19018
4.532000E-01	2.4226
4.538000E-01	1.9865
4.590000E-01	1.81253
4.598000E-01	1.46703
4.605000E-01	1.49881
4.659000E-01	1.48757
4.683000E-01	1.07184
4.698000E-01	1.25171
4.708000E-01	1.87552
4.757000E-01	1.03429
4.775406E-01	0.902249
4.776000E-01	0.979222
4.782000E-01	0.995937
4.782562E-01	1.84662
4.786500E-01	1.81862
4.791000E-01	1.45715
4.808000E-01	1.05201
4.883000E-01	0.884534
4.939000E-01	0.715303
4.955000E-01	0.705581
4.998000E-01	0.609286
5.013000E-01	0.698579
5.032000E-01	0.903729
5.049000E-01	1.5171
5.057000E-01	2.39931
5.065000E-01	3.12
5.082000E-01	4.21164
5.107000E-01	5.57192
5.121000E-01	4.1088
5.141000E-01	3.07464
5.166000E-01	2.33468
5.185000E-01	1.80048
5.211000E-01	1.52536
5.215000E-01	1.44609
5.220000E-01	1.70696
5.238000E-01	1.35682
5.246000E-01	1.21718
5.253000E-01	1.21271
5.257000E-01	1.66198
5.257718E-01	1.15731
5.280000E-01	1.13746
5.289000E-01	0.925943
5.313000E-01	0.845764
5.346000E-01	0.959785
5.365375E-01	0.734864
5.366000E-01	0.894891
5.372000E-01	0.912695
5.372632E-01	1.65224
5.382123E-01	1.63372
5.385000E-01	1.05789
5.413000E-01	0.883301
5.475000E-01	0.69999
5.540000E-01	0.677777
5.566000E-01	0.566675
5.579000E-01	0.777774
5.591000E-01	0.949974
5.595000E-01	2.6222
5.604000E-01	1.1
5.635000E-01	0.744354
5.664000E-01	0.677763
5.685000E-01	0.733273
5.690000E-01	0.933273
5.699000E-01	1.2556
5.706000E-01	2.4777
5.724000E-01	1.211
5.749000E-01	0.894352
5.772000E-01	1.0943
5.799000E-01	1.311
5.802000E-01	1.4112
5.843000E-01	1.5332
5.880000E-01	2.0132
5.920000E-01	2.7097
5.937000E-01	3.5999
5.943000E-01	4.2799
5.956000E-01	5.3555
5.972000E-01	4.2443
6.000000E-01	4.29761
6.012000E-01	4.69561
6.029000E-01	4.83991
6.080000E-01	4.90211
6.096000E-01	4.68851
6.098000E-01	4.60881
6.107000E-01	5.04441
6.147000E-01	4.51991
6.191000E-01	4.20881
6.212000E-01	3.63991
6.241000E-01	3.59551
6.266000E-01	3.12432
6.279000E-01	2.56432
6.306000E-01	2.68012
6.323000E-01	1.96882
6.343000E-01	1.47092
6.346000E-01	0.742061
6.358000E-01	1.23992
6.369000E-01	2.59102
6.392000E-01	4.24432
6.402000E-01	3.38212
6.412000E-01	4.15552
6.426000E-01	5.97773
6.436000E-01	3.84433
6.451000E-01	3.23103
6.503000E-01	2.82213
6.521000E-01	2.32433
6.532000E-01	2.22643
6.538000E-01	2.69763
6.564000E-01	2.13763
6.600000E-01	1.89774
6.601000E-01	1.73754
6.674000E-01	1.71424
6.679000E-01	1.42655
6.685000E-01	1.72995
6.718000E-01	1.35655
6.727000E-01	0.718779
6.739000E-01	0.92878
6.745000E-01	1.28655
6.749000E-01	1.85425
6.753000E-01	2.81095
6.762000E-01	3.50305
6.772000E-01	4.07095
6.790000E-01	3.22315
6.813000E-01	2.51546
6.860000E-01	2.07206
6.871000E-01	1.69746
6.919000E-01	1.59766
6.934000E-01	1.48887
6.940000E-01	1.82317
6.947000E-01	2.53197
6.953000E-01	3.40987
6.970000E-01	2.22767
7.003000E-01	1.80767
7.049000E-01	1.53548
7.118000E-01	1.27878
7.129000E-01	1.19319
7.136000E-01	1.91659
7.163000E-01	1.30209
7.261000E-01	1.03769
7.279000E-01	0.913175
7.281000E-01	1.36431
7.297000E-01	1.40321
7.328000E-01	0.952089
