E(MeV)	W-nat
4.23367E-06	877.407
4.23624E-06	822.498
4.23704E-06	805.385
4.24042E-06	739.042
4.24107E-06	727.426
4.24380E-06	678.218
4.24589E-06	643.397
4.24637E-06	635.389
4.24927E-06	590.748
4.25072E-06	570.14
4.25216E-06	549.612
4.25506E-06	511.779
4.25554E-06	505.976
4.25795E-06	477.084
4.26037E-06	450.53
4.26085E-06	445.242
4.26374E-06	416.109
4.26519E-06	402.739
4.26664E-06	389.429
4.26970E-06	363.71
4.27002E-06	361.243
4.27291E-06	339.151
4.27516E-06	323.528
4.27613E-06	316.862
4.27902E-06	298.667
4.27935E-06	296.655
4.28256E-06	278.33
4.28481E-06	266.631
4.28578E-06	261.646
4.28900E-06	246.471
4.29060E-06	239.528
4.29221E-06	232.625
4.29607E-06	217.569
4.29640E-06	216.428
4.29945E-06	205.656
4.30219E-06	196.818
4.30283E-06	194.749
4.30621E-06	184.767
4.30733E-06	181.702
4.30958E-06	175.605
4.31377E-06	165.282
4.31409E-06	164.493
4.31859E-06	154.516
4.32020E-06	151.287
4.32310E-06	145.508
4.32663E-06	139.082
4.32760E-06	137.341
4.33242E-06	129.423
4.33628E-06	123.673
4.33757E-06	121.771
4.34272E-06	114.864
4.34594E-06	110.927
4.34787E-06	108.584
4.35301E-06	102.868
4.35559E-06	100.244
4.35816E-06	97.6405
4.36331E-06	92.8483
4.36524E-06	91.1894
4.36845E-06	88.4449
4.37424E-06	83.8957
4.37489E-06	83.4331
4.38068E-06	79.3045
4.38711E-06	75.1138
4.38775E-06	74.7296
4.39355E-06	71.3043
4.39998E-06	67.8061
4.40062E-06	67.4836
4.40641E-06	64.6095
4.41285E-06	61.659
4.41606E-06	60.2923
4.41928E-06	58.9404
4.42668E-06	56.0703
4.43408E-06	53.4416
4.43504E-06	53.1025
4.44341E-06	50.4183
4.45177E-06	47.958
4.45209E-06	47.871
4.46013E-06	45.7201
4.46850E-06	43.6584
4.47011E-06	43.2919
4.47686E-06	41.771
4.48523E-06	40.0273
4.49230E-06	38.663
4.49456E-06	38.2347
4.50485E-06	36.4364
4.51514E-06	34.7861
4.51868E-06	34.2638
4.52544E-06	33.2813
4.53573E-06	31.9003
4.54506E-06	30.7425
4.54602E-06	30.6244
4.55632E-06	29.4565
4.57144E-06	27.8906
4.57176E-06	27.8577
4.58624E-06	26.5238
4.60071E-06	25.3112
4.61519E-06	24.2222
4.62966E-06	23.2257
4.63288E-06	23.0224
4.64414E-06	22.3246
4.65862E-06	21.4993
4.67309E-06	20.7378
4.68113E-06	20.3462
4.68757E-06	20.04
4.70410E-06	19.3148
4.72063E-06	18.6478
4.72993E-06	18.3018
4.73717E-06	18.0383
4.75370E-06	17.4824
4.77850E-06	16.7238
4.77980E-06	16.6881
4.80330E-06	16.0602
4.82833E-06	15.4582
4.84630E-06	15.0678
4.85383E-06	14.9085
4.87933E-06	14.4208
4.90483E-06	13.9773
4.91467E-06	13.8211
4.93033E-06	13.5811
4.95583E-06	13.2239
4.98205E-06	12.8875
5.00827E-06	12.5784
5.01819E-06	12.4719
5.04323E-06	12.215
5.07819E-06	11.8927
5.11364E-06	11.5977
5.12364E-06	11.5223
5.14959E-06	11.3353
5.18553E-06	11.1007
5.22148E-06	10.8876
5.23207E-06	10.8316
5.27641E-06	10.6078
5.33185E-06	10.363
5.34254E-06	10.3215
5.38729E-06	10.1569
5.44429E-06	9.97318
5.49329E-06	9.8344
5.50130E-06	9.81338
5.55884E-06	9.68146
5.61745E-06	9.56416
5.69560E-06	9.43149
5.72687E-06	9.38722
5.77596E-06	9.32596
5.85631E-06	9.24613
5.93893E-06	9.18314
5.97154E-06	9.16529
6.02155E-06	9.14434
6.10738E-06	9.12609
6.19354E-06	9.12723
6.27970E-06	9.14759
6.31328E-06	9.16407
6.36830E-06	9.19602
6.43475E-06	9.25185
6.50244E-06	9.32599
6.57076E-06	9.42266
6.63909E-06	9.54692
6.68137E-06	9.64121
6.68592E-06	9.65147
6.73275E-06	9.7763
6.77958E-06	9.92414
6.82642E-06	10.1001
6.86253E-06	10.2592
6.89865E-06	10.443
6.93250E-06	10.6427
6.93477E-06	10.6561
6.97088E-06	10.9046
6.99496E-06	11.0944
7.01904E-06	11.307
7.04990E-06	11.6193
7.07047E-06	11.8565
7.09104E-06	12.1211
7.11162E-06	12.4174
7.13219E-06	12.7505
7.15276E-06	13.127
7.17334E-06	13.5549
7.19080E-06	13.9662
7.19125E-06	13.9768
7.20650E-06	14.3804
7.22174E-06	14.8292
7.23699E-06	15.3303
7.25224E-06	15.8923
7.26748E-06	16.5255
7.27892E-06	17.0548
7.29035E-06	17.638
7.30179E-06	18.2828
7.31457E-06	19.0877
7.32354E-06	19.7138
7.32712E-06	19.9872
7.33251E-06	20.4005
7.34147E-06	21.1545
7.35044E-06	21.9824
7.35941E-06	22.8948
7.36838E-06	23.9038
7.37735E-06	25.0243
7.38094E-06	25.5186
7.38452E-06	26.0163
7.39170E-06	27.1053
7.39888E-06	28.3003
7.40605E-06	29.6166
7.41323E-06	31.0718
7.41681E-06	31.8797
7.42040E-06	32.6922
7.42757E-06	34.5036
7.43296E-06	36.0029
7.43475E-06	36.5456
7.43766E-06	37.432
7.44349E-06	39.3691
7.44932E-06	41.5132
7.45269E-06	42.8875
7.45515E-06	43.9008
7.46098E-06	46.5707
7.46536E-06	48.7795
7.46614E-06	49.2118
7.46973E-06	51.1986
7.47410E-06	53.8435
7.47847E-06	56.7386
7.47959E-06	57.5595
7.48363E-06	60.529
7.48811E-06	64.1869
7.48856E-06	64.5902
7.49260E-06	68.2352
7.49708E-06	72.7041
7.49753E-06	73.1977
7.50157E-06	77.6592
7.50605E-06	83.1347
7.50650E-06	83.7395
7.51054E-06	89.2041
7.51323E-06	93.2255
7.51502E-06	95.9161
7.51906E-06	102.558
7.51995E-06	104.16
7.52264E-06	108.984
7.52623E-06	115.922
7.52668E-06	116.857
7.52982E-06	123.421
7.53341E-06	131.488
7.53699E-06	140.178
7.54013E-06	148.32
7.54058E-06	149.488
7.54417E-06	159.461
7.54664E-06	166.852
7.54910E-06	174.265
7.55303E-06	187.032
7.55381E-06	189.593
7.55852E-06	206.099
7.55942E-06	209.454
7.56323E-06	223.754
7.56581E-06	234.096
7.56951E-06	248.97
7.57220E-06	260.508
7.57601E-06	276.882
7.57646E-06	278.91
7.58341E-06	310.409
7.58543E-06	319.825
7.59888E-06	382.72
7.60291E-06	401.594
7.61090E-06	436.623
7.61233E-06	442.374
7.61682E-06	460.31
7.61969E-06	470.513
7.62274E-06	481.32
7.62704E-06	494.269
7.62848E-06	498.564
7.63404E-06	511.806
7.63421E-06	512.231
7.63960E-06	521.422
7.63995E-06	521.791
7.64498E-06	526.863
7.64648E-06	527.433
7.64925E-06	528.421
7.65305E-06	527.622
7.65355E-06	527.508
7.65700E-06	524.69
7.65825E-06	523.648
7.66005E-06	521.009
7.66363E-06	515.681
7.66543E-06	511.931
7.66830E-06	505.884
7.67045E-06	500.232
7.67296E-06	493.594
7.67691E-06	481.16
7.67848E-06	476.186
7.68399E-06	456.097
7.68426E-06	455.029
7.68767E-06	441.44
7.69251E-06	420.604
7.69574E-06	406.668
7.70112E-06	381.864
7.71458E-06	319.716
7.71951E-06	296.922
7.72713E-06	263.471
7.73072E-06	248.604
7.73251E-06	241.184
7.73789E-06	220.207
7.74058E-06	210.416
7.74328E-06	200.65
7.74798E-06	184.753
7.74955E-06	179.831
7.75269E-06	170.017
7.75740E-06	156.419
7.75852E-06	153.442
7.76211E-06	143.951
7.76682E-06	132.548
7.76749E-06	131.046
7.77041E-06	124.562
7.77444E-06	116.247
7.77646E-06	112.421
7.77848E-06	108.611
7.78251E-06	101.612
7.78543E-06	96.9727
7.78655E-06	95.197
7.79059E-06	89.3377
7.79440E-06	84.2678
7.79462E-06	83.971
7.79866E-06	79.0799
7.80337E-06	73.8914
7.80740E-06	69.8706
7.81144E-06	66.1852
7.81413E-06	63.931
7.81547E-06	62.8115
7.81951E-06	59.7281
7.82355E-06	56.8934
7.82668E-06	54.8632
7.82758E-06	54.2874
7.83296E-06	51.1442
7.83834E-06	48.3155
7.83924E-06	47.8898
7.84373E-06	45.7773
7.84843E-06	43.757
7.85180E-06	42.4307
7.85314E-06	41.9042
7.85942E-06	39.6709
7.86570E-06	37.6611
7.86704E-06	37.2718
7.87198E-06	35.857
7.87826E-06	34.2242
7.88453E-06	32.7376
7.88498E-06	32.6406
7.89081E-06	31.3931
7.89843E-06	29.9122
7.90516E-06	28.7252
7.91189E-06	27.6366
7.92086E-06	26.3361
7.92983E-06	25.168
