E(MeV)	mcnp/Ag-109:1
1.71127E-05	6.21208
1.71616E-05	6.20004
1.72105E-05	6.18801
1.72595E-05	6.17597
1.73084E-05	6.16393
1.73573E-05	6.1519
1.74062E-05	6.13986
1.74552E-05	6.12782
1.75041E-05	6.11579
0.000017553	6.10375
1.76509E-05	6.07968
1.77487E-05	6.05561
1.77979E-05	6.04352
1.78466E-05	6.0333
1.79444E-05	6.01276
1.80423E-05	5.99223
1.81401E-05	5.9717
1.81875E-05	5.96175
0.000018238	5.95116
1.83358E-05	5.93063
1.84337E-05	5.9101
1.85315E-05	5.88956
1.85812E-05	5.87914
1.86294E-05	5.87043
1.87272E-05	5.85274
1.89229E-05	5.81735
1.91186E-05	5.78197
1.93143E-05	5.74658
1.93645E-05	5.73751
1.95101E-05	5.71469
1.97058E-05	5.684
1.99015E-05	5.6533
2.00972E-05	5.62261
2.01479E-05	5.61466
2.02929E-05	5.5949
2.04886E-05	5.56823
2.06843E-05	5.54156
2.09312E-05	5.5079
2.10757E-05	5.49091
2.14671E-05	5.44485
2.17146E-05	5.41573
2.18585E-05	5.40142
2.22499E-05	5.36251
2.24979E-05	5.33786
2.25813E-05	5.33121
2.26413E-05	5.32642
2.30327E-05	5.2952
2.32812E-05	5.27537
2.34241E-05	5.26646
2.36729E-05	5.25094
2.38155E-05	5.2442
2.40646E-05	5.23242
2.42069E-05	5.22822
2.44563E-05	5.22085
2.48479E-05	5.21806
2.49897E-05	5.2212
2.52396E-05	5.22674
2.56313E-05	5.25093
2.57726E-05	5.26746
2.60229E-05	5.29675
2.64146E-05	5.37237
2.65554E-05	5.41069
2.66104E-05	5.42569
2.68063E-05	5.4941
0.000026975	5.56845
2.70021E-05	5.5804
0.000027198	5.68943
2.73382E-05	5.78848
2.73938E-05	5.82777
2.75896E-05	6.00457
2.77855E-05	6.23269
2.79813E-05	6.5304
0.000028121	6.8092
2.81771E-05	6.92124
2.82751E-05	7.16424
0.000028373	7.44985
2.84709E-05	7.78692
2.85688E-05	8.18671
2.86667E-05	8.6645
2.87647E-05	9.24076
2.88626E-05	9.94301
2.89038E-05	10.3079
2.89605E-05	10.8091
2.90584E-05	11.8911
2.91563E-05	13.2619
2.92053E-05	14.0877
2.92542E-05	15.0315
2.93032E-05	16.1174
2.93522E-05	17.3759
2.94011E-05	18.8453
2.94501E-05	20.5748
0.000029499	22.6285
0.000029548	25.0916
2.95969E-05	28.0795
2.96459E-05	31.7557
2.96866E-05	35.5794
2.96949E-05	36.3532
2.97438E-05	42.2213
2.97683E-05	45.7916
2.97928E-05	49.9072
2.98173E-05	54.693
2.98417E-05	60.3142
2.98662E-05	66.9915
2.98907E-05	75.0236
2.99029E-05	79.6697
2.99152E-05	84.8176
2.99274E-05	90.5416
2.99397E-05	96.9282
2.99519E-05	104.078
2.99641E-05	112.107
2.99764E-05	121.149
2.99886E-05	131.358
3.00009E-05	142.905
3.00131E-05	155.988
3.00253E-05	170.823
3.00376E-05	187.649
3.00498E-05	206.726
3.00621E-05	228.332
3.00743E-05	252.757
3.00865E-05	280.299
3.00988E-05	311.257
0.000030111	345.917
3.01233E-05	384.545
3.01355E-05	427.368
3.01477E-05	474.562
0.00003016	526.234
3.01722E-05	582.403
3.01845E-05	642.985
3.02089E-05	776.445
3.02334E-05	923.334
3.02518E-05	1039.02
3.02885E-05	1270.29
3.03191E-05	1443.6
3.03399E-05	1540.46
3.03743E-05	1646.2
0.0000304	1672.51
3.04086E-05	1670.46
3.04257E-05	1650.25
3.04601E-05	1549.76
3.04694E-05	1506.2
3.04873E-05	1422.91
3.05154E-05	1263.48
0.000030562	972.993
3.05901E-05	805.287
3.05994E-05	752.72
3.06181E-05	654.027
3.06368E-05	564.932
3.06554E-05	485.901
3.06741E-05	416.973
3.06928E-05	357.698
3.07115E-05	307.319
3.07302E-05	264.904
3.07488E-05	229.443
3.07675E-05	199.93
3.07862E-05	175.431
3.08049E-05	155.067
3.08235E-05	138.11
3.08422E-05	123.928
3.08609E-05	112.005
3.08796E-05	101.899
3.08983E-05	93.2742
3.09169E-05	85.8536
3.09356E-05	79.4219
3.09543E-05	73.7987
3.09916E-05	64.4652
0.000031029	57.0546
3.10664E-05	51.046
3.11037E-05	46.0913
3.11411E-05	41.9454
3.11784E-05	38.4367
3.12158E-05	35.4354
3.12522E-05	32.908
3.12905E-05	32.8463
3.13279E-05	30.5935
3.13652E-05	28.6196
3.13688E-05	26.7399
3.14399E-05	23.9549
3.15146E-05	21.6058
3.15894E-05	19.6878
3.16641E-05	18.0997
3.17388E-05	16.7692
3.18135E-05	15.6421
3.18882E-05	14.678
3.19629E-05	13.8462
3.20351E-05	13.1481
3.21124E-05	13.1232
3.21871E-05	12.4906
3.22618E-05	11.9342
3.24112E-05	11.4418
3.25606E-05	10.6094
3.27101E-05	9.93285
3.28179E-05	9.04127
3.28595E-05	8.91206
3.30089E-05	8.52094
3.31583E-05	8.18762
3.33078E-05	7.90088
3.34572E-05	7.65218
3.36007E-05	7.44386
3.36066E-05	7.43524
3.37561E-05	7.24589
3.40549E-05	6.92801
3.43538E-05	6.67235
3.43835E-05	6.6518
3.46526E-05	6.46584
3.47749E-05	6.39708
3.49515E-05	6.29777
3.51663E-05	6.1994
3.52503E-05	6.16092
3.55492E-05	6.05066
3.55577E-05	6.04819
3.57625E-05	5.98905
0.000035848	5.96435
3.59491E-05	5.94299
3.61469E-05	5.90121
3.63405E-05	5.87603
3.64457E-05	5.86235
3.67319E-05	5.85178
3.67446E-05	5.85132
3.70435E-05	5.87353
3.71233E-05	5.88805
3.71929E-05	5.90069
3.73423E-05	5.9425
3.74917E-05	6.00154
3.75147E-05	6.0139
3.76412E-05	6.08182
3.77104E-05	6.13155
3.77906E-05	6.18906
3.79062E-05	6.29903
0.00003794	6.33125
3.80894E-05	6.51958
3.81019E-05	6.54035
3.82389E-05	6.76965
3.82976E-05	6.90105
3.83883E-05	7.10419
0.000038463	7.31439
3.84933E-05	7.41463
3.85377E-05	7.56191
3.86124E-05	7.85507
3.86872E-05	8.20451
3.87619E-05	8.62398
3.88366E-05	9.13215
3.88847E-05	9.53236
3.89113E-05	9.75402
0.000038986	10.5243
3.90607E-05	11.4919
3.90804E-05	11.8174
3.91354E-05	12.729
3.91728E-05	13.4807
3.92101E-05	14.3455
3.92475E-05	15.3476
3.92761E-05	16.2427
3.92849E-05	16.5181
3.93222E-05	17.8978
3.93596E-05	19.5424
3.93739E-05	20.3048
3.93969E-05	21.5273
3.94343E-05	23.9599
3.94716E-05	26.9967
0.000039509	30.8765
3.95277E-05	33.2385
3.95464E-05	35.9632
0.000039565	39.1273
3.95696E-05	40.0386
3.95837E-05	42.828
3.96024E-05	47.1824
3.96211E-05	52.3421
3.96397E-05	58.4826
3.96584E-05	65.8165
3.96675E-05	70.0732
3.96771E-05	74.5931
3.96958E-05	85.0991
3.97145E-05	97.656
3.97331E-05	112.614
3.97518E-05	130.328
3.97653E-05	145.423
3.97705E-05	151.185
3.97892E-05	175.516
3.98079E-05	203.612
3.98265E-05	235.673
3.98359E-05	253.219
3.98452E-05	271.773
3.98632E-05	310.323
3.98732E-05	311.824
3.98919E-05	333.249
3.99199E-05	378.59
3.99386E-05	451.621
0.000039961	563.018
3.99666E-05	578.125
3.99946E-05	649.521
0.000040018	701.833
0.000040032	728.755
4.00575E-05	766.98
0.000040083	789.025
0.0000401	793.875
0.000040117	790.632
0.000040134	779.427
4.01567E-05	749.7
0.000040168	734.98
4.01906E-05	691.593
4.02132E-05	639.934
4.02546E-05	532.693
4.03035E-05	404.154
4.03188E-05	403.576
0.000040349	366.412
4.03641E-05	298.259
4.03791E-05	267.757
4.03942E-05	239.79
4.04014E-05	203.537
4.04093E-05	191.465
4.04244E-05	170.984
4.04395E-05	152.785
4.04503E-05	141.25
4.04546E-05	136.708
4.04696E-05	122.574
4.04847E-05	110.198
4.04992E-05	99.8107
4.05149E-05	99.3952
0.00004053	89.9847
0.000040545	81.792
4.05601E-05	74.6707
4.05752E-05	68.4722
4.05903E-05	63.0688
4.05971E-05	56.4849
4.06054E-05	54.208
4.06205E-05	50.5702
0.000040646	45.437
4.06506E-05	44.5088
4.06808E-05	39.7034
4.06949E-05	37.8842
4.07109E-05	35.823
4.07411E-05	32.6346
4.07713E-05	29.9727
4.07928E-05	28.3674
4.08014E-05	27.7209
4.08172E-05	26.7107
4.08316E-05	25.7919
4.08417E-05	25.2332
4.08618E-05	24.1236
4.08662E-05	23.9112
4.08906E-05	22.7302
4.09151E-05	21.7402
4.09396E-05	20.7605
4.09523E-05	20.2521
0.000040964	19.8787
4.09885E-05	19.1017
4.10126E-05	18.3365
4.10374E-05	17.6983
4.10619E-05	17.0697
4.10729E-05	16.786
4.10863E-05	16.5022
4.10986E-05	16.2435
4.11108E-05	15.9849
0.000041123	15.7263
4.11332E-05	15.5101
4.11475E-05	15.2587
4.11597E-05	15.0429
