E(MeV)	V-nat
1.65914E-04	1.81872E+01
1.65933E-04	1.83093E+01
1.66072E-04	1.91459E+01
1.66107E-04	1.93569E+01
1.66176E-04	1.97237E+01
1.66238E-04	2.00402E+01
1.66281E-04	2.02294E+01
1.66386E-04	2.06669E+01
1.66490E-04	2.09880E+01
1.66595E-04	2.11958E+01
1.66700E-04	2.12719E+01
1.66722E-04	2.12827E+01
1.66807E-04	2.12327E+01
1.66835E-04	2.12093E+01
1.66913E-04	2.10590E+01
1.66969E-04	2.09390E+01
1.67020E-04	2.07765E+01
1.67104E-04	2.04893E+01
1.67127E-04	2.03917E+01
1.67233E-04	1.99118E+01
1.67239E-04	1.98866E+01
1.67340E-04	1.93452E+01
1.67374E-04	1.91622E+01
1.67482E-04	1.85022E+01
1.67598E-04	1.77891E+01
1.67950E-04	1.55271E+01
1.67957E-04	1.54827E+01
1.68119E-04	1.45013E+01
1.68137E-04	1.43930E+01
1.68231E-04	1.38634E+01
1.68324E-04	1.33474E+01
1.68344E-04	1.32491E+01
1.68456E-04	1.26853E+01
1.68512E-04	1.24101E+01
1.68568E-04	1.21531E+01
1.68652E-04	1.17792E+01
1.68681E-04	1.16616E+01
1.68793E-04	1.12081E+01
1.68793E-04	1.12067E+01
1.68906E-04	1.08007E+01
1.68980E-04	1.05358E+01
1.69018E-04	1.04162E+01
1.69130E-04	1.00666E+01
1.69168E-04	9.95274E+00
1.69243E-04	9.74811E+00
1.69355E-04	9.44788E+00
1.69355E-04	9.44758E+00
1.69467E-04	9.18432E+00
1.69542E-04	9.01197E+00
1.69580E-04	8.93443E+00
1.69692E-04	8.70622E+00
1.69711E-04	8.66907E+00
1.69805E-04	8.50231E+00
1.69917E-04	8.30587E+00
1.69935E-04	8.27452E+00
1.70029E-04	8.13225E+00
1.70142E-04	7.96525E+00
1.70160E-04	7.93914E+00
1.70254E-04	7.81716E+00
1.70384E-04	7.65293E+00
1.70423E-04	7.61032E+00
1.70535E-04	7.48925E+00
