E(MeV)	"U-238(N,TOT)"
8.91997E-05	20.6375
8.93068E-05	20.2227
8.94662E-05	12.9147
8.95380E-05	10.7329
8.95997E-05	9.78034
8.96647E-05	9.34505
8.97318E-05	9.17181
8.98545E-05	9.06347
9.02327E-05	8.91569
9.11892E-05	8.61908
9.25974E-05	8.14015
9.27814E-05	8.11777
9.28864E-05	8.2212
9.30746E-05	8.6471
9.32081E-05	8.53524
9.33709E-05	8.02422
9.34802E-05	7.83819
9.36412E-05	7.72938
9.47641E-05	7.20516
9.63501E-05	6.27229
9.75088E-05	5.38126
9.77762E-05	5.2396
9.80434E-05	5.32217
9.82693E-05	4.79865
9.84490E-05	4.49842
9.90885E-05	3.79647
9.97605E-05	3.10542
1.00303E-04	2.86385
1.00527E-04	3.03105
1.00667E-04	3.30302
1.00761E-04	3.58915
1.00834E-04	3.89477
1.00908E-04	4.28447
1.00984E-04	4.81336
1.01077E-04	5.65984
1.01170E-04	6.81828
1.01281E-04	8.77622
1.01392E-04	11.6434
1.01494E-04	15.5367
1.01604E-04	21.8817
1.01705E-04	31.0545
1.01782E-04	41.7832
1.01858E-04	57.8972
1.01914E-04	76.42
1.01973E-04	107.006
1.02029E-04	155.347
1.02068E-04	210.908
1.02109E-04	301.328
1.02145E-04	425.817
1.02187E-04	639.571
1.02225E-04	933.6
1.02265E-04	1352.69
1.02309E-04	1994.87
1.02374E-04	3229.73
1.02477E-04	5293.7
1.02527E-04	5904.8
1.02577E-04	6029.28
1.02635E-04	5528.05
1.02750E-04	3364.34
1.02816E-04	2142.93
1.02868E-04	1432.49
1.02918E-04	958.701
1.02957E-04	703.257
1.03004E-04	499.841
1.03046E-04	385.555
1.03104E-04	286.234
1.03169E-04	221.298
1.03238E-04	178.67
1.03349E-04	136.396
1.03492E-04	104.491
1.03629E-04	85.4889
1.03827E-04	67.7942
1.04094E-04	53.4705
1.04408E-04	43.2949
1.04811E-04	35.374
1.05309E-04	29.4772
1.05867E-04	25.3242
1.06572E-04	21.9799
1.07518E-04	19.1403
1.08774E-04	16.733
1.10274E-04	14.7797
1.10823E-04	14.2171
1.10970E-04	14.2213
1.11179E-04	14.4302
1.11333E-04	14.1411
1.11530E-04	13.5429
1.11715E-04	13.2632
1.12828E-04	12.0849
1.13715E-04	10.9864
1.14372E-04	9.97682
1.14862E-04	9.02946
1.15249E-04	8.14063
1.15580E-04	7.33585
1.15810E-04	6.92548
1.16022E-04	7.2141
1.16142E-04	8.40206
1.16202E-04	9.814
1.16246E-04	11.719
1.16281E-04	14.1179
1.16311E-04	17.4247
1.16340E-04	22.1356
1.16368E-04	29.1195
1.16394E-04	38.7273
1.16425E-04	55.2603
1.16452E-04	77.2205
1.16490E-04	122.102
1.16519E-04	175.039
1.16553E-04	259.136
1.16588E-04	376.431
1.16636E-04	604.818
1.16701E-04	1016.07
1.16808E-04	1750.68
1.16874E-04	1999.48
1.16928E-04	1990.82
1.16990E-04	1745.72
1.17105E-04	986.691
1.17170E-04	604.767
1.17214E-04	418.341
1.17257E-04	285.175
1.17297E-04	202.276
1.17340E-04	144.67
1.17386E-04	105.722
1.17431E-04	83.6709
1.17491E-04	66.6696
1.17565E-04	54.9848
1.17656E-04	46.6466
1.17790E-04	39.2313
1.17980E-04	32.9502
1.18205E-04	28.5382
1.18504E-04	24.9886
1.18864E-04	22.3689
1.19067E-04	21.4695
1.19342E-04	20.7116
1.19594E-04	19.5613
1.19818E-04	18.8563
1.20545E-04	17.4615
1.21551E-04	16.2599
1.22971E-04	15.2292
1.24341E-04	14.5713
1.24548E-04	14.509
1.24649E-04	14.5445
1.24736E-04	14.6883
1.24904E-04	15.3673
1.25052E-04	15.6891
1.25252E-04	14.8491
1.25367E-04	14.4043
1.25448E-04	14.2446
1.25542E-04	14.1555
1.25751E-04	14.0653
1.27565E-04	13.5636
1.31523E-04	12.8128
1.32710E-04	12.6331
1.32854E-04	12.629
1.32954E-04	12.6589
1.33064E-04	12.764
1.33271E-04	13.0566
1.33425E-04	12.962
1.33616E-04	12.6295
1.33722E-04	12.5334
1.33824E-04	12.4922
1.34035E-04	12.455
1.35368E-04	12.2772
1.35589E-04	12.2557
1.35714E-04	12.2652
1.35923E-04	12.3409
1.36057E-04	12.3468
1.36273E-04	12.2214
1.36402E-04	12.1628
1.36543E-04	12.132
1.37728E-04	11.991
1.41595E-04	11.546
1.43181E-04	11.3387
1.43962E-04	11.2156
1.44428E-04	11.1134
1.44718E-04	11.0308
1.44899E-04	10.9866
1.45009E-04	11.0311
1.45075E-04	11.1838
1.45135E-04	11.6127
1.45192E-04	12.5687
1.45254E-04	14.712
1.45324E-04	19.4202
1.45399E-04	28.2097
1.45536E-04	51.773
1.45651E-04	64.4729
1.45754E-04	59.7049
1.45875E-04	40.41
1.45985E-04	24.4536
1.46066E-04	17.5803
1.46128E-04	14.8181
1.46177E-04	13.5965
1.46231E-04	12.8336
1.46302E-04	12.3301
1.46388E-04	12.0566
1.46530E-04	11.8273
1.46789E-04	11.6142
1.47160E-04	11.4474
1.47723E-04	11.3011
1.48783E-04	11.1256
1.50858E-04	10.8793
1.51608E-04	10.7995
1.51804E-04	10.7919
1.51894E-04	10.8116
1.51966E-04	10.8691
1.52044E-04	11.0292
1.52131E-04	11.4196
1.52323E-04	13.117
1.52488E-04	13.7621
1.52704E-04	11.9561
1.52823E-04	11.122
1.52895E-04	10.8658
1.52964E-04	10.7408
1.53032E-04	10.6815
1.53135E-04	10.6435
1.53383E-04	10.6048
1.54474E-04	10.4809
1.57496E-04	10.1407
1.58230E-04	10.0533
1.58363E-04	10.0523
1.58455E-04	10.0813
1.58545E-04	10.1646
1.58695E-04	10.486
1.58901E-04	10.8586
1.59123E-04	10.3857
1.59264E-04	10.0661
1.59358E-04	9.96066
1.59466E-04	9.90848
1.59591E-04	9.87963
1.60589E-04	9.71745
1.62048E-04	9.45541
1.62931E-04	9.24205
1.63575E-04	9.02247
1.63897E-04	8.89512
1.64218E-04	8.79691
1.64483E-04	8.60433
1.64595E-04	8.65282
1.64670E-04	9.03411
1.64743E-04	10.2476
1.64802E-04	12.6819
1.64852E-04	16.5669
1.64910E-04	24.658
1.64964E-04	36.8568
1.65028E-04	58.1269
1.65112E-04	96.2098
1.65250E-04	157.507
1.65333E-04	168.504
1.65419E-04	150.806
1.65565E-04	84.6314
1.65661E-04	47.459
1.65728E-04	31.0731
1.65778E-04	23.3851
1.65834E-04	18.1511
1.65887E-04	15.2471
1.65945E-04	13.4934
1.66013E-04	12.4158
1.66098E-04	11.7367
1.66240E-04	11.1414
1.66502E-04	10.5632
1.66874E-04	10.1329
1.67449E-04	9.74686
1.68114E-04	9.47005
1.69472E-04	9.08029
1.71719E-04	8.52316
1.72502E-04	8.34485
1.72655E-04	8.34127
1.72763E-04	8.41801
1.72871E-04	8.68077
1.72991E-04	9.31349
1.73225E-04	10.5773
1.73378E-04	10.0182
1.73589E-04	8.5838
1.73692E-04	8.22937
1.73789E-04	8.07575
1.73911E-04	7.99424
1.74231E-04	7.89048
1.76125E-04	7.32698
1.78684E-04	6.37255
1.80767E-04	5.34276
1.82317E-04	4.35775
1.83662E-04	3.31101
1.84497E-04	2.58693
1.85236E-04	1.95063
1.85781E-04	1.56719
1.86108E-04	1.4372
1.86335E-04	1.42991
1.86486E-04	1.48216
1.86603E-04	1.56332
1.86690E-04	1.65311
