E(MeV)	mcnp/Mn55:1
0.001656793	129.1615
0.001657196	152.3988857
0.001657331	159.2630891
0.001657532	168.0621384
0.0016577	173.8016956
0.00165795	179.1218896
0.00165805	180.0809095
0.00165835	178.8421258
0.001658515	175.6294937
0.001658687	170.5677822
0.001658975	158.8839766
0.001659435	135.2098863
0.001659665	122.7233598
0.00166001	105.0161789
0.001660125	99.61625409
0.001660355	89.78390351
0.00166047	85.3867168
0.001660585	81.34407715
0.0016607	77.65286093
0.001660815	74.30377222
0.00166093	71.28257299
0.001661045	68.57127708
0.00166116	66.14925656
0.001661275	63.99424036
0.00166139	62.08318023
0.001661505	60.39297672
0.00166162	58.90106378
0.001661735	57.58585989
0.00166185	56.42709232
0.001661965	55.40601298
0.00166208	54.50551697
0.001662195	53.71018678
0.00166231	53.0062716
0.001662425	52.38162335
0.00166254	51.82559634
0.00166277	50.88361883
0.001663	50.12050188
0.00166323	49.49226228
0.00166346	48.96693006
0.00166369	48.52134423
0.00166392	48.13866361
0.00166415	47.80651701
0.00166438	47.51568085
0.00166484	47.03152524
0.0016653	46.64675308
0.00166576	46.33623508
0.00166622	46.08297898
0.00166668	45.87494408
0.00166714	45.70327119
0.0016676	45.56124209
0.00166852	45.34643611
0.00166944	45.20095538
0.00167036	45.10630237
0.00167128	45.0503073
0.0016722	45.02441783
0.001673121	45.02247081
0.001674041	45.03999557
0.001674961	45.07350333
0.001676801	45.17693344
0.001678641	45.3167182
0.001680482	45.48445237
0.001682322	45.67378858
0.001684162	45.8812815
0.001687843	46.33434989
0.001691523	46.8255431
0.001695204	47.34871038
0.001702565	48.46305935
0.001709926	49.64995059
0.001717287	50.90144816
0.001732009	53.57194568
0.001746731	56.46287686
0.001776175	62.92484092
0.001805618	70.40601404
0.001835062	79.09784432
0.001864506	89.24281902
0.00189395	101.1463736
0.001923393	115.1895068
0.001952837	131.8477768
0.001982281	151.707424
0.002011725	175.4846107
0.002041168	204.0319184
0.002070612	238.3242984
0.002100056	279.3768492
0.0021295	328.0448366
0.002154187	374.9969251
0.002178875	427.164501
0.00222825	539.9665041
0.002252937	593.3091348
0.002277625	637.3657662
0.002302312	666.1683906
0.002327	675.3844486
0.002351687	663.8904719
0.002376375	634.1697976
0.002401062	591.2319667
0.002475125	437.1520463
0.002499812	389.5037917
0.0025245	346.4726634
0.002547554	310.7078175
0.002570608	279.0778503
0.002593662	251.2607871
0.002616716	226.8637745
0.00263977	205.4805062
0.002662824	186.7243364
0.002685878	170.243879
0.002708932	155.7284197
0.002731986	142.9077765
0.00275504	131.5494007
0.002778094	121.4543283
0.002801148	112.4645178
0.002847256	97.19459037
0.002893365	84.80919403
0.002939473	74.65272766
0.002985581	66.23009184
0.003031689	59.17266925
0.003077798	53.20249935
0.003123906	48.10794735
0.003170014	43.7254239
0.003216122	39.92746054
0.003262231	36.61354722
0.003308339	33.70390381
0.003354447	31.136171
0.003446663	26.82001254
0.003538879	23.35028746
0.003631096	20.51515907
0.003723312	18.16399988
0.003815529	16.18890946
0.003953853	13.7610484
0.003988434	13.23391205
0.003994198	13.14972986
0.003995639	13.13350245
0.00399708	13.12891103
0.003998521	13.13613815
0.003999962	13.13170315
0.004000038	13.1305986
0.004001216	13.10182207
0.004002395	13.0613089
0.004003573	13.02526524
0.004004752	12.9990238
0.004007109	12.96155294
0.004009467	12.92798802
0.004075473	12.02914027
0.004226343	10.26722219
0.00427349	9.786243986
0.00428292	9.693742817
0.004292349	9.603666275
0.004294706	9.583405313
0.004295885	9.577544314
0.004297064	9.584094431
0.004297653	9.597261586
0.004298242	9.620409498
0.004298831	9.65504457
0.004299421	9.700350918
0.0043006	9.801478646
0.004301336	9.84583647
0.004301944	9.8565498
0.004302221	9.852115005
0.004302686	9.831758863
0.004303152	9.797311005
0.004303463	9.768483396
0.004304706	9.638210327
0.004305327	9.581236486
