E(MeV)	Hf-179
5.61631E-06	5643.32
5.62193E-06	6226.43
5.62360E-06	6399.79
5.63317E-06	7416.93
5.63671E-06	7792.81
5.64154E-06	8281.83
5.64370E-06	8500.19
5.64803E-06	8905.14
5.64895E-06	8990.3
5.65303E-06	9334.63
5.65386E-06	9404.36
5.65802E-06	9710.88
5.65860E-06	9753.31
5.66318E-06	10033.5
5.66335E-06	10043.5
5.66834E-06	10277.1
5.66868E-06	10287.7
5.67334E-06	10430.7
5.67367E-06	10435.8
5.67747E-06	10489.4
5.67820E-06	10499
5.67973E-06	10503.4
5.68200E-06	10486.4
5.68463E-06	10464.2
5.68500E-06	10455.6
5.68932E-06	10349.2
5.68966E-06	10337
5.69265E-06	10223.2
5.69465E-06	10125.4
5.69698E-06	10008.9
5.69865E-06	9906.47
5.70131E-06	9740.48
5.70264E-06	9642.66
5.70643E-06	9361.53
5.70714E-06	9301.83
5.71155E-06	8926
5.71263E-06	8826.38
5.71497E-06	8610.16
5.71813E-06	8296.79
5.72246E-06	7865.31
5.72620E-06	7474.02
5.74036E-06	5990.59
5.74494E-06	5530.21
5.74660E-06	5363.34
5.75118E-06	4929.35
5.75284E-06	4772.2
5.75763E-06	4348.81
5.75784E-06	4330.49
5.76200E-06	3988.27
5.76283E-06	3920.12
5.76637E-06	3649.32
5.76658E-06	3633.47
5.77074E-06	3337.24
5.77095E-06	3322.51
5.77511E-06	3050.09
5.77532E-06	3036.54
5.77844E-06	2849.49
5.77969E-06	2775.04
5.78219E-06	2638.61
5.78406E-06	2536.85
5.78594E-06	2442.52
5.78698E-06	2390.41
5.78968E-06	2263.1
5.78989E-06	2253.37
5.79322E-06	2107.82
5.79343E-06	2099.37
5.79655E-06	1973.38
5.79717E-06	1949.99
5.79988E-06	1849.29
5.80092E-06	1813.37
5.80321E-06	1734.85
5.80467E-06	1688.54
5.80654E-06	1629.4
5.80862E-06	1568.51
5.80987E-06	1532.23
5.81278E-06	1453.82
5.81320E-06	1442.7
5.81653E-06	1360.26
5.81695E-06	1350.8
5.82069E-06	1266.25
5.82111E-06	1257.7
5.82485E-06	1181.3
5.82527E-06	1173.56
5.82902E-06	1104.43
5.82943E-06	1097.42
5.83318E-06	1034.78
5.83360E-06	1028.42
5.83734E-06	971.558
5.83776E-06	965.769
5.84150E-06	914.106
5.84317E-06	893.03
5.84567E-06	861.689
5.84817E-06	832.866
5.84983E-06	813.804
5.85316E-06	778.635
5.85389E-06	771
5.85795E-06	731.646
5.85815E-06	729.796
5.86315E-06	685.759
5.86336E-06	683.939
5.86877E-06	641.014
5.86981E-06	633.494
5.87418E-06	602.219
5.87647E-06	587.246
5.87959E-06	567.02
5.88313E-06	546.005
5.88500E-06	534.978
5.88979E-06	509.068
5.89041E-06	505.719
5.89645E-06	476.004
5.89728E-06	472.262
5.90311E-06	446.335
5.90561E-06	436.202
5.90977E-06	419.485
5.91393E-06	404.19
5.91643E-06	395.101
5.92226E-06	375.638
5.92309E-06	372.883
5.92975E-06	352.597
5.93058E-06	350.256
5.93641E-06	334.019
5.93891E-06	327.577
5.94307E-06	316.937
5.94723E-06	307.111
5.95056E-06	299.332
5.95889E-06	281.489
5.95972E-06	279.853
5.96721E-06	265.32
5.97221E-06	256.414
5.97554E-06	250.547
5.98386E-06	237.032
5.98469E-06	235.783
5.99219E-06	224.671
5.99718E-06	217.81
6.00051E-06	213.285
6.00884E-06	202.786
6.00967E-06	201.812
6.01800E-06	192.182
6.02216E-06	187.737
6.02798E-06	181.592
6.03797E-06	171.879
6.03964E-06	170.382
6.04797E-06	162.992
6.05296E-06	158.882
6.05795E-06	154.824
6.06794E-06	147.287
6.07294E-06	143.778
6.07794E-06	140.322
6.09292E-06	130.812
6.10582E-06	123.461
6.11290E-06	119.752
6.11873E-06	116.74
6.13163E-06	110.589
6.13288E-06	110.039
6.14454E-06	104.971
6.15328E-06	101.448
6.15744E-06	99.792
6.17034E-06	95.0246
6.17367E-06	93.8788
6.18325E-06	90.6274
6.19407E-06	87.1984
6.19615E-06	86.5488
6.21072E-06	82.3181
6.22466E-06	78.5569
6.22529E-06	78.3914
6.23986E-06	74.7995
6.25442E-06	71.4497
6.25526E-06	71.2736
6.27628E-06	66.9072
6.28585E-06	65.1033
6.29813E-06	62.8286
6.31270E-06	60.3351
6.31686E-06	59.6702
6.33143E-06	57.3761
6.33768E-06	56.4648
6.35016E-06	54.6709
6.36889E-06	52.1721
6.37930E-06	50.8792
6.38763E-06	49.8662
6.40636E-06	47.7406
6.42093E-06	46.2196
6.43445E-06	44.8353
6.46255E-06	42.2271
6.48534E-06	40.3222
6.50814E-06	38.5519
6.53093E-06	36.9368
6.55373E-06	35.4295
6.57652E-06	34.0482
6.59931E-06	32.7746
6.61071E-06	32.1524
6.64490E-06	30.4542
6.66834E-06	29.3901
6.68006E-06	28.8726
6.71521E-06	27.4521
6.73865E-06	26.5819
6.75037E-06	26.1585
6.78552E-06	24.9893
6.80896E-06	24.2689
6.82068E-06	23.9181
6.85649E-06	22.9262
6.88059E-06	22.3072
6.89264E-06	22.0067
6.92879E-06	21.1698
6.96494E-06	20.3901
6.97699E-06	20.1471
7.00108E-06	19.6777
7.04996E-06	18.7972
7.07474E-06	18.3874
7.09952E-06	17.9911
7.14907E-06	17.2624
7.17385E-06	16.9259
7.19863E-06	16.6002
7.24889E-06	15.9891
7.27436E-06	15.7017
7.29984E-06	15.4253
7.35080E-06	14.912
7.40175E-06	14.4337
7.42723E-06	14.2104
7.45342E-06	13.9913
