E(MeV)	"AL-27(N,TOT)"
5.89942E-03	83.5215
5.90013E-03	87.9109
5.90039E-03	89.3741
5.90096E-03	92.5312
5.90126E-03	94.0344
5.90161E-03	95.7429
5.90191E-03	97.0208
5.90225E-03	98.4715
5.90256E-03	99.4883
5.90290E-03	100.639
5.90321E-03	101.364
5.90355E-03	102.18
5.90385E-03	102.642
5.90398E-03	102.835
5.90450E-03	103.141
5.90466E-03	103.229
5.90468E-03	103.238
5.90523E-03	102.983
5.90524E-03	102.965
5.90582E-03	102.147
5.90593E-03	101.88
5.90641E-03	100.756
5.90658E-03	100.193
5.90706E-03	98.6285
5.90723E-03	97.9147
5.90771E-03	95.9376
5.90788E-03	95.0866
5.90844E-03	92.3048
5.90874E-03	90.5919
5.90935E-03	87.1513
5.90961E-03	85.5239
5.91056E-03	79.5398
5.91091E-03	77.2839
5.91264E-03	65.9967
5.91272E-03	65.4331
5.91350E-03	60.5822
5.91359E-03	60.0442
5.91437E-03	55.4615
5.91445E-03	54.9535
5.91523E-03	50.6892
5.91532E-03	50.2166
5.91588E-03	47.3534
5.91597E-03	46.9139
5.91653E-03	44.2402
5.91662E-03	43.8299
5.91718E-03	41.3441
5.91727E-03	40.9626
5.91783E-03	38.6593
5.91791E-03	38.3059
5.91848E-03	36.1774
5.91856E-03	35.8509
5.91913E-03	33.8876
5.91921E-03	33.5865
5.91977E-03	31.778
5.91986E-03	31.5006
5.92042E-03	29.8361
5.92051E-03	29.5807
5.92107E-03	28.0491
5.92116E-03	27.8142
5.92172E-03	26.4049
5.92181E-03	26.1887
5.92237E-03	24.8915
5.92246E-03	24.6925
5.92302E-03	23.4977
5.92311E-03	23.3144
5.92354E-03	22.4563
5.92367E-03	22.218
5.92432E-03	21.0301
5.92440E-03	20.8722
5.92518E-03	19.5895
5.92527E-03	19.4474
5.92605E-03	18.2912
5.92613E-03	18.1632
5.92691E-03	17.1188
5.92700E-03	17.0031
5.92778E-03	16.0575
5.92786E-03	15.9528
5.92864E-03	15.0947
5.92873E-03	14.9996
5.92951E-03	14.2191
5.92959E-03	14.1326
5.93037E-03	13.421
