E(MeV)	j33-k300/In115K3:1
1.93038E-06	237.455
1.93298E-06	234.913
1.93665E-06	231.323
1.94031E-06	227.733
1.94327E-06	224.837
1.9452E-06	223.095
1.95009E-06	218.687
1.95498E-06	214.278
1.95616E-06	213.215
1.95987E-06	210.127
1.96476E-06	206.058
1.96904E-06	202.49
1.96965E-06	202.033
1.97453E-06	198.322
1.97942E-06	194.61
1.98431E-06	190.898
1.98662E-06	189.148
1.9892E-06	187.373
1.99531E-06	183.175
2.00081E-06	179.397
2.00331E-06	177.68
2.00631E-06	175.804
2.01365E-06	171.218
2.02001E-06	167.24
2.02098E-06	166.686
2.02831E-06	162.499
2.03565E-06	158.312
2.0367E-06	157.709
2.04298E-06	154.43
2.05031E-06	150.598
2.0534E-06	148.987
2.05765E-06	146.922
2.06453E-06	143.578
2.06498E-06	143.375
2.07476E-06	139.007
2.08453E-06	134.638
2.08679E-06	133.632
2.09431E-06	130.618
2.10409E-06	126.702
2.10905E-06	124.718
2.11387E-06	122.981
2.12365E-06	119.458
2.13131E-06	116.699
2.13342E-06	116.01
2.1432E-06	112.831
2.15298E-06	109.652
2.15357E-06	109.461
2.16276E-06	106.762
2.177E-06	102.58
2.17742E-06	102.466
2.19209E-06	98.5734
2.20043E-06	96.3606
2.20676E-06	94.8374
2.21947E-06	91.7788
2.22386E-06	90.7225
2.23218E-06	88.9021
2.24489E-06	86.1214
2.24729E-06	85.5966
2.26396E-06	82.2726
2.27072E-06	80.9238
2.28302E-06	78.6815
2.29415E-06	76.6533
2.30209E-06	75.3279
2.31758E-06	72.7413
2.31822E-06	72.6431
2.33778E-06	69.6456
2.34102E-06	69.1498
2.35734E-06	66.894
2.37616E-06	64.2921
2.37689E-06	64.2027
2.39645E-06	61.8076
2.41131E-06	59.9874
2.416E-06	59.476
2.43556E-06	57.3453
2.44646E-06	56.1581
2.46489E-06	54.3651
2.4816E-06	52.7401
2.48934E-06	52.067
2.51378E-06	49.9399
2.51675E-06	49.6816
2.53823E-06	47.9892
2.54561E-06	47.4074
2.57489E-06	45.306
2.57989E-06	44.9471
2.61156E-06	42.8923
2.61418E-06	42.7223
2.64823E-06	40.7277
2.68275E-06	40.7137
2.68489E-06	38.7912
2.71704E-06	37.2426
2.72156E-06	37.0449
2.75132E-06	35.7446
2.75823E-06	35.4781
2.80275E-06	33.7598
2.80712E-06	33.6128
2.84229E-06	32.428
2.85601E-06	32.0198
2.88184E-06	31.2509
2.91645E-06	30.3477
2.92138E-06	30.219
2.96092E-06	29.3257
2.97689E-06	29.0195
3.00046E-06	28.5673
3.03733E-06	27.9848
3.04001E-06	27.9425
3.07955E-06	27.4531
3.09777E-06	27.294
3.11909E-06	27.1078
3.16412E-06	26.9111
3.17836E-06	26.8973
3.17913E-06	26.8966
3.21385E-06	26.9712
3.24856E-06	27.2169
3.26773E-06	27.4662
3.28327E-06	27.6682
3.30642E-06	28.1057
3.32956E-06	28.6738
3.3527E-06	29.3961
3.35711E-06	29.5661
3.37241E-06	30.1557
3.39682E-06	31.3187
3.4131E-06	32.2571
3.42938E-06	33.3513
3.44565E-06	34.6289
3.44649E-06	34.7057
3.46193E-06	36.1249
3.4782E-06	37.883
3.49041E-06	39.407
3.50465E-06	41.4504
3.51483E-06	43.1149
3.525E-06	44.9792
3.53517E-06	47.0741
3.53586E-06	47.2355
3.54534E-06	49.437
3.55552E-06	52.1133
3.56569E-06	55.1591
3.57332E-06	57.7269
3.57993E-06	60.1789
3.58807E-06	63.5278
3.59621E-06	67.2993
3.60434E-06	71.5673
3.61045E-06	75.148
3.61655E-06	79.1047
3.62036E-06	81.8419
3.62265E-06	83.4915
3.62876E-06	88.3725
3.63486E-06	93.8233
3.64096E-06	99.9331
3.64605E-06	105.603
3.64852E-06	108.653
3.65114E-06	111.876
3.65622E-06	118.83
3.66131E-06	126.559
3.6664E-06	135.166
3.67148E-06	144.769
3.67657E-06	155.497
3.68038E-06	164.367
3.6842E-06	174.014
3.68801E-06	184.507
3.69183E-06	195.916
3.69564E-06	208.314
3.69946E-06	221.775
3.70327E-06	236.371
3.70709E-06	252.173
3.7109E-06	269.247
3.71471E-06	287.653
3.71853E-06	307.442
3.72234E-06	328.654
3.7273E-06	358.394
3.72832E-06	365.011
3.73226E-06	390.583
3.73722E-06	425.166
3.74218E-06	462.015
3.74879E-06	514.291
3.75642E-06	578.13
3.77422E-06	731.766
3.78185E-06	793.792
3.78694E-06	831.807
3.79203E-06	866.163
3.79711E-06	896.056
3.8022E-06	920.755
3.80728E-06	939.639
3.80812E-06	941.712
3.81237E-06	952.224
3.81746E-06	958.184
0.00000382	958.625
3.82458E-06	955.145
3.82916E-06	946.251
3.83373E-06	932.141
3.83831E-06	913.12
3.84365E-06	885.264
3.84899E-06	852.049
3.85255E-06	827.36
3.85967E-06	773.139
3.86679E-06	714.38
3.86797E-06	704.321
3.88714E-06	540.712
3.89477E-06	479.457
3.89985E-06	441.031
3.90494E-06	404.85
3.9099E-06	371.894
3.91473E-06	342.066
3.91956E-06	314.508
3.9244E-06	289.189
3.92782E-06	272.772
3.92923E-06	266.037
3.93406E-06	244.955
3.93768E-06	230.429
3.94131E-06	216.945
3.94493E-06	204.442
3.94868E-06	192.471
3.9525E-06	181.242
3.95631E-06	170.896
3.96013E-06	161.367
3.96394E-06	152.59
3.96772E-06	144.683
3.96903E-06	141.952
3.97411E-06	132.406
3.9792E-06	123.828
3.98429E-06	116.108
3.98963E-06	108.815
3.99522E-06	101.96
4.00082E-06	95.8067
4.00641E-06	90.2665
4.01201E-06	85.2628
4.01466E-06	83.1104
4.0176E-06	80.7294
4.0232E-06	76.6093
4.02879E-06	72.8537
4.03667E-06	68.0999
4.0443E-06	64.0158
4.05193E-06	60.3652
4.05956E-06	57.0874
4.0616E-06	56.2968
4.06719E-06	54.1319
4.07482E-06	51.4567
4.08245E-06	49.0265
4.09262E-06	46.1163
4.09681E-06	45.0521
4.1028E-06	43.5302
4.11297E-06	41.2206
4.12314E-06	39.1484
4.13201E-06	37.5195
4.13331E-06	37.2812
4.14349E-06	35.5921
4.15366E-06	34.0585
4.16605E-06	32.3943
4.16892E-06	32.0087
4.18418E-06	30.2138
4.19773E-06	28.8068
4.19918E-06	28.6565
4.21368E-06	27.3174
4.21886E-06	26.8885
4.22817E-06	26.117
4.23998E-06	25.2364
4.24267E-06	25.0359
4.2611E-06	23.8119
4.262E-06	23.7526
4.28132E-06	22.6225
4.28223E-06	22.5757
4.29807E-06	21.7547
4.30065E-06	21.6208
4.31391E-06	21.0083
4.31998E-06	20.728
4.32917E-06	20.3477
4.33931E-06	19.928
4.34325E-06	19.7822
4.35733E-06	19.2613
4.36169E-06	19.1002
4.37141E-06	18.782
4.3855E-06	18.3212
4.38712E-06	18.2682
4.39958E-06	17.908
4.40897E-06	17.6366
4.41255E-06	17.5331
4.41835E-06	17.3838
4.42774E-06	17.1425
4.43713E-06	16.9012
4.43798E-06	16.8794
4.44652E-06	16.6881
4.45591E-06	16.4778
4.46295E-06	16.3201
4.46999E-06	16.1624
4.47613E-06	16.0249
4.47797E-06	15.9895
4.48454E-06	15.8635
4.49111E-06	15.7375
4.49768E-06	15.6114
4.50426E-06	15.4854
4.50919E-06	15.3909
4.51411E-06	15.2963
4.51904E-06	15.2141
4.52397E-06	15.1323
4.5296E-06	15.0388
4.5343E-06	14.9609
4.53899E-06	14.883
4.54369E-06	14.8051
4.54838E-06	14.7272
4.55242E-06	14.6602
4.55307E-06	14.6507
4.55777E-06	14.583
4.56246E-06	14.5152
4.56716E-06	14.4475
4.57185E-06	14.3798
4.57655E-06	14.312
4.58124E-06	14.2443
4.58593E-06	14.1765
4.59063E-06	14.1088
4.59311E-06	14.073
4.59532E-06	14.0451
4.60002E-06	13.9859
4.60401E-06	13.9356
4.60893E-06	13.8735
4.61386E-06	13.8113
4.61879E-06	13.7492
4.62536E-06	13.6663
4.62865E-06	13.6249
4.6338E-06	13.56
4.65212E-06	13.362
4.65916E-06	13.2859
4.6662E-06	13.2098
4.67184E-06	13.149
4.67747E-06	13.0881
4.6831E-06	13.0272
4.68873E-06	12.9663
4.69437E-06	12.9055
0.0000047	12.8533
4.70469E-06	12.8105
4.70939E-06	12.7677
4.71408E-06	12.7249
