E(MeV)	mcnp/Pb-207:1
1.03210E-02	10.34249281
1.04567E-02	10.33578535
1.07281E-02	10.32393768
1.12708E-02	10.30039981
1.16778E-02	10.28288448
1.19492E-02	10.27181613
1.20170E-02	10.26935241
1.21527E-02	10.26591009
1.21866E-02	10.26591449
1.22205E-02	10.26695205
1.22544E-02	10.27035584
1.22714E-02	10.27415123
1.22968E-02	10.28711067
1.23138E-02	10.31058454
1.23180E-02	10.32133583
1.23265E-02	10.3578265
1.23308E-02	10.39036989
1.23350E-02	10.44187496
1.23371E-02	10.48044503
1.23392E-02	10.53451637
1.23414E-02	10.61236376
1.23435E-02	10.7299354
1.23456E-02	10.92422846
1.23467E-02	11.07456506
1.23477E-02	11.28780454
1.23488E-02	11.60995968
1.23493E-02	11.84047733
1.23498E-02	12.14676656
1.23504E-02	12.56884723
1.23509E-02	13.1720255
1.23514E-02	14.05945061
1.23520E-02	15.3840201
1.23522E-02	16.25423963
1.23525E-02	17.35099552
1.23528E-02	18.62279057
1.23530E-02	20.19742474
1.23533E-02	21.98273447
1.23536E-02	24.13396128
1.23538E-02	26.4975372
1.23541E-02	29.24542685
1.23543E-02	32.14610373
1.23547E-02	36.97943494
1.23554E-02	45.22347693
1.23558E-02	49.74629129
1.23562E-02	53.37639562
1.23567E-02	56.06966444
1.23570E-02	56.50606893
1.23572E-02	56.27739483
1.23577E-02	53.95684158
1.23581E-02	50.93747342
1.23585E-02	46.61756905
1.23595E-02	33.43883848
1.23597E-02	31.784131
1.23599E-02	28.7703536
1.23602E-02	26.12773921
1.23605E-02	23.68132873
1.23607E-02	21.54715939
1.23610E-02	19.71770991
1.23613E-02	18.22569963
1.23615E-02	16.92971069
1.23618E-02	15.86069671
1.23621E-02	14.98598091
1.23626E-02	13.71546112
1.23631E-02	12.85759639
1.23637E-02	12.29165262
1.23642E-02	11.89205187
1.23653E-02	11.39525113
1.23664E-02	11.10100923
1.23674E-02	10.90858917
1.23685E-02	10.77472939
1.23706E-02	10.60516663
1.23728E-02	10.50517494
1.23749E-02	10.44047798
1.23771E-02	10.39656025
1.23792E-02	10.36596336
1.23835E-02	10.32636395
1.23878E-02	10.30232742
1.23920E-02	10.28732342
1.24006E-02	10.27004824
1.24091E-02	10.26083164
1.24263E-02	10.25202666
1.24434E-02	10.24797471
1.24605E-02	10.24571813
1.24947E-02	10.24308604
1.25632E-02	10.23974591
1.26317E-02	10.236846
1.27686E-02	10.2310598
1.29055E-02	10.22513964
1.34532E-02	10.20083048
1.45486E-02	10.15293858
1.53702E-02	10.12560739
1.57810E-02	10.12740932
1.61233E-02	10.17055553
1.63287E-02	10.2827377
1.64314E-02	10.44033709
1.64827E-02	10.59390052
1.65341E-02	10.86562301
1.65854E-02	11.41111973
1.66111E-02	11.91630709
1.66282E-02	12.42850786
1.66368E-02	12.76721362
1.66539E-02	13.70149229
1.66624E-02	14.35401156
1.66710E-02	15.19694251
1.66753E-02	15.71451798
1.66838E-02	17.01304401
1.66924E-02	18.80224477
1.66967E-02	19.9593231
1.67010E-02	21.35363602
1.67052E-02	23.05159156
1.67095E-02	25.14296303
1.67138E-02	27.74964147
1.67181E-02	31.01046825
1.67202E-02	32.95656867
1.67245E-02	37.71222002
1.67266E-02	40.60218847
1.67288E-02	43.90512053
1.67309E-02	47.68489551
1.67331E-02	52.01093258
1.67352E-02	56.95464885
1.67373E-02	62.58294287
1.67395E-02	68.94488407
1.67418E-02	76.64093139
1.67534E-02	119.1216876
1.67557E-02	123.994034
1.67580E-02	125.809672
1.67603E-02	124.2992701
1.67626E-02	119.6751208
1.67649E-02	112.6193077
1.67742E-02	77.27423086
1.67765E-02	69.47272463
1.67796E-02	60.47648659
1.67827E-02	52.91161997
1.67858E-02	46.67730469
1.67888E-02	41.52740167
1.67919E-02	37.29620862
1.67950E-02	33.78343056
1.67981E-02	30.86108183
1.68011E-02	28.41446985
1.68042E-02	26.35872946
1.68073E-02	24.60849793
1.68104E-02	23.11375154
1.68165E-02	20.72186233
1.68196E-02	19.75576522
1.68258E-02	18.17742688
1.68319E-02	16.94932023
1.68381E-02	15.96541894
1.68442E-02	15.17485294
1.68565E-02	13.99602898
1.68750E-02	12.85575986
1.68996E-02	11.96271554
1.69242E-02	11.42771558
1.69612E-02	10.95690075
1.69981E-02	10.68494952
1.70720E-02	10.39806861
1.72689E-02	10.14046673
1.74659E-02	10.05870544
1.79583E-02	9.981480266
1.91400E-02	9.892265451
2.22914E-02	9.672901815
2.54427E-02	9.40206079
2.70184E-02	9.235641763
2.82002E-02	9.094963078
2.86926E-02	9.039741974
2.89880E-02	9.03122226
2.90865E-02	9.053474782
2.91603E-02	9.105014963
2.92219E-02	9.220281242
2.92773E-02	9.533860799
2.92896E-02	9.682912793
2.93081E-02	10.04433921
2.93234E-02	10.59460445
2.93327E-02	11.1549211
2.93388E-02	11.70334498
2.93419E-02	12.05800956
2.93481E-02	13.00515798
2.93511E-02	13.64817529
2.93558E-02	14.9318826
2.93573E-02	15.47822901
2.93604E-02	16.81627516
2.93634E-02	18.609762
2.93650E-02	19.73890145
2.93665E-02	21.070992
2.93681E-02	22.65502005
2.93696E-02	24.55431134
2.93711E-02	26.83447904
2.93727E-02	29.63048912
2.93742E-02	33.06355991
2.93758E-02	37.30171905
2.93773E-02	42.54525614
2.93788E-02	49.00930835
2.93796E-02	52.7584683
