E(MeV)	"ENDF/B-VIII.b5: SE-80(N,TOT)"
1.58707E-03	0.0910284
1.58840E-03	0.086947
1.59060E-03	0.0804966
1.59281E-03	0.074424
1.59487E-03	0.0690952
1.59671E-03	0.0646214
1.59818E-03	0.0612412
1.59943E-03	0.0585223
1.59965E-03	0.0580461
1.60090E-03	0.0554939
1.60208E-03	0.053217
1.60326E-03	0.0510633
1.60443E-03	0.0490338
1.60539E-03	0.0474785
1.60627E-03	0.0461206
1.60716E-03	0.0448384
1.60804E-03	0.0436323
1.60881E-03	0.0426399
1.60955E-03	0.0417502
1.61028E-03	0.0409151
1.61102E-03	0.0401353
1.61172E-03	0.0394463
1.61223E-03	0.0389746
1.61236E-03	0.0388591
1.61288E-03	0.0384286
1.61337E-03	0.0380403
1.61381E-03	0.0377175
1.61425E-03	0.0374159
1.61470E-03	0.0371356
1.61512E-03	0.0368872
1.61549E-03	0.0366873
1.61585E-03	0.0365025
1.61622E-03	0.0363328
1.61657E-03	0.0361858
1.61687E-03	0.0360727
1.61716E-03	0.0359694
1.61745E-03	0.0358761
1.61774E-03	0.0357951
1.61800E-03	0.0357301
1.61825E-03	0.0356728
1.61845E-03	0.0356349
1.61864E-03	0.0356014
1.61882E-03	0.0355748
1.61898E-03	0.0355529
1.61915E-03	0.0355343
1.61931E-03	0.035519
1.61948E-03	0.0355068
1.61965E-03	0.0354978
1.61983E-03	0.035492
1.62001E-03	0.03549
1.62019E-03	0.0354919
1.62031E-03	0.0354953
1.62042E-03	0.0355004
1.62059E-03	0.0355104
1.62073E-03	0.0355212
1.62087E-03	0.0355344
1.62100E-03	0.0355499
1.62114E-03	0.0355676
1.62128E-03	0.0355878
1.62142E-03	0.0356102
1.62146E-03	0.0356182
1.62158E-03	0.0356398
1.62170E-03	0.0356631
1.62182E-03	0.0356881
1.62193E-03	0.0357147
1.62205E-03	0.0357431
1.62215E-03	0.0357696
1.62228E-03	0.0358044
1.62241E-03	0.0358412
1.62254E-03	0.0358802
1.62267E-03	0.0359212
1.62280E-03	0.0359643
1.62293E-03	0.0360094
1.62305E-03	0.0360567
1.62323E-03	0.0361242
1.62340E-03	0.0361916
1.62356E-03	0.0362626
1.62373E-03	0.0363371
1.62389E-03	0.036415
1.62407E-03	0.0365011
1.62426E-03	0.0366008
1.62445E-03	0.0367053
1.62465E-03	0.0368147
1.62484E-03	0.0369289
1.62503E-03	0.0370479
1.62525E-03	0.0371899
1.62547E-03	0.0373383
1.62577E-03	0.0375521
1.62606E-03	0.0377774
1.62630E-03	0.0379689
1.62658E-03	0.0381993
1.62685E-03	0.0384399
1.62722E-03	0.0387765
1.62759E-03	0.0391315
1.62790E-03	0.0394476
1.62823E-03	0.0397969
1.62867E-03	0.0402861
1.62911E-03	0.0408024
1.62959E-03	0.0413924
1.63003E-03	0.0419656
1.63048E-03	0.0425666
1.63092E-03	0.0431956
1.63151E-03	0.0440778
1.63209E-03	0.0450103
1.63268E-03	0.0459932
1.63327E-03	0.0470273
1.63386E-03	0.048113
1.63452E-03	0.0493969
1.63526E-03	0.0509019
1.63599E-03	0.0524906
1.63673E-03	0.0541639
1.63710E-03	0.0550455
1.63754E-03	0.0561126
1.63842E-03	0.0583666
1.63930E-03	0.0607475
1.64019E-03	0.0632574
1.64127E-03	0.0665195
1.64223E-03	0.0695913
1.64320E-03	0.0728245
1.64416E-03	0.0762186
1.64545E-03	0.0810013
1.64680E-03	0.0863568
1.64741E-03	0.0889639
1.64817E-03	0.0921679
1.64954E-03	0.098355
1.65092E-03	0.104912
1.65250E-03	0.112921
1.65414E-03	0.121828
1.65579E-03	0.13131
1.65744E-03	0.141384
1.65895E-03	0.151213
1.65929E-03	0.153455
1.66122E-03	0.166852
1.66314E-03	0.181134
1.66506E-03	0.196351
1.66719E-03	0.214331
1.66774E-03	0.219273
1.66939E-03	0.23414
1.67158E-03	0.255288
1.67378E-03	0.277817
1.67610E-03	0.303105
1.67653E-03	0.308134
1.67845E-03	0.330591
1.68080E-03	0.359887
1.68257E-03	0.383065
1.68469E-03	0.4123
1.68626E-03	0.435358
1.68751E-03	0.453842
1.69034E-03	0.498449
1.69316E-03	0.546231
1.69379E-03	0.557591
1.69599E-03	0.597418
1.69881E-03	0.652142
1.70132E-03	0.70408
1.70164E-03	0.710583
1.70446E-03	0.773006
1.70729E-03	0.839537
1.70886E-03	0.878901
1.71011E-03	0.910439
1.71294E-03	0.985956
1.71576E-03	1.06628
1.71639E-03	1.08526
1.71859E-03	1.15177
1.72141E-03	1.24264
1.72392E-03	1.32845
1.72424E-03	1.33919
1.72706E-03	1.44183
1.72989E-03	1.55077
1.73146E-03	1.61563
1.73365E-03	1.70656
1.73742E-03	1.87523
1.73899E-03	1.9505
1.74024E-03	2.01079
1.74401E-03	2.20447
1.74652E-03	2.34412
1.74778E-03	2.41403
1.75154E-03	2.64074
1.75405E-03	2.8042
1.75531E-03	2.88603
1.75908E-03	3.1514
1.76159E-03	3.34279
1.76284E-03	3.43859
1.76661E-03	3.74942
1.76912E-03	3.97369
1.77038E-03	4.08594
1.77414E-03	4.45037
1.77477E-03	4.51616
1.77791E-03	4.84541
1.78168E-03	5.2734
1.78544E-03	5.73786
1.78670E-03	5.90577
1.78921E-03	6.24184
1.79172E-03	6.60671
1.79297E-03	6.78928
1.79674E-03	7.38415
1.80051E-03	8.03153
1.80176E-03	8.26632
1.80427E-03	8.73623
1.80679E-03	9.2482
1.80804E-03	9.50438
1.81181E-03	10.3422
1.81557E-03	11.2578
1.81683E-03	11.5913
1.81934E-03	12.2588
1.82185E-03	12.9894
1.82311E-03	13.3551
1.82687E-03	14.5569
1.83064E-03	15.8772
1.83189E-03	16.3537
1.83323E-03	16.8604
1.83590E-03	17.9439
1.83692E-03	18.3878
1.83856E-03	19.1055
1.84123E-03	20.3543
1.84131E-03	20.3935
1.84374E-03	21.6106
1.84571E-03	22.6753
1.84727E-03	23.5276
1.84928E-03	24.7088
1.84963E-03	24.912
1.85286E-03	26.9758
1.85305E-03	27.0961
1.85625E-03	29.3398
1.85641E-03	29.4598
1.85945E-03	31.7897
1.85989E-03	32.1605
1.86265E-03	34.4927
1.86338E-03	35.1643
1.86586E-03	37.4726
1.86680E-03	38.4405
1.86906E-03	40.7646
1.87019E-03	42.0458
1.87226E-03	44.3957
1.87358E-03	46.025
1.87439E-03	47.0341
1.87653E-03	49.8645
1.87659E-03	49.9538
1.87860E-03	52.8107
1.87960E-03	54.3669
1.88161E-03	57.4811
1.88262E-03	59.1775
1.88362E-03	60.8749
1.88563E-03	64.5158
1.88764E-03	68.4275
1.88864E-03	70.53
1.88965E-03	72.6337
1.89166E-03	77.1621
1.89367E-03	82.0448
1.89467E-03	84.6791
1.89567E-03	87.3149
1.89768E-03	93.0104
1.89969E-03	99.1761
1.90070E-03	102.516
1.90170E-03	105.858
1.90371E-03	113.11
1.90572E-03	120.994
1.90773E-03	129.576
1.90974E-03	138.934
1.91174E-03	149.153
1.91375E-03	160.33
1.91576E-03	172.574
1.91777E-03	186.009
1.91978E-03	200.774
1.92179E-03	217.021
1.92380E-03	234.876
1.92530E-03	249.465
1.92581E-03	254.718
1.92681E-03	265.229
1.92782E-03	276.566
1.92832E-03	282.237
1.92982E-03	300.589
1.93133E-03	320.404
1.93183E-03	327.534
1.93284E-03	341.802
1.93384E-03	357.209
1.93434E-03	364.917
1.93585E-03	389.884
1.93736E-03	416.852
1.93786E-03	426.552
1.93886E-03	445.961
1.93987E-03	466.889
1.94037E-03	477.357
1.94188E-03	511.177
1.94338E-03	547.554
1.94389E-03	560.576
1.94489E-03	586.63
1.94589E-03	614.867
1.94690E-03	643.115
1.94790E-03	673.7
1.94891E-03	704.294
1.94991E-03	737.21
1.95098E-03	772.192
1.95293E-03	840.105
1.95311E-03	846.678
1.95820E-03	1034.18
1.95945E-03	1080.46
1.96033E-03	1111.31
1.96146E-03	1150.95
1.96247E-03	1183.03
1.96347E-03	1215.1
1.96430E-03	1238.01
1.96498E-03	1256.75
1.96567E-03	1272.8
1.96648E-03	1291.44
1.96705E-03	1301.71
1.96774E-03	1314.25
1.96842E-03	1323.4
1.96900E-03	1331.02
1.96980E-03	1337.62
1.97025E-03	1341.33
1.97106E-03	1343.68
1.97151E-03	1344.97
1.97232E-03	1342.66
1.97301E-03	1340.7
1.97316E-03	1339.37
1.97452E-03	1327.37
1.97485E-03	1322.68
1.97603E-03	1305.67
1.97653E-03	1295.93
1.97753E-03	1276.43
1.97869E-03	1248.58
1.97954E-03	1228.24
