E(MeV)	JEFF-3.3:	"HF-176(N,TOT)"
7.74697E-06	2410.02	
7.74950E-06	2524.53	
7.75069E-06	2582.01	
7.75288E-06	2690.49	
7.75441E-06	2771.27	
7.75627E-06	2871.41	
7.75720E-06	2925.27	
7.75965E-06	3068.99	
7.75999E-06	3090.31	
7.76290E-06	3275.94	
7.76303E-06	3284.69	
7.76581E-06	3477.37	
7.76641E-06	3520.22	
7.76871E-06	3693.42	
7.76946E-06	3750.19	
7.77162E-06	3928.04	
7.77352E-06	4085.63	
7.77453E-06	4177.41	
7.77744E-06	4443.75	
7.77758E-06	4456.29	
7.78035E-06	4735.23	
7.78163E-06	4866.09	
7.78326E-06	5045.03	
7.78569E-06	5316.7	
7.78630E-06	5390.07	
7.78935E-06	5761.27	
7.78975E-06	5811.37	
7.79239E-06	6159.39	
7.79300E-06	6240.64	
7.79543E-06	6584.77	
7.79625E-06	6700.78	
7.79848E-06	7037.85	
7.79949E-06	7192.92	
7.80220E-06	7633.53	
7.80409E-06	7946.05	
7.80626E-06	8327.47	
7.80815E-06	8665.54	
7.81032E-06	9074.67	
7.81221E-06	9436.99	
7.81438E-06	9873.48	
7.81627E-06	10259.7	
7.81843E-06	10726.1	
7.82168E-06	11432.7	
7.82249E-06	11619.3	
7.82709E-06	12687.4	
7.82791E-06	12885.4	
7.83386E-06	14352.8	
7.83467E-06	14561.6	
7.84279E-06	16669.4	
7.84333E-06	16810.4	
7.85686E-06	20368.2	
7.85902E-06	20908.7	
7.86498E-06	22377.3	
7.86714E-06	22873.2	
7.87039E-06	23604.6	
7.87255E-06	24050.3	
7.87580E-06	24705.3	
7.87796E-06	25091.1	
7.88121E-06	25653.3	
7.88338E-06	25969	
7.88662E-06	26425.5	
7.88784E-06	26559.6	
7.89203E-06	26997.6	
7.89312E-06	27079.8	
7.89609E-06	27288.2	
7.89718E-06	27336.4	
7.90015E-06	27454.2	
7.90075E-06	27464.3	
7.90313E-06	27491.9	
7.90536E-06	27459.7	
7.90827E-06	27398.8	
7.91043E-06	27290.4	
7.91233E-06	27183.7	
7.91476E-06	26980.1	
7.91720E-06	26762.1	
7.91964E-06	26484.7	
7.92072E-06	26354.7	
7.92505E-06	25730.6	
7.92613E-06	25568.2	
7.93046E-06	24805.1	
7.93154E-06	24608.8	
7.93587E-06	23726.9	
7.93695E-06	23501.8	
7.94128E-06	22523.2	
7.94237E-06	22274.3	
7.94940E-06	20543.3	
7.95048E-06	20273.7	
7.96022E-06	17745.3	
7.96942E-06	15353.7	
7.97105E-06	14947.5	
7.97754E-06	13335.4	
7.97917E-06	12951.8	
7.98295E-06	12065.7	
7.98458E-06	11704.9	
7.98836E-06	10872	
7.98999E-06	10533.3	
7.99242E-06	10031.6	
7.99540E-06	9448.47	
7.99648E-06	9239.03	
7.99946E-06	8693.88	
8.00054E-06	8497.92	
8.00352E-06	7990	
8.00460E-06	7807.74	
8.00731E-06	7375.35	
8.00812E-06	7252.49	
8.01137E-06	6768.03	
8.01191E-06	6692.62	
8.01543E-06	6209.1	
8.01569E-06	6174.46	
8.01948E-06	5696.5	
8.01948E-06	5696.49	
8.02253E-06	5341.47	
8.02280E-06	5311.54	
8.02517E-06	5053.64	
8.02706E-06	4858.62	
8.02841E-06	4721.7	
8.03132E-06	4445.49	
8.03166E-06	4413.92	
8.03491E-06	4130	
8.03558E-06	4074.58	
8.03815E-06	3867.87	
8.03985E-06	3740.58	
8.04140E-06	3625.63	
8.04411E-06	3438.68	
8.04465E-06	3401.96	
8.04790E-06	3196.05	
8.04817E-06	3180.13	
8.05189E-06	2965.21	
8.05222E-06	2947.14	
8.05544E-06	2778.66	
8.05628E-06	2737.47	
8.05899E-06	2608.06	
8.06034E-06	2547.93	
8.06254E-06	2451.99	
8.06440E-06	2376.52	
8.06609E-06	2309.14	
8.06846E-06	2221.39	
8.06964E-06	2178.28	
8.07252E-06	2080.84	
8.07320E-06	2058.3	
8.07658E-06	1953.33	
8.07675E-06	1948.17	
8.08030E-06	1847.1	
8.08064E-06	1838.2	
8.08469E-06	1733.27	
8.08503E-06	1724.67	
8.08875E-06	1637.35	
8.08909E-06	1629.94	
8.09281E-06	1550.12	
8.09417E-06	1523.09	
8.09687E-06	1470.13	
8.09924E-06	1426.92	
8.10093E-06	1396.64	
8.10431E-06	1340.68	
8.10634E-06	1307.72	
8.10939E-06	1262.41	
8.11175E-06	1227.79	
8.11446E-06	1191.41	
8.11717E-06	1155.75	
8.12123E-06	1106.4	
8.12258E-06	1090.31	
8.12799E-06	1030.74	
8.12799E-06	1030.74	
8.13408E-06	970.085	
8.13475E-06	963.885	
8.14084E-06	909.249	
8.14152E-06	903.667	
8.14761E-06	854.439	
8.14828E-06	849.392	
8.15437E-06	804.839	
8.15505E-06	800.255	
8.16114E-06	759.769	
8.16181E-06	755.592	
8.16790E-06	718.817	
8.17196E-06	695.991	
8.17467E-06	681.148	
8.18143E-06	646.531	
8.18211E-06	643.301	
8.18887E-06	611.784	
8.19226E-06	597.141	
8.19699E-06	577.099	
8.20190E-06	557.826	
8.20511E-06	545.457	
8.21128E-06	523.34	
8.21323E-06	516.506	
8.22067E-06	492.111	
8.22134E-06	489.94	
8.22946E-06	465.591	
8.23318E-06	455.126	
8.23758E-06	443.059	
8.24570E-06	422.137	
8.24570E-06	422.137	
8.25517E-06	399.812	
8.25821E-06	393.14	
8.26599E-06	376.478	
8.27073E-06	367.071	
8.27681E-06	355.24	
8.28324E-06	343.629	
8.28764E-06	335.85	
8.29576E-06	322.468	
8.29846E-06	318.103	
8.30929E-06	301.801	
8.31039E-06	300.249	
8.32011E-06	286.851	
8.32502E-06	280.507	
8.33093E-06	273.026	
8.33964E-06	262.713	
8.34311E-06	258.7	
8.35427E-06	246.654	
8.35664E-06	244.156	
