MeV	Cl-nat
2.79630E-04	3.80615
2.80000E-04	3.80332
2.80420E-04	3.80036
2.81218E-04	3.7946
2.82520E-04	3.78555
2.84871E-04	3.76939
2.86720E-04	3.75706
2.88890E-04	3.74286
2.89588E-04	3.73845
2.91739E-04	3.72507
2.93796E-04	3.71252
2.94342E-04	3.70934
2.96228E-04	3.69848
2.98227E-04	3.6872
2.99529E-04	3.68005
3.00000E-04	3.67737
3.01459E-04	3.66873
3.04232E-04	3.65245
3.05837E-04	3.64206
3.11037E-04	3.61052
3.15425E-04	3.58573
3.22069E-04	3.55201
3.24037E-04	3.54234
3.24325E-04	3.5414
3.30398E-04	3.52537
3.35079E-04	3.51586
3.42458E-04	3.50616
3.49057E-04	3.50327
3.50000E-04	3.50262
3.51852E-04	3.49878
3.54938E-04	3.4919
3.62414E-04	3.48117
3.74534E-04	3.47304
3.74689E-04	3.47411
3.75015E-04	3.47868
3.75251E-04	3.48197
3.75623E-04	3.48687
3.79049E-04	3.56868
3.79984E-04	3.60489
3.80000E-04	3.60592
3.80918E-04	3.66329
3.84968E-04	3.97937
3.88730E-04	4.30067
3.89984E-04	4.41517
3.90000E-04	4.41691
3.92492E-04	4.67874
3.93746E-04	4.82378
3.94216E-04	4.90255
3.94530E-04	4.97845
3.94843E-04	5.08312
3.95000E-04	5.15071
3.95077E-04	5.18399
3.95310E-04	5.30449
3.95502E-04	5.42346
3.95620E-04	5.49633
3.95930E-04	5.71993
3.96240E-04	5.96973
3.96705E-04	6.3832
3.97170E-04	6.83538
3.97637E-04	7.32713
3.98110E-04	7.86408
3.98582E-04	8.44325
3.99055E-04	9.0629
3.99843E-04	10.1636
4.00000E-04	10.3954
4.00787E-04	11.5544
4.01377E-04	12.4738
4.01967E-04	13.4552
4.02557E-04	14.515
4.03147E-04	15.6583
4.04074E-04	17.5108
4.04421E-04	18.1127
4.04653E-04	18.4397
4.04884E-04	18.6884
4.04938E-04	18.7229
4.05175E-04	18.8746
4.05438E-04	18.9228
4.05700E-04	18.8715
4.06050E-04	18.6874
4.06401E-04	18.4237
4.07054E-04	17.8663
4.07801E-04	17.2288
4.08465E-04	16.6974
4.08852E-04	16.388
4.09202E-04	16.0424
4.09464E-04	15.7184
4.09727E-04	15.3176
4.09989E-04	14.8284
4.10252E-04	14.2512
4.10515E-04	13.5995
4.10942E-04	12.441
4.11509E-04	10.8889
4.11849E-04	10.0178
4.12190E-04	9.2126
4.12518E-04	8.49974
4.12823E-04	7.89201
4.13129E-04	7.33354
4.13434E-04	6.82164
4.13739E-04	6.35516
4.13943E-04	6.06981
4.14172E-04	5.77426
4.14426E-04	5.47943
4.14617E-04	5.28274
4.14808E-04	5.10755
4.14999E-04	4.95374
4.15000E-04	4.95314
4.15190E-04	4.82041
4.15445E-04	4.67165
4.15699E-04	4.55093
4.15954E-04	4.45174
4.16336E-04	4.32976
4.16845E-04	4.19315
4.17609E-04	4.00841
4.18487E-04	3.81148
4.18911E-04	3.72547
4.19040E-04	3.69916
4.19593E-04	3.60429
4.19961E-04	3.55644
4.20000E-04	3.55293
4.20330E-04	3.52195
4.20699E-04	3.50039
4.21067E-04	3.48843
4.21481E-04	3.48437
4.22542E-04	3.47284
4.23782E-04	3.46459
4.34897E-04	3.39018
4.44375E-04	3.3335
4.50000E-04	3.29962
4.62011E-04	3.21495
4.71228E-04	3.15716
4.78262E-04	3.11653
4.78398E-04	3.11581
4.81749E-04	3.09818
4.89010E-04	3.06062
4.94225E-04	3.036
5.00000E-04	3.00855
5.05581E-04	2.95975
5.07054E-04	2.9473
5.11162E-04	2.913
5.15645E-04	2.87758
5.18718E-04	2.85364
5.21504E-04	2.83212
5.26401E-04	2.79663
5.30724E-04	2.76582
5.35083E-04	2.73637
5.38926E-04	2.71078
5.42797E-04	2.68611
5.46207E-04	2.66464
5.49638E-04	2.64382
5.51198E-04	2.63445
5.52658E-04	2.62636
5.55454E-04	2.61158
5.64131E-04	2.56628
5.65147E-04	2.56123
5.69904E-04	2.53783
5.72892E-04	2.5232
5.74661E-04	2.51484
5.79552E-04	2.49202
5.87194E-04	2.45757
5.89687E-04	2.4465
5.96798E-04	2.41606
5.98711E-04	2.40792
6.00000E-04	2.40264
6.02189E-04	2.4084
6.05837E-04	2.41837
6.11673E-04	2.43439
6.22074E-04	2.46379
6.33369E-04	2.49598
6.39627E-04	2.5142
6.46679E-04	2.53488
6.55038E-04	2.5597
6.61280E-04	2.57834
6.66000E-04	2.59265
6.79939E-04	2.63509
6.82788E-04	2.64389
6.99124E-04	2.69457
7.00000E-04	2.69736
7.11782E-04	2.656
7.21387E-04	2.62239
7.31866E-04	2.58597
7.39135E-04	2.56079
7.48331E-04	2.52914
7.49113E-04	2.52673
7.61523E-04	2.48839
7.65251E-04	2.4769
7.70513E-04	2.46071
7.80524E-04	2.43013
7.95131E-04	2.38561
8.00000E-04	2.37079
8.11287E-04	2.35717
8.45783E-04	2.31559
8.97341E-04	2.25413
9.00495E-04	2.2504
9.06802E-04	2.2432
9.45360E-04	2.20466
9.99463E-04	2.15064
1.04663E-03	2.12202
1.12070E-03	2.07722
1.20000E-03	2.02937
1.24900E-03	1.94194
1.30000E-03	1.85098
1.30229E-03	1.85002
1.34907E-03	1.84998
1.40000E-03	1.85028
1.43950E-03	1.86955
1.44966E-03	1.87451
1.48012E-03	1.88954
1.50000E-03	1.89935
1.59823E-03	1.84171
1.60000E-03	1.84425
1.60423E-03	1.86711
1.64879E-03	2.15043
1.65000E-03	2.15411
1.65095E-03	2.15295
1.65291E-03	2.15056
1.69578E-03	2.01405
1.69656E-03	2.01159
1.70000E-03	2.00062
1.74443E-03	1.85935
1.79365E-03	1.71815
1.79682E-03	1.70905
1.79729E-03	1.7082
1.80000E-03	1.70326
1.80156E-03	1.7004
1.80310E-03	1.70021
1.80469E-03	1.70001
1.82483E-03	1.7005
1.84685E-03	1.70106
1.84844E-03	1.7011
1.85000E-03	1.70485
1.85077E-03	1.70939
1.85310E-03	1.72326
1.85653E-03	1.74878
1.87483E-03	1.88536
1.89630E-03	2.05832
1.89843E-03	2.07546
1.90084E-03	2.08323
1.90503E-03	2.07193
1.94859E-03	1.91312
1.94981E-03	1.90395
1.95026E-03	1.90053
1.95361E-03	1.85875
1.96392E-03	1.7158
1.98110E-03	1.5028
1.99823E-03	1.32029
2.00000E-03	1.30712
2.00176E-03	1.30107
2.02822E-03	1.29511
2.05643E-03	1.28875
2.11446E-03	1.27717
2.24728E-03	1.25068
2.25000E-03	1.25179
2.29762E-03	1.35925
2.31349E-03	1.3965
2.40315E-03	1.62393
2.48548E-03	1.85858
2.49866E-03	1.89391
2.50000E-03	1.89752
2.60681E-03	1.8539
2.73861E-03	1.7988
2.77725E-03	1.78266
2.99713E-03	1.7016
3.00000E-03	1.70556
3.00313E-03	1.72021
3.02500E-03	1.85879
3.05000E-03	2.02829
3.09688E-03	2.25439
3.10000E-03	2.26192
3.10351E-03	2.25274
3.13606E-03	2.09573
3.14915E-03	2.03255
3.15618E-03	1.98174
3.17490E-03	1.83624
3.19373E-03	1.70389
3.20000E-03	1.66316
3.22481E-03	1.57838
3.24962E-03	1.49709
3.29610E-03	1.36265
3.29843E-03	1.3559
3.30109E-03	1.35354
3.30190E-03	1.3546
3.31164E-03	1.36746
3.39656E-03	1.49467
3.40000E-03	1.49736
3.44797E-03	1.42812
3.49594E-03	1.35639
3.59458E-03	1.20861
3.59729E-03	1.20456
3.60000E-03	1.20338
3.60466E-03	1.21038
3.64966E-03	1.31008
3.69601E-03	1.41965
3.70000E-03	1.42908
3.84708E-03	1.63529
4.00000E-03	1.8693
4.14536E-03	1.98719
4.14768E-03	1.99513
4.14942E-03	2.01163
4.15000E-03	2.02119
4.15066E-03	2.03214
4.15265E-03	2.0798
4.15530E-03	2.16051
4.15928E-03	2.2948
4.16326E-03	2.43965
4.16856E-03	2.64495
4.17122E-03	2.75213
4.17638E-03	2.97596
4.18155E-03	3.2178
4.18672E-03	3.48233
4.19188E-03	3.76535
4.19831E-03	4.14166
4.20000E-03	4.23154
4.20088E-03	4.27828
4.20730E-03	4.56899
4.21537E-03	4.93578
4.22123E-03	5.22276
4.23295E-03	5.85023
4.23864E-03	6.17922
4.24829E-03	6.76196
4.25104E-03	6.88966
4.25518E-03	7.02112
4.27448E-03	7.54507
4.27500E-03	7.55151
4.27655E-03	7.57092
4.27759E-03	7.55262
4.27862E-03	7.49484
4.27966E-03	7.3841
4.28000E-03	7.32803
4.28062E-03	7.22637
4.28156E-03	7.02729
4.28250E-03	6.79227
4.28500E-03	6.08709
4.28750E-03	5.39024
4.29079E-03	4.5203
4.29276E-03	4.01869
4.29434E-03	3.6419
4.29552E-03	3.38116
4.29631E-03	3.22037
4.29715E-03	3.0624
4.29799E-03	2.92079
4.29883E-03	2.79784
4.29967E-03	2.69519
4.30000E-03	2.66319
4.30051E-03	2.61315
4.30135E-03	2.55039
4.30220E-03	2.50401
4.30304E-03	2.47022
4.30430E-03	2.43483
4.30640E-03	2.39378
4.31650E-03	2.23052
4.32323E-03	2.12892
4.34230E-03	1.86683
4.35579E-03	1.70192
4.37378E-03	1.50725
4.37827E-03	1.4606
4.39593E-03	1.29784
4.39864E-03	1.27692
4.40000E-03	1.27064
4.40097E-03	1.26614
4.40388E-03	1.26244
4.46208E-03	1.28929
4.70000E-03	1.39903
5.00000E-03	1.26101
5.24405E-03	1.37821
5.49697E-03	1.49991
5.50000E-03	1.50766
5.50383E-03	1.52875
5.53065E-03	1.72496
5.55760E-03	1.94863
5.58129E-03	2.16845
5.60211E-03	2.38138
5.62101E-03	2.59292
5.62361E-03	2.62535
5.65251E-03	2.98577
5.67673E-03	3.32597
5.69386E-03	3.5895
5.72241E-03	4.07464
5.74655E-03	4.52842
5.74914E-03	4.55679
5.75000E-03	4.56004
5.75270E-03	4.54817
5.75721E-03	4.48655
5.77882E-03	4.14784
5.80764E-03	3.73952
5.83135E-03	3.4362
5.87306E-03	2.96326
5.87367E-03	2.95721
5.90454E-03	2.65143
5.92826E-03	2.43969
5.96402E-03	2.1536
5.99550E-03	1.93185
6.00000E-03	1.90428
6.00769E-03	1.87422
6.06155E-03	1.69403
6.10812E-03	1.55414
6.17865E-03	1.36582
6.24554E-03	1.21054
6.25000E-03	1.20277
6.25827E-03	1.2
6.37142E-03	1.19999
6.55119E-03	1.20014
6.74555E-03	1.20047
6.75000E-03	1.20541
6.75384E-03	1.21741
6.75387E-03	1.21751
6.78075E-03	1.33414
6.80778E-03	1.46331
6.83152E-03	1.58692
6.87325E-03	1.82884
6.90472E-03	2.0341
6.92842E-03	2.20343
6.96412E-03	2.48445
6.99551E-03	2.75825
6.99888E-03	2.77528
7.00000E-03	2.77606
7.00271E-03	2.76618
7.00723E-03	2.7271
7.02890E-03	2.51011
7.05781E-03	2.24952
7.08155E-03	2.05677
7.10310E-03	1.89712
