E(MeV)	mcnp/Pb-206:1
3.06618E-03	11.2417
3.06623E-03	11.2464
3.06627E-03	11.251
3.06632E-03	11.2557
3.06635E-03	11.259
3.06636E-03	11.2625
3.06641E-03	11.2745
3.06645E-03	11.2865
3.06650E-03	11.2986
3.06653E-03	11.3067
3.06656E-03	11.3148
3.06659E-03	11.323
3.06662E-03	11.3312
3.06665E-03	11.3391
3.06665E-03	11.3397
3.06668E-03	11.3543
3.06671E-03	11.369
3.06674E-03	11.3837
3.06677E-03	11.3986
3.06680E-03	11.4134
3.06683E-03	11.4284
3.06686E-03	11.4434
3.06687E-03	11.4492
3.06689E-03	11.4636
3.06692E-03	11.4869
3.06695E-03	11.5104
3.06698E-03	11.5339
3.06701E-03	11.5576
3.06704E-03	11.5815
3.06707E-03	11.6055
3.06710E-03	11.6249
3.06711E-03	11.6318
3.06714E-03	11.6669
3.06717E-03	11.7023
3.06720E-03	11.7379
3.06723E-03	11.7737
3.06726E-03	11.8098
3.06729E-03	11.846
3.06732E-03	11.8826
3.06732E-03	11.891
3.06735E-03	11.928
3.06738E-03	11.9762
3.06741E-03	12.0247
3.06744E-03	12.0736
3.06747E-03	12.1229
3.06747E-03	12.1317
3.06750E-03	12.1808
3.06753E-03	12.241
3.06756E-03	12.3016
3.06759E-03	12.3626
3.06762E-03	12.4241
3.06762E-03	12.432
3.06765E-03	12.4956
3.06768E-03	12.569
3.06771E-03	12.643
3.06774E-03	12.7176
3.06777E-03	12.7928
3.06777E-03	12.7986
3.06780E-03	12.879
3.06783E-03	12.9667
3.06786E-03	13.0552
3.06789E-03	13.1444
3.06793E-03	13.2368
3.06794E-03	13.2856
3.06798E-03	13.4419
3.06803E-03	13.5938
3.06807E-03	13.7444
3.06811E-03	13.8968
3.06813E-03	13.9358
3.06815E-03	14.053
3.06819E-03	14.2149
3.06824E-03	14.3854
3.06825E-03	14.4388
3.06828E-03	14.5828
3.06833E-03	14.7868
3.06839E-03	15.0485
3.06844E-03	15.3093
3.06850E-03	15.5807
3.06850E-03	15.5825
3.06856E-03	15.8731
3.06863E-03	16.2218
3.06871E-03	16.6544
3.06880E-03	17.1222
3.06891E-03	17.6978
3.06900E-03	18.1942
3.06925E-03	19.4481
3.06925E-03	19.4542
3.06936E-03	19.9305
3.06944E-03	20.2544
3.06944E-03	20.278
3.06953E-03	20.5859
3.06963E-03	20.8809
3.06963E-03	20.8852
3.06972E-03	21.0858
3.06978E-03	21.2146
3.06981E-03	21.2772
3.06984E-03	21.3109
3.06993E-03	21.3942
3.06994E-03	21.3987
3.07000E-03	21.4143
3.07009E-03	21.3769
3.07012E-03	21.3509
3.07017E-03	21.2954
3.07025E-03	21.1723
3.07025E-03	21.1675
3.07034E-03	20.9445
3.07043E-03	20.7205
3.07044E-03	20.6928
3.07051E-03	20.4165
3.07057E-03	20.1995
3.07063E-03	19.9987
3.07068E-03	19.7553
3.07075E-03	19.444
3.07080E-03	19.1981
3.07100E-03	18.1918
3.07110E-03	17.6734
3.07118E-03	17.2192
3.07127E-03	16.7549
3.07133E-03	16.4393
3.07139E-03	16.1411
3.07144E-03	15.8601
3.07150E-03	15.5813
3.07150E-03	15.5805
3.07156E-03	15.3189
3.07161E-03	15.0469
3.07166E-03	14.8357
3.07171E-03	14.6271
3.07175E-03	14.4374
3.07175E-03	14.4224
3.07180E-03	14.2373
3.07185E-03	14.0547
3.07189E-03	13.8745
3.07194E-03	13.7024
3.07194E-03	13.697
3.07198E-03	13.5717
3.07202E-03	13.4285
3.07206E-03	13.2869
3.07208E-03	13.2063
3.07210E-03	13.1538
3.07214E-03	13.0315
3.07218E-03	12.9408
3.07221E-03	12.8508
3.07224E-03	12.7616
3.07225E-03	12.7231
3.07227E-03	12.6805
3.07230E-03	12.6057
3.07234E-03	12.5316
3.07237E-03	12.4581
3.07240E-03	12.3852
3.07242E-03	12.3296
3.07243E-03	12.3157
3.07246E-03	12.2564
3.07249E-03	12.1975
3.07253E-03	12.1391
3.07256E-03	12.0811
3.07259E-03	12.0235
3.07259E-03	12.0177
3.07262E-03	11.9766
3.07265E-03	11.9311
3.07268E-03	11.8859
3.07272E-03	11.8411
3.07275E-03	11.7966
3.07276E-03	11.7773
3.07278E-03	11.7579
3.07281E-03	11.7238
3.07284E-03	11.6899
3.07288E-03	11.6562
3.07291E-03	11.6227
3.07293E-03	11.5971
3.07294E-03	11.5917
3.07297E-03	11.5686
3.07300E-03	11.5455
3.07303E-03	11.5227
3.07307E-03	11.5
3.07310E-03	11.4774
3.07313E-03	11.4549
3.07316E-03	11.4325
3.07318E-03	11.4154
3.07319E-03	11.412
3.07322E-03	11.3974
3.07326E-03	11.3829
3.07329E-03	11.3684
3.07332E-03	11.3541
3.07335E-03	11.3398
3.07335E-03	11.3383
3.07338E-03	11.3309
3.07341E-03	11.3227
3.07345E-03	11.3145
3.07348E-03	11.3064
3.07351E-03	11.2983
3.07354E-03	11.2903
3.07358E-03	11.2796
3.07363E-03	11.2689
3.07367E-03	11.2583
3.07369E-03	11.2522
3.07371E-03	11.2509
3.07375E-03	11.2479
3.07380E-03	11.2449
3.07386E-03	11.2404
3.07392E-03	11.2359
3.07399E-03	11.2315
3.07407E-03	11.2256
3.07416E-03	11.2198
3.07424E-03	11.214
3.07432E-03	11.2083
3.07437E-03	11.2052
3.07449E-03	11.2051
3.07466E-03	11.2051
3.07500E-03	11.2051
3.34475E-03	11.2001
3.34819E-03	11.2
3.35201E-03	11.2061
3.35265E-03	11.2071
3.35266E-03	11.2071
3.35297E-03	11.2298
3.35319E-03	11.2453
3.35330E-03	11.2535
3.35335E-03	11.2642
3.35351E-03	11.3006
3.35362E-03	11.326
3.35367E-03	11.3477
3.35377E-03	11.3956
3.35388E-03	11.4435
3.35394E-03	11.4692
3.35399E-03	11.5053
3.35407E-03	11.5637
3.35415E-03	11.6221
3.35415E-03	11.6244
3.35423E-03	11.7036
3.35431E-03	11.786
3.35436E-03	11.8434
3.35439E-03	11.8773
3.35447E-03	11.9887
3.35455E-03	12.1002
3.35457E-03	12.1395
3.35463E-03	12.2332
3.35471E-03	12.3779
3.35476E-03	12.4745
3.35479E-03	12.5242
3.35481E-03	12.5827
3.35487E-03	12.7033
3.35492E-03	12.8239
3.35497E-03	12.9445
3.35500E-03	13.0049
