E(MeV)	B10 Tot			
1.00658E-03	21.0795			
1.04248E-03	20.7418			
1.04978E-03	20.6786			
1.09485E-03	20.2887			
1.12596E-03	20.0195			
1.18257E-03	19.5964			
1.22469E-03	19.2816			
1.25073E-03	19.0871			
1.28627E-03	18.8572			
1.35088E-03	18.4393			
1.36041E-03	18.3841			
1.41881E-03	18.0459			
1.45912E-03	17.8124			
1.46934E-03	17.7601			
1.55403E-03	17.33			
1.58707E-03	17.1622			
1.62074E-03	16.9923			
1.69031E-03	16.6876			
1.71416E-03	16.5832			
1.72625E-03	16.5307			
1.73834E-03	16.4782			
1.83853E-03	16.0802			
1.89075E-03	15.8728			
1.93098E-03	15.735			
1.98585E-03	15.5469			
2.08557E-03	15.2052			
2.10028E-03	15.1548			
2.17512E-03	14.9329			
2.26183E-03	14.6757			
2.26846E-03	14.6561			
2.33292E-03	14.4846			
2.36586E-03	14.3969			
2.44998E-03	14.1731			
2.50000E-03	14.0552			
2.53527E-03	13.9722			
2.58150E-03	13.8634			
2.62033E-03	13.772			
2.66283E-03	13.672			
2.82755E-03	13.3299			
2.85596E-03	13.2709			
2.87605E-03	13.2292			
3.09232E-03	12.8288			
3.09719E-03	12.8197			
3.10140E-03	12.812			
3.36879E-03	12.3711			
3.38535E-03	12.3438			
3.58227E-03	12.0614			
3.68849E-03	11.909			
3.68987E-03	11.9072			
3.98402E-03	11.5347			
3.98984E-03	11.5273			
4.01779E-03	11.4959			
4.14268E-03	11.3555			
4.35193E-03	11.1203			
4.35344E-03	11.1186			
4.44600E-03	11.0285			
4.74675E-03	10.7357			
4.79827E-03	10.6855			
4.90109E-03	10.599			
5.04512E-03	10.4778			
5.16300E-03	10.3787			
5.29267E-03	10.2696			
5.56496E-03	10.0721			
5.65509E-03	10.0067			
5.81547E-03	9.89042			
5.88015E-03	9.84972			
6.19438E-03	9.65199			
6.31278E-03	9.57749			
6.36668E-03	9.54357			
6.73758E-03	9.337			
6.74758E-03	9.33144			
6.83179E-03	9.28454			
6.87998E-03	9.26106			
7.38629E-03	9.01442			
7.50875E-03	8.95476			
7.60581E-03	8.90771			
7.70127E-03	8.86809			
7.96804E-03	8.75737			
8.35437E-03	8.59702			
8.61992E-03	8.50164			
8.70387E-03	8.47149			
9.03525E-03	8.35247			
9.15108E-03	8.31087			
9.49350E-03	8.20337			
9.56701E-03	8.18029			
9.95355E-03	8.05895			
1.03260E-02	7.95673			
1.05145E-02	7.90498			
1.07982E-02	7.82711			
1.13326E-02	7.69758			
1.13978E-02	7.6818			
1.17452E-02	7.5976			
1.23693E-02	7.46508			
1.24134E-02	7.45572			
1.28123E-02	7.37103			
1.28514E-02	7.36272			
1.35019E-02	7.24249			
1.39783E-02	7.15445			
1.40770E-02	7.13838			
1.43167E-02	7.09963			
1.46358E-02	7.04806			
1.47726E-02	7.02596			
1.51058E-02	6.97211			
1.52041E-02	6.95622			
1.59361E-02	6.8548			
1.65707E-02	6.76688			
1.67707E-02	6.73917			
1.68890E-02	6.72293			
1.70157E-02	6.70782			
1.74077E-02	6.66155			
1.81234E-02	6.57708			
1.82176E-02	6.56597			
1.87058E-02	6.51419			
1.89870E-02	6.48466			
1.95680E-02	6.42366			
1.96154E-02	6.41868			
2.01411E-02	6.37002			
2.02822E-02	6.35696			
2.06065E-02	6.32721			
2.13355E-02	6.26034			
2.22180E-02	6.18927			
2.26653E-02	6.15359			
2.32541E-02	6.10661			
2.35618E-02	6.0853			
2.41645E-02	6.04354			
2.43386E-02	6.03148			
2.48268E-02	5.99804			
2.52036E-02	5.97222			
2.68345E-02	5.87434			
2.69032E-02	5.87026			
2.69903E-02	5.86508			
2.72131E-02	5.85184			
2.91766E-02	5.74713			
2.94689E-02	5.73368			
2.97941E-02	5.71871			
3.00000E-02	5.70939			
3.08051E-02	5.67295			
3.18722E-02	5.62464			
3.20049E-02	5.61863			
3.36689E-02	5.55447			
3.40314E-02	5.54065			
3.48155E-02	5.51117			
3.49733E-02	5.50524			
3.69763E-02	5.44086			
3.73789E-02	5.42792			
3.79740E-02	5.409			
3.83195E-02	5.39802			
3.84599E-02	5.39356			
4.12130E-02	5.31981			
4.18120E-02	5.30376			
4.21276E-02	5.2954			
4.40384E-02	5.2523			
4.50000E-02	5.23061			
4.53174E-02	5.22345			
4.53306E-02	5.22316			
4.56349E-02	5.21641			
4.96535E-02	5.144			
5.04512E-02	5.12963			
5.08071E-02	5.12444			
5.10000E-02	5.12167			
5.38065E-02	5.08135			
5.53880E-02	5.05862			
5.57759E-02	5.05316			
5.90903E-02	5.01771			
6.10626E-02	4.99662			
6.37443E-02	4.97351			
6.41127E-02	4.97033			
6.59170E-02	4.95526			
6.96309E-02	4.93261			
7.33852E-02	4.90973			
7.44205E-02	4.9054			
7.54160E-02	4.90145			
7.60581E-02	4.89891			
8.15176E-02	4.87727			
8.24260E-02	4.8751			
8.55996E-02	4.86752			
8.61992E-02	4.86619			
8.68073E-02	4.86484			
9.06612E-02	4.86094			
9.63403E-02	4.85518			
9.70199E-02	4.85549			
9.87741E-02	4.85648			
9.99117E-02	4.85712			
1.00000E-01	4.85717			
1.01411E-01	4.85796			
1.02126E-01	4.85843			
1.07613E-01	4.86646			
1.09440E-01	4.86914			
1.09536E-01	4.86928			
1.18181E-01	4.877			
1.20823E-01	4.87936			
1.21669E-01	4.88162			
1.27489E-01	4.89712			
1.32338E-01	4.91004			
1.39262E-01	4.9257			
1.50000E-01	4.94999			
1.50832E-01	4.95195			
1.52116E-01	4.95497			
1.55351E-01	4.9649			
1.64852E-01	4.98773			
1.73615E-01	5.00878			
1.81067E-01	5.02669			
1.81322E-01	5.02731			
1.85078E-01	5.03635			
1.90000E-01	5.04389			
1.97548E-01	5.05546			
2.00000E-01	5.05922			
2.04252E-01	5.06573			
2.05683E-01	5.06787			
2.15226E-01	5.07435			
2.15967E-01	5.07485			
2.23104E-01	5.07969			
2.24678E-01	5.08071			
2.30000E-01	5.07942			
2.36361E-01	5.07758			
2.36658E-01	5.0775			
2.43386E-01	5.07556			
2.51764E-01	5.06433			
2.51890E-01	5.06416			
2.54977E-01	5.06081			
2.55315E-01	5.06044			
2.63668E-01	5.0512			
2.65528E-01	5.04718			
2.78524E-01	5.02188			
2.80000E-01	5.01901			
2.81975E-01	5.01516			
2.83950E-01	5.01199			
2.85953E-01	5.00679			
3.00000E-01	4.97062			
3.01664E-01	4.96736			
3.02116E-01	4.96648			
3.04232E-01	4.96233			
3.20000E-01	4.91965			
3.22257E-01	4.91116			
3.29704E-01	4.88776			
3.36593E-01	4.86611			
3.40000E-01	4.85555			
3.42398E-01	4.84918			
3.52469E-01	4.82302			
3.54938E-01	4.81748			
3.59945E-01	4.80195			
3.62485E-01	4.79432			
3.62645E-01	4.79389			
3.65079E-01	4.78736			
3.75000E-01	4.76075			
3.77500E-01	4.75429			
3.82681E-01	4.7434			
3.88079E-01	4.73232			
3.90798E-01	4.72674			
3.95096E-01	4.71616			
4.00000E-01	4.70409			
4.25925E-01	4.65339			
4.30452E-01	4.64454			
4.46208E-01	4.61373			
4.53174E-01	4.59957			
4.60000E-01	4.58398			
4.62787E-01	4.5759			
4.70481E-01	4.54982			
4.75000E-01	4.5345			
4.77500E-01	4.5257			
4.80000E-01	4.51584			
4.83386E-01	4.50174			
4.93639E-01	4.45725			
5.00000E-01	4.42495			
5.20000E-01	4.30944			
5.23668E-01	4.28762			
5.43809E-01	4.16529			
5.60000E-01	4.0663			
5.78042E-01	3.95896			
5.80000E-01	3.94742			
5.96481E-01	3.85405			
6.00000E-01	3.83411			
6.21280E-01	3.72368			
6.50000E-01	3.58177			
6.68470E-01	3.50087			
6.77901E-01	3.45956			
7.00000E-01	3.36808			
7.24969E-01	3.27481			
7.40347E-01	3.21954			
7.50000E-01	3.18484			
7.90714E-01	3.05107			
7.96292E-01	3.03296			
8.00000E-01	3.02233			
8.05643E-01	3.00617			
8.20000E-01	2.9653			
8.25784E-01	2.94903			
8.45000E-01	2.89573			
8.51851E-01	2.87715			
8.61992E-01	2.84966			
8.72133E-01	2.8223			
8.80000E-01	2.80298			
9.00000E-01	2.75483			
9.32980E-01	2.67746			
9.40000E-01	2.66236			
9.56701E-01	2.62713			
9.66772E-01	2.60602			
9.93826E-01	2.54999			
9.99831E-01	2.53772			
9.99870E-01	2.53764			
9.99893E-01	2.53759			
9.99909E-01	2.53756			
9.99922E-01	2.53753			
9.99935E-01	2.5375			
9.99945E-01	2.53748			
9.99955E-01	2.53746			
9.99964E-01	2.53744			
9.99971E-01	2.53743			
9.99979E-01	2.53742			
9.99985E-01	2.5374			
9.99992E-01	2.53739			
9.99998E-01	2.53738			
1.00000E+00	2.53737			
1.00000E+00	2.53737			
1.00001E+00	2.53736			
1.00001E+00	2.53735			
1.00002E+00	2.53734			
1.00002E+00	2.53733			
1.00003E+00	2.53732			
1.00003E+00	2.53732			
1.00004E+00	2.53731			
1.00004E+00	2.5373			
1.00004E+00	2.5373			
1.00005E+00	2.53729			
1.00005E+00	2.53729			
1.00006E+00	2.53728			
1.00006E+00	2.53728			
1.00006E+00	2.53727			
1.00007E+00	2.53726			
1.00007E+00	2.53726			
1.00007E+00	2.53725			
1.00008E+00	2.53725			
1.00008E+00	2.53724			
1.00008E+00	2.53724			
1.00009E+00	2.53723			
1.00009E+00	2.53723			
1.00009E+00	2.53722			
1.00009E+00	2.53722			
1.00010E+00	2.53721			
1.00010E+00	2.53721			
1.00010E+00	2.53721			
1.00010E+00	2.5372			
1.00011E+00	2.5372			
1.00011E+00	2.53719			
1.00011E+00	2.53719			
1.00011E+00	2.53718			
1.00012E+00	2.53718			
1.00012E+00	2.53718			
1.00012E+00	2.53717			
1.00012E+00	2.53717			
1.00013E+00	2.53716			
1.00013E+00	2.53716			
1.00013E+00	2.53716			
1.00014E+00	2.53715			
