E(MeV)	mcnp/Sm-147:1	
3.18287E-05	1088.677002	
3.18398E-05	1226.612061	
3.18497E-05	1365.289551	
3.18595E-05	1519.293701	
3.18694E-05	1689.39978	
3.18793E-05	1876.453491	
3.18970E-05	2254.095215	
3.19052E-05	2448.806152	
3.19210E-05	2857.38916	
3.19358E-05	3274.416504	
3.19562E-05	3897.25293	
3.19913E-05	5027.847168	
3.20207E-05	5932.450195	
3.20459E-05	6578.910645	
3.20642E-05	6931.583984	
3.20877E-05	7202.913574	
3.21056E-05	7255.145508	
3.21167E-05	7218.753906	
3.21419E-05	6948.075684	
3.21590E-05	6631.771484	
3.21856E-05	5973.393066	
3.22053E-05	5394.819336	
3.22397E-05	4323.937012	
3.22527E-05	3923.969238	
3.22816E-05	3098.409912	
3.22976E-05	2689.644287	
3.23149E-05	2297.091797	
3.23335E-05	1930.204956	
3.23439E-05	1750.387695	
3.23543E-05	1587.520996	
3.23646E-05	1440.728638	
3.23750E-05	1308.989624	
3.23867E-05	1177.902344	
3.23983E-05	1062.810425	
3.24108E-05	954.5179443	
3.24234E-05	860.7973022	
3.24369E-05	773.8175659	
3.24504E-05	699.4266968	
3.24650E-05	631.1105347	
3.24796E-05	573.1419678	
3.24954E-05	520.0322876	
3.25111E-05	475.0639954	
3.25282E-05	433.8085327	
3.25452E-05	398.7052612	
3.25636E-05	366.3026428	
3.25820E-05	338.5447083	
3.26019E-05	312.7120361	
3.26217E-05	290.3698425	
3.26432E-05	269.3674622	
3.26647E-05	251.059021	
3.27061E-05	221.6766357	
3.27475E-05	198.1751251	
3.27889E-05	178.9943848	
3.28303E-05	163.0765686	
3.28837E-05	146.1997528	
3.29371E-05	132.4336395	
3.29905E-05	121.0154724	
3.30439E-05	111.4145584	
3.31128E-05	101.0953979	
3.31816E-05	92.56819153	
3.32505E-05	85.41635895	
3.33194E-05	79.34234619	
3.34027E-05	73.1244278	
3.34860E-05	67.87534332	
3.35693E-05	63.38788986	
3.36526E-05	59.51080322	
3.37367E-05	56.09704971	
3.38208E-05	53.09754181	
3.39050E-05	50.44470978	
3.39891E-05	48.08388519	
3.41591E-05	43.99713898	
3.43290E-05	40.60239792	
3.45007E-05	37.71346664	
3.46723E-05	35.23914337	
3.48457E-05	33.06636429	
3.50190E-05	31.15191841	
3.51941E-05	29.42792892	
3.53693E-05	27.87560844	
3.55461E-05	26.4518013	
3.57229E-05	25.14985847	
3.59000E-05	23.95153618	
3.60795E-05	22.83243942	
3.62590E-05	21.80245018	
3.64403E-05	20.85048485	
3.66216E-05	19.99072266	
3.68047E-05	19.2267971	
3.69878E-05	18.58867264	
3.71728E-05	18.10745239	
3.73577E-05	17.84721756	
3.75445E-05	17.89078903	
3.76379E-05	18.07410049	
3.77313E-05	18.40543175	
3.78256E-05	18.9259491	
3.79200E-05	19.67904472	
3.80143E-05	20.72585487	
3.81086E-05	22.15130234	
3.81536E-05	22.99702835	
3.81985E-05	23.9725666	
3.82434E-05	25.09758186	
3.82659E-05	25.72330093	
3.82884E-05	26.39487648	
3.83108E-05	27.11655617	
3.83333E-05	27.89206505	
3.83558E-05	28.72504616	
3.83782E-05	29.62023735	
3.84007E-05	30.58281708	
3.84232E-05	31.61836243	
3.84456E-05	32.73297882	
3.84681E-05	33.9328537	
3.84855E-05	34.92729568	
3.85029E-05	35.98117447	
3.85204E-05	37.09955215	
3.85378E-05	38.28593063	
3.85552E-05	39.54586029	
3.85726E-05	40.88428879	
3.85900E-05	42.30696106	
3.86074E-05	43.81923294	
3.86249E-05	45.42970276	
3.86423E-05	47.14447021	
3.86597E-05	48.97328186	
3.86771E-05	50.9241333	
3.86945E-05	53.00753403	
3.87119E-05	55.23180771	
3.87294E-05	57.61283112	
3.87468E-05	60.16274643	
3.87738E-05	64.48448944	
3.88008E-05	69.31269836	
3.88278E-05	74.71661377	
3.88549E-05	80.78895569	
3.88819E-05	87.63554382	
3.89089E-05	95.38554382	
3.89359E-05	104.1964798	
3.89630E-05	114.2640228	
3.89839E-05	123.0932617	
3.90049E-05	132.9652405	
3.90259E-05	144.0361633	
3.90468E-05	156.5119934	
3.90678E-05	170.6433105	
3.90888E-05	186.7295074	
3.91098E-05	205.1533966	
3.91307E-05	226.4163361	
3.91525E-05	252.1554565	
3.91743E-05	282.5254211	
3.91944E-05	315.8097229	
3.92146E-05	355.3536987	
3.92333E-05	398.9534302	
3.92520E-05	450.9581909	
3.92693E-05	508.5150146	
3.92866E-05	577.1155396	
3.93026E-05	652.6918335	
3.93186E-05	742.2734985	
3.93334E-05	840.2216797	
3.93483E-05	955.1239014	
3.93621E-05	1079.237671	
3.93759E-05	1222.602661	
3.93887E-05	1375.102417	
3.94014E-05	1548.081177	
3.94129E-05	1722.541016	
3.94244E-05	1916.408081	
3.94358E-05	2131.120117	
3.94473E-05	2367.584473	
3.94678E-05	2846.75293	
3.94773E-05	3094.987061	
3.94958E-05	3618.291748	
3.95214E-05	4429.213379	
3.95443E-05	5220.241699	
3.95782E-05	6442.938477	
3.96135E-05	7642.851563	
3.96353E-05	8271.922852	
3.96579E-05	8783.003906	
3.96840E-05	9148.84668	
3.97000E-05	9238.294922	
3.97214E-05	9192.041016	
3.97535E-05	8779.394531	
3.97754E-05	8294.880859	
3.98093E-05	7303.595215	
3.98784E-05	4963.191406	
3.98950E-05	4430.453125	
3.99128E-05	3897.837402	
3.99319E-05	3378.96875	
3.99525E-05	2884.971436	
3.99753E-05	2413.866699	
3.99982E-05	2022.322388	
4.00110E-05	1835.202515	
4.00238E-05	1668.66333	
4.00375E-05	1510.300659	
4.00513E-05	1371.455811	
4.00661E-05	1241.32019	
4.00810E-05	1128.78186	
4.00970E-05	1024.456665	
4.01130E-05	935.1624146	
4.01303E-05	853.083374	
4.01475E-05	783.4001465	
4.01755E-05	691.9122925	
4.02011E-05	626.8602295	
4.02267E-05	576.0541992	
4.02522E-05	537.5099487	
4.02788E-05	509.3878784	
4.03033E-05	493.8874207	
4.03260E-05	488.7758484	
4.03470E-05	492.2403259	
4.03665E-05	502.7012939	
4.03846E-05	518.6306152	
4.03963E-05	532.006958	
4.04196E-05	565.5161743	
4.04570E-05	634.2314453	
4.04986E-05	719.0516968	
4.05371E-05	786.2467041	
4.05682E-05	818.8817749	
4.05878E-05	825.7068481	
4.06039E-05	822.3723755	
4.06286E-05	801.3596191	
4.06587E-05	751.7509155	
4.06957E-05	663.2813721	
4.07600E-05	483.1856079	
4.07884E-05	409.3403015	
4.08044E-05	372.1357117	
4.08215E-05	335.9022217	
4.08401E-05	301.447937	
4.08609E-05	268.4732971	
4.08817E-05	241.1325073	
4.08934E-05	228.0250549	
4.09050E-05	216.3575592	
4.09176E-05	205.2559509	
4.09302E-05	195.5136108	
4.09438E-05	186.3029938	
4.09575E-05	178.3083191	
4.09722E-05	170.8213959	
4.09869E-05	164.3441467	
4.10011E-05	158.8913727	
4.10152E-05	154.0826874	
4.10436E-05	145.9787445	
4.10720E-05	139.3621063	
4.11004E-05	133.7835541	
4.11370E-05	127.6589355	
4.11735E-05	122.3910522	
4.12101E-05	117.7492599	
4.12467E-05	113.5890732	
4.12939E-05	108.7888336	
4.13410E-05	104.501709	
4.14354E-05	97.11521912	
4.14963E-05	93.01029205	
4.15572E-05	89.31954193	
4.16789E-05	82.93247986	
4.17575E-05	79.37966156	
4.18361E-05	76.19231415	
4.19932E-05	70.68499756	
4.20946E-05	67.62806702	
4.21960E-05	64.90364838	
4.23989E-05	60.22509766	
4.26109E-05	56.16252518	
4.28229E-05	52.75587082	
4.30370E-05	49.82911301	
4.32511E-05	47.30607605	
4.34674E-05	45.08350372	
4.36837E-05	43.12468338	
4.39021E-05	41.36470795	
4.41205E-05	39.78578949	
4.43411E-05	38.34430695	
4.45617E-05	37.03908539	
4.49700E-05	34.89170837	
4.54197E-05	32.83119583	
4.56468E-05	31.88778305	
4.58740E-05	31.00695229	
4.61033E-05	30.16788673	
4.63327E-05	29.37474823	
4.65644E-05	28.61816406	
4.67961E-05	27.9077549	
4.70300E-05	27.24224663	
4.71470E-05	26.93416023	
4.72640E-05	26.64816666	
4.73811E-05	26.38926697	
4.74982E-05	26.16529846	
4.76153E-05	25.98755074	
4.77324E-05	25.87307167	
4.78231E-05	25.84425163	
4.79138E-05	25.88679886	
4.80045E-05	26.02563858	
4.80952E-05	26.29721642	
4.81656E-05	26.6330719	
4.82359E-05	27.11794853	
4.83062E-05	27.80426979	
4.83765E-05	28.76879311	
4.84310E-05	29.77939415	
4.84855E-05	31.10506821	
4.85400E-05	32.86059952	
4.85946E-05	35.21967316	
4.86368E-05	37.6346817	
4.86791E-05	40.77432632	
4.87214E-05	44.94670868	
4.87425E-05	47.57135773	
4.87637E-05	50.66929626	
4.87965E-05	56.72037125	
4.88130E-05	60.48534012	
4.88294E-05	64.88867188	
4.88458E-05	70.07237244	
4.88622E-05	76.20740509	
4.88786E-05	83.51767731	
4.88950E-05	92.25479889	
4.89121E-05	103.1763306	
4.89291E-05	116.3977509	
4.89449E-05	131.1273651	
4.89529E-05	139.5209961	
4.89607E-05	148.6832275	
4.89754E-05	167.8934937	
4.89827E-05	178.6921234	
4.89900E-05	190.3831482	
4.90036E-05	214.5455627	
4.90171E-05	242.2739105	
4.90292E-05	270.2993469	
4.90413E-05	301.7210999	
