TOF,usX	Sigma,barn
22.2	22.9944
22.24	22.4624
22.28	21.9417
22.32	21.4321
22.36	20.9335
22.4	20.4458
22.44	19.9689
22.48	19.5027
22.52	19.047
22.56	18.6017
22.6	18.1667
22.64	17.742
22.68	17.3272
22.72	16.9225
22.76	16.5275
22.8	16.1423
22.84	15.7666
22.88	15.4004
22.92	15.0436
22.96	14.696
23	14.3575
23.04	14.0281
23.08	13.7074
23.12	13.3956
23.16	13.0924
23.2	12.7977
23.24	12.5114
23.28	12.2334
23.32	11.9635
23.36	11.7017
23.4	11.4478
23.44	11.2017
23.48	10.9633
23.52	10.7325
23.56	10.5091
23.6	10.293
23.64	10.0841
23.68	9.88237
23.72	9.68757
23.76	9.49963
23.8	9.31841
23.84	9.14381
23.88	8.9757
23.92	8.81396
23.96	8.65849
24	8.50915
24.04	8.36582
24.08	8.2284
24.12	8.09675
24.16	7.97077
24.2	7.85032
24.24	7.73531
24.28	7.62559
24.32	7.52105
24.36	7.42158
24.4	7.32706
24.44	7.23737
24.48	7.15238
24.52	7.07198
24.56	6.99605
24.6	6.92447
24.64	6.85713
24.68	6.79389
24.72	6.73465
24.76	6.67928
24.8	6.62767
24.84	6.57969
24.88	6.53524
24.92	6.49418
24.96	6.4564
25	6.42178
25.04	6.39019
25.08	6.36154
25.12	6.33568
25.16	6.31251
25.2	6.2919
25.24	6.27374
25.28	6.25791
25.32	6.24428
25.36	6.23274
25.4	6.22317
25.44	6.21545
25.48	6.20946
25.52	6.20508
25.56	6.2022
25.6	6.20069
25.64	6.20043
25.68	6.20131
25.72	6.20321
25.76	6.206
25.8	6.20958
25.84	6.21381
25.88	6.21858
25.92	6.22378
25.96	6.22927
26	6.23495
26.04	6.2407
26.08	6.24639
26.12	6.2519
26.16	6.25718
26.2	6.26227
26.24	6.26728
26.28	6.27229
26.32	6.27738
26.36	6.28265
26.4	6.28818
26.44	6.29405
26.48	6.30036
26.52	6.30719
26.56	6.31464
26.6	6.32278
26.64	6.33168
26.68	6.34115
26.72	6.35091
26.76	6.36066
26.8	6.3701
26.84	6.37895
26.88	6.3869
26.92	6.39366
26.96	6.39894
27	6.40285
27.04	6.40598
27.08	6.40896
27.12	6.41245
27.16	6.41708
27.2	6.42347
27.24	6.43228
27.28	6.44415
27.32	6.4597
27.36	6.47957
27.4	6.50442
27.44	6.53462
27.48	6.56974
27.52	6.60917
27.56	6.65228
27.6	6.69845
27.64	6.74706
27.68	6.7975
27.72	6.84914
27.76	6.90137
27.8	6.95357
27.84	7.00511
27.88	7.05538
27.92	7.10377
