E(MeV)	Si-nat			
4.970410E-03	3.45806			
4.970660E-03	3.52207			
4.970690E-03	3.53017			
4.971130E-03	3.64262			
4.971560E-03	3.75585			
4.971990E-03	3.86986			
4.972290E-03	3.94968			
4.972420E-03	3.98215			
4.972990E-03	4.12547			
4.973170E-03	4.16939			
4.973570E-03	4.25918			
4.973760E-03	4.30156			
4.974340E-03	4.41715			
4.974430E-03	4.43127			
4.974930E-03	4.51226			
4.975520E-03	4.58367			
4.975720E-03	4.59965			
4.976110E-03	4.62852			
4.976400E-03	4.64064			
4.976540E-03	4.64166			
4.976960E-03	4.64376			
4.977010E-03	4.64182			
4.977490E-03	4.62217			
4.977520E-03	4.6205			
4.977960E-03	4.58298			
4.978090E-03	4.57179			
4.978440E-03	4.52746			
4.978650E-03	4.49965			
4.978910E-03	4.45583			
4.979390E-03	4.37436			
4.979400E-03	4.37215			
4.979860E-03	4.27662			
4.980150E-03	4.21582			
4.980310E-03	4.17865			
4.980740E-03	4.07944			
4.981160E-03	3.97831			
4.981590E-03	3.87531			
4.982010E-03	3.77056			
4.982400E-03	3.67358			
4.982440E-03	3.66497			
4.982860E-03	3.56595			
4.983270E-03	3.4698			
4.983500E-03	3.42088			
4.984140E-03	3.28381			
4.984790E-03	3.15779			
4.984990E-03	3.12351			
4.985440E-03	3.04464			
4.986310E-03	2.91289			
4.986690E-03	2.86403			
4.987180E-03	2.80132			
4.987330E-03	2.7846			
4.987910E-03	2.72274			
4.988050E-03	2.70784			
4.988340E-03	2.68135			
4.988770E-03	2.64273			
4.988920E-03	2.62982			
4.989200E-03	2.60865			
4.989610E-03	2.57865			
4.990020E-03	2.54936			
4.990220E-03	2.53587			
4.990300E-03	2.53116			
4.990580E-03	2.51552			
4.990850E-03	2.50019			
4.991120E-03	2.48516			
4.991400E-03	2.47043			
4.991690E-03	2.45519			
4.991960E-03	2.44155			
4.991980E-03	2.44046			
4.992270E-03	2.42819			
4.992560E-03	2.41622			
4.992850E-03	2.40453			
4.993140E-03	2.3931			
4.993430E-03	2.38194			
4.993730E-03	2.37102			
4.994020E-03	2.36032			
4.994310E-03	2.34984			
4.994560E-03	2.34077			
4.994580E-03	2.3402			
4.994830E-03	2.33327			
4.995080E-03	2.32646			
4.995330E-03	2.31978			
4.995580E-03	2.31321			
4.995830E-03	2.30675			
4.996070E-03	2.30038			
4.996320E-03	2.2941			
4.996570E-03	2.28791			
4.996820E-03	2.28179			
4.997070E-03	2.27574			
4.997170E-03	2.27329			
4.997320E-03	2.27063			
4.997560E-03	2.2662			
4.997810E-03	2.26182			
4.998060E-03	2.25749			
4.998310E-03	2.2532			
4.998480E-03	2.25037			
4.998810E-03	2.24474			
4.999140E-03	2.23918			
4.999470E-03	2.23367			
4.999770E-03	2.22861			
4.999800E-03	2.22829			
5.000080E-03	2.22462			
5.000510E-03	2.21916			
5.000940E-03	2.21375			
5.001360E-03	2.20838			
5.001790E-03	2.20305			
5.002080E-03	2.19951			
5.002640E-03	2.19246			
5.003210E-03	2.18545			
5.003780E-03	2.17846			
5.004630E-03	2.16801			
5.005490E-03	2.15759			
5.006620E-03	2.14373			
5.006720E-03	2.14251			
5.008900E-03	2.12358			
5.010200E-03	2.11228			
5.012310E-03	2.10394			
5.013130E-03	2.10074			
5.014020E-03	2.10011			
5.015160E-03	2.09933			
5.016290E-03	2.09856			
5.017430E-03	2.09782			
5.018000E-03	2.09745			
5.018280E-03	2.09743			
5.019110E-03	2.09736			
5.020210E-03	2.0973			
5.021320E-03	2.09725			
5.022420E-03	2.09721			
5.024640E-03	2.09715			
5.167500E-03	2.09439			
7.259900E-03	2.05616			
9.641600E-03	2.01144			
1.179500E-02	1.97183			
1.378800E-02	1.96784			
1.484800E-02	1.96608			
1.496560E-02	1.96585			
1.496970E-02	1.96585			
1.497170E-02	1.96586			
1.497330E-02	1.96588			
1.497480E-02	1.96591			
1.497590E-02	1.96594			
1.497690E-02	1.96598			
1.497790E-02	1.96604			
1.497900E-02	1.96611			
1.498000E-02	1.96619			
1.498090E-02	1.96617			
1.498180E-02	1.96616			
1.498310E-02	1.96616			
1.498440E-02	1.96618			
1.498530E-02	1.9662			
1.498700E-02	1.96627			
1.498960E-02	1.9664			
1.500100E-02	1.96703			
1.500450E-02	1.9672			
1.500710E-02	1.96728			
1.500950E-02	1.96733			
1.501250E-02	1.96734			
1.501700E-02	1.9673			
1.502150E-02	1.96722			
1.502380E-02	1.96714			
1.502600E-02	1.96701			
1.502750E-02	1.96688			
1.502830E-02	1.96679			
1.502970E-02	1.96657			
1.503090E-02	1.96636			
1.503200E-02	1.9661			
1.503310E-02	1.96613			
1.503410E-02	1.96613			
1.503520E-02	1.96609			
1.503680E-02	1.96597			
1.503840E-02	1.96579			
1.504100E-02	1.96543			
1.504370E-02	1.96506			
1.504530E-02	1.96488			
1.504630E-02	1.96477			
1.504740E-02	1.96469			
1.504850E-02	1.96464			
1.504940E-02	1.96461			
1.505030E-02	1.9646			
1.505120E-02	1.96461			
1.505210E-02	1.96463			
1.505340E-02	1.9647			
1.505470E-02	1.96479			
1.505600E-02	1.96491			
1.505780E-02	1.96508			
1.505950E-02	1.96528			
1.506300E-02	1.96569			
1.506580E-02	1.96603			
1.506650E-02	1.96602			
1.507000E-02	1.96598			
1.507170E-02	1.96597			
1.507350E-02	1.96597			
1.507520E-02	1.96598			
1.507660E-02	1.96601			
1.507700E-02	1.96602			
1.507800E-02	1.96592			
1.507910E-02	1.96581			
1.508080E-02	1.96567			
1.508270E-02	1.96552			
1.508460E-02	1.96538			
1.508840E-02	1.96513			
1.509610E-02	1.96465			
1.510080E-02	1.96436			
1.510270E-02	1.96425			
1.510420E-02	1.96419			
1.510510E-02	1.96417			
1.510610E-02	1.96415			
1.510700E-02	1.96416			
1.510770E-02	1.96418			
1.510850E-02	1.96422			
1.510920E-02	1.96429			
1.510990E-02	1.96437			
1.511060E-02	1.96448			
1.511130E-02	1.96462			
1.511200E-02	1.96479			
1.511270E-02	1.965			
1.511350E-02	1.96524			
1.511420E-02	1.96551			
1.511490E-02	1.96582			
1.511510E-02	1.96594			
1.511560E-02	1.96584			
1.511630E-02	1.96574			
1.511700E-02	1.96566			
1.511800E-02	1.96561			
1.511890E-02	1.96561			
1.511990E-02	1.96564			
1.512130E-02	1.96576			
1.512320E-02	1.96599			
1.513040E-02	1.96711			
1.513320E-02	1.96744			
1.513510E-02	1.96755			
1.513700E-02	1.96753			
1.513870E-02	1.96737			
1.514010E-02	1.96712			
1.514140E-02	1.96674			
1.514280E-02	1.9662			
1.514350E-02	1.96584			
1.514420E-02	1.96589			
1.514490E-02	1.96585			
1.514520E-02	1.96595			
1.514560E-02	1.96603			
1.514660E-02	1.96615			
1.514760E-02	1.96613			
1.514870E-02	1.96595			
1.514900E-02	1.96584			
1.514950E-02	1.96612			
1.515060E-02	1.96653			
1.515170E-02	1.96678			
1.515270E-02	1.96689			
1.515380E-02	1.96687			
1.515540E-02	1.96665			
1.515750E-02	1.96616			
1.516020E-02	1.96548			
1.516150E-02	1.96522			
1.516250E-02	1.9651			
1.516330E-02	1.96506			
1.516410E-02	1.96508			
1.516490E-02	1.96516			
1.516570E-02	1.9653			
1.516630E-02	1.96544			
1.516690E-02	1.96563			
1.516750E-02	1.96584			
1.516760E-02	1.96581			
1.516820E-02	1.96556			
1.516880E-02	1.96534			
1.516940E-02	1.96515			
1.517010E-02	1.965			
1.517070E-02	1.96487			
1.517130E-02	1.96478			
1.517190E-02	1.96471			
1.517290E-02	1.96464			
1.517380E-02	1.96461			
1.517480E-02	1.96461			
1.517600E-02	1.96465			
1.517720E-02	1.96472			
1.517850E-02	1.96481			
1.517970E-02	1.96492			
1.518100E-02	1.96505			
1.518230E-02	1.96519			
1.518350E-02	1.96535			
1.518470E-02	1.96554			
1.518600E-02	1.96574			
1.518710E-02	1.96559			
1.518820E-02	1.96545			
1.518920E-02	1.96533			
1.519090E-02	1.96518			
1.519250E-02	1.96505			
1.519460E-02	1.9649			
1.519790E-02	1.96471			
1.522270E-02	1.96338			
1.522700E-02	1.96317			
1.522910E-02	1.96309			
1.523070E-02	1.96307			
1.523180E-02	1.96308			
1.523290E-02	1.96312			
1.523400E-02	1.96319			
1.523510E-02	1.9633			
1.523610E-02	1.96346			
1.523720E-02	1.96367			
1.523830E-02	1.96393			
1.523940E-02	1.96425			
1.524040E-02	1.96463			
1.524150E-02	1.96506			
1.524260E-02	1.96555			
1.524290E-02	1.96569			
1.524370E-02	1.96533			
1.524480E-02	1.96491			
1.524580E-02	1.96457			
1.524690E-02	1.96432			
1.524770E-02	1.9642			
1.524850E-02	1.96416			
1.524930E-02	1.96421			
1.525010E-02	1.96437			
1.525100E-02	1.96465			
1.525180E-02	1.96507			
1.525260E-02	1.96565			
1.525260E-02	1.9657			
1.525340E-02	1.96497			
1.525420E-02	1.96438			
1.525500E-02	1.96397			
1.525580E-02	1.96376			
1.525660E-02	1.96374			
1.525740E-02	1.96392			
1.525820E-02	1.9643			
1.525910E-02	1.96486			
1.525990E-02	1.96561			
1.525990E-02	1.96568			
1.526070E-02	1.96496			
1.526190E-02	1.96414			
1.526310E-02	1.96372			
1.526430E-02	1.96373			
1.526560E-02	1.9642			
1.526680E-02	1.96515			
1.526730E-02	1.96572			
1.526800E-02	1.96508			
1.526910E-02	1.9646			
1.527020E-02	1.96459			
1.527140E-02	1.96507			
1.527210E-02	1.9657			
1.527250E-02	1.96532			
1.527420E-02	1.96453			
1.527590E-02	1.96483			
1.527700E-02	1.96578			
1.527770E-02	1.96511			
1.527980E-02	1.96453			
1.528460E-02	1.96607			
1.528640E-02	1.96546			
1.528660E-02	1.96596			
1.528800E-02	1.96717			
1.528950E-02	1.96654			
1.529010E-02	1.96544			
