E(MeV)	pendfb7/Zn:1
2.20527E-04	20.7822
2.20546E-04	21.0311
2.20603E-04	21.8345
2.20627E-04	22.1863
2.20678E-04	22.9824
2.20708E-04	23.4551
2.20775E-04	24.6081
2.20788E-04	24.8443
2.20839E-04	25.8091
2.20869E-04	26.3785
2.20904E-04	27.1032
2.20949E-04	28.0695
2.20968E-04	28.4985
2.21030E-04	29.9358
2.21033E-04	30.0032
2.21097E-04	31.6543
2.21111E-04	32.0054
2.21162E-04	33.4364
2.21178E-04	33.8972
2.21221E-04	35.2164
2.21258E-04	36.3963
2.21301E-04	37.8537
2.21339E-04	39.1612
2.21382E-04	40.7755
2.21420E-04	42.2235
2.21463E-04	44.0096
2.21500E-04	45.6109
2.21543E-04	47.5828
2.21581E-04	49.3493
2.21624E-04	51.5195
2.21662E-04	53.4593
2.21697E-04	55.3893
2.21742E-04	57.9616
2.21769E-04	59.576
2.21823E-04	62.862
2.21842E-04	64.0823
2.21904E-04	68.1565
2.21914E-04	68.9032
2.21984E-04	73.8362
2.22011E-04	75.837
2.22103E-04	82.8197
2.22288E-04	97.6404
2.22413E-04	107.607
2.22445E-04	110.145
2.22510E-04	114.943
2.22542E-04	117.282
2.22607E-04	121.564
2.22639E-04	123.632
2.22682E-04	126.046
2.22725E-04	128.363
2.22746E-04	129.35
2.22789E-04	131.221
2.22811E-04	131.989
2.22854E-04	133.414
2.22875E-04	133.947
2.22918E-04	134.892
2.22940E-04	135.162
2.22991E-04	135.669
2.22998E-04	135.691
2.23012E-04	135.7
2.23056E-04	135.439
2.23086E-04	135.174
2.23125E-04	134.466
2.23150E-04	133.919
2.23189E-04	132.772
2.23215E-04	131.94
2.23254E-04	130.436
2.23258E-04	130.259
2.23318E-04	127.343
2.23344E-04	126.032
2.23404E-04	122.475
2.23430E-04	120.894
2.23490E-04	116.822
2.23512E-04	115.328
2.23619E-04	107.291
2.23634E-04	106.151
2.23884E-04	86.5476
2.23908E-04	84.6259
2.23976E-04	79.5658
2.24009E-04	77.1104
2.24069E-04	72.9638
2.24110E-04	70.075
2.24161E-04	66.7783
2.24188E-04	65.0565
2.24234E-04	62.2874
2.24269E-04	60.2072
2.24306E-04	58.1014
2.24349E-04	55.7404
2.24379E-04	54.2211
2.24430E-04	51.6495
2.24451E-04	50.6393
2.24510E-04	47.9193
2.24524E-04	47.3439
2.24580E-04	44.9739
2.24591E-04	44.5303
2.24645E-04	42.4611
2.24661E-04	41.8521
2.24709E-04	40.1401
2.24731E-04	39.3938
2.24774E-04	37.9956
2.24801E-04	37.1385
2.24838E-04	36.0145
2.24870E-04	35.0695
2.24903E-04	34.184
2.24940E-04	33.1708
2.24967E-04	32.4922
2.25010E-04	31.4273
2.25032E-04	30.9277
2.25080E-04	29.8257
2.25102E-04	29.3659
2.25150E-04	28.3528
2.25177E-04	27.8299
2.25247E-04	26.4997
2.25252E-04	26.4055
2.25327E-04	25.1162
2.25344E-04	24.8454
2.25403E-04	23.9313
2.25440E-04	23.3611
2.25478E-04	22.8349
2.25537E-04	22.0243
2.25553E-04	21.8198
2.25628E-04	20.8839
2.25634E-04	20.8183
2.25709E-04	19.9677
2.25731E-04	19.7295
2.25795E-04	19.0661
2.25827E-04	18.741
2.25881E-04	18.237
2.25924E-04	17.8418
2.25967E-04	17.4746
2.26031E-04	16.9347
2.26053E-04	16.7677
2.26139E-04	16.1128
2.26225E-04	15.5154
2.26246E-04	15.3692
2.26354E-04	14.7007
2.26408E-04	14.3743
2.26462E-04	14.0796
2.26569E-04	13.5029
2.26676E-04	12.9908
2.26730E-04	12.7397
2.26784E-04	12.5126
2.26891E-04	12.0673
2.26913E-04	11.9798
2.26999E-04	11.6651
2.27107E-04	11.2789
2.27214E-04	10.9369
2.27300E-04	10.6687
2.27354E-04	10.5169
2.27493E-04	10.1308
2.27633E-04	9.78709
2.27687E-04	9.65752
2.27773E-04	9.47008
2.27913E-04	9.17157
2.27923E-04	9.14902
2.28053E-04	8.9048
2.28139E-04	8.74497
2.28192E-04	8.65388
2.28332E-04	8.42144
2.28353E-04	8.38634
2.28504E-04	8.16642
2.28676E-04	7.92034
2.28848E-04	7.70785
2.28998E-04	7.52555
2.29020E-04	7.50242
2.29192E-04	7.32111
2.29321E-04	7.18761
2.29364E-04	7.14716
2.29536E-04	6.98833
2.29708E-04	6.84818
2.29923E-04	6.67635
2.29966E-04	6.64265
2.30138E-04	6.52527
2.30353E-04	6.38149
2.30396E-04	6.35326
2.30568E-04	6.25413
2.30783E-04	6.13254
2.30826E-04	6.10864
2.30998E-04	6.02412
2.31213E-04	5.92033
2.31256E-04	5.89991
2.31428E-04	5.82876
2.31707E-04	5.7154
2.31858E-04	5.65558
2.31987E-04	5.61154
2.32266E-04	5.51813
2.32460E-04	5.45467
2.32546E-04	5.43016
2.32826E-04	5.35205
2.33062E-04	5.28712
2.33105E-04	5.27676
2.33385E-04	5.21067
2.33664E-04	5.14569
2.33997E-04	5.07965
2.34331E-04	5.01488
2.34438E-04	4.99435
2.34664E-04	4.95853
2.34997E-04	4.90666
2.35330E-04	4.85567
2.35599E-04	4.81534
2.35830E-04	4.78701
2.36330E-04	4.72725
2.36760E-04	4.67691
2.37190E-04	4.63625
2.37620E-04	4.59635
2.38050E-04	4.55713
2.38480E-04	4.52516
2.39125E-04	4.47819
2.39340E-04	4.46287
2.39770E-04	4.43773
2.40415E-04	4.40088
2.41060E-04	4.36479
2.41705E-04	4.33719
2.42350E-04	4.31017
2.42995E-04	4.28364
2.43640E-04	4.25756
2.43694E-04	4.25595
2.44419E-04	4.23466
2.45145E-04	4.21379
2.45871E-04	4.19327
2.46596E-04	4.17307
2.47080E-04	4.15982
2.47510E-04	4.15101
2.48370E-04	4.13374
2.49230E-04	4.11678
2.50090E-04	4.10008
2.50520E-04	4.09185
2.50950E-04	4.08567
2.52240E-04	4.06754
2.53530E-04	4.04981
2.54820E-04	4.03243
2.55680E-04	4.02104
2.56110E-04	4.01695
2.57400E-04	4.00496
2.58690E-04	3.99322
2.59980E-04	3.98173
2.61216E-04	3.97094
2.62345E-04	3.96128
2.63474E-04	3.95183
2.63850E-04	3.94872
2.64817E-04	3.94087
2.65785E-04	3.93321
2.66000E-04	3.93156
2.66752E-04	3.92573
2.67720E-04	3.91851
2.68580E-04	3.91236
2.69225E-04	3.90797
2.69870E-04	3.9038
2.70515E-04	3.89991
2.71160E-04	3.89636
2.71749E-04	3.89349
2.72141E-04	3.89182
2.72534E-04	3.89037
2.72730E-04	3.88977
2.72926E-04	3.88831
2.73319E-04	3.88571
2.73711E-04	3.88349
2.74006E-04	3.88213
2.74300E-04	3.88107
2.74544E-04	3.88046
2.74788E-04	3.88012
2.75031E-04	3.8801
