E(MeV)	pendfb7/Gd152:1	
6.456E-09	1769.95982	
6.539E-09	1760.74877	
6.650E-09	1748.27589	
6.763E-09	1736.13606	
6.849E-09	1726.88928	
6.959E-09	1715.5983	
6.995E-09	1711.91291	
7.055E-09	1705.83939	
7.236E-09	1688.10585	
7.266E-09	1685.10005	
7.484E-09	1664.67044	
7.709E-09	1644.5214	
7.741E-09	1641.72674	
7.940E-09	1624.67279	
8.007E-09	1619.14005	
8.178E-09	1605.09623	
8.282E-09	1596.90408	
8.380E-09	1589.21936	
8.423E-09	1585.81714	
8.566E-09	1575.04059	
8.676E-09	1566.83221	
8.861E-09	1553.53221	
8.936E-09	1548.1308	
9.165E-09	1532.35964	
9.204E-09	1529.68644	
9.480E-09	1511.51725	
9.764E-09	1493.59739	
9.805E-09	1491.11186	
1.006E-08	1475.9445	
1.014E-08	1471.02379	
1.030E-08	1461.61949	
1.036E-08	1458.53916	
1.049E-08	1451.2673	
1.067E-08	1441.42029	
1.085E-08	1431.83769	
1.099E-08	1424.53868	
1.122E-08	1412.71079	
1.132E-08	1407.90727	
1.161E-08	1393.88145	
1.166E-08	1391.50404	
1.201E-08	1375.34512	
1.237E-08	1359.40727	
1.242E-08	1357.19657	
1.274E-08	1343.70611	
1.285E-08	1339.32916	
1.300E-08	1333.18768	
1.312E-08	1328.22836	
1.329E-08	1321.75971	
1.351E-08	1313.00036	
1.374E-08	1304.47469	
1.392E-08	1297.98072	
1.422E-08	1287.45775	
1.434E-08	1283.18419	
1.470E-08	1270.70488	
1.477E-08	1268.58964	
1.521E-08	1254.21148	
1.566E-08	1240.02923	
1.580E-08	1236.07797	
1.613E-08	1226.05691	
1.641E-08	1218.23361	
1.662E-08	1212.27462	
1.689E-08	1204.99752	
1.704E-08	1200.66607	
1.712E-08	1198.70934	
1.763E-08	1185.34465	
1.770E-08	1183.49085	
1.816E-08	1172.1784	
1.839E-08	1166.65747	
1.870E-08	1159.19182	
1.910E-08	1150.09296	
1.926E-08	1146.39778	
1.984E-08	1133.77803	
2.044E-08	1121.34508	
2.061E-08	1117.87906	
2.105E-08	1109.08119	
2.141E-08	1102.21839	
2.168E-08	1096.99842	
2.224E-08	1086.80696	
2.233E-08	1085.07951	
2.300E-08	1073.33608	
2.310E-08	1071.69904	
2.369E-08	1061.75122	
2.389E-08	1058.5231	
2.440E-08	1050.33609	
2.471E-08	1045.56764	
2.526E-08	1037.19753	
2.527E-08	1037.01503	
2.530E-08	1036.54921	
2.606E-08	1025.50517	
2.617E-08	1023.97292	
2.684E-08	1014.62261	
2.718E-08	1010.05815	
2.765E-08	1003.88591	
2.823E-08	996.361451	
2.847E-08	993.305646	
2.933E-08	982.866772	
3.021E-08	972.579661	
3.046E-08	969.71109	
3.111E-08	962.429724	
3.164E-08	956.748361	
3.205E-08	952.42701	
3.287E-08	943.987748	
3.301E-08	942.5573	
3.400E-08	932.830302	
3.414E-08	931.473994	
3.502E-08	923.232125	
3.546E-08	919.213678	
3.607E-08	913.772182	
3.653E-08	909.803508	
3.684E-08	907.136562	
3.715E-08	904.447015	
3.826E-08	895.263666	
3.941E-08	886.20158	
3.974E-08	883.675715	
4.059E-08	877.269707	
4.128E-08	872.266376	
4.181E-08	868.455365	
4.288E-08	861.021957	
4.306E-08	859.767314	
4.435E-08	851.193215	
4.473E-08	848.803125	
4.568E-08	842.741474	
4.646E-08	838.006469	
4.705E-08	834.399832	
4.826E-08	827.363714	
4.846E-08	826.176125	
4.992E-08	818.058148	
5.141E-08	810.053451	
5.163E-08	808.93666	
5.295E-08	802.150329	
5.363E-08	798.839619	
5.454E-08	794.356493	
5.594E-08	787.776278	
5.618E-08	786.660929	
5.665E-08	784.51466	
5.786E-08	779.08205	
5.835E-08	776.968363	
5.960E-08	771.603142	
6.087E-08	766.357689	
6.138E-08	764.227424	
6.322E-08	756.944357	
6.512E-08	749.761059	
6.567E-08	747.756193	
6.707E-08	742.667194	
6.850E-08	737.690693	
6.908E-08	735.669657	
7.116E-08	728.758361	
7.206E-08	725.862024	
7.329E-08	721.940012	
7.517E-08	716.180938	
7.549E-08	715.204772	
7.775E-08	708.559174	
7.808E-08	707.631398	
8.008E-08	701.993636	
8.076E-08	700.161398	
8.248E-08	695.514554	
8.389E-08	691.880636	
8.496E-08	689.112696	
8.750E-08	682.794474	
8.787E-08	681.912217	
9.013E-08	676.551052	
9.283E-08	670.388599	
9.362E-08	668.667256	
9.561E-08	664.307854	
9.642E-08	662.611239	
9.848E-08	658.308349	
9.974E-08	655.786643	
1.014E-07	652.376703	
1.032E-07	649.049227	
1.045E-07	646.518287	
1.072E-07	641.564484	
1.076E-07	640.724813	
1.108E-07	635.002285	
1.137E-07	630.162996	
1.142E-07	629.342735	
1.176E-07	623.751752	
1.191E-07	621.400584	
1.211E-07	618.22125	
1.232E-07	615.117379	
1.247E-07	612.756518	
1.269E-07	609.687355	
1.285E-07	607.349586	
1.307E-07	604.314296	
1.323E-07	602.005599	
1.357E-07	597.483278	
1.363E-07	596.716743	
1.404E-07	591.488037	
1.446E-07	586.311822	
1.471E-07	583.404418	
1.489E-07	581.192992	
1.508E-07	579.038041	
1.534E-07	576.133158	
1.540E-07	575.429445	
1.580E-07	571.135188	
1.600E-07	569.030725	
1.627E-07	566.184995	
1.662E-07	562.701813	
1.676E-07	561.287238	
1.726E-07	556.434712	
1.778E-07	551.632016	
1.801E-07	549.608522	
1.831E-07	546.872277	
1.886E-07	542.160455	
1.902E-07	540.840504	
1.943E-07	537.490039	
1.959E-07	536.182057	
2.001E-07	532.864804	
2.010E-07	532.216417	
2.061E-07	528.276394	
2.070E-07	527.636027	
2.123E-07	523.728319	
2.168E-07	520.517304	
2.187E-07	519.214348	
2.205E-07	517.948849	
2.252E-07	514.7539	
2.320E-07	510.332384	
2.389E-07	505.948173	
2.399E-07	505.332986	
2.461E-07	501.594715	
2.482E-07	500.373411	
2.535E-07	497.275988	
2.556E-07	496.063413	
2.611E-07	492.985505	
2.666E-07	489.957061	
2.689E-07	488.727162	
2.770E-07	484.494541	
2.853E-07	480.291464	
2.938E-07	476.111568	
2.951E-07	475.526833	
3.026E-07	471.980487	
3.117E-07	467.874396	
3.197E-07	464.382721	
3.211E-07	463.793379	
3.293E-07	460.319969	
3.307E-07	459.731225	
3.406E-07	455.691538	
3.508E-07	451.668142	
3.613E-07	447.66458	
3.722E-07	443.67471	
3.737E-07	443.119685	
3.833E-07	439.732755	
3.882E-07	438.062338	
3.948E-07	435.803538	
3.982E-07	434.697094	
4.067E-07	431.890973	
4.084E-07	431.33927	
4.189E-07	427.98677	
4.260E-07	425.775342	
4.314E-07	424.093289	
4.444E-07	420.206583	
4.500E-07	418.559999	
4.577E-07	416.350263	
4.714E-07	412.513751	
4.855E-07	408.685502	
4.876E-07	408.144853	
5.001E-07	404.859517	
5.022E-07	404.321592	
5.151E-07	401.039014	
5.195E-07	399.956799	
5.283E-07	397.76477	
5.418E-07	394.525192	
5.557E-07	391.285986	
5.700E-07	388.046256	
5.846E-07	384.805098	
5.996E-07	381.561612	
6.098E-07	379.406416	
6.124E-07	378.867142	
6.150E-07	378.327869	
6.281E-07	375.656881	
6.308E-07	375.117256	
6.415E-07	372.983832	
6.469E-07	371.903538	
6.635E-07	368.683483	
6.692E-07	367.616752	
6.805E-07	365.456085	
6.921E-07	363.30855	
6.980E-07	362.234974	
7.159E-07	359.033689	
7.343E-07	355.82486	
7.531E-07	352.607883	
7.724E-07	349.381247	
7.757E-07	348.846219	
7.889E-07	346.717895	
7.922E-07	346.181314	
8.023E-07	344.588728	
8.125E-07	342.978118	
8.229E-07	341.379717	
8.334E-07	339.763225	
8.548E-07	336.535612	
8.584E-07	335.999939	
8.767E-07	333.333765	
8.992E-07	330.126148	
9.222E-07	326.903899	
9.419E-07	324.21018	
9.459E-07	323.674238	
9.701E-07	320.47004	
9.784E-07	319.405505	
9.950E-07	317.249287	
9.992E-07	316.71384	
1.012E-06	315.098424	
1.019E-06	314.19211	
1.026E-06	313.301636	
1.041E-06	311.550137	
1.063E-06	308.892921	
1.085E-06	306.227588	
1.108E-06	303.553992	
1.116E-06	302.660135	
1.131E-06	300.901936	
1.155E-06	298.23223	
1.179E-06	295.553977	
1.196E-06	293.783642	
1.213E-06	291.993626	
1.230E-06	290.239446	
1.247E-06	288.435771	
1.256E-06	287.551658	
1.282E-06	284.84943	
1.318E-06	281.299472	
1.355E-06	277.719702	
1.374E-06	275.939229	
1.394E-06	274.144891	
1.433E-06	270.574429	
1.473E-06	266.971318	
1.515E-06	263.413357	
1.558E-06	259.821647	
1.579E-06	258.033763	
1.591E-06	257.136356	
1.602E-06	256.23895	
1.624E-06	254.476799	
1.647E-06	252.664927	
1.693E-06	249.052396	
