E(MeV)	"ENDF/B-VIII.b5: SE-82(N,TOT)"	
3.57039E-03	4.46175	
3.57263E-03	4.46259	
3.57411E-03	4.46323	
3.57560E-03	4.46395	
3.57751E-03	4.46501	
3.57943E-03	4.46625	
3.58134E-03	4.46768	
3.58261E-03	4.46876	
3.58389E-03	4.46996	
3.58516E-03	4.47128	
3.58633E-03	4.47261	
3.58793E-03	4.47466	
3.58899E-03	4.47618	
3.59005E-03	4.47784	
3.59111E-03	4.47967	
3.59217E-03	4.48167	
3.59324E-03	4.48386	
3.59430E-03	4.48628	
3.59557E-03	4.48951	
3.59685E-03	4.49316	
3.59770E-03	4.49586	
3.59855E-03	4.4988	
3.59940E-03	4.502	
3.60025E-03	4.5055	
3.60110E-03	4.50933	
3.60184E-03	4.5136	
3.60259E-03	4.51819	
3.60333E-03	4.52314	
3.60407E-03	4.52848	
3.60482E-03	4.53427	
3.60556E-03	4.54056	
3.60631E-03	4.54741	
3.60705E-03	4.5549	
3.60785E-03	4.56374	
3.60864E-03	4.57355	
3.60918E-03	4.58071	
3.60971E-03	4.58843	
3.61024E-03	4.59676	
3.61077E-03	4.60579	
3.61130E-03	4.61559	
3.61178E-03	4.62514	
3.61226E-03	4.63547	
3.61273E-03	4.64668	
3.61321E-03	4.65886	
3.61369E-03	4.67213	
3.61417E-03	4.68665	
3.61465E-03	4.70256	
3.61513E-03	4.72006	
3.61550E-03	4.73491	
3.61555E-03	4.73721	
3.61587E-03	4.75225	
3.61624E-03	4.77117	
3.61661E-03	4.7916	
3.61698E-03	4.81376	
3.61736E-03	4.83784	
3.61773E-03	4.86411	
3.61810E-03	4.89288	
3.61840E-03	4.91792	
3.61870E-03	4.94499	
3.61899E-03	4.97434	
3.61929E-03	5.00625	
3.61959E-03	5.04105	
3.61989E-03	5.07913	
3.62018E-03	5.12095	
3.62039E-03	5.15387	
3.62048E-03	5.16786	
3.62071E-03	5.20974	
3.62095E-03	5.25503	
3.62118E-03	5.30417	
3.62142E-03	5.35767	
3.62165E-03	5.41612	
3.62188E-03	5.48024	
3.62212E-03	5.55088	
3.62235E-03	5.62908	
3.62252E-03	5.69173	
3.62254E-03	5.69994	
3.62273E-03	5.78058	
3.62292E-03	5.86895	
3.62311E-03	5.96622	
3.62331E-03	6.07385	
3.62345E-03	6.1624	
3.62359E-03	6.25859	
3.62374E-03	6.36343	
3.62379E-03	6.41013	
3.62388E-03	6.48073	
3.62403E-03	6.61609	
3.62418E-03	6.76514	
3.62433E-03	6.92989	
3.62448E-03	7.11261	
3.62459E-03	7.26306	
3.62465E-03	7.34858	
3.62470E-03	7.4284	
3.62481E-03	7.61026	
3.62492E-03	7.80784	
3.62503E-03	8.02284	
3.62507E-03	8.1004	
3.62513E-03	8.22527	
3.62525E-03	8.49591	
3.62536E-03	8.79182	
3.62548E-03	9.11554	
3.62560E-03	9.46979	
3.62561E-03	9.52967	
3.62571E-03	9.86448	
3.62583E-03	10.2968	
3.62595E-03	10.7685	
3.62602E-03	11.0977	
3.62604E-03	11.1875	
3.62615E-03	11.7216	
3.62627E-03	12.2995	
3.62638E-03	12.9234	
3.62641E-03	13.1412	
3.62649E-03	13.6019	
3.62660E-03	14.3338	
3.62667E-03	14.8143	
3.62673E-03	15.2396	
3.62686E-03	16.2216	
3.62698E-03	17.2756	
3.62701E-03	17.5009	
3.62711E-03	18.4117	
3.62724E-03	19.6219	
3.62735E-03	20.7406	
3.62741E-03	21.3483	
3.62758E-03	23.1987	
3.62769E-03	24.4739	
3.62779E-03	25.659	
3.62804E-03	28.7732	
3.62855E-03	35.1206	
3.62871E-03	36.9121	
3.62881E-03	38.0977	
3.62898E-03	39.9103	
3.62905E-03	40.5639	
3.62915E-03	41.532	
3.62930E-03	42.7887	
3.62932E-03	42.9261	
3.62946E-03	43.8983	
3.62952E-03	44.1709	
3.62961E-03	44.6584	
3.62973E-03	45.1133	
3.62974E-03	45.1444	
3.62986E-03	45.437	
3.63000E-03	45.5525	
3.63016E-03	45.395	
3.63024E-03	45.1738	
3.63032E-03	44.9387	
3.63048E-03	44.206	
3.63051E-03	44.0095	
3.63064E-03	43.202	
3.63080E-03	41.9833	
3.63095E-03	40.5887	
3.63109E-03	39.189	
3.63116E-03	38.4818	
3.63136E-03	36.1505	
3.63143E-03	35.32	
3.63168E-03	32.1919	
3.63211E-03	26.9049	
3.63228E-03	24.8791	
3.63231E-03	24.4764	
3.63252E-03	22.1872	
3.63262E-03	21.1103	
3.63267E-03	20.5761	
3.63280E-03	19.314	
3.63292E-03	18.1223	
3.63296E-03	17.8236	
3.63305E-03	17.0103	
3.63318E-03	15.9738	
3.63325E-03	15.4406	
3.63332E-03	14.9434	
3.63342E-03	14.2175	
3.63353E-03	13.5376	
3.63361E-03	12.9972	
3.63363E-03	12.9034	
3.63373E-03	12.3196	
3.63384E-03	11.7764	
3.63394E-03	11.2717	
3.63398E-03	11.1137	
3.63405E-03	10.8082	
3.63416E-03	10.3418	
3.63426E-03	9.98948	
3.63429E-03	9.87535	
3.63435E-03	9.66449	
3.63448E-03	9.26792	
3.63460E-03	8.90743	
3.63467E-03	8.73302	
3.63473E-03	8.58288	
3.63485E-03	8.29163	
3.63498E-03	8.02695	
3.63510E-03	7.78617	
3.63521E-03	7.58913	
3.63523E-03	7.55454	
3.63532E-03	7.41209	
3.63543E-03	7.25007	
3.63555E-03	7.10067	
3.63569E-03	6.91897	
3.63584E-03	6.75491	
3.63599E-03	6.60626	
3.63603E-03	6.56763	
3.63614E-03	6.47487	
3.63629E-03	6.35678	
3.63643E-03	6.25267	
3.63658E-03	6.15703	
3.63677E-03	6.04101	
3.63696E-03	5.93637	
3.63715E-03	5.84151	
3.63731E-03	5.76949	
3.63734E-03	5.75571	
3.63753E-03	5.68037	
3.63772E-03	5.61143	
3.63795E-03	5.53806	
3.63820E-03	5.46225	
3.63846E-03	5.39383	
3.63871E-03	5.33176	
3.63897E-03	5.27519	
3.63901E-03	5.26656	
3.63922E-03	5.22555	
3.63948E-03	5.18054	
3.63973E-03	5.13922	
3.64001E-03	5.09739	
