E(MeV)	"GA-71(N,TOT)"
9.74044E-05	60.9275
9.74082E-05	60.6622
9.74541E-05	57.6558
9.74618E-05	57.1807
9.75001E-05	54.8969
9.75193E-05	53.8129
9.75461E-05	52.3509
9.75767E-05	50.7627
9.75920E-05	49.9964
9.76341E-05	48.0142
9.76610E-05	46.8028
9.77131E-05	44.5984
9.77222E-05	44.2296
9.77778E-05	42.1116
9.77835E-05	41.9012
9.78448E-05	39.7867
9.78640E-05	39.1616
9.79061E-05	37.8491
9.79501E-05	36.5495
9.79674E-05	36.0628
9.80286E-05	34.4219
9.80363E-05	34.2269
9.80899E-05	32.9192
9.81225E-05	32.1634
9.81512E-05	31.5232
9.82086E-05	30.3103
9.82278E-05	29.9214
9.82948E-05	28.6377
9.83044E-05	28.4611
9.83810E-05	27.1258
9.83810E-05	27.1258
9.84576E-05	25.9091
9.84768E-05	25.6203
9.85342E-05	24.7955
9.86108E-05	23.7506
9.86204E-05	23.6261
9.86874E-05	22.8035
9.87640E-05	21.9073
9.87640E-05	21.9073
9.88597E-05	20.8998
9.89076E-05	20.4233
9.89555E-05	19.9707
9.90512E-05	19.1138
9.90512E-05	19.1138
9.91470E-05	18.3403
9.91997E-05	17.9359
9.92428E-05	17.6211
9.93385E-05	16.9558
9.93577E-05	16.8288
9.94342E-05	16.346
9.95156E-05	15.8564
9.95300E-05	15.7739
9.96449E-05	15.147
9.96736E-05	14.9981
9.97598E-05	14.575
9.98747E-05	14.0388
9.98843E-05	13.9963
9.99896E-05	13.5537
1.00078E-04	13.2004
1.00105E-04	13.0993
1.00277E-04	12.4848
1.00342E-04	12.2662
1.00449E-04	11.9319
1.00602E-04	11.4811
1.00607E-04	11.4689
1.00756E-04	11.0793
1.00871E-04	10.792
1.00909E-04	10.7033
1.01048E-04	10.3917
1.01062E-04	10.3612
1.01215E-04	10.0518
1.01368E-04	9.75685
1.01400E-04	9.69815
1.01522E-04	9.49074
1.01675E-04	9.24038
1.01758E-04	9.11063
1.01854E-04	8.97062
1.02033E-04	8.72226
1.02116E-04	8.61362
1.02213E-04	8.49338
1.02392E-04	8.28151
1.02473E-04	8.18966
1.02571E-04	8.08688
1.02840E-04	7.82006
1.03012E-04	7.65948
1.03109E-04	7.57648
1.03382E-04	7.3569
1.03556E-04	7.22431
1.03655E-04	7.15532
1.03928E-04	6.97486
1.04100E-04	6.86628
1.04200E-04	6.80811
1.04473E-04	6.65722
1.04649E-04	6.56412
1.04748E-04	6.51615
1.05025E-04	6.38834
1.05302E-04	6.26614
1.05385E-04	6.231
1.05670E-04	6.12174
1.06039E-04	5.9882
1.06126E-04	5.95835
1.06413E-04	5.86941
1.06787E-04	5.75944
1.07161E-04	5.65459
1.07245E-04	5.63214
1.07535E-04	5.56308
1.07914E-04	5.47687
1.08294E-04	5.39423
1.08380E-04	5.37623
1.08673E-04	5.32118
1.09052E-04	5.2528
1.09525E-04	5.17142
1.09629E-04	5.15539
1.10206E-04	5.07153
1.10786E-04	4.99143
1.11070E-04	4.95388
1.11371E-04	4.91871
1.11956E-04	4.85339
1.12547E-04	4.79017
1.12637E-04	4.78083
1.13140E-04	4.73556
1.13733E-04	4.6843
1.14536E-04	4.61774
1.15026E-04	4.57868
1.15338E-04	4.55714
1.16151E-04	4.50328
1.16965E-04	4.45149
1.17472E-04	4.42031
1.17790E-04	4.4033
1.18615E-04	4.36073
1.19452E-04	4.31893
1.20289E-04	4.27833
1.20810E-04	4.25382
1.21561E-04	4.2235
1.22846E-04	4.17365
1.24143E-04	4.12503
1.25113E-04	4.0899
1.25895E-04	4.06551
1.27222E-04	4.02539
1.29017E-04	3.97263
1.30484E-04	3.93071
1.30837E-04	3.92206
1.32683E-04	3.87812
1.34555E-04	3.83462
1.36453E-04	3.7914
1.38005E-04	3.7567
1.38378E-04	3.74958
1.40331E-04	3.71307
1.43314E-04	3.65836
1.45239E-04	3.62369
1.45959E-04	3.61098
1.49366E-04	3.56109
1.52542E-04	3.51569
1.54372E-04	3.49014
1.56876E-04	3.46243
1.60204E-04	3.42659
1.60998E-04	3.41824
1.63610E-04	3.39854
1.66741E-04	3.37585
1.68259E-04	3.37016
1.71828E-04	3.35801
1.72680E-04	3.35535
1.75482E-04	3.35575
1.76025E-04	3.35604
1.80468E-04	3.3765
1.81027E-04	3.37932
1.84296E-04	3.41254
1.84876E-04	3.41864
1.86896E-04	3.44799
1.87484E-04	3.4568
1.90129E-04	3.50731
1.90870E-04	3.52521
1.92812E-04	3.57297
1.93563E-04	3.59581
1.95532E-04	3.65654
1.96294E-04	3.68505
1.98291E-04	3.76081
1.99063E-04	3.79298
1.99680E-04	3.819
2.01871E-04	3.92911
2.02497E-04	3.96093
2.04639E-04	4.08891
2.04719E-04	4.09437
2.06802E-04	4.23789
2.07608E-04	4.30135
2.08985E-04	4.41104
2.10470E-04	4.54639
2.11189E-04	4.61263
2.13372E-04	4.84184
2.13423E-04	4.84725
2.15625E-04	5.11516
2.15679E-04	5.12182
2.17190E-04	5.32886
2.17898E-04	5.43533
2.18722E-04	5.56004
2.20204E-04	5.8063
2.20254E-04	5.81468
2.21808E-04	6.10047
2.22531E-04	6.24691
2.23361E-04	6.41622
2.24880E-04	6.75755
2.24937E-04	6.77038
2.26512E-04	7.16404
2.27251E-04	7.36821
2.28110E-04	7.60703
2.28854E-04	7.83273
2.29309E-04	7.97124
2.30457E-04	8.3559
2.30923E-04	8.51276
2.32079E-04	8.93873
2.32139E-04	8.96082
2.33701E-04	9.59523
2.33721E-04	9.60366
2.34880E-04	10.1223
2.35260E-04	10.3067
2.36039E-04	10.6875
2.36818E-04	11.1005
2.37208E-04	11.3081
2.38377E-04	11.9845
2.38377E-04	11.9845
2.39546E-04	12.724
2.39936E-04	12.9926
