E(MeV)	Hf-180	
7.19373E-05	195.869	
7.19451E-05	206.953	
7.19465E-05	209.12	
7.19523E-05	218.089	
7.19552E-05	222.849	
7.19615E-05	233.645	
7.19638E-05	237.81	
7.19684E-05	246.4	
7.19725E-05	254.312	
7.19753E-05	260.144	
7.19811E-05	272.424	
7.19823E-05	274.96	
7.19892E-05	290.982	
7.19897E-05	292.391	
7.19961E-05	308.369	
7.19984E-05	314.498	
7.20030E-05	327.147	
7.20070E-05	338.82	
7.20099E-05	347.428	
7.20157E-05	365.582	
7.20168E-05	369.332	
7.20237E-05	393.051	
7.20243E-05	395.138	
7.20307E-05	418.81	
7.20330E-05	427.893	
7.20376E-05	446.635	
7.20416E-05	463.931	
7.20445E-05	476.678	
7.20503E-05	503.552	
7.20514E-05	509.099	
7.20583E-05	544.156	
7.20589E-05	547.237	
7.20652E-05	582.149	
7.20675E-05	595.525	
7.20722E-05	623.044	
7.20753E-05	642.963	
7.20791E-05	667.14	
7.20831E-05	694.531	
7.20860E-05	714.619	
7.20909E-05	750.519	
7.20929E-05	765.691	
7.20987E-05	811.13	
7.20992E-05	815.792	
7.21064E-05	877.077	
7.21073E-05	884.62	
7.21142E-05	948.384	
7.21154E-05	959.276	
7.21220E-05	1025.39	
7.21234E-05	1040.11	
7.21298E-05	1108.38	
7.21315E-05	1127.45	
7.21376E-05	1197.68	
7.21396E-05	1221.62	
7.21453E-05	1293.55	
7.21476E-05	1323	
7.21543E-05	1411.88	
7.21557E-05	1431.63	
7.21618E-05	1518.36	
7.21629E-05	1535.29	
7.21724E-05	1681.62	
7.21730E-05	1690.96	
7.21819E-05	1839.65	
7.21842E-05	1879.95	
7.21914E-05	2009.08	
7.21955E-05	2084.82	
7.22009E-05	2190.04	
7.22067E-05	2305.7	
7.22105E-05	2382.38	
7.22161E-05	2503.2	
7.22217E-05	2626.23	
7.22274E-05	2754.75	
7.22330E-05	2885.58	
7.22387E-05	3021.63	
7.22443E-05	3160.31	
7.22556E-05	3448.69	
7.22591E-05	3538.48	
7.22695E-05	3818.46	
7.22764E-05	4007.71	
7.22925E-05	4464.54	
7.23017E-05	4727.17	
7.23294E-05	5522.21	
7.23386E-05	5783.92	
7.23478E-05	6036.56	
7.23570E-05	6283.68	
7.23663E-05	6517.29	
7.23755E-05	6744.02	
7.23801E-05	6849.24	
7.23893E-05	7052.24	
7.23939E-05	7145.11	
7.24031E-05	7322.15	
7.24078E-05	7400.7	
7.24170E-05	7548	
7.24216E-05	7610.52	
7.24308E-05	7726.72	
7.24446E-05	7850.79	
7.24585E-05	7919.23	
7.24635E-05	7926.87	
7.24697E-05	7930.52	
7.24778E-05	7914.46	
7.24834E-05	7897.09	
7.24889E-05	7864.27	
7.24972E-05	7806.76	
7.25000E-05	7780.14	
7.25110E-05	7661.79	
7.25138E-05	7625.2	
7.25248E-05	7466.65	
7.25276E-05	7420.62	
7.25387E-05	7225.55	
7.25415E-05	7171.13	
7.25507E-05	6983	
7.25525E-05	6944.02	
7.25663E-05	6627.58	
7.25691E-05	6560.37	
7.25802E-05	6283.2	
7.25876E-05	6089.45	
7.25986E-05	5792.59	
7.26198E-05	5203.21	
7.26498E-05	4368.67	
7.26516E-05	4317.98	
7.26671E-05	3904.25	
7.26724E-05	3764.53	
7.26834E-05	3483.47	
7.26871E-05	3391.48	
7.26963E-05	3170.63	
7.27019E-05	3040.65	
7.27092E-05	2874.45	
7.27129E-05	2793.15	
