E(MeV)	"HF-178(N,TOT)"
6.70960E-06	334.753
6.71369E-06	337.523
6.74085E-06	357.097
6.74903E-06	363.22
6.77209E-06	381.637
6.78436E-06	391.75
6.79292E-06	399.3
6.81376E-06	418.141
6.81969E-06	423.66
6.83459E-06	438.483
6.85502E-06	459.49
6.86219E-06	467.351
6.88470E-06	492.963
6.88797E-06	496.908
6.91155E-06	526.42
6.91375E-06	529.339
6.93840E-06	563.282
6.93953E-06	564.936
6.96525E-06	604.014
6.96531E-06	604.116
6.99041E-06	646.288
6.99210E-06	649.253
7.01413E-06	690.245
7.01894E-06	699.575
7.03784E-06	738.621
7.04575E-06	755.649
7.06156E-06	792.012
7.07256E-06	818.223
7.07737E-06	830.506
7.09319E-06	872.04
7.09937E-06	888.798
7.10900E-06	916.43
7.11725E-06	940.98
7.12962E-06	979.63
7.13513E-06	997.548
7.15025E-06	1049.31
7.15300E-06	1059.15
7.17088E-06	1126.65
7.17362E-06	1137.44
7.18463E-06	1183.26
7.19425E-06	1224.6
7.19838E-06	1243.48
7.21212E-06	1308.37
7.21488E-06	1321.77
7.22519E-06	1375.37
7.23550E-06	1431.07
7.24375E-06	1478.19
7.24925E-06	1510.82
7.25613E-06	1553.53
7.26300E-06	1597.62
7.26850E-06	1634.92
7.28088E-06	1721.58
7.28156E-06	1726.56
7.29325E-06	1816.97
7.30013E-06	1872.02
7.30562E-06	1918.62
7.31250E-06	1978.96
7.31800E-06	2029.56
7.32487E-06	2094.99
7.32900E-06	2136.19
7.33725E-06	2221.35
7.34000E-06	2251.19
7.34963E-06	2359.19
7.35100E-06	2375.43
7.36200E-06	2509.91
7.37300E-06	2656.37
7.38400E-06	2815.78
7.39500E-06	2989.73
7.40600E-06	3180.03
7.41700E-06	3389.35
7.41837E-06	3416.99
7.42800E-06	3619.63
7.43075E-06	3680.87
7.43900E-06	3872.09
7.44725E-06	4081.52
7.45000E-06	4153.84
7.45550E-06	4306.04
7.45825E-06	4384.94
7.46375E-06	4550.04
7.46650E-06	4635.71
7.47200E-06	4815.21
7.47475E-06	4908.94
7.48231E-06	5179.26
7.48300E-06	5204.88
7.48919E-06	5446.97
7.49125E-06	5530.47
7.49606E-06	5735.45
7.49950E-06	5887.05
7.50294E-06	6046.87
7.50775E-06	6278.68
7.50981E-06	6383.62
7.51600E-06	6710.05
7.51669E-06	6748.26
7.52287E-06	7105.09
7.52356E-06	7146.73
7.52975E-06	7535.6
7.53009E-06	7558.33
7.53628E-06	7982.32
7.53662E-06	8006.79
7.54247E-06	8444.04
7.54350E-06	8524.24
7.54866E-06	8946.59
7.55037E-06	9093.06
7.55484E-06	9494.81
7.55725E-06	9720.08
7.56103E-06	10094.2
7.56413E-06	10413.2
7.56722E-06	10751
7.57100E-06	11181.6
7.57341E-06	11470.5
7.57650E-06	11857.4
7.57891E-06	12173.2
7.58200E-06	12594.3
7.58372E-06	12840
7.58750E-06	13399.8
7.58853E-06	13560.3
7.59300E-06	14280.8
7.59334E-06	14339.1
7.59816E-06	15185.3
7.59850E-06	15248.1
7.60297E-06	16106
7.60400E-06	16311.6
7.60778E-06	17105
7.60950E-06	17479.5
7.61259E-06	18189.4
7.61500E-06	18762.1
7.61706E-06	19277.5
7.61981E-06	19988.2
7.62119E-06	20360.2
7.62463E-06	21320.6
7.62531E-06	21521.7
7.62944E-06	22767.4
7.63356E-06	24113
7.63425E-06	24344.6
7.63769E-06	25555
7.63906E-06	26054.9
7.64181E-06	27098.9
7.64388E-06	27906.8
7.64594E-06	28749.9
7.64869E-06	29916.2
7.65178E-06	31283.9
7.65350E-06	32075.7
7.65745E-06	33973.6
7.65866E-06	34574.3
7.66312E-06	36897.9
7.66381E-06	37268.9
7.66880E-06	40064
7.66897E-06	40163.8
7.67413E-06	43267
7.67447E-06	43482.2
7.68100E-06	47712.7
7.68134E-06	47943.9
7.68719E-06	52000.6
7.68753E-06	52248.1
7.69372E-06	56819.1
7.69647E-06	58903.4
7.70300E-06	64024.9
7.70871E-06	68589.7
7.72644E-06	82901.4
7.72720E-06	83491.1
7.73490E-06	89340.2
7.73545E-06	89736.6
7.74315E-06	95047.2
7.74370E-06	95402.6
7.74865E-06	98424.6
7.74920E-06	98737
7.75415E-06	101367
7.75525E-06	101898
7.75965E-06	103828
7.76130E-06	104464
7.76515E-06	105767
7.76680E-06	106231
7.77065E-06	107129
7.77230E-06	107412
7.77643E-06	107918
7.77758E-06	108002
7.77945E-06	108067
7.78066E-06	108052
7.78478E-06	107840
7.78594E-06	107720
7.78880E-06	107295
7.79045E-06	106965
7.79430E-06	106022
7.79595E-06	105524
7.79980E-06	104178
7.80172E-06	103395
7.80640E-06	101275
7.80777E-06	100576
7.81300E-06	97701.4
7.81355E-06	97370.5
7.82125E-06	92421.6
7.82180E-06	92044.4
7.82950E-06	86478.2
7.83005E-06	86063.7
7.84119E-06	77367.6
7.84188E-06	76825.1
7.85666E-06	65055.3
7.86044E-06	62118
7.86662E-06	57412.2
7.86731E-06	56906
7.87350E-06	52451.8
7.87419E-06	51973.6
7.88038E-06	47790.2
7.88106E-06	47343.6
7.88656E-06	43877.5
7.88725E-06	43457.4
7.89275E-06	40235.5
7.89292E-06	40138.3
7.89859E-06	37063
7.89894E-06	36884.4
7.90427E-06	34224.9
7.90513E-06	33814.9
7.90994E-06	31613.7
7.91131E-06	31013.8
7.91561E-06	29219.8
7.91750E-06	28463.7
7.91991E-06	27539.3
7.92231E-06	26651.5
7.92472E-06	25794.8
7.92712E-06	24974.5
7.92953E-06	24183.4
7.93194E-06	23426.3
7.93434E-06	22696.4
7.93675E-06	21998.1
7.93916E-06	21325.1
7.94156E-06	20681.4
7.94397E-06	20061
7.94638E-06	19467.5
7.94878E-06	18895.7
7.95119E-06	18348.5
7.95359E-06	17821.3
7.95600E-06	17317.4
7.95875E-06	16765.1
7.96219E-06	16107.3
7.96425E-06	15730.5
7.96838E-06	15013.2
7.96975E-06	14784.8
7.97456E-06	14023.3
7.97525E-06	13919.3
7.98075E-06	13126.2
7.98625E-06	12402
7.98694E-06	12315.4
7.99175E-06	11735.7
7.99313E-06	11577.1
7.99725E-06	11121.6
7.99931E-06	10904
8.00344E-06	10486.7
8.00550E-06	10288.1
8.01031E-06	9844.39
8.01237E-06	9663.66
8.01719E-06	9260.16
8.01925E-06	9095.57
8.02406E-06	8727.64
8.02613E-06	8577.35
8.03094E-06	8240.96
8.03300E-06	8103.35
8.03781E-06	7794.99
8.03987E-06	7668.68
8.04469E-06	7385.32
8.04675E-06	7269.1
8.05156E-06	7010.41
8.05706E-06	6727.79
8.05913E-06	6626.8
8.06497E-06	6354.14
8.06738E-06	6246.56
8.07391E-06	5968.47
8.07563E-06	5898.43
8.08284E-06	5617.89
8.08387E-06	5579.47
8.09178E-06	5298.2
8.09212E-06	5286.46
8.10038E-06	5017.07
8.10072E-06	5006.31
8.10863E-06	4768.74
8.10966E-06	4738.99
8.11687E-06	4538.91
8.11859E-06	4493.27
8.12650E-06	4293.16
8.13200E-06	4160.52
8.13750E-06	4034.75
8.14437E-06	3885.26
8.14850E-06	3799.83
8.15675E-06	3637.15
8.15950E-06	3585.4
8.16912E-06	3412.7
8.17050E-06	3389.12
8.18150E-06	3208.99
8.19250E-06	3044.12
8.19388E-06	3024.36
8.20350E-06	2891.97
8.20625E-06	2855.72
8.21519E-06	2742.76
8.21863E-06	2701.17
8.22756E-06	2597.38
8.23100E-06	2559.17
8.23994E-06	2463.89
8.24475E-06	2414.72
8.25231E-06	2340.69
8.25850E-06	2282.57
8.26469E-06	2226.81
