E(MeV)	"TA-181(N,TOT)"	
4.17350E-06	1.82211E+03	
4.17462E-06	1.87052E+03	
4.17631E-06	1.94343E+03	
4.17687E-06	1.96968E+03	
4.17912E-06	2.07515E+03	
4.17968E-06	2.10361E+03	
4.18193E-06	2.21799E+03	
4.18249E-06	2.24883E+03	
4.18474E-06	2.37275E+03	
4.18530E-06	2.40611E+03	
4.18755E-06	2.54017E+03	
4.18811E-06	2.57621E+03	
4.19036E-06	2.72099E+03	
4.19092E-06	2.75983E+03	
4.19317E-06	2.91589E+03	
4.19373E-06	2.95767E+03	
4.19598E-06	3.12551E+03	
4.19654E-06	3.17033E+03	
4.19879E-06	3.35036E+03	
4.19935E-06	3.39832E+03	
4.20160E-06	3.59089E+03	
4.20216E-06	3.64203E+03	
4.20441E-06	3.84737E+03	
4.20497E-06	3.90247E+03	
4.20778E-06	4.17898E+03	
4.20863E-06	4.26223E+03	
4.21059E-06	4.47210E+03	
4.21284E-06	4.71274E+03	
4.21340E-06	4.77715E+03	
4.21706E-06	5.19742E+03	
4.21762E-06	5.26596E+03	
4.22127E-06	5.71324E+03	
4.22183E-06	5.78583E+03	
4.22605E-06	6.33214E+03	
4.22689E-06	6.44174E+03	
4.23167E-06	7.09314E+03	
4.24235E-06	8.55265E+03	
4.24572E-06	8.99619E+03	
4.24797E-06	9.29111E+03	
4.25134E-06	9.69973E+03	
4.25359E-06	9.97072E+03	
4.25696E-06	1.03354E+04	
4.25766E-06	1.04108E+04	
4.26117E-06	1.07436E+04	
4.26145E-06	1.07700E+04	
4.26525E-06	1.10726E+04	
4.26539E-06	1.10815E+04	
4.26932E-06	1.13272E+04	
4.26960E-06	1.13394E+04	
4.27354E-06	1.15070E+04	
4.27382E-06	1.15134E+04	
4.27775E-06	1.15970E+04	
4.27817E-06	1.15995E+04	
4.27983E-06	1.16073E+04	
4.28169E-06	1.15880E+04	
4.28391E-06	1.15629E+04	
4.28421E-06	1.15534E+04	
4.28787E-06	1.14377E+04	
4.28815E-06	1.14243E+04	
4.29068E-06	1.13013E+04	
4.29236E-06	1.11954E+04	
4.29433E-06	1.10697E+04	
4.29574E-06	1.09591E+04	
4.29798E-06	1.07801E+04	
4.29911E-06	1.06746E+04	
4.30220E-06	1.03819E+04	
4.30276E-06	1.03214E+04	
4.30641E-06	9.92520E+03	
4.30698E-06	9.85761E+03	
4.31203E-06	9.24514E+03	
4.31260E-06	9.17196E+03	
4.31765E-06	8.50997E+03	
4.31822E-06	8.43408E+03	
4.33170E-06	6.60704E+03	
4.33648E-06	5.98774E+03	
4.33732E-06	5.87877E+03	
4.34154E-06	5.36111E+03	
4.34210E-06	5.29584E+03	
4.34575E-06	4.87303E+03	
4.34632E-06	4.81213E+03	
4.34997E-06	4.41771E+03	
4.35053E-06	4.36140E+03	
4.35418E-06	3.99695E+03	
4.35475E-06	3.94460E+03	
4.35699E-06	3.73616E+03	
4.35896E-06	3.56415E+03	
4.35980E-06	3.49080E+03	
4.36261E-06	3.26092E+03	
4.36318E-06	3.21779E+03	
4.36542E-06	3.04627E+03	
4.36739E-06	2.90585E+03	
4.36823E-06	2.84602E+03	
4.37104E-06	2.65986E+03	
4.37161E-06	2.62516E+03	
4.37385E-06	2.48725E+03	
4.37582E-06	2.37499E+03	
4.37666E-06	2.32718E+03	
4.37947E-06	2.17916E+03	
4.38004E-06	2.15168E+03	
4.38228E-06	2.04253E+03	
4.38425E-06	1.95397E+03	
4.38509E-06	1.91627E+03	
4.38790E-06	1.79985E+03	
4.38847E-06	1.77838E+03	
4.39106E-06	1.67977E+03	
4.39240E-06	1.63332E+03	
4.39423E-06	1.57015E+03	
4.39577E-06	1.52110E+03	
4.39739E-06	1.47013E+03	
4.39914E-06	1.41927E+03	
4.40055E-06	1.37882E+03	
4.40252E-06	1.32681E+03	
4.40371E-06	1.29544E+03	
4.40645E-06	1.22893E+03	
4.40701E-06	1.21633E+03	
4.40982E-06	1.15380E+03	
4.41049E-06	1.14019E+03	
4.41319E-06	1.08537E+03	
4.41418E-06	1.06707E+03	
4.41657E-06	1.02294E+03	
4.41910E-06	9.79991E+02	
4.41994E-06	9.65784E+02	
4.42331E-06	9.13450E+02	
4.42401E-06	9.03386E+02	
4.42668E-06	8.65443E+02	
4.42893E-06	8.35896E+02	
4.43005E-06	8.21233E+02	
4.43385E-06	7.75769E+02	
4.43420E-06	7.71589E+02	
4.43666E-06	7.44393E+02	
4.43877E-06	7.22836E+02	
4.44158E-06	6.94298E+02	
4.44368E-06	6.74961E+02	
4.44649E-06	6.49385E+02	
4.45036E-06	6.17493E+02	
4.45141E-06	6.08864E+02	
4.45563E-06	5.77449E+02	
4.45633E-06	5.72253E+02	
4.46125E-06	5.39040E+02	
4.46265E-06	5.30341E+02	
4.46616E-06	5.08788E+02	
4.46967E-06	4.88975E+02	
4.47108E-06	4.81116E+02	
4.47670E-06	4.52301E+02	
4.48232E-06	4.26168E+02	
4.48373E-06	4.20174E+02	
4.48794E-06	4.02336E+02	
4.49075E-06	3.91394E+02	
4.49356E-06	3.80536E+02	
4.49778E-06	3.65511E+02	
4.49918E-06	3.60539E+02	
4.50480E-06	3.42147E+02	
4.51042E-06	3.25246E+02	
4.51534E-06	3.11505E+02	
4.51604E-06	3.09562E+02	
4.52306E-06	2.91628E+02	
4.52588E-06	2.85045E+02	
4.53009E-06	2.75269E+02	
4.53641E-06	2.61779E+02	
4.53712E-06	2.60293E+02	
4.54414E-06	2.46598E+02	
4.54695E-06	2.41531E+02	
4.55117E-06	2.34000E+02	
4.55749E-06	2.23531E+02	
4.55819E-06	2.22378E+02	
4.56522E-06	2.11672E+02	
4.56904E-06	2.06239E+02	
4.57224E-06	2.01747E+02	
4.58030E-06	1.91232E+02	
4.58111E-06	1.90259E+02	
4.58837E-06	1.81583E+02	
4.59317E-06	1.76251E+02	
4.59643E-06	1.72678E+02	
4.60449E-06	1.64454E+02	
4.60926E-06	1.59999E+02	
4.61659E-06	1.53235E+02	
4.62535E-06	1.45933E+02	
4.62868E-06	1.43184E+02	
4.64083E-06	1.34111E+02	
4.64166E-06	1.33550E+02	
4.65310E-06	1.25874E+02	
4.65798E-06	1.22891E+02	
4.66537E-06	1.18418E+02	
4.67429E-06	1.13480E+02	
4.67763E-06	1.11649E+02	
4.68990E-06	1.05488E+02	
4.69060E-06	1.05162E+02	
4.70216E-06	9.98880E+01	
4.71460E-06	9.46559E+01	
4.71542E-06	9.43379E+01	
4.72704E-06	8.98897E+01	
4.73948E-06	8.54808E+01	
4.74023E-06	8.52317E+01	
4.75192E-06	8.14442E+01	
4.76517E-06	7.74949E+01	
4.76850E-06	7.65149E+01	
4.78532E-06	7.20158E+01	
4.79033E-06	7.07911E+01	
4.80214E-06	6.79475E+01	
4.81550E-06	6.50004E+01	
4.81896E-06	6.42476E+01	
4.83578E-06	6.08858E+01	
4.84090E-06	5.99423E+01	
4.85283E-06	5.77799E+01	
4.86989E-06	5.49287E+01	
4.87493E-06	5.41488E+01	
4.88694E-06	5.23225E+01	
4.90400E-06	4.99194E+01	
4.90920E-06	4.92390E+01	
4.92130E-06	4.76818E+01	
4.93859E-06	4.56114E+01	
4.94371E-06	4.50406E+01	
4.95589E-06	4.37030E+01	
4.97846E-06	4.14274E+01	
4.98196E-06	4.10812E+01	
5.00827E-06	3.87262E+01	
5.03095E-06	3.68821E+01	
5.03458E-06	3.65937E+01	
5.06114E-06	3.46722E+01	
5.08418E-06	3.31480E+01	
5.08782E-06	3.29127E+01	
5.11450E-06	3.13299E+01	
5.13792E-06	3.00521E+01	
5.14156E-06	2.98575E+01	
5.16862E-06	2.85261E+01	
5.19216E-06	2.74562E+01	
5.19581E-06	2.72938E+01	
5.22325E-06	2.61640E+01	
5.24690E-06	2.52606E+01	
5.25069E-06	2.51194E+01	
5.27838E-06	2.41600E+01	
5.29694E-06	2.35549E+01	
5.32093E-06	2.28246E+01	
5.33404E-06	2.24360E+01	
5.37167E-06	2.14186E+01	
5.39600E-06	2.08158E+01	
5.40929E-06	2.04949E+01	
5.44745E-06	1.96498E+01	
5.47212E-06	1.91466E+01	
5.48561E-06	1.88801E+01	
5.52430E-06	1.81751E+01	
5.56300E-06	1.75231E+01	
5.58847E-06	1.71249E+01	
5.60224E-06	1.69177E+01	
5.64148E-06	1.63698E+01	
5.68128E-06	1.58528E+01	
5.70701E-06	1.55410E+01	
5.72108E-06	1.53768E+01	
5.76143E-06	1.49378E+01	
5.80179E-06	1.45278E+01	
5.82835E-06	1.42785E+01	
5.86318E-06	1.39634E+01	
5.92515E-06	1.34529E+01	
5.95198E-06	1.32509E+01	
5.98770E-06	1.29931E+01	
6.05083E-06	1.25765E+01	
6.11485E-06	1.21889E+01	
6.12111E-06	1.21541E+01	
6.17948E-06	1.18458E+01	
6.24471E-06	1.15288E+01	
6.31056E-06	1.12332E+01	
6.33945E-06	1.11131E+01	
6.37733E-06	1.09645E+01	
6.44473E-06	1.07201E+01	
6.51277E-06	1.04915E+01	
6.56526E-06	1.03275E+01	
6.58144E-06	1.02799E+01	
6.67429E-06	1.00298E+01	
6.76845E-06	9.80011E+00	
6.84707E-06	9.62607E+00	
6.86394E-06	9.59111E+00	
6.96078E-06	9.41011E+00	
7.05898E-06	9.24495E+00	
7.15857E-06	9.09453E+00	
7.19135E-06	9.05023E+00	
7.25957E-06	8.96527E+00	
7.36199E-06	8.85342E+00	
7.46585E-06	8.75546E+00	
7.56550E-06	8.67572E+00	
7.67224E-06	8.60651E+00	
7.78048E-06	8.55324E+00	
7.82197E-06	8.53986E+00	
7.89025E-06	8.51822E+00	
7.97374E-06	8.50528E+00	
8.05801E-06	8.50512E+00	
8.14308E-06	8.51940E+00	
8.22894E-06	8.55021E+00	
8.31601E-06	8.60046E+00	
8.38953E-06	8.66152E+00	
8.40390E-06	8.67219E+00	
8.49261E-06	8.76446E+00	
8.55231E-06	8.84382E+00	
8.61243E-06	8.93980E+00	
8.67297E-06	9.05457E+00	
8.68836E-06	9.08902E+00	
8.73393E-06	9.18565E+00	
8.79533E-06	9.34119E+00	
8.85715E-06	9.52758E+00	
8.90385E-06	9.69094E+00	
8.93524E-06	9.81570E+00	
8.95054E-06	9.87427E+00	
8.99790E-06	1.00813E+01	
9.04525E-06	1.03181E+01	
9.09283E-06	1.05904E+01	
9.12522E-06	1.08032E+01	
9.14085E-06	1.09030E+01	
9.18887E-06	1.12571E+01	
9.22111E-06	1.15255E+01	
9.25358E-06	1.18241E+01	
9.28604E-06	1.21547E+01	
9.31851E-06	1.25212E+01	
9.31878E-06	1.25247E+01	
9.35120E-06	1.29250E+01	
9.38413E-06	1.33788E+01	
9.41705E-06	1.38865E+01	
9.44998E-06	1.44562E+01	
9.45025E-06	1.44615E+01	
9.48313E-06	1.50963E+01	
9.50817E-06	1.56354E+01	
9.53321E-06	1.62291E+01	
9.55826E-06	1.68844E+01	
9.58330E-06	1.76095E+01	
9.58358E-06	1.76185E+01	
9.60846E-06	1.84147E+01	
9.63385E-06	1.93202E+01	
9.65925E-06	2.03330E+01	
9.68464E-06	2.14698E+01	
9.71004E-06	2.27509E+01	
9.72697E-06	2.36971E+01	
9.74320E-06	2.46829E+01	
9.76651E-06	2.62505E+01	
9.77296E-06	2.67308E+01	
9.78205E-06	2.74109E+01	
9.79759E-06	2.86758E+01	
9.81313E-06	3.00555E+01	
9.82867E-06	3.15643E+01	
9.84141E-06	3.29209E+01	
9.84421E-06	3.32202E+01	
9.85975E-06	3.50482E+01	
9.87226E-06	3.66544E+01	
9.88476E-06	3.83959E+01	
9.88681E-06	3.87052E+01	
9.89727E-06	4.02948E+01	
9.90950E-06	4.23192E+01	
9.90978E-06	4.23643E+01	
9.92228E-06	4.46315E+01	
9.93220E-06	4.65997E+01	
9.93479E-06	4.71155E+01	
9.94729E-06	4.98514E+01	
9.95635E-06	5.20329E+01	
9.95980E-06	5.28677E+01	
9.97403E-06	5.66988E+01	
9.97446E-06	5.68268E+01	
9.98352E-06	5.95266E+01	
9.99258E-06	6.24538E+01	
9.99301E-06	6.25939E+01	
1.00025E-05	6.59435E+01	
1.00107E-05	6.90959E+01	
1.00120E-05	6.95960E+01	
1.00215E-05	7.36027E+01	
1.00228E-05	7.42016E+01	
1.00310E-05	7.80083E+01	
1.00331E-05	7.91049E+01	
1.00396E-05	8.24086E+01	
1.00461E-05	8.60035E+01	
1.00473E-05	8.67256E+01	
1.00547E-05	9.11698E+01	
1.00551E-05	9.14323E+01	
1.00629E-05	9.65764E+01	
1.00633E-05	9.68887E+01	
1.00706E-05	1.02217E+02	
1.00719E-05	1.03247E+02	
1.00784E-05	1.08421E+02	
1.00806E-05	1.10318E+02	
1.00862E-05	1.15272E+02	
1.00892E-05	1.18217E+02	
1.00939E-05	1.22864E+02	
1.00956E-05	1.24732E+02	
1.01013E-05	1.30825E+02	
1.01021E-05	1.31859E+02	
1.01082E-05	1.39127E+02	
1.01086E-05	1.39701E+02	
1.01150E-05	1.48338E+02	
1.01215E-05	1.57958E+02	
1.01220E-05	1.58603E+02	
1.01271E-05	1.67095E+02	
1.01280E-05	1.68633E+02	
1.01323E-05	1.76364E+02	
1.01345E-05	1.80576E+02	
1.01375E-05	1.86498E+02	
1.01388E-05	1.89271E+02	
1.01427E-05	1.97619E+02	
1.01431E-05	1.98635E+02	
1.01474E-05	2.08834E+02	
1.01478E-05	2.09858E+02	
1.01517E-05	2.19976E+02	
1.01530E-05	2.23363E+02	
1.01560E-05	2.32061E+02	
1.01582E-05	2.38300E+02	
1.01603E-05	2.45183E+02	
1.01634E-05	2.54861E+02	
1.01646E-05	2.59446E+02	
1.01685E-05	2.73263E+02	
1.01690E-05	2.74964E+02	
1.01733E-05	2.92044E+02	
1.01737E-05	2.93760E+02	
1.01776E-05	3.10666E+02	
1.01815E-05	3.29037E+02	
1.01819E-05	3.31246E+02	
1.01851E-05	3.47883E+02	
1.01853E-05	3.48996E+02	
1.01884E-05	3.65866E+02	
1.01892E-05	3.70705E+02	
1.01916E-05	3.85109E+02	
1.01931E-05	3.94309E+02	
1.01948E-05	4.05775E+02	
1.01977E-05	4.24762E+02	
1.01981E-05	4.27614E+02	
1.02013E-05	4.51468E+02	
1.02026E-05	4.61054E+02	
1.02054E-05	4.84334E+02	
1.02075E-05	5.01350E+02	
1.02096E-05	5.20113E+02	
1.02124E-05	5.46039E+02	
1.02137E-05	5.59011E+02	
1.02173E-05	5.95507E+02	
1.02179E-05	6.01238E+02	
