MeV	"I-127(N,TOT)"	
1.95411E-05	5.62368	
1.95655E-05	5.81782	
1.95898E-05	6.03232	
1.96081E-05	6.21057	
1.96142E-05	6.26931	
1.96385E-05	6.53072	
1.96610E-05	6.79951	
1.96817E-05	7.07263	
1.96994E-05	7.32988	
1.97024E-05	7.37386	
1.97231E-05	7.70539	
1.97438E-05	8.07417	
1.97645E-05	8.48589	
1.97651E-05	8.49946	
1.97852E-05	8.94475	
1.98007E-05	9.32644	
1.98162E-05	9.74496	
1.98308E-05	10.1769	
1.98454E-05	10.6483	
1.98600E-05	11.1672	
1.98746E-05	11.7403	
1.98893E-05	12.3756	
1.98990E-05	12.8471	
1.99039E-05	13.082	
1.99185E-05	13.8707	
1.99294E-05	14.5258	
1.99385E-05	15.1192	
1.99495E-05	15.8956	
1.99605E-05	16.7519	
1.99714E-05	17.7001	
1.99824E-05	18.7547	
1.99933E-05	19.9332	
1.99964E-05	20.2952	
2.00015E-05	20.9112	
2.00098E-05	21.9813	
2.00180E-05	23.1553	
2.00207E-05	23.5843	
2.00256E-05	24.3483	
2.00329E-05	25.6009	
2.00402E-05	26.9707	
2.00451E-05	27.9716	
2.00475E-05	28.4731	
2.00548E-05	30.1252	
2.00621E-05	31.9426	
2.00633E-05	32.2764	
2.00694E-05	33.9477	
2.00767E-05	36.1642	
2.00840E-05	38.6128	
2.00913E-05	41.3252	
2.00937E-05	42.3255	
2.00986E-05	44.3293	
2.01035E-05	46.5465	
2.01059E-05	47.6572	
2.01132E-05	51.343	
2.01205E-05	55.4266	
2.01230E-05	56.9304	
2.01278E-05	59.9433	
2.01303E-05	61.5851	
2.01333E-05	63.6405	
2.01376E-05	66.7357	
2.01388E-05	67.6216	
2.01449E-05	72.438	
2.01461E-05	73.4029	
2.01519E-05	78.489	
2.01534E-05	79.7626	
2.01589E-05	84.9392	
2.01590E-05	85.0544	
2.01648E-05	90.9841	
2.01658E-05	92.0434	
2.01707E-05	97.3477	
2.01727E-05	99.7586	
2.01765E-05	104.162	
2.01797E-05	108.144	
2.01843E-05	113.974	
2.01867E-05	117.279	
2.01906E-05	122.576	
2.01940E-05	127.538	
2.01979E-05	133.217	
2.02013E-05	138.54	
2.02052E-05	144.633	
2.02086E-05	150.316	
2.02125E-05	156.82	
2.02159E-05	162.911	
2.02223E-05	174.24	
2.02233E-05	176.106	
2.02306E-05	190.122	
2.02320E-05	192.929	
2.02379E-05	204.899	
2.02442E-05	217.884	
2.02452E-05	219.992	
2.02525E-05	235.825	
2.02564E-05	244.281	
2.02622E-05	257.427	
2.02719E-05	279.367	
2.02817E-05	301.332	
2.02953E-05	332.116	
2.02963E-05	334.176	
2.03099E-05	363.024	
2.03197E-05	381.902	
2.03265E-05	393.814	
2.03294E-05	398.91	
2.03391E-05	413.653	
2.03421E-05	417.341	
2.03479E-05	424.693	
2.03530E-05	429.857	
2.03557E-05	432.55	
2.03625E-05	437.59	
2.03644E-05	439.021	
2.03722E-05	442.309	
2.03742E-05	443.119	
2.03800E-05	443.969	
2.03839E-05	443.675	
2.03868E-05	443.438	
2.03929E-05	441.244	
2.03961E-05	440.083	
2.04024E-05	435.94	
2.04039E-05	434.975	
2.04102E-05	428.963	
2.04141E-05	425.24	
2.04204E-05	417.314	
2.04229E-05	414.255	
2.04238E-05	413.027	
2.04326E-05	399.724	
2.04336E-05	398.24	
2.04423E-05	382.946	
2.04433E-05	381.241	
2.04521E-05	364.31	
2.04531E-05	362.424	
2.04618E-05	344.004	
2.04677E-05	331.693	
2.04764E-05	312.184	
2.04910E-05	279.596	
2.05066E-05	244.779	
2.05154E-05	226.128	
2.05212E-05	213.689	
2.05310E-05	194.127	
2.05407E-05	175.693	
2.05446E-05	168.751	
2.05480E-05	162.685	
2.05553E-05	150.413	
2.05626E-05	138.886	
2.05641E-05	136.73	
2.05699E-05	128.122	
2.05738E-05	122.779	
2.05772E-05	118.113	
2.05845E-05	108.843	
2.05894E-05	103.134	
2.05918E-05	100.286	
2.05991E-05	92.4223	
2.06011E-05	90.492	
2.06059E-05	85.6781	
2.06128E-05	79.4728	
2.06135E-05	78.8618	
2.06196E-05	73.7853	
2.06263E-05	68.6636	
2.06264E-05	68.5708	
2.06332E-05	63.8105	
2.06390E-05	60.0787	
2.06400E-05	59.4587	
2.06468E-05	55.4943	
2.06518E-05	52.844	
2.06537E-05	51.8778	
2.06600E-05	48.783	
2.06646E-05	46.7538	
2.06664E-05	45.9455	
2.06728E-05	43.3486	
2.06792E-05	40.9638	
2.06856E-05	38.784	
2.06920E-05	36.7798	
2.06975E-05	35.1985	
2.06984E-05	34.9366	
2.07048E-05	33.2472	
2.07133E-05	31.1962	
2.07157E-05	30.6685	
2.07218E-05	29.3576	
2.07300E-05	27.7574	
2.07340E-05	27.0573	
2.07382E-05	26.3074	
2.07462E-05	25.0385	
2.07465E-05	24.99	
2.07547E-05	23.7933	
2.07629E-05	22.6969	
2.07705E-05	21.7638	
2.07711E-05	21.6898	
2.07821E-05	20.4776	
2.07930E-05	19.3852	
2.07948E-05	19.2203	
2.08040E-05	18.4027	
2.08168E-05	17.3699	
2.08192E-05	17.1916	
2.08277E-05	16.5733	
2.08387E-05	15.8447	
2.08533E-05	14.9629	
2.08557E-05	14.8306	
2.08679E-05	14.1764	
2.08825E-05	13.4669	
2.08880E-05	13.2253	
2.08971E-05	12.8267	
2.09117E-05	12.2457	
2.09263E-05	11.714	
2.09281E-05	11.6534	
2.09433E-05	11.1541	
2.09604E-05	10.646	
2.09683E-05	10.4308	
2.09774E-05	10.1857	
2.09945E-05	9.76721	
2.10115E-05	9.38298	
2.10286E-05	9.02905	
2.10456E-05	8.70723	
2.10626E-05	8.40937	
2.10858E-05	8.03992	
2.10870E-05	8.02079	
2.11113E-05	7.67582	
2.11357E-05	7.36323	
2.11600E-05	7.07873	
2.11716E-05	6.95523	
2.11844E-05	6.82157	
2.12087E-05	6.58844	
2.12330E-05	6.37423	
2.12574E-05	6.17674	
2.12878E-05	5.9554	
2.13182E-05	5.75418	
2.13487E-05	5.57047	
2.13791E-05	5.40569	
2.14095E-05	5.25437	
2.14400E-05	5.11494	
2.14856E-05	4.92997	
2.15198E-05	4.80472	
2.15577E-05	4.67721	
2.15767E-05	4.61872	
2.15956E-05	4.56197	
2.16335E-05	4.45772	
2.16904E-05	4.31628	
2.17283E-05	4.2322	
2.17473E-05	4.19164	
2.18042E-05	4.08285	
2.18618E-05	3.98369	
2.19195E-05	3.89413	
2.19580E-05	3.8399	
2.19772E-05	3.81407	
2.20349E-05	3.74366	
2.21118E-05	3.65921	
2.21898E-05	3.58287	
2.22678E-05	3.51445	
2.23457E-05	3.45617	
2.24237E-05	3.40348	
2.25028E-05	3.35499	
2.25819E-05	3.31182	
2.26215E-05	3.29143	
2.27401E-05	3.2381	
2.28604E-05	3.19062	
2.29807E-05	3.1487	
2.30609E-05	3.12438	
2.31423E-05	3.10153	
2.33049E-05	3.06298	
2.34831E-05	3.02755	
2.35800E-05	3.0109	
2.37463E-05	2.98617	
2.39126E-05	2.96617	
2.39900E-05	2.95942	
2.40900E-05	2.95105	
2.42150E-05	2.94654	
2.42900E-05	2.95013	
2.43375E-05	2.95884	
2.43731E-05	2.97166	
2.44045E-05	2.98957	
2.44350E-05	3.01443	
2.44660E-05	3.04773	
2.45060E-05	3.10028	
2.45560E-05	3.16773	
2.45760E-05	3.1896	
2.45955E-05	3.20543	
2.46150E-05	3.21449	
2.46360E-05	3.21574	
2.46585E-05	3.20714	
2.46760E-05	3.19391	
2.47060E-05	3.16069	
2.47860E-05	3.04939	
2.48160E-05	3.01392	
2.48410E-05	2.99	
2.48670E-05	2.97058	
2.49000E-05	2.95297	
2.49413E-05	2.93928	
2.49756E-05	2.93257	
2.50100E-05	2.92851	
2.51100E-05	2.92425	
2.52900E-05	2.92782	
2.53100E-05	2.92911	
2.55300E-05	2.94077	
2.57101E-05	2.95679	
2.58902E-05	2.97845	
2.60292E-05	2.99992	
2.60728E-05	3.00605	
2.62555E-05	3.03873	
