E(MeV)	pendfb7/Br81:1	
1.77814E-07	6.65094961	
1.78568E-07	6.64906159	
1.83147E-07	6.63776561	
1.88637E-07	6.62480742	
1.94296E-07	6.61202537	
2.00120E-07	6.59943101	
2.06122E-07	6.58700673	
2.12301E-07	6.57476582	
2.18669E-07	6.56269169	
2.25224E-07	6.55079661	
2.31979E-07	6.53906369	
2.38933E-07	6.52750443	
2.46100E-07	6.51610228	
2.53477E-07	6.50486836	
2.61080E-07	6.49378657	
2.68906E-07	6.48286772	
2.76971E-07	6.47209615	
2.85274E-07	6.46148236	
2.93830E-07	6.45101111	
3.02638E-07	6.44069261	
3.11716E-07	6.43051203	
3.21060E-07	6.4204793	
3.30690E-07	6.4105801	
3.40603E-07	6.40082456	
3.50819E-07	6.39119992	
3.61335E-07	6.38171682	
3.72173E-07	6.37236045	
3.83329E-07	6.36313609	
3.94827E-07	6.35402818	
3.99854E-07	6.350213	
4.06662E-07	6.34512628	
4.18860E-07	6.33640273	
4.31416E-07	6.32780819	
4.44356E-07	6.31933051	
4.57676E-07	6.31097798	
4.71403E-07	6.30273861	
4.85534E-07	6.29462044	
5.00097E-07	6.28661179	
5.15088E-07	6.27872048	
5.30538E-07	6.27093516	
5.46442E-07	6.26326341	
5.62832E-07	6.25569419	
5.79703E-07	6.24823487	
5.97091E-07	6.2408747	
6.14990E-07	6.23362083	
6.33436E-07	6.22646281	
6.52424E-07	6.21940759	
6.71993E-07	6.212445	
6.92136E-07	6.20558207	
7.12897E-07	6.19881064	
7.34266E-07	6.1921397	
7.56290E-07	6.18555565	
7.78961E-07	6.17905917	
8.02325E-07	6.17264291	
8.26376E-07	6.16631569	
8.51163E-07	6.16006885	
8.76677E-07	6.15390843	
9.02972E-07	6.14782547	
9.30040E-07	6.1418258	
9.57936E-07	6.1359007	
9.86651E-07	6.13005584	
1.01196E-06	6.12510436	
1.04051E-06	6.11972632	
1.06987E-06	6.11441268	
1.10006E-06	6.10916226	
1.13110E-06	6.10397385	
1.16301E-06	6.09884627	
1.19583E-06	6.09377836	
1.22957E-06	6.08876901	
1.26427E-06	6.0838185	
1.29994E-06	6.07893058	
1.33662E-06	6.07409812	
1.37433E-06	6.06931192	
1.41311E-06	6.06457639	
1.47348E-06	6.05755339	
1.53614E-06	6.05067503	
1.60177E-06	6.04387355	
1.66987E-06	6.03720809	
1.74122E-06	6.03061289	
1.81525E-06	6.02414519	
1.89281E-06	6.01774109	
1.97329E-06	6.0114561	
2.05760E-06	6.00523184	
2.14509E-06	5.99913571	
