E(MeV)	mcnp/Sm-150:1
2.085147E-05	7016.923828
2.086483E-05	6050.14502
2.087819E-05	5227.628906
2.089156E-05	4532.709961
2.090492E-05	3949.677246
2.091829E-05	3461.405029
2.093166E-05	3052.687988
2.094502E-05	2710.628906
2.095839E-05	2422.931152
2.097175E-05	2179.99707
2.098512E-05	1973.523438
2.099848E-05	1797.040771
2.101184E-05	1644.936401
2.102521E-05	1512.862061
2.103858E-05	1397.432373
2.105194E-05	1295.943115
2.107867E-05	1125.964355
2.110540E-05	989.7408447
2.113213E-05	878.4970093
2.115886E-05	786.2519531
2.118559E-05	708.7463989
2.121231E-05	642.9493408
2.123904E-05	586.5147705
2.126577E-05	537.7059326
2.129250E-05	495.1669312
2.131923E-05	457.8358765
2.134596E-05	424.8587036
2.139942E-05	369.3922119
2.145288E-05	324.7554932
2.150634E-05	288.2616882
2.155980E-05	258.0260925
2.161326E-05	232.6765137
2.166672E-05	211.1990662
2.172018E-05	192.8247681
2.177364E-05	176.9743042
2.182710E-05	163.1993713
2.188056E-05	151.1522827
2.193402E-05	140.5603943
2.198748E-05	131.1934509
2.209440E-05	115.3702087
2.220132E-05	102.5280762
2.230824E-05	91.97575378
2.241516E-05	83.20139313
2.252208E-05	75.81761932
2.262900E-05	69.53746033
2.273592E-05	64.14529419
2.284284E-05	59.47615051
2.294976E-05	55.40233612
2.305668E-05	51.82352829
2.316360E-05	48.66461182
2.327052E-05	45.87677002
2.348436E-05	41.12675095
2.369820E-05	37.23145294
2.391204E-05	34.01292419
2.412588E-05	31.31662178
2.433972E-05	29.03018379
2.455356E-05	27.07040024
2.476740E-05	25.37457657
2.498124E-05	23.89464569
2.519508E-05	22.59313583
2.540891E-05	21.44069672
2.562275E-05	20.41378975
2.583659E-05	19.50011444
2.626427E-05	17.92531395
2.669194E-05	16.61656189
2.711962E-05	15.51762295
2.754730E-05	14.58195877
2.797498E-05	13.77559376
2.840266E-05	13.07320213
2.883034E-05	12.45555401
2.925801E-05	11.90780067
2.968569E-05	11.41832161
3.011337E-05	10.97957802
3.096872E-05	10.2189312
3.182408E-05	9.57998085
3.267944E-05	9.03476429
3.353479E-05	8.561982155
3.439015E-05	8.146202087
3.524551E-05	7.77602005
3.610086E-05	7.442869663
3.695622E-05	7.140245914
3.781158E-05	6.863278866
3.866693E-05	6.608537674
3.952229E-05	6.373780727
3.994997E-05	6.263747692
4.037766E-05	6.159227371
4.080533E-05	6.060446739
4.123300E-05	5.968245506
4.166068E-05	5.883956432
4.208836E-05	5.809668064
4.251604E-05	5.748604774
4.294372E-05	5.705778122
4.337140E-05	5.687895775
4.358524E-05	5.691864967
4.379908E-05	5.70833683
4.401292E-05	5.73954916
4.422675E-05	5.789325714
4.444059E-05	5.862827301
4.465444E-05	5.967017174
4.486827E-05	6.111459732
4.508211E-05	6.309532166
4.529594E-05	6.579959869
4.550978E-05	6.946519852
4.561669E-05	7.178371906
4.572362E-05	7.45341301
4.583054E-05	7.780013084
4.593746E-05	8.168757439
4.604438E-05	8.633693695
4.615130E-05	9.193340302
4.625821E-05	9.871909142
4.636514E-05	10.70192337
4.647206E-05	11.72695351
4.657898E-05	13.00644302
4.668589E-05	14.62182045
4.679282E-05	16.69296455
4.684628E-05	17.95371819
4.689973E-05	19.40443993
4.695320E-05	21.08442307
4.700666E-05	23.04234314
4.703339E-05	24.14428711
4.706012E-05	25.34091759
4.708686E-05	26.64260483
4.711358E-05	28.06176567
4.714030E-05	29.61268234
4.716704E-05	31.31340599
4.719377E-05	33.18119431
4.721383E-05	34.70635605
4.723386E-05	36.34819412
4.724054E-05	36.92420197
4.725391E-05	38.12187958
4.727395E-05	40.03972244
4.729402E-05	42.12015533
4.731407E-05	44.37963867
4.732742E-05	45.99475479
4.734747E-05	48.60254669
4.735415E-05	49.52436066
4.736751E-05	51.45428467
4.738088E-05	53.50751877
4.739425E-05	55.69700623
4.740762E-05	58.03149414
4.742098E-05	60.52444839
4.743435E-05	63.19567871
4.744771E-05	66.0585022
4.746108E-05	69.13517761
4.747443E-05	72.44591522
4.748780E-05	76.02570343
