E(MeV)	mcnp/Cu-63:1
5.24922E-05	5.105187683
7.49375E-05	5.08380513
0.0000855	5.080252952
0.000101344	5.08073604
0.000106625	5.082224347
0.00012775	5.093714659
0.000148875	5.112554659
0.00017	5.136381047
0.000191738	5.051573403
0.000227967	4.917129999
0.000256951	4.814738012
0.000285935	4.715043043
0.000314918	4.616277411
0.000343902	4.5164349
0.000358394	4.46534058
0.000372886	4.412951347
0.000387378	4.358964037
0.000392812	4.338590612
0.000394624	4.33205422
0.000396435	4.326072732
0.000397341	4.323657965
0.000398247	4.322323786
0.000398699	4.322482341
0.000399152	4.323835516
0.000399605	4.328118485
0.000399832	4.333114019
0.000400058	4.342888084
0.000400284	4.362777362
0.000400398	4.379413982
0.000400511	4.402742249
0.000400624	4.434808865
0.000400737	4.477778015
0.00040085	4.53363648
0.000400964	4.603844307
0.000401077	4.688573756
0.00040119	4.786584535
0.00040153	5.117706432
0.000401671	5.239358099
0.000401756	5.297392491
0.000401886	5.356090886
0.000402	5.372759824
0.000402114	5.35468955
0.000402238	5.297945086
0.000402303	5.255036724
0.000402432	5.148353482
0.000402819	4.770665075
0.000402905	4.695258966
0.000402991	4.627352457
0.000403078	4.567719886
0.000403164	4.51654773
0.00040325	4.473551298
0.000403336	4.438105438
0.000403422	4.40937252
0.000403508	4.386414627
0.00040368	4.354085448
0.000403852	4.334405646
0.000404025	4.322371978
0.000404197	4.314726668
0.000404541	4.305770982
0.000404886	4.300422074
0.000405574	4.293511002
0.000406263	4.288622686
0.000407641	4.280956593
0.000409018	4.274318763
0.000410396	4.268096902
0.000413151	4.256045368
0.000418662	4.232107449
0.000424172	4.207712506
0.000435193	4.156737129
0.000446214	4.101989863
0.000457234	4.04235302
0.000468255	3.976425576
0.000473765	3.940512112
0.000479276	3.902160321
0.000484786	3.861021539
0.000490297	3.816621356
0.000495807	3.768377815
0.000501317	3.71556571
0.000506828	3.657278108
0.000512338	3.592362941
0.000517848	3.519474581
0.000520604	3.479479146
0.000523359	3.436593057
0.000526114	3.390588645
0.000528869	3.341083319
0.000531624	3.287638647
0.00053438	3.229754063
0.000537135	3.166865062
0.00053989	3.098335525
0.000542645	3.023486037
0.0005454	2.941812765
0.000546778	2.8982404
0.000548155	2.852540622
0.000549533	2.804851405
0.000550911	2.755199635
0.000552288	2.70368307
0.000553666	2.650514016
0.000555043	2.596081094
0.000556421	2.541045068
0.000557799	2.48649386
0.000559176	2.434169432
0.000560554	2.386871962
0.000561931	2.348552204
0.00056262	2.33489255
0.000563309	2.326842083
0.000563998	2.325998711
0.000564687	2.334523982
0.000565375	2.355349626
0.000566064	2.392396416
0.000566753	2.450951162
0.000567442	2.538227127
0.000568131	2.664108311
0.000568819	2.841977525
0.000569508	3.091019023
0.000569853	3.251166857
0.000570197	3.441613411
0.000570541	3.668479539
0.000570886	3.939150841
0.00057123	4.262822277
0.000571575	4.651261735
0.000571919	5.119776023
0.000572091	5.390097783
0.000572263	5.68839577
0.000572436	6.018164623
0.000572608	6.383424863
0.00057278	6.788821186
0.000572952	7.239746446
