E(MeV)	Sm-154
8.93321E-05	46183.6
8.93415E-05	46380.9
8.93551E-05	49216.5
8.93858E-05	49430.4
8.94113E-05	52503.1
8.94368E-05	52734.8
8.94539E-05	56062
8.94624E-05	56312.7
8.94965E-05	59911.1
8.95220E-05	60181.9
8.95527E-05	64066.8
8.95561E-05	64358.8
8.95833E-05	68543.8
8.96140E-05	68857.6
8.96446E-05	73353
8.96582E-05	73686.8
8.96753E-05	76757.1
8.97059E-05	78896
8.97366E-05	84006.3
8.97604E-05	86316.7
8.97673E-05	91839.4
8.98081E-05	94318.8
8.98490E-05	100224
8.98626E-05	102853
8.98848E-05	109106
8.99205E-05	116515
8.99563E-05	127745
8.99648E-05	144672
8.99921E-05	145133
9.00278E-05	153538
9.00636E-05	156338
9.00670E-05	161806
9.00994E-05	163167
9.01351E-05	169092
9.01692E-05	169770
9.01709E-05	175143
9.02067E-05	175699
9.02441E-05	178754
9.02714E-05	179184
9.02850E-05	181454
9.03259E-05	181761
9.03668E-05	183244
9.03736E-05	183374
9.04076E-05	183932
9.04417E-05	183967
9.04485E-05	183378
9.04894E-05	183192
9.05098E-05	181476
9.05303E-05	178776
9.05711E-05	175187
9.05779E-05	170782
9.06120E-05	170454
9.06461E-05	164549
9.06529E-05	162634
9.06937E-05	155039
9.07142E-05	154182
9.07346E-05	144472
9.07755E-05	140805
9.07823E-05	112963
9.08164E-05	104139
9.08504E-05	99801
9.08572E-05	95654.9
9.08981E-05	91595.7
9.09186E-05	87718
9.09390E-05	83934.9
9.09799E-05	80345.1
9.09867E-05	76853
9.10208E-05	73557.4
9.10548E-05	70347
9.10616E-05	68826.5
9.11025E-05	65856.7
9.11229E-05	64442.1
9.11434E-05	61681.4
9.11740E-05	60368.5
9.11843E-05	57807.9
9.12251E-05	56591.5
9.12660E-05	54220.5
9.12762E-05	53095.1
9.13069E-05	50902.3
9.13266E-05	49862.1
9.13464E-05	47835.5
9.13767E-05	46874.6
9.13852E-05	45002.5
9.14241E-05	44114.9
9.14268E-05	42385.8
9.14629E-05	41558.7
9.14768E-05	40752.8
9.15017E-05	39224
9.15269E-05	37727.8
9.15399E-05	35008.4
9.15746E-05	32554.8
9.15767E-05	30337.1
9.16134E-05	28328.9
9.16175E-05	26506.6
9.16502E-05	24849.4
9.16604E-05	23339
9.16870E-05	21959.6
9.17034E-05	20696.9
9.17238E-05	19538.6
9.17463E-05	18473.9
9.17483E-05	17493.2
9.17728E-05	16588
9.17892E-05	15761.7
9.17974E-05	15359.9
9.18219E-05	14764.7
9.18301E-05	14259.8
9.18464E-05	13855.1
9.18709E-05	13462.4
9.18955E-05	13030.1
9.18982E-05	12730.2
9.19200E-05	12280.6
9.19255E-05	11844.8
9.19418E-05	11471
9.19527E-05	11048
9.19636E-05	10738.9
9.19799E-05	10352.3
9.19854E-05	10075.3
9.20072E-05	9741.65
9.20290E-05	9472.23
9.20317E-05	9183.92
9.20508E-05	8922.16
9.20563E-05	8672.6
9.20726E-05	8505.23
9.20808E-05	8204.19
9.20944E-05	8047.33
9.21053E-05	7772.81
9.21135E-05	7625.85
9.21298E-05	7374.96
9.21326E-05	7238.72
9.21516E-05	6876.99
9.21543E-05	6833.38
9.21707E-05	6386.64
9.21789E-05	6343.85
9.21898E-05	5947.46
9.22034E-05	5905.68
9.22088E-05	5548.98
9.22225E-05	5511.87
9.22279E-05	5188.14
9.22415E-05	5156.69
9.22470E-05	4861.92
9.22606E-05	4835.29
9.22633E-05	4566.12
9.22797E-05	4540.93
9.22961E-05	4297.01
9.22988E-05	4271.96
9.23124E-05	4050.3
9.23178E-05	4026.62
9.23288E-05	3822.58
9.23322E-05	3802.2
9.23451E-05	3613.93
9.23465E-05	3596.42
9.23574E-05	3423.91
9.23628E-05	3346
9.23696E-05	3303.94
9.23764E-05	3120.17
9.23846E-05	3083.71
9.23901E-05	2916.7
9.23982E-05	2882.69
9.24037E-05	2732.95
9.24119E-05	2701.17
9.24173E-05	2565.34
9.24255E-05	2536.68
9.24309E-05	2412.06
9.24391E-05	2387.14
9.24446E-05	2272.53
9.24527E-05	2249.03
9.24582E-05	2145.15
9.24664E-05	2122.95
9.24705E-05	2027.76
9.24800E-05	2007.54
9.24814E-05	1919.36
9.24920E-05	1901.61
9.24922E-05	1819.72
9.25023E-05	1803.03
9.25031E-05	1712.25
9.25127E-05	1684.59
9.25141E-05	1628.38
9.25230E-05	1562.61
9.25249E-05	1549.65
9.25334E-05	1476.62
9.25358E-05	1454.05
9.25438E-05	1376.41
9.25468E-05	1356.32
9.25541E-05	1286.56
9.25587E-05	1267.82
9.25645E-05	1204.48
9.25718E-05	1188.02
9.25751E-05	1130.29
9.25849E-05	1115.14
9.25860E-05	1062.69
9.25969E-05	1048.72
9.25980E-05	1000.67
9.26078E-05	988.309
9.26100E-05	944.198
9.26187E-05	932.477
9.26263E-05	892.12
9.26350E-05	881.468
9.26427E-05	844.601
9.26514E-05	819.672
9.26590E-05	800.584
9.26677E-05	764.005
9.26754E-05	759.322
9.26841E-05	721.715
9.26917E-05	713.873
9.27004E-05	686.91
9.27081E-05	668.501
9.27168E-05	654.223
9.27299E-05	627.316
9.27386E-05	614.402
9.27571E-05	589.76
9.27658E-05	577.85
9.28007E-05	555.457
9.28421E-05	544.67
9.28443E-05	524.052
9.28639E-05	514.054
9.28661E-05	495.223
9.28857E-05	486.124
9.28879E-05	468.703
9.29075E-05	460.23
9.29097E-05	444.248
9.29283E-05	436.504
9.29315E-05	421.655
9.29479E-05	414.516
9.29642E-05	394.095
9.29686E-05	390.818
9.29806E-05	375.274
9.29849E-05	363.309
9.29969E-05	357.651
9.30013E-05	341.161
9.30095E-05	338.643
9.30175E-05	326.106
9.30274E-05	316.38
9.30372E-05	311.72
9.30438E-05	298.341
9.30536E-05	296.187
9.30623E-05	285.872
9.30689E-05	277.946
9.30808E-05	268.515
9.30896E-05	261.318
9.30972E-05	252.717
9.31059E-05	246.095
9.31190E-05	238.231
9.31277E-05	232.187
9.31408E-05	224.978
9.31495E-05	219.447
9.31626E-05	212.822
9.31713E-05	207.749
9.31953E-05	201.712
9.32040E-05	193.534
9.32585E-05	191.302
9.32607E-05	181.721
9.32879E-05	180.742
9.32912E-05	172.962
9.33098E-05	169.217
9.33130E-05	164.781
9.33261E-05	158.757
9.33348E-05	157.102
9.33425E-05	149.98
9.33512E-05	149.251
9.33588E-05	143.42
9.33675E-05	140.606
9.33752E-05	137.255
9.33839E-05	132.693
9.33915E-05	131.434
9.34002E-05	126.001
9.34078E-05	125.444
9.34166E-05	120.964
9.34242E-05	118.798
9.34329E-05	116.207
9.34395E-05	112.673
9.34493E-05	111.695
9.34547E-05	107.474
9.34656E-05	107.041
9.34700E-05	102.232
9.34779E-05	101.831
9.34814E-05	97.441
9.34901E-05	94.7117
9.34967E-05	92.9067
9.35060E-05	88.6622
9.35081E-05	88.3353
9.35196E-05	84.8086
9.35212E-05	82.6119
9.35310E-05	81.1526
9.35365E-05	77.7148
9.35425E-05	77.4496
9.35517E-05	74.5741
9.35539E-05	72.7801
9.35654E-05	71.5841
9.35670E-05	68.7621
9.35816E-05	68.5441
9.35823E-05	66.1694
9.35959E-05	64.6858
9.35975E-05	63.693
9.36102E-05	61.3471
9.36128E-05	61.1656
9.36245E-05	59.183
9.36313E-05	57.9428
9.36388E-05	57.1099
9.36476E-05	55.1395
9.36531E-05	54.9869
9.36640E-05	53.3139
9.36674E-05	52.2661
9.36803E-05	51.5613
9.36817E-05	49.8926
9.36913E-05	49.7633
9.36967E-05	48.3577
9.37076E-05	46.8333
9.37103E-05	46.715
9.37294E-05	45.4456
9.37458E-05	44.0681
9.37512E-05	43.9612
9.37621E-05	42.8101
9.37730E-05	41.5603
9.37839E-05	41.4633
9.37948E-05	40.4168
9.38057E-05	39.28
9.38152E-05	39.1917
9.38275E-05	38.2391
9.38357E-05	37.1251
9.38493E-05	36.7258
9.38629E-05	35.7794
9.38711E-05	35.2318
9.38902E-05	34.4379
9.38929E-05	33.1464
9.39174E-05	33.0764
9.39447E-05	31.9769
9.39719E-05	31.1395
9.39992E-05	30.8443
9.40264E-05	29.7901
9.40292E-05	29.3825
9.40537E-05	28.7974
