MeV	"I-127(N,EL)I-127-L0"
4.04055E-05	11.5792
4.05475E-05	10.8705
4.06895E-05	10.2419
4.08315E-05	9.6797
4.09755E-05	9.16581
4.11195E-05	8.69937
4.12635E-05	8.27285
4.14806E-05	7.69148
4.16996E-05	7.16431
4.19187E-05	6.68347
4.21398E-05	6.23374
4.24361E-05	5.67104
4.28846E-05	4.86812
4.38355E-05	3.19399
4.39935E-05	2.93394
4.40883E-05	2.7952
4.41516E-05	2.71545
4.42148E-05	2.65092
4.42570E-05	2.61937
4.42991E-05	2.59983
4.43413E-05	2.59545
4.43729E-05	2.60455
4.44108E-05	2.63282
4.44382E-05	2.66746
4.44656E-05	2.71647
4.44930E-05	2.78247
4.45204E-05	2.86867
4.45409E-05	2.94891
4.45615E-05	3.04467
4.45820E-05	3.15829
4.46026E-05	3.29251
4.46184E-05	3.4118
4.46342E-05	3.54694
4.46500E-05	3.69993
4.46658E-05	3.87309
4.46816E-05	4.06911
4.46974E-05	4.29114
4.47132E-05	4.54288
4.47290E-05	4.82867
4.47448E-05	5.15368
4.47554E-05	5.39513
4.47659E-05	5.65881
4.47775E-05	5.97738
4.47901E-05	6.36311
4.48028E-05	6.79392
4.48154E-05	7.27603
4.48249E-05	7.67559
4.48344E-05	8.1115
4.48439E-05	8.58765
4.48534E-05	9.10836
4.48629E-05	9.67846
4.48723E-05	10.3033
4.48829E-05	11.0692
4.48934E-05	11.9194
4.49013E-05	12.6184
4.49092E-05	13.3754
4.49171E-05	14.1956
4.49250E-05	15.0846
4.49329E-05	16.0485
4.49408E-05	17.0939
4.49487E-05	18.2277
4.49566E-05	19.4576
4.49647E-05	20.8102
4.49727E-05	22.2785
4.49807E-05	23.8721
4.49887E-05	25.601
4.49967E-05	27.4756
4.50047E-05	29.5069
4.50127E-05	31.7063
4.50207E-05	34.0855
4.50302E-05	37.1523
4.50397E-05	40.5086
4.50492E-05	44.1754
4.50586E-05	48.173
4.50681E-05	52.522
4.50755E-05	56.1599
4.50839E-05	60.6035
4.50924E-05	65.3636
4.51008E-05	70.4513
4.51092E-05	75.8762
4.51177E-05	81.646
4.51261E-05	87.7664
4.51387E-05	97.6112
4.51514E-05	108.252
4.51640E-05	119.674
4.51767E-05	131.842
4.51893E-05	144.706
4.52062E-05	162.81
4.52272E-05	186.634
4.52736E-05	240.693
4.52964E-05	266.025
4.53115E-05	281.695
4.53267E-05	295.994
4.53406E-05	307.624
4.53533E-05	316.774
4.53680E-05	325.537
4.53807E-05	331.273
4.53958E-05	335.867
4.54093E-05	337.785
4.54169E-05	337.961
4.54296E-05	336.818
4.54409E-05	334.288
4.54553E-05	329.163
4.54709E-05	321.298
4.54877E-05	310.393
4.55046E-05	297.36
4.55215E-05	282.613
4.55467E-05	258.238
4.56057E-05	198.108
4.56226E-05	181.667
4.56395E-05	166.028
4.56563E-05	151.356
4.56732E-05	137.757
4.56858E-05	128.299
4.56985E-05	119.487
4.57111E-05	111.317
4.57238E-05	103.776
4.57359E-05	97.118
4.57470E-05	91.5057
4.57580E-05	86.3166
4.57691E-05	81.5276
4.57801E-05	77.1143
4.57912E-05	73.0519
4.58031E-05	69.0602
4.58149E-05	65.4125
4.58268E-05	62.0795
4.58386E-05	59.0333
4.58544E-05	55.3726
4.58702E-05	52.1177
4.58860E-05	49.2169
4.59019E-05	46.6243
4.59177E-05	44.2996
4.59335E-05	42.2078
4.59493E-05	40.3185
4.59703E-05	38.07
4.59914E-05	36.0839
4.60125E-05	34.3181
4.60336E-05	32.7386
4.60547E-05	31.3176
4.60757E-05	30.0324
4.61073E-05	28.3196
4.61389E-05	26.8217
4.61706E-05	25.5005
4.62022E-05	24.3266
4.62338E-05	23.2768
4.62712E-05	22.1695
4.63202E-05	20.9026
4.63692E-05	19.8055
4.64182E-05	18.8463
4.64672E-05	18.0009
4.65162E-05	17.2502
4.65657E-05	16.5725
4.66400E-05	15.6824
4.67143E-05	14.9159
4.67886E-05	14.249
4.68629E-05	13.6635
4.69387E-05	13.1349
4.70178E-05	12.6464
4.71232E-05	12.0761
4.72285E-05	11.5814
4.73339E-05	11.148
4.74814E-05	10.624
4.76289E-05	10.177
4.77765E-05	9.79029
4.79240E-05	9.45203
4.80930E-05	9.11281
4.82621E-05	8.81563
4.85156E-05	8.43232
4.87715E-05	8.10486
4.89430E-05	7.91203
4.92858E-05	7.57669
4.96335E-05	7.2907
4.99811E-05	7.04576
5.03337E-05	6.83022
5.08650E-05	6.55369
5.14014E-05	6.31927
5.20896E-05	6.06685
5.27898E-05	5.85159
5.37000E-05	5.6176
5.46382E-05	5.41442
5.58704E-05	5.19077
5.70584E-05	5.00747
5.86797E-05	4.79135
6.29899E-05	4.28611
6.38860E-05	4.15684
6.44124E-05	4.05513
6.47540E-05	3.96312
6.49640E-05	3.88481
6.51227E-05	3.80468
6.52227E-05	3.73857
6.53170E-05	3.65991
6.54968E-05	3.47812
6.55410E-05	3.45043
6.55631E-05	3.44626
6.55852E-05	3.45139
6.56164E-05	3.47921
6.56412E-05	3.52258
6.56659E-05	3.58851
6.56925E-05	3.68742
6.57131E-05	3.78609
6.57367E-05	3.92281
6.57602E-05	4.08447
6.57838E-05	4.26903
6.58121E-05	4.51558
6.59052E-05	5.39474
6.59371E-05	5.66178
6.59660E-05	5.86491
6.59842E-05	5.96957
6.60078E-05	6.07422
6.60314E-05	6.14312
6.60550E-05	6.17643
6.60667E-05	6.18027
6.60903E-05	6.16423
6.61139E-05	6.11997
6.61493E-05	6.01139
6.61964E-05	5.81563
6.62719E-05	5.46869
6.63308E-05	5.22615
6.63750E-05	5.07479
6.64192E-05	4.95014
6.64782E-05	4.81968
6.65312E-05	4.72934
6.66019E-05	4.63675
6.66962E-05	4.54518
6.68289E-05	4.45214
6.69615E-05	4.38301
6.72046E-05	4.28994
6.75804E-05	4.18904
6.81145E-05	4.08461
6.88327E-05	3.97252
7.10250E-05	3.66657
7.19565E-05	3.5232
7.29013E-05	3.3559
7.36708E-05	3.19466
7.41887E-05	3.06848
7.46461E-05	2.94181
7.50430E-05	2.81793
7.54243E-05	2.68492
7.57898E-05	2.54412
7.64659E-05	2.26702
7.66761E-05	2.19442
7.68132E-05	2.16159
7.69159E-05	2.15049
7.69388E-05	2.15023
7.70187E-05	2.15751
7.70873E-05	2.1766
7.71558E-05	2.21154
7.72015E-05	2.24616
7.72472E-05	2.29211
7.72929E-05	2.3519
7.73386E-05	2.42867
7.73797E-05	2.5156
7.74162E-05	2.61012
7.74436E-05	2.69369
7.74710E-05	2.78996
7.74985E-05	2.90092
7.75259E-05	3.02896
