E(MeV)	pendfb7/Ba135:1
3.20456E-08	7.96363905
3.30068E-08	7.88679174
3.39962E-08	7.81110557
3.50159E-08	7.73647119
3.59140E-08	7.67357587
3.60655E-08	7.66298394
3.71473E-08	7.59065946
3.82608E-08	7.5194259
3.94084E-08	7.44918079
4.05898E-08	7.37999334
4.18072E-08	7.31176566
4.30604E-08	7.24456611
4.43520E-08	7.17830014
4.56815E-08	7.11303405
4.70517E-08	7.04867544
4.84621E-08	6.98528806
4.99157E-08	6.92278168
5.14120E-08	6.86121791
5.29541E-08	6.80050889
5.45414E-08	6.74071435
5.50038E-08	6.72404961
5.61773E-08	6.68184679
5.78613E-08	6.62390917
5.95968E-08	6.56678076
6.13833E-08	6.51051876
6.32245E-08	6.45504413
6.51197E-08	6.40041294
6.70729E-08	6.34654805
6.90835E-08	6.2935018
7.11556E-08	6.24119574
7.32886E-08	6.18967745
7.54868E-08	6.1388698
7.77496E-08	6.08882124
8.00817E-08	6.0394611
8.24822E-08	5.99084008
8.49562E-08	5.94289107
8.75029E-08	5.89566275
9.01274E-08	5.8490885
9.28291E-08	5.8032144
9.48098E-08	5.77103336
9.56135E-08	5.75800466
9.84796E-08	5.71355019
1.01433E-07	5.6697145
1.04474E-07	5.62654074
1.07608E-07	5.58396729
1.10833E-07	5.54203605
1.14158E-07	5.5006872
1.17580E-07	5.45996149
1.21106E-07	5.41980107
1.24737E-07	5.38024642
1.28478E-07	5.34124325
1.32329E-07	5.30283296
1.36298E-07	5.26496201
1.40384E-07	5.22766403
1.44595E-07	5.19087793
1.48929E-07	5.15463393
1.53396E-07	5.11888032
1.57995E-07	5.08365626
1.62733E-07	5.04891509
1.67612E-07	5.01469262
1.72639E-07	4.98094042
1.77814E-07	4.94769173
1.83147E-07	4.914899
1.88637E-07	4.88259441
1.94296E-07	4.85073175
2.00120E-07	4.81934229
2.06122E-07	4.78845347
2.12301E-07	4.75802544
2.18669E-07	4.72801468
2.25224E-07	4.69845066
2.31979E-07	4.66929111
2.38933E-07	4.64056467
2.46100E-07	4.61223026
2.53477E-07	4.58431588
2.61080E-07	4.55678289
2.68906E-07	4.52966266
2.76971E-07	4.50292153
2.85274E-07	4.47658057
2.93830E-07	4.45058746
3.02638E-07	4.42496328
3.11716E-07	4.39967821
3.21060E-07	4.37476218
3.30690E-07	4.35018076
3.40603E-07	4.32595814
3.50819E-07	4.30205957
3.61335E-07	4.27850842
3.72173E-07	4.25527089
3.83329E-07	4.23236969
3.94827E-07	4.20977193
4.06662E-07	4.18749966
4.18860E-07	4.1655209
4.31416E-07	4.14385709
4.44356E-07	4.12247706
4.57676E-07	4.10140168
4.71403E-07	4.08060062
4.85534E-07	4.06009413
5.00097E-07	4.0398527
5.15088E-07	4.01989612
5.30538E-07	4.00019759
5.46442E-07	3.98078554
5.62832E-07	3.96163284
5.79703E-07	3.94273251
5.97091E-07	3.92405292
6.14990E-07	3.90562083
6.33436E-07	3.88742262
6.46940E-07	3.87466153
6.52424E-07	3.8694925
6.71993E-07	3.85182007
6.92136E-07	3.83438789
7.12897E-07	3.81717067
7.34266E-07	3.80018504
7.56290E-07	3.78340639
7.78961E-07	3.76685087
8.02325E-07	3.75049451
8.26376E-07	3.73435302
8.51163E-07	3.71840317
8.76677E-07	3.70266495
9.02972E-07	3.68712816
9.30040E-07	3.67178139
9.57936E-07	3.65659573
9.86651E-07	3.6415995
1.01196E-06	3.62888367
1.04051E-06	3.61505972
1.06987E-06	3.60138787
1.10006E-06	3.58786503
1.13110E-06	3.57448811
1.16301E-06	3.56125404
1.19583E-06	3.54815977
1.22957E-06	3.53520227
1.26427E-06	3.52237851
