E(MeV)	Gd-160
2.202200E-04	7.2475
2.202730E-04	7.56254
2.203210E-04	7.88394
2.203640E-04	8.20394
2.203690E-04	8.24852
2.204060E-04	8.56288
2.204280E-04	8.7633
2.204490E-04	8.96518
2.204700E-04	9.19078
2.204910E-04	9.41823
2.205120E-04	9.6729
2.205340E-04	9.92975
2.205440E-04	10.0739
2.205680E-04	10.4007
2.205760E-04	10.5104
2.205950E-04	10.7987
2.206190E-04	11.1725
2.206210E-04	11.2194
2.206410E-04	11.5736
2.206600E-04	11.9068
2.206610E-04	11.9333
2.206770E-04	12.2528
2.206900E-04	12.5075
2.206930E-04	12.581
2.207090E-04	12.9361
2.207200E-04	13.1748
2.207250E-04	13.3059
2.207320E-04	13.4707
2.207460E-04	13.8353
2.207500E-04	13.9189
2.207600E-04	14.195
2.207730E-04	14.5661
2.207790E-04	14.7533
2.207860E-04	14.96
2.207990E-04	15.3769
2.208090E-04	15.6798
2.208110E-04	15.7356
2.208220E-04	16.1296
2.208330E-04	16.5268
2.208380E-04	16.6986
2.208440E-04	16.9525
2.208560E-04	17.4331
2.208660E-04	17.8539
2.208680E-04	17.925
2.208800E-04	18.4638
2.208880E-04	18.8391
2.208920E-04	19.0243
2.209000E-04	19.425
2.209080E-04	19.8288
2.209130E-04	20.0732
2.209160E-04	20.2832
2.209250E-04	20.7673
2.209330E-04	21.2559
2.209390E-04	21.5642
2.209420E-04	21.7692
2.209530E-04	22.4944
2.209610E-04	23.0533
2.209630E-04	23.1592
2.209710E-04	23.7418
2.209810E-04	24.4885
2.209840E-04	24.7275
2.209920E-04	25.3359
2.210000E-04	26.0396
2.210040E-04	26.3513
2.210100E-04	26.8828
2.210190E-04	27.7636
2.210220E-04	28.0116
2.210290E-04	28.7123
2.210380E-04	29.6955
2.210420E-04	30.0277
2.210480E-04	30.7473
2.210580E-04	31.8415
2.210670E-04	33.0342
2.210730E-04	33.8412
2.210770E-04	34.3476
2.210880E-04	35.891
2.210890E-04	36.0407
2.211000E-04	37.5693
2.211050E-04	38.4675
2.211080E-04	38.821
2.211160E-04	40.2528
2.211230E-04	41.523
2.211250E-04	41.7187
2.211330E-04	43.3063
2.211380E-04	44.313
2.211420E-04	45.0679
2.211520E-04	47.0383
2.211530E-04	47.3721
2.211610E-04	49.159
2.211680E-04	50.7323
2.211710E-04	51.3854
2.211810E-04	53.9072
2.211860E-04	55.2579
2.211910E-04	56.718
2.212020E-04	59.6898
2.212130E-04	62.9425
2.212180E-04	64.6
2.212240E-04	66.7368
2.212340E-04	69.9997
2.212440E-04	73.5588
2.212500E-04	75.9705
2.212530E-04	77.264
2.212630E-04	81.2054
2.212660E-04	82.5412
2.212720E-04	85.402
2.212820E-04	89.7616
2.212910E-04	94.5012
2.212980E-04	97.7115
2.213010E-04	99.4266
2.213140E-04	106.413
2.213260E-04	114.024
2.213300E-04	115.967
2.213390E-04	122.173
2.213460E-04	126.397
2.213520E-04	130.888
2.213610E-04	137.761
2.213650E-04	140.193
2.213770E-04	150.123
2.213780E-04	151
2.213900E-04	160.383
2.213930E-04	163.564
2.214010E-04	170.291
2.214090E-04	178.106
2.214120E-04	180.685
2.214250E-04	193.816
2.214270E-04	195.476
2.214410E-04	210.727
2.214420E-04	211.322
2.214530E-04	224.012
2.214570E-04	228.931
2.214680E-04	241.825
2.214730E-04	248.397
2.214830E-04	260.771
2.214890E-04	269.174
2.214970E-04	280.947
2.215100E-04	298.919
2.215120E-04	302.076
2.215270E-04	324.547
2.215310E-04	331.072
2.215420E-04	348.084
2.215470E-04	356.72
2.215570E-04	372.874
2.215690E-04	392.97
2.215790E-04	411.97
2.215900E-04	431.342
2.216020E-04	453.454
2.216150E-04	480.079
2.216280E-04	505.631
2.216530E-04	555.435
2.216540E-04	557.671
2.216860E-04	625.768
2.217620E-04	791.214
2.217960E-04	862.023
2.218300E-04	927.576
2.218560E-04	971.875
2.218640E-04	985.405
2.218810E-04	1011.42
2.218890E-04	1023
2.219060E-04	1045.13
2.219130E-04	1052.71
2.219320E-04	1072.33
2.219360E-04	1076
2.219540E-04	1089.81
2.219590E-04	1093.14
2.219780E-04	1102.91
2.219850E-04	1105.13
2.220000E-04	1108.79
2.220070E-04	1109.03
2.220270E-04	1108.04
2.220310E-04	1107.17
2.220390E-04	1104.51
2.220480E-04	1101.08
2.220610E-04	1094.41
2.220700E-04	1088.86
2.220850E-04	1076.56
2.220950E-04	1067.51
2.221110E-04	1051.12
2.221210E-04	1039.38
2.221360E-04	1019.24
2.221460E-04	1005.07
2.221610E-04	981.967
2.221630E-04	979.291
2.221870E-04	938.933
2.221970E-04	921.004
2.222210E-04	876.216
2.222310E-04	856.47
2.222550E-04	808.216
2.222910E-04	734.397
2.223060E-04	702.653
2.223460E-04	619.309
2.223700E-04	571.131
2.223780E-04	554.969
2.224070E-04	498.405
2.224360E-04	446.364
2.224390E-04	440.299
2.224590E-04	407.266
2.224630E-04	399.994
2.224760E-04	379.593
2.224870E-04	362.524
2.224980E-04	345.806
2.225110E-04	327.721
2.225210E-04	314.415
2.225270E-04	305.969
2.225360E-04	294.922
2.225480E-04	279.022
2.225500E-04	276.433
2.225650E-04	259.078
2.225700E-04	254.334
2.225800E-04	242.774
2.225910E-04	231.732
2.225950E-04	227.432
2.226090E-04	213.584
2.226120E-04	211.136
2.226240E-04	200.671
2.226330E-04	192.51
2.226380E-04	188.549
2.226520E-04	177.24
