E(MeV)	Sm 152
6.02026E-05	8.52245
6.02699E-05	8.51076
6.03372E-05	8.50448
6.04045E-05	8.50445
6.04613E-05	8.51056
6.04718E-05	8.50965
6.05391E-05	8.51236
6.05895E-05	8.52087
6.06400E-05	8.5358
6.06684E-05	8.54882
6.07009E-05	8.55696
6.07619E-05	8.58491
6.08025E-05	8.61176
6.08187E-05	8.62553
6.08431E-05	8.63993
6.08838E-05	8.67249
6.09244E-05	8.71482
6.09650E-05	8.76831
6.09813E-05	8.79428
6.09975E-05	8.81505
6.10300E-05	8.8658
6.10625E-05	8.92692
6.10950E-05	8.99975
6.11011E-05	9.01591
6.11275E-05	9.07612
6.11600E-05	9.16542
6.11925E-05	9.27216
6.12169E-05	9.36731
6.12250E-05	9.39574
6.12494E-05	9.49616
6.12737E-05	9.61135
6.12941E-05	9.72123
6.12981E-05	9.74148
6.13225E-05	9.88188
6.13469E-05	10.0438
6.13712E-05	10.2305
6.13956E-05	10.4341
6.14200E-05	10.6709
6.14322E-05	10.8071
6.14403E-05	10.8936
6.14606E-05	11.1411
6.14809E-05	11.4252
6.14931E-05	11.6215
6.15013E-05	11.7471
6.15165E-05	12.0158
6.15317E-05	12.3177
6.15470E-05	12.6582
6.15541E-05	12.8381
6.15622E-05	13.0381
6.15774E-05	13.4663
6.15906E-05	13.8885
6.16028E-05	14.3277
6.16150E-05	14.8222
6.16272E-05	15.3767
6.16394E-05	16.0071
6.16516E-05	16.7267
6.16637E-05	17.5516
6.16719E-05	18.1692
6.16800E-05	18.8483
6.16881E-05	19.5961
6.16962E-05	20.4206
6.17044E-05	21.3368
6.17125E-05	22.3484
6.17200E-05	23.3892
6.17216E-05	23.6157
6.17308E-05	25.0416
6.17359E-05	25.9286
6.17399E-05	26.6429
6.17491E-05	28.4417
6.17517E-05	29.0234
6.17582E-05	30.4656
6.17643E-05	31.9492
6.17675E-05	32.8015
6.17704E-05	33.5509
6.17715E-05	33.8678
6.17765E-05	35.2855
6.17826E-05	37.1532
6.17834E-05	37.4211
6.17887E-05	39.173
6.17948E-05	41.3452
6.17953E-05	41.5396
6.18009E-05	43.6923
6.18070E-05	46.2117
6.18072E-05	46.3027
6.18149E-05	49.7797
6.18151E-05	49.8793
6.18222E-05	53.3836
6.18230E-05	53.8177
6.18295E-05	57.3088
6.18327E-05	59.1978
6.18368E-05	61.5713
6.18401E-05	63.6227
6.18441E-05	66.1985
6.18474E-05	68.4209
6.18514E-05	71.2114
6.18547E-05	73.6148
6.18588E-05	76.6327
6.18620E-05	79.2269
6.18661E-05	82.4843
6.18693E-05	85.2791
6.18734E-05	88.7883
6.18766E-05	91.793
6.18807E-05	95.5657
6.18839E-05	98.7893
6.18880E-05	102.837
6.18913E-05	106.3
6.18961E-05	111.517
6.18986E-05	114.309
6.19042E-05	120.85
6.19047E-05	121.349
6.19120E-05	130.361
6.19124E-05	130.863
6.19193E-05	139.96
6.19205E-05	141.572
6.19266E-05	150.123
6.19286E-05	152.986
6.19339E-05	160.858
6.19367E-05	165.114
6.19412E-05	172.165
6.19449E-05	177.957
6.19485E-05	184.103
6.19558E-05	196.441
6.19562E-05	197.13
6.19636E-05	210.264
6.19660E-05	214.66
6.19717E-05	225.513
6.19790E-05	239.52
6.19798E-05	241.166
6.19879E-05	257.686
6.19920E-05	265.978
6.19977E-05	278.206
6.20089E-05	302.328
6.20091E-05	302.788
6.20196E-05	326.807
6.20320E-05	355.1
6.20342E-05	360.29
6.20505E-05	398.2
6.20694E-05	442.335
6.20713E-05	446.909
6.20908E-05	490.482
6.21103E-05	530.595
6.21162E-05	541.427
6.21233E-05	554.598
6.21343E-05	572.719
6.21363E-05	575.891
6.21493E-05	594.026
6.21525E-05	597.724
6.21623E-05	608.668
6.21662E-05	611.964
6.21753E-05	619.505
6.21802E-05	622.083
6.21889E-05	626.555
6.21948E-05	627.89
6.21996E-05	628.892
6.22072E-05	628.402
6.22123E-05	627.968
6.22185E-05	625.937
6.22208E-05	625.146
6.22299E-05	619.781
6.22338E-05	617.404
6.22429E-05	609.298
6.22468E-05	605.751
6.22526E-05	598.9
6.22598E-05	590.413
6.22624E-05	586.71
6.22728E-05	571.711
6.22754E-05	567.418
6.22858E-05	550.045
6.22884E-05	545.24
6.22988E-05	525.838
6.23014E-05	520.54
6.23144E-05	493.841
6.23183E-05	485.777
6.23274E-05	465.6
6.23443E-05	427.887
6.23469E-05	421.987
6.23677E-05	374.52
6.23812E-05	343.627
6.23982E-05	306.07
6.24153E-05	270.391
6.24275E-05	246.321
6.24291E-05	243.294
6.24405E-05	222.185
6.24502E-05	205.142
6.24535E-05	199.771
6.24600E-05	189.085
6.24697E-05	173.999
6.24697E-05	173.999
6.24771E-05	163.364
6.24852E-05	152.167
6.24860E-05	151.111
6.24933E-05	141.675
6.25014E-05	131.821
6.25023E-05	130.897
6.25096E-05	122.644
6.25177E-05	114.067
6.25185E-05	113.267
6.25258E-05	106.129
6.25339E-05	98.7438
6.25368E-05	96.3236
6.25404E-05	93.2462
6.25477E-05	87.4723
6.25551E-05	82.0823
6.25624E-05	77.1197
6.25697E-05	72.5002
6.25733E-05	70.3518
6.25770E-05	68.2325
6.25843E-05	64.2965
6.25916E-05	60.6437
6.25989E-05	57.3066
6.26063E-05	54.2151
6.26099E-05	52.7832
6.26136E-05	51.3719
6.26192E-05	49.3231
6.26245E-05	47.5395
6.26258E-05	47.1337
6.26323E-05	45.1149
6.26388E-05	43.2313
6.26416E-05	42.4621
6.26452E-05	41.4893
6.26518E-05	39.8759
6.26582E-05	38.3697
6.26587E-05	38.2817
6.26648E-05	36.9908
6.26712E-05	35.7049
6.26810E-05	33.9316
6.26843E-05	33.3961
6.26907E-05	32.3543
6.27005E-05	30.9384
6.27098E-05	29.7052
6.27102E-05	29.653
6.27200E-05	28.5136
6.27281E-05	27.6404
6.27354E-05	26.9102
6.27363E-05	26.8313
6.27444E-05	26.0978
6.27566E-05	25.0891
6.27627E-05	24.6321
6.27687E-05	24.1893
6.27809E-05	23.3843
6.27931E-05	22.6481
6.28053E-05	21.9965
6.28175E-05	21.3954
6.28297E-05	20.8377
6.28338E-05	20.6644
6.28419E-05	20.3322
6.28551E-05	19.8293
6.28703E-05	19.2903
6.28744E-05	19.1567
6.28855E-05	18.8038
6.29008E-05	18.3554
6.29150E-05	17.9674
6.29211E-05	17.8077
6.29414E-05	17.3178
6.29617E-05	16.8639
6.29638E-05	16.8216
6.29820E-05	16.4609
6.30023E-05	16.0869
6.30267E-05	15.6687
6.30369E-05	15.5042
6.30409E-05	15.4422
6.30694E-05	15.0349
6.30978E-05	14.6582
6.31100E-05	14.5081
6.31263E-05	14.3196
6.31547E-05	14.0123
6.31831E-05	13.7247
6.31912E-05	13.6475
6.32116E-05	13.468
6.32400E-05	13.2318
6.32766E-05	12.9475
6.33131E-05	12.682
6.33497E-05	12.4536
6.33863E-05	12.2392
6.34228E-05	12.0371
6.34350E-05	11.9734
6.34594E-05	11.8568
6.34959E-05	11.6914
6.35457E-05	11.4797
6.35853E-05	11.3207
6.35975E-05	11.2744
6.36381E-05	11.1345
6.36909E-05	10.9638
6.37438E-05	10.8028
6.37600E-05	10.7559
6.37966E-05	10.6608
6.38494E-05	10.5308
6.39022E-05	10.4071
6.39753E-05	10.2447
6.40038E-05	10.1848
6.40362E-05	10.1239
6.40972E-05	10.0149
6.41581E-05	9.91071
