E(MeV)	Mo-nat
1.636300E-05	5.09602
1.638750E-05	5.08778
1.644880E-05	5.06475
1.647500E-05	5.05589
1.649250E-05	5.0507
1.651000E-05	5.04613
1.652750E-05	5.04219
1.655370E-05	5.03735
1.658000E-05	5.0336
1.660630E-05	5.03072
1.663250E-05	5.02849
1.666920E-05	5.02612
1.672700E-05	5.0235
1.680400E-05	5.02111
1.690900E-05	5.01875
1.708400E-05	5.01583
1.738850E-05	5.01191
1.770000E-05	5.00857
1.791000E-05	5.00656
1.841540E-05	5.00226
1.893500E-05	4.99845
1.974390E-05	4.99347
2.058350E-05	4.98933
2.146280E-05	4.98601
2.237550E-05	4.98364
2.300680E-05	4.98266
2.313460E-05	4.98258
2.365600E-05	4.98024
2.432350E-05	4.97792
2.500980E-05	4.97637
2.571550E-05	4.9757
2.644110E-05	4.97613
2.700070E-05	4.97737
2.757070E-05	4.97958
2.815150E-05	4.98275
2.874310E-05	4.98732
2.935130E-05	4.99353
2.997110E-05	5.00166
3.038800E-05	5.00833
3.081670E-05	5.01632
3.124550E-05	5.02559
3.168630E-05	5.03664
3.212710E-05	5.04944
3.258040E-05	5.06469
3.303360E-05	5.08235
3.338310E-05	5.09788
3.373270E-05	5.11528
3.408550E-05	5.135
3.415430E-05	5.13933
3.444490E-05	5.16014
3.480430E-05	5.18875
3.510000E-05	5.21496
3.517050E-05	5.22215
3.554000E-05	5.26424
3.578640E-05	5.29457
3.603330E-05	5.32749
3.628100E-05	5.36315
3.652860E-05	5.40173
3.658520E-05	5.41131
3.677620E-05	5.44899
3.703010E-05	5.50294
3.729040E-05	5.56283
3.755070E-05	5.628
3.760310E-05	5.64234
3.781100E-05	5.70766
3.807500E-05	5.79774
3.827570E-05	5.87175
3.839520E-05	5.91903
3.847650E-05	5.95529
3.867720E-05	6.05099
3.887790E-05	6.15361
3.893310E-05	6.184
3.908060E-05	6.27317
3.928690E-05	6.40743
3.933060E-05	6.43811
3.949330E-05	6.56308
3.969970E-05	6.73423
3.971600E-05	6.74869
3.983730E-05	6.86691
3.997490E-05	7.0082
4.010150E-05	7.14545
4.011250E-05	7.15844
4.028640E-05	7.37644
4.034250E-05	7.45222
4.046030E-05	7.62243
4.056750E-05	7.78933
4.063420E-05	7.9007
4.075020E-05	8.10662
4.079250E-05	8.18593
4.086610E-05	8.33414
4.098200E-05	8.58018
4.101750E-05	8.65962
4.109060E-05	8.83647
4.119190E-05	9.09375
4.124250E-05	9.22906
4.129310E-05	9.37435
4.139440E-05	9.67977
4.141130E-05	9.73344
4.149560E-05	10.0196
4.158000E-05	10.3212
4.159690E-05	10.3859
4.169810E-05	10.7951
4.174870E-05	11.0115
4.179940E-05	11.2412
4.186130E-05	11.5373
4.188940E-05	11.6789
4.197380E-05	12.1299
4.200750E-05	12.3196
4.207610E-05	12.7282
4.208620E-05	12.7922
4.216500E-05	13.3136
4.221450E-05	13.658
4.224380E-05	13.8736
4.230680E-05	14.3616
4.232250E-05	14.4898
4.239900E-05	15.1444
4.240130E-05	15.1647
4.248000E-05	15.9117
4.249130E-05	16.0251
4.257450E-05	16.909
4.258350E-05	17.0101
4.263750E-05	17.6507
4.267580E-05	18.126
4.270050E-05	18.4518
4.276350E-05	19.3205
4.276800E-05	19.3857
4.282650E-05	20.2849
4.286250E-05	20.8663
4.288950E-05	21.3259
4.292550E-05	21.9703
4.295250E-05	22.4755
4.298850E-05	23.1827
4.300870E-05	23.5991
4.305150E-05	24.5283
4.308300E-05	25.2462
4.311450E-05	26.0038
4.313250E-05	26.4586
4.317750E-05	27.6469
4.318200E-05	27.7721
4.323150E-05	29.2119
4.324050E-05	29.4865
4.328100E-05	30.7831
4.329450E-05	31.2369
4.333050E-05	32.4994
4.333950E-05	32.8311
4.338000E-05	34.3846
4.338450E-05	34.5654
4.342050E-05	36.0725
4.342950E-05	36.4659
4.346100E-05	37.9021
4.347450E-05	38.5453
4.350150E-05	39.8894
4.351950E-05	40.8266
4.354200E-05	42.0527
4.356450E-05	43.3364
4.358250E-05	44.4131
4.360950E-05	46.1058
4.362300E-05	46.9926
4.365000E-05	48.8536
4.366350E-05	49.8251
4.368600E-05	51.5268
4.370400E-05	52.946
4.372200E-05	54.4472
4.375120E-05	56.9924
4.375800E-05	57.6112
4.378270E-05	59.981
4.379400E-05	61.1056
4.381430E-05	63.2237
4.383000E-05	64.945
4.384580E-05	66.7494
4.386600E-05	69.1758
4.387730E-05	70.5917
4.390200E-05	73.8528
4.390870E-05	74.7858
4.393350E-05	78.3717
4.394030E-05	79.3925
4.396050E-05	82.6016
4.396950E-05	84.0872
4.398750E-05	87.1943
4.399650E-05	88.8143
4.401450E-05	92.201
4.402350E-05	93.9691
4.404150E-05	97.67
4.405050E-05	99.6049
4.406850E-05	103.66
4.407750E-05	105.784
4.409550E-05	110.241
4.410450E-05	112.578
4.412250E-05	117.491
4.413150E-05	120.067
4.414730E-05	124.812
4.415850E-05	128.354
4.416970E-05	132.079
4.418210E-05	136.357
4.419220E-05	140.018
4.420240E-05	143.845
4.421470E-05	148.726
4.422260E-05	151.979
4.423730E-05	158.287
4.424290E-05	160.832
4.425980E-05	168.812
4.426310E-05	170.49
4.428220E-05	180.432
4.428340E-05	181.048
4.430360E-05	192.652
4.430480E-05	193.329
4.432390E-05	205.408
4.432500E-05	206.155
4.434300E-05	218.632
4.436100E-05	232.277
4.437900E-05	247.206
4.439700E-05	263.564
4.441500E-05	281.512
4.443300E-05	301.228
4.445100E-05	322.905
4.446790E-05	345.226
