E(MeV)	Cr-nat			
1.62344E-03	15.6016			
1.62350E-03	16.3101			
1.62353E-03	16.6886			
1.62360E-03	17.4556			
1.62369E-03	18.6943			
1.62377E-03	19.8005			
1.62379E-03	20.0241			
1.62388E-03	21.4536			
1.62400E-03	23.2933			
1.62401E-03	23.4948			
1.62411E-03	25.0558			
1.62421E-03	26.9041			
1.62437E-03	29.8085			
1.62437E-03	29.9643			
1.62460E-03	34.4364			
1.62485E-03	39.224			
1.62503E-03	42.6022			
1.62503E-03	42.6762			
1.62515E-03	44.8355			
1.62528E-03	46.7798			
1.62528E-03	46.8806			
1.62540E-03	48.4993			
1.62552E-03	49.9701			
1.62552E-03	49.979			
1.62564E-03	51.1373			
1.62569E-03	51.5057			
1.62576E-03	51.9498			
1.62588E-03	52.4812			
1.62588E-03	52.4891			
1.62600E-03	52.6595			
1.62600E-03	52.6575			
1.62612E-03	52.4748			
1.62617E-03	52.3104			
1.62619E-03	52.21			
1.62631E-03	51.525			
1.62634E-03	51.2579			
1.62642E-03	50.5434			
1.62651E-03	49.574			
1.62654E-03	49.2906			
1.62667E-03	47.6023			
1.62676E-03	46.2548			
1.62678E-03	45.8641			
1.62691E-03	43.7144			
1.62701E-03	41.8475			
1.62708E-03	40.5282			
1.62732E-03	35.9383			
1.62759E-03	30.7252			
1.62774E-03	27.8709			
1.62789E-03	25.1718			
1.62800E-03	23.3489			
1.62800E-03	23.3487			
1.62811E-03	21.5309			
1.62820E-03	20.246			
1.62828E-03	19.0309			
1.62837E-03	17.9005			
1.62843E-03	17.0993			
1.62850E-03	16.3402			
1.62851E-03	16.2568			
1.62858E-03	15.4715			
1.62865E-03	14.7337			
1.62871E-03	14.1113			
1.62872E-03	14.0431			
1.62879E-03	13.4067			
1.62886E-03	12.8133			
1.62894E-03	12.2612			
1.62900E-03	11.8353			
1.62900E-03	11.7991			
1.62907E-03	11.374			
1.62914E-03	10.9474			
1.62921E-03	10.5526			
1.62928E-03	10.1878			
1.62929E-03	10.1274			
1.62935E-03	9.85744			
1.62942E-03	9.55447			
1.62949E-03	9.2758			
1.62956E-03	9.01958			
1.62958E-03	8.95318			
1.62963E-03	8.78896			
1.62970E-03	8.57935			
1.62975E-03	8.43493			
1.62981E-03	8.28609			
1.62986E-03	8.1475			
1.62992E-03	8.01847			
1.62998E-03	7.89824			
1.63001E-03	7.84224			
1.63003E-03	7.78848			
1.63012E-03	7.64119			
1.63021E-03	7.50897			
1.63029E-03	7.39008			
1.63038E-03	7.28293			
1.63047E-03	7.18615			
1.63055E-03	7.09849			
1.63058E-03	7.07195			
1.63064E-03	7.02164			
1.63074E-03	6.94512			
1.63083E-03	6.87632			
1.63093E-03	6.81422			
1.63103E-03	6.75792			
1.63112E-03	6.70665			
1.63122E-03	6.65977			
1.63135E-03	6.60313			
1.63144E-03	6.56635			
1.63148E-03	6.55317			
1.63161E-03	6.51052			
1.63176E-03	6.4659			
1.63189E-03	6.43137			
1.63202E-03	6.39981			
1.63219E-03	6.36165			
1.63236E-03	6.32732			
1.63253E-03	6.29625			
1.63271E-03	6.26798			
1.63288E-03	6.24212			
1.63305E-03	6.21837			
1.63328E-03	6.18955			
1.63351E-03	6.16354			
1.63374E-03	6.13993			
1.63397E-03	6.1184			
1.63420E-03	6.09868			
1.63443E-03	6.08235			
1.63466E-03	6.06741			
1.63489E-03	6.05371			
1.63515E-03	6.03959			
1.63541E-03	6.02669			
1.63566E-03	6.01486			
1.63592E-03	6.00398			
1.63618E-03	5.99396			
1.63657E-03	5.98031			
1.63696E-03	5.96812			
1.63733E-03	5.95868			
1.63770E-03	5.95024			
1.63808E-03	5.94266			
1.63845E-03	5.93584			
1.63882E-03	5.92969			
1.63920E-03	5.92413			
1.63957E-03	5.91909			
1.63994E-03	5.9145			
1.64046E-03	5.90883			
1.64098E-03	5.90384			
1.64150E-03	5.89945			
1.64201E-03	5.89556			
1.64253E-03	5.89212			
1.64305E-03	5.88907			
1.64356E-03	5.88637			
1.64408E-03	5.88398			
1.64483E-03	5.88099			
1.64557E-03	5.87848			
1.64632E-03	5.87639			
1.64707E-03	5.87464			
1.64781E-03	5.8732			
1.64856E-03	5.87203			
1.64931E-03	5.87108			
1.65034E-03	5.87008			
1.65122E-03	5.8695			
1.65238E-03	5.86903			
1.65354E-03	5.86886			
1.65470E-03	5.86893			
1.65586E-03	5.86921			
1.65702E-03	5.86968			
1.65876E-03	5.87065			
1.66065E-03	5.87202			
1.66262E-03	5.87372			
1.66458E-03	5.87565			
1.66654E-03	5.87776			
1.66851E-03	5.88001			
1.67101E-03	5.88305			
1.67339E-03	5.8861			
1.67696E-03	5.89089			
1.67743E-03	5.89156			
1.68076E-03	5.89762			
1.68505E-03	5.90562			
1.68933E-03	5.91377			
1.69362E-03	5.92204			
1.69933E-03	5.9332			
1.70599E-03	5.94638			
1.71361E-03	5.96158			
1.72122E-03	5.97688			
1.73265E-03	5.99996			
1.74788E-03	6.0309			
1.76224E-03	6.06018			
1.78596E-03	6.10868			
1.79358E-03	6.12429			
1.81642E-03	6.17979			
1.86522E-03	6.29848			
1.86748E-03	6.30398			
1.93643E-03	6.47185			
1.94428E-03	6.49099			
2.03108E-03	6.732			
2.08148E-03	6.87199			
2.14391E-03	7.06935			
2.20145E-03	7.2513			
2.25054E-03	7.42706			
2.31132E-03	7.6448			
2.38762E-03	7.9542			
2.49425E-03	8.44465			
2.58564E-03	8.91889			
2.63134E-03	9.18405			
2.67703E-03	9.44928			
2.72273E-03	9.74604			
2.75319E-03	9.94394			
2.81412E-03	10.3888			
2.83810E-03	10.5639			
2.90551E-03	11.1			
2.99690E-03	11.915			
3.01214E-03	12.067			
3.07038E-03	12.6483			
3.10353E-03	13.0108			
3.14922E-03	13.5107			
3.17969E-03	13.8781			
3.21015E-03	14.2456			
3.28631E-03	15.2464			
3.30154E-03	15.4466			
3.36247E-03	16.3402			
3.45386E-03	17.8197			
3.48433E-03	18.3129			
3.54526E-03	19.4026			
3.56049E-03	19.6751			
3.63665E-03	21.1674			
3.66022E-03	21.646			
3.83466E-03	25.1888			
3.88798E-03	26.2715			
3.96414E-03	27.702			
4.04030E-03	28.9054			
4.04791E-03	29.0257			
4.09361E-03	29.6021			
4.10122E-03	29.6981			
4.14692E-03	30.109			
4.15454E-03	30.1774			
4.19871E-03	30.4485			
4.21546E-03	30.4888			
4.25354E-03	30.58			
4.26116E-03	30.5846			
4.28401E-03	30.5503			
4.32209E-03	30.4929			
4.36778E-03	30.2787			
4.39825E-03	30.1357			
4.51249E-03	29.0052			
4.56580E-03	28.3913			
4.59158E-03	28.0945			
4.67242E-03	27.1373			
4.70289E-03	26.7768			
4.77905E-03	26.0164			
4.78666E-03	25.9404			
4.85521E-03	25.4269			
4.90359E-03	25.1695			
4.92510E-03	25.1039			
4.96183E-03	24.992			
4.99230E-03	24.968			
5.00753E-03	24.9561			
5.04659E-03	25.0151			
5.06531E-03	25.0435			
5.09892E-03	25.2004			
5.13884E-03	25.3869			
5.14829E-03	25.4605			
5.19031E-03	25.7879			
5.23479E-03	26.2361			
5.24880E-03	26.3774			
5.28170E-03	26.8305			
5.29694E-03	27.0405			
5.31217E-03	27.2894			
5.32740E-03	27.5386			
5.35025E-03	27.996			
5.37310E-03	28.454			
5.39594E-03	29.0237			
5.40356E-03	29.2138			
5.41356E-03	29.521			
5.43640E-03	30.2237			
5.44283E-03	30.4623			
5.45619E-03	30.9587			
5.46312E-03	31.2671			
5.47698E-03	31.8845			
5.48040E-03	32.0727			
5.48176E-03	32.1482			
5.48278E-03	32.2054			
5.48347E-03	32.2441			
5.48398E-03	32.2736			
5.48449E-03	32.3038			
5.48500E-03	32.3348			
5.48534E-03	32.3561			
5.48568E-03	32.3779			
5.48602E-03	32.4003			
5.48654E-03	32.4348			
5.48705E-03	32.4704			
5.48815E-03	32.5484			
5.48865E-03	32.5828			
5.48900E-03	32.6066			
5.48933E-03	32.6276			
5.48968E-03	32.6487			
5.49003E-03	32.6681			
5.49031E-03	32.6833			
5.49067E-03	32.701			
5.49098E-03	32.7156			
5.49134E-03	32.7313			
5.49185E-03	32.7522			
5.49301E-03	32.7979			
5.49346E-03	32.8163			
5.49391E-03	32.8356			
5.49437E-03	32.8558			
5.49482E-03	32.877			
5.49527E-03	32.8991			
5.49573E-03	32.9219			
5.49632E-03	32.953			
5.49692E-03	32.9849			
5.49782E-03	33.0335			
5.49812E-03	33.0498			
5.50052E-03	33.1812			
5.50243E-03	33.2865			
5.50531E-03	33.4734			
5.51803E-03	34.2997			
5.51906E-03	34.3801			
5.53157E-03	35.3567			
5.53991E-03	36.0082			
5.54408E-03	36.3963			
5.55242E-03	37.173			
5.55660E-03	37.5996			
5.56494E-03	38.4534			
5.56911E-03	38.9303			
5.57745E-03	39.8848			
5.58162E-03	40.4307			
5.58996E-03	41.5233			
5.59413E-03	42.1209			
5.61498E-03	45.1114			
5.61706E-03	45.4237			
5.63166E-03	47.6115			
5.64000E-03	48.7421			
5.64751E-03	49.76			
5.65126E-03	50.1562			
5.65854E-03	50.9231			
5.66559E-03	51.4236			
5.67111E-03	51.6197			
5.67387E-03	51.7175			
5.67664E-03	51.7373			
5.67719E-03	51.7268			
5.68549E-03	51.5671			
5.68771E-03	51.4399			
5.69435E-03	51.0572			
5.69656E-03	50.8549			
5.70320E-03	50.247			
5.70541E-03	49.983			
5.71205E-03	49.1902			
5.71869E-03	48.2334			
5.72201E-03	47.7543			
5.72312E-03	47.553			
5.73197E-03	45.9403			
5.74525E-03	43.3975			
5.75853E-03	40.8533			
5.76296E-03	40.0455			
5.77624E-03	37.6233			
5.78509E-03	36.1661			
5.78952E-03	35.5396			
5.79837E-03	34.2875			
5.80280E-03	33.7129			
5.81165E-03	32.5644			
5.81608E-03	32.0425			
5.82740E-03	30.7089			
5.82936E-03	30.498			
5.83429E-03	29.9675			
5.83872E-03	29.5722			
5.84808E-03	28.7369			
5.86013E-03	27.8681			
5.86616E-03	27.4339			
5.87218E-03	27.0567			
5.88424E-03	26.3028			
5.89026E-03	25.9742			
5.90232E-03	25.3175			
5.90834E-03	25.0294			
5.91437E-03	24.7417			
5.92040E-03	24.5085			
5.93245E-03	24.0427			
