MeV	"TL-205(N,TOT)"
4.11053E-03	9.64441
4.11063E-03	9.63859
4.11073E-03	9.63293
4.11083E-03	9.62742
4.11093E-03	9.62204
4.11103E-03	9.6168
4.11116E-03	9.60999
4.11130E-03	9.60335
4.11140E-03	9.59848
4.11143E-03	9.59783
4.11156E-03	9.59535
4.11170E-03	9.593
4.11183E-03	9.59075
4.11196E-03	9.58859
4.11216E-03	9.5855
4.11236E-03	9.58255
4.11256E-03	9.57971
4.11276E-03	9.57697
4.11302E-03	9.57341
4.11329E-03	9.56993
4.11369E-03	9.56483
4.11422E-03	9.55815
4.11475E-03	9.55155
4.11581E-03	9.53842
4.11741E-03	9.51883
4.11767E-03	9.51554
4.11847E-03	9.50865
4.11963E-03	9.49864
4.12089E-03	9.48787
4.12279E-03	9.47184
4.13541E-03	9.36546
4.13731E-03	9.34953
4.13920E-03	9.33369
4.14053E-03	9.32466
4.14186E-03	9.31567
4.15251E-03	9.24411
4.15651E-03	9.21729
4.15850E-03	9.20396
4.15983E-03	9.19519
4.16090E-03	9.1883
4.16209E-03	9.1807
4.16368E-03	9.17072
4.16487E-03	9.16334
4.16606E-03	9.15606
4.16725E-03	9.14896
4.16804E-03	9.14434
4.16883E-03	9.13983
4.16963E-03	9.13542
4.17042E-03	9.13112
4.17122E-03	9.12695
4.17201E-03	9.12295
4.17280E-03	9.11916
4.17343E-03	9.11633
4.17414E-03	9.11339
4.17484E-03	9.11071
4.17554E-03	9.10833
4.17601E-03	9.10694
4.17648E-03	9.10573
4.17695E-03	9.10472
4.17725E-03	9.10422
4.17742E-03	9.10604
4.17789E-03	9.11137
4.17836E-03	9.11703
4.17883E-03	9.12306
4.17918E-03	9.12788
4.17953E-03	9.13299
4.17988E-03	9.13843
4.18023E-03	9.14427
4.18052E-03	9.14952
4.18058E-03	9.15163
4.18096E-03	9.16608
4.18123E-03	9.17649
4.18149E-03	9.18729
4.18175E-03	9.19854
4.18195E-03	9.20748
4.18201E-03	9.21224
4.18227E-03	9.23277
4.18254E-03	9.25395
4.18280E-03	9.27588
4.18306E-03	9.29866
4.18326E-03	9.3164
4.18337E-03	9.32719
4.18346E-03	9.33871
4.18365E-03	9.36732
4.18385E-03	9.39672
4.18405E-03	9.42703
4.18409E-03	9.43349
4.18424E-03	9.46775
4.18444E-03	9.51207
4.18464E-03	9.55767
4.18480E-03	9.5965
4.18483E-03	9.60754
4.18504E-03	9.67656
4.18519E-03	9.72514
4.18533E-03	9.7748
4.18533E-03	9.7759
4.18547E-03	9.84011
4.18562E-03	9.907
4.18576E-03	9.97525
4.18587E-03	10.0268
4.18591E-03	10.0502
4.18605E-03	10.1418
4.18619E-03	10.2351
4.18634E-03	10.3301
4.18640E-03	10.3743
4.18648E-03	10.4387
4.18663E-03	10.5591
4.18676E-03	10.6737
4.18677E-03	10.6831
4.18691E-03	10.8283
4.18706E-03	10.9759
4.18712E-03	11.0379
4.18720E-03	11.1394
4.18739E-03	11.3688
4.18747E-03	11.4739
4.18758E-03	11.6203
4.18776E-03	11.8908
4.18783E-03	11.987
4.18795E-03	12.1875
4.18814E-03	12.5002
4.18818E-03	12.5794
4.18833E-03	12.8416
4.18854E-03	13.2491
4.18861E-03	13.3856
4.18895E-03	14.1106
4.18907E-03	14.3773
4.18958E-03	15.5237
4.18999E-03	16.4678
4.19027E-03	17.1181
4.19032E-03	17.2224
4.19056E-03	17.7193
4.19069E-03	17.972
4.19078E-03	18.1349
4.19099E-03	18.5126
4.19106E-03	18.6295
4.19121E-03	18.8341
4.19142E-03	19.122
4.19144E-03	19.1379
4.19164E-03	19.3314
4.19172E-03	19.4006
4.19186E-03	19.4808
4.19200E-03	19.5565
4.19223E-03	19.5929
4.19226E-03	19.5963
4.19245E-03	19.5575
4.19253E-03	19.5369
4.19267E-03	19.452
4.19279E-03	19.3813
4.19290E-03	19.2725
4.19312E-03	19.042
4.19318E-03	18.9815
4.19335E-03	18.741
4.19358E-03	18.4091
4.19365E-03	18.2782
4.19395E-03	17.7417
4.19397E-03	17.7076
4.19440E-03	16.8345
4.19454E-03	16.5424
4.19502E-03	15.5362
4.19534E-03	14.8898
4.19543E-03	14.6981
4.19559E-03	14.399
4.19577E-03	14.0443
4.19588E-03	13.8573
4.19596E-03	13.7073
4.19615E-03	13.3902
4.19632E-03	13.1088
4.19634E-03	13.0808
4.19653E-03	12.8059
4.19671E-03	12.5353
4.19676E-03	12.4643
4.19690E-03	12.2937
4.19704E-03	12.1182
4.19719E-03	11.945
4.19721E-03	11.9227
4.19733E-03	11.7951
4.19748E-03	11.6505
4.19762E-03	11.5079
4.19765E-03	11.4774
4.19776E-03	11.3839
4.19791E-03	11.2664
4.19805E-03	11.1505
4.19809E-03	11.1158
4.19819E-03	11.0487
4.19834E-03	10.9539
4.19848E-03	10.8604
4.19854E-03	10.8243
4.19863E-03	10.7789
4.19877E-03	10.7056
4.19891E-03	10.6333
4.19906E-03	10.562
4.19920E-03	10.4904
4.19926E-03	10.4678
4.19945E-03	10.3981
4.19964E-03	10.3297
4.19983E-03	10.2623
4.19987E-03	10.2468
4.20001E-03	10.2082
4.20020E-03	10.1586
4.20039E-03	10.1098
4.20058E-03	10.0618
4.20076E-03	10.016
4.20083E-03	10.0035
4.20108E-03	9.95892
4.20128E-03	9.92279
4.20152E-03	9.88074
4.20177E-03	9.83931
4.20193E-03	9.81153
4.20201E-03	9.80246
4.20217E-03	9.78386
4.20250E-03	9.74724
4.20283E-03	9.71128
4.20315E-03	9.6759
4.20340E-03	9.64871
4.20348E-03	9.64356
4.20380E-03	9.62068
4.20423E-03	9.59086
4.20466E-03	9.56157
4.20509E-03	9.53272
4.20552E-03	9.50423
4.20561E-03	9.49892
4.20596E-03	9.48323
4.20639E-03	9.46415
4.20696E-03	9.43904
4.20754E-03	9.41426
4.20811E-03	9.38976
4.20854E-03	9.37156
4.20864E-03	9.369
4.20911E-03	9.35618
4.20959E-03	9.34352
4.21006E-03	9.33101
4.21077E-03	9.3125
4.21149E-03	9.29425
4.21220E-03	9.27621
4.21291E-03	9.25833
4.21295E-03	9.2574
4.21363E-03	9.24798
4.21458E-03	9.23489
4.21552E-03	9.22197
4.21636E-03	9.21071
4.21745E-03	9.19626
4.21854E-03	9.18197
4.22035E-03	9.15833
4.22176E-03	9.14001
4.22252E-03	9.13465
4.22397E-03	9.1246
4.22506E-03	9.11716
4.22615E-03	9.10981
4.22760E-03	9.10012
4.23050E-03	9.08092
4.23630E-03	9.04259
4.23848E-03	9.02829
4.24005E-03	9.01802
4.24034E-03	9.01615
4.24175E-03	9.01102
4.24600E-03	8.99572
4.26385E-03	8.93154
4.26640E-03	8.92242
4.26922E-03	8.91913
4.40617E-03	8.76183
4.42470E-03	8.74056
4.48712E-03	8.75602
4.52246E-03	8.76478
4.52432E-03	8.76528
4.52556E-03	8.76565
4.52649E-03	8.76598
4.52737E-03	8.76634
4.52822E-03	8.76676
4.52879E-03	8.76709
4.52922E-03	8.76737
4.52964E-03	8.76771
4.52993E-03	8.76798
4.53021E-03	8.7683
4.53050E-03	8.76869
4.53071E-03	8.76903
4.53092E-03	8.76945
4.53114E-03	8.76995
4.53128E-03	8.77034
4.53130E-03	8.7704
4.53142E-03	8.77305
4.53156E-03	8.77622
4.53171E-03	8.77948
4.53185E-03	8.78281
4.53199E-03	8.78625
4.53210E-03	8.78891
4.53220E-03	8.79164
4.53231E-03	8.79445
4.53242E-03	8.79735
4.53252E-03	8.80035
4.53263E-03	8.80346
4.53274E-03	8.80669
4.53284E-03	8.81005
4.53295E-03	8.81355
4.53306E-03	8.81721
4.53315E-03	8.82058
4.53316E-03	8.82158
4.53327E-03	8.83002
4.53338E-03	8.83865
4.53348E-03	8.8475
4.53359E-03	8.85657
4.53370E-03	8.86589
4.53380E-03	8.87548
4.53391E-03	8.88533
4.53402E-03	8.89549
4.53408E-03	8.90127
4.53412E-03	8.90866
4.53423E-03	8.92551
4.53434E-03	8.9427
4.53444E-03	8.96025
4.53455E-03	8.97816
4.53466E-03	8.99645
4.53476E-03	9.01512
4.53490E-03	9.04064
4.53500E-03	9.05822
4.53505E-03	9.07021
4.53519E-03	9.10729
4.53533E-03	9.1451
4.53547E-03	9.18362
4.53562E-03	9.22283
4.53576E-03	9.2627
4.53592E-03	9.3105
4.53598E-03	9.32955
4.53622E-03	9.41356
4.53655E-03	9.52726
4.53712E-03	9.72729
4.53731E-03	9.79427
4.53743E-03	9.82871
4.53765E-03	9.89569
4.53780E-03	9.93913
4.53800E-03	9.99524
4.53801E-03	9.99692
4.53820E-03	10.0312
4.53840E-03	10.0639
4.53860E-03	10.0936
4.53870E-03	10.1071
4.53877E-03	10.1107
4.53892E-03	10.1161
4.53900E-03	10.1181
4.53915E-03	10.108
4.53935E-03	10.0918
4.53950E-03	10.0775
4.53964E-03	10.0618
4.53972E-03	10.0445
4.53990E-03	10.0048
4.54008E-03	9.96319
4.54030E-03	9.90724
4.54033E-03	9.89915
4.54052E-03	9.83576
4.54074E-03	9.76464
4.54115E-03	9.62397
4.54163E-03	9.45922
4.54189E-03	9.37269
4.54212E-03	9.29488
4.54231E-03	9.23375
4.54239E-03	9.20669
4.54245E-03	9.1921
4.54259E-03	9.1563
4.54273E-03	9.12119
4.54287E-03	9.08678
4.54301E-03	9.05309
4.54308E-03	9.03697
4.54315E-03	9.02479
4.54327E-03	9.00612
4.54340E-03	8.98478
4.54350E-03	8.96917
4.54360E-03	8.95388
4.54370E-03	8.9389
4.54380E-03	8.92422
4.54390E-03	8.90983
4.54400E-03	8.89572
4.54410E-03	8.88188
4.54411E-03	8.87969
4.54420E-03	8.87253
4.54430E-03	8.86422
4.54440E-03	8.85615
4.54450E-03	8.84828
4.54459E-03	8.84062
4.54469E-03	8.83314
4.54479E-03	8.82584
4.54480E-03	8.82539
4.54489E-03	8.822
4.54499E-03	8.81854
4.54509E-03	8.81521
4.54519E-03	8.81202
4.54529E-03	8.80895
4.54539E-03	8.80598
4.54549E-03	8.80311
4.54559E-03	8.80034
4.54569E-03	8.79765
4.54579E-03	8.79504
4.54592E-03	8.79166
4.54606E-03	8.78839
4.54619E-03	8.78522
4.54632E-03	8.78212
4.54645E-03	8.77911
4.54652E-03	8.77752
4.54659E-03	8.77725
4.54679E-03	8.77647
4.54699E-03	8.77579
4.54718E-03	8.77519
4.54738E-03	8.77464
4.54758E-03	8.77414
4.54785E-03	8.77354
4.54825E-03	8.77271
4.54851E-03	8.7722
4.54904E-03	8.77123
4.54984E-03	8.76986
4.55064E-03	8.76856
4.55143E-03	8.76731
4.55170E-03	8.76691
4.55220E-03	8.76714
4.55270E-03	8.76739
4.55371E-03	8.76795
4.55471E-03	8.76855
4.55571E-03	8.76919
4.55973E-03	8.77181
4.61976E-03	8.81123
4.62360E-03	8.81377
4.64848E-03	8.83045
4.68883E-03	8.87152
4.75657E-03	8.94047
4.75856E-03	8.94251
4.75975E-03	8.94378
4.76055E-03	8.94466
4.76114E-03	8.94536
4.76154E-03	8.94586
4.76164E-03	8.946
4.76194E-03	8.95153
4.76223E-03	8.95713
4.76253E-03	8.96277
4.76283E-03	8.96848
4.76303E-03	8.97233
4.76323E-03	8.97623
4.76332E-03	8.97805
4.76343E-03	8.98479
4.76363E-03	8.99733
4.76378E-03	9.00678
4.76392E-03	9.01628
4.76407E-03	9.02584
4.76422E-03	9.03545
4.76437E-03	9.04513
4.76444E-03	9.04962
4.76452E-03	9.06049
4.76467E-03	9.0807
4.76482E-03	9.101
4.76497E-03	9.12139
4.76512E-03	9.14188
4.76527E-03	9.16248
4.76529E-03	9.16552
4.76541E-03	9.1927
4.76556E-03	9.22466
4.76571E-03	9.25675
4.76586E-03	9.28896
4.76586E-03	9.28911
4.76601E-03	9.33163
4.76616E-03	9.37447
4.76631E-03	9.41743
4.76644E-03	9.45462
4.76651E-03	9.48036
4.76671E-03	9.55348
4.76691E-03	9.62679
4.76720E-03	9.73705
4.76730E-03	9.77295
4.76760E-03	9.89417
4.76815E-03	10.1157
4.76845E-03	10.2363
4.76849E-03	10.2484
4.76875E-03	10.3326
4.76898E-03	10.4043
4.76902E-03	10.4201
4.76920E-03	10.4545
4.76942E-03	10.4981
4.76960E-03	10.5317
4.76980E-03	10.5439
4.77000E-03	10.5557
4.77019E-03	10.5411
4.77037E-03	10.526
4.77057E-03	10.5102
4.77060E-03	10.5027
4.77080E-03	10.4585
4.77100E-03	10.4138
4.77106E-03	10.3997
4.77120E-03	10.3535
4.77140E-03	10.2861
4.77161E-03	10.2141
4.77173E-03	10.1759
4.77195E-03	10.0857
4.77275E-03	9.76364
4.77303E-03	9.65088
4.77305E-03	9.64401
4.77324E-03	9.57745
4.77345E-03	9.50518
4.77367E-03	9.43315
4.77371E-03	9.41718
4.77381E-03	9.39252
4.77395E-03	9.35565
4.77409E-03	9.31888
4.77423E-03	9.28223
4.77437E-03	9.24569
4.77437E-03	9.24407
4.77451E-03	9.21971
4.77465E-03	9.19432
4.77479E-03	9.16904
4.77493E-03	9.14385
4.77504E-03	9.12489
4.77507E-03	9.12137
4.77521E-03	9.10705
4.77535E-03	9.09282
4.77549E-03	9.07866
4.77563E-03	9.06458
4.77578E-03	9.05056
4.77592E-03	9.0366
4.77603E-03	9.02516
4.77606E-03	9.02407
4.77620E-03	9.01801
4.77634E-03	9.01198
4.77655E-03	9.00302
4.77676E-03	8.99413
4.77697E-03	8.98549
4.77702E-03	8.98303
4.77716E-03	8.98168
4.77743E-03	8.97918
4.77769E-03	8.97672
4.77795E-03	8.97431
4.77835E-03	8.97075
4.77874E-03	8.96723
4.77927E-03	8.9626
4.77967E-03	8.95906
4.78006E-03	8.95851
4.78100E-03	8.95721
4.78111E-03	8.95736
4.78269E-03	8.95949
4.78532E-03	8.96311
5.46173E-03	9.90161
6.08595E-03	11.0393
6.09206E-03	11.0505
6.09591E-03	11.0575
6.11070E-03	11.0849
6.11581E-03	11.0968
6.13933E-03	11.152
6.14205E-03	11.1583
6.14341E-03	11.1616
6.14476E-03	11.1649
