E(MeV)	"ENDF/B-VII.1: H-1(N,TOT)"
1.89051E+00	3.00262
2.02822E+00	2.8818
2.11528E+00	2.81551
2.23104E+00	2.72738
2.41693E+00	2.6027
2.43386E+00	2.59135
2.60000E+00	2.49208
2.63668E+00	2.47016
2.85953E+00	2.35124
3.06379E+00	2.25269
3.08525E+00	2.24329
3.29093E+00	2.15326
3.54594E+00	2.05205
3.78101E+00	1.96898
3.88080E+00	1.93371
4.20000E+00	1.83283
4.49355E+00	1.75068
4.86772E+00	1.65407
5.14208E+00	1.59145
5.53880E+00	1.50619
6.04232E+00	1.41104
6.17049E+00	1.38961
6.54585E+00	1.32683
7.09876E+00	1.24503
7.60581E+00	1.17779
7.71312E+00	1.16494
8.11287E+00	1.11707
8.61992E+00	1.06194
9.12697E+00	1.01167
9.32103E+00	0.994052
9.63403E+00	0.965637
1.02126E+01	0.917705
1.07984E+01	0.873386
1.14722E+01	0.826869
1.15000E+01	0.824948
1.22551E+01	0.778587
1.30917E+01	0.732158
1.40000E+01	0.687145
1.51058E+01	0.639047
1.61129E+01	0.600098
1.71199E+01	0.56521
1.81270E+01	0.53378
1.91340E+01	0.505317
2.00000E+01	0.482784
