E(MeV)	Sr-87
3.49210E-05	7.66042E+00
3.49311E-05	7.76377E+00
3.49401E-05	7.86438E+00
3.49491E-05	7.97287E+00
3.49581E-05	8.08955E+00
3.49671E-05	8.21471E+00
3.49761E-05	8.34856E+00
3.49851E-05	8.49129E+00
3.49941E-05	8.64301E+00
3.50040E-05	8.82030E+00
3.50148E-05	9.02604E+00
3.50252E-05	9.23596E+00
3.50256E-05	9.24437E+00
3.50364E-05	9.47492E+00
3.50540E-05	9.87408E+00
3.50717E-05	1.03020E+01
3.50994E-05	1.10057E+01
3.51382E-05	1.20023E+01
3.51603E-05	1.25372E+01
3.51769E-05	1.29032E+01
3.51858E-05	1.30763E+01
3.51936E-05	1.32276E+01
3.52102E-05	1.35010E+01
3.52265E-05	1.37121E+01
3.52423E-05	1.38558E+01
3.52534E-05	1.39188E+01
3.52670E-05	1.39521E+01
3.52696E-05	1.39529E+01
3.52811E-05	1.39347E+01
3.52960E-05	1.38589E+01
3.53077E-05	1.37605E+01
3.53243E-05	1.35631E+01
3.53409E-05	1.33050E+01
3.53575E-05	1.29938E+01
3.53741E-05	1.26389E+01
3.53908E-05	1.22503E+01
3.54185E-05	1.15556E+01
3.54572E-05	1.05603E+01
3.54794E-05	1.00161E+01
3.54932E-05	9.69392E+00
3.55057E-05	9.41841E+00
3.55182E-05	9.15811E+00
3.55298E-05	8.92976E+00
3.55414E-05	8.71603E+00
3.55531E-05	8.51715E+00
3.55647E-05	8.33311E+00
3.55763E-05	8.16369E+00
3.55851E-05	8.04597E+00
3.55947E-05	7.92428E+00
3.56044E-05	7.81181E+00
3.56141E-05	7.70816E+00
3.56238E-05	7.61288E+00
3.56335E-05	7.52550E+00
3.56432E-05	7.44554E+00
3.56529E-05	7.37250E+00
3.56612E-05	7.31504E+00
3.56716E-05	7.24941E+00
3.56820E-05	7.19012E+00
3.56924E-05	7.13661E+00
3.57028E-05	7.08836E+00
3.57131E-05	7.04486E+00
3.57235E-05	7.00566E+00
3.57339E-05	6.97032E+00
3.57443E-05	6.93844E+00
3.57547E-05	6.90966E+00
3.57651E-05	6.88365E+00
3.57775E-05	6.85566E+00
3.57865E-05	6.83740E+00
3.58000E-05	6.81270E+00
3.58135E-05	6.79082E+00
3.58270E-05	6.77135E+00
3.58406E-05	6.75397E+00
3.58541E-05	6.73838E+00
3.58676E-05	6.72434E+00
3.58811E-05	6.71164E+00
3.58946E-05	6.70010E+00
3.59126E-05	6.68626E+00
3.59328E-05	6.67249E+00
3.59531E-05	6.66031E+00
3.59733E-05	6.64945E+00
3.59936E-05	6.63971E+00
3.60138E-05	6.63092E+00
3.60341E-05	6.62295E+00
3.60611E-05	6.61342E+00
3.60881E-05	6.60494E+00
3.61151E-05	6.59735E+00
3.61459E-05	6.58962E+00
3.61805E-05	6.58191E+00
3.62152E-05	6.57509E+00
3.62498E-05	6.56899E+00
3.62844E-05	6.56353E+00
3.63190E-05	6.55859E+00
3.63536E-05	6.55412E+00
3.63883E-05	6.55005E+00
3.64377E-05	6.54482E+00
3.64858E-05	6.54028E+00
3.65340E-05	6.53622E+00
3.65821E-05	6.53254E+00
3.66303E-05	6.52921E+00
3.66945E-05	6.52520E+00
3.67587E-05	6.52161E+00
3.68229E-05	6.51837E+00
3.68871E-05	6.51543E+00
3.69843E-05	6.51144E+00
3.70820E-05	6.50789E+00
3.71796E-05	6.50469E+00
3.72773E-05	6.50178E+00
3.73749E-05	6.49911E+00
3.75061E-05	6.49581E+00
3.76381E-05	6.49278E+00
3.77702E-05	6.48997E+00
3.79683E-05	6.48607E+00
3.81691E-05	6.48242E+00
3.83700E-05	6.47900E+00
3.86397E-05	6.47468E+00
3.89113E-05	6.47055E+00
3.93226E-05	6.46462E+00
3.97377E-05	6.45889E+00
4.01567E-05	6.45329E+00
4.07232E-05	6.44593E+00
4.12978E-05	6.43862E+00
4.21758E-05	6.42768E+00
4.30704E-05	6.41671E+00
4.39862E-05	6.40562E+00
4.55530E-05	6.38685E+00
4.65119E-05	6.37547E+00
4.68474E-05	6.37257E+00
4.85184E-05	6.35826E+00
5.02466E-05	6.34359E+00
5.24034E-05	6.32545E+00
5.46528E-05	6.30668E+00
5.69987E-05	6.28726E+00
5.94454E-05	6.26712E+00
6.19970E-05	6.24624E+00
6.46481E-05	6.22466E+00
6.46582E-05	6.22460E+00
6.74337E-05	6.20864E+00
6.98390E-05	6.19488E+00
7.28368E-05	6.17783E+00
7.54312E-05	6.16313E+00
7.81218E-05	6.14794E+00
8.09045E-05	6.13230E+00
8.37903E-05	6.11612E+00
8.67749E-05	6.09944E+00
8.86017E-05	6.08926E+00
9.04997E-05	6.08189E+00
9.37278E-05	6.06941E+00
9.70663E-05	6.05654E+00
1.01233E-04	6.04054E+00
1.04844E-04	6.02671E+00
1.08578E-04	6.01244E+00
1.12451E-04	5.99768E+00
1.16457E-04	5.98245E+00
1.20611E-04	5.96668E+00
1.21436E-04	5.96356E+00
1.26669E-04	5.94997E+00
1.31187E-04	5.93826E+00
1.35860E-04	5.92618E+00
1.41692E-04	5.91114E+00
1.46746E-04	5.89813E+00
1.51973E-04	5.88470E+00
1.57394E-04	5.87078E+00
1.63000E-04	5.85641E+00
1.68814E-04	5.84153E+00
1.69970E-04	5.83858E+00
1.74827E-04	5.82989E+00
1.81063E-04	5.81876E+00
1.90108E-04	5.80264E+00
1.98268E-04	5.78811E+00
2.06778E-04	5.77299E+00
2.14154E-04	5.75989E+00
2.21782E-04	5.74636E+00
2.29693E-04	5.73234E+00
2.35914E-04	5.72133E+00
2.42618E-04	5.70947E+00
2.47764E-04	5.70037E+00
2.53032E-04	5.69107E+00
2.57020E-04	5.68403E+00
2.58399E-04	5.68148E+00
2.63275E-04	5.67250E+00
2.68805E-04	5.66232E+00
2.72530E-04	5.65548E+00
2.76374E-04	5.64842E+00
2.80274E-04	5.64128E+00
2.83827E-04	5.63479E+00
2.85417E-04	5.63189E+00
2.87367E-04	5.62834E+00
2.89316E-04	5.62481E+00
2.91545E-04	5.62078E+00
2.93190E-04	5.61782E+00
2.94543E-04	5.61540E+00
2.95896E-04	5.61299E+00
2.97261E-04	5.61058E+00
2.98625E-04	5.60818E+00
2.99934E-04	5.60590E+00
3.00734E-04	5.60453E+00
3.01533E-04	5.60316E+00
3.02332E-04	5.60181E+00
3.02703E-04	5.60119E+00
3.03108E-04	5.59958E+00
3.03859E-04	5.59662E+00
3.04610E-04	5.59367E+00
3.05362E-04	5.59074E+00
3.05941E-04	5.58851E+00
3.06553E-04	5.58617E+00
3.07164E-04	5.58386E+00
3.07776E-04	5.58158E+00
3.08387E-04	5.57934E+00
3.08795E-04	5.57788E+00
3.09187E-04	5.57648E+00
3.09564E-04	5.57517E+00
3.09942E-04	5.57388E+00
3.10319E-04	5.57262E+00
3.10696E-04	5.57139E+00
3.11073E-04	5.57020E+00
3.11450E-04	5.56905E+00
3.11784E-04	5.56808E+00
3.11827E-04	5.56768E+00
3.12146E-04	5.56480E+00
3.12408E-04	5.56249E+00
3.12669E-04	5.56020E+00
3.12930E-04	5.55796E+00
3.13191E-04	5.55577E+00
3.13452E-04	5.55363E+00
3.13713E-04	5.55155E+00
3.13974E-04	5.54955E+00
3.14199E-04	5.54788E+00
3.14482E-04	5.54589E+00
3.14671E-04	5.54463E+00
3.14859E-04	5.54344E+00
3.15048E-04	5.54231E+00
3.15236E-04	5.54127E+00
3.15425E-04	5.54032E+00
3.15613E-04	5.53947E+00
3.15643E-04	5.53936E+00
3.15831E-04	5.53610E+00
3.15976E-04	5.53368E+00
3.16121E-04	5.53137E+00
3.16266E-04	5.52915E+00
3.16411E-04	5.52706E+00
3.16556E-04	5.52509E+00
3.16701E-04	5.52328E+00
3.16832E-04	5.52179E+00
3.16948E-04	5.52061E+00
3.17064E-04	5.51955E+00
3.17180E-04	5.51866E+00
3.17296E-04	5.51794E+00
3.17412E-04	5.51741E+00
3.17470E-04	5.51726E+00
3.17528E-04	5.51552E+00
3.17644E-04	5.51230E+00
3.17746E-04	5.50972E+00
3.17833E-04	5.50770E+00
3.17920E-04	5.50589E+00
3.18007E-04	5.50432E+00
3.18094E-04	5.50300E+00
3.18181E-04	5.50197E+00
3.18268E-04	5.50127E+00
3.18355E-04	5.50095E+00
3.18435E-04	5.50103E+00
3.18508E-04	5.50146E+00
3.18580E-04	5.50226E+00
3.18653E-04	5.50350E+00
3.18689E-04	5.50437E+00
3.18725E-04	5.50347E+00
3.18798E-04	5.50225E+00
3.18870E-04	5.50167E+00
3.18943E-04	5.50185E+00
3.19008E-04	5.50277E+00
3.19066E-04	5.50429E+00
3.19124E-04	5.50658E+00
3.19182E-04	5.50978E+00
3.19240E-04	5.51406E+00
3.19269E-04	5.51677E+00
3.19284E-04	5.51729E+00
3.19327E-04	5.51974E+00
3.19371E-04	5.52321E+00
3.19414E-04	5.52790E+00
3.19454E-04	5.53349E+00
3.19487E-04	5.53917E+00
3.19519E-04	5.54601E+00
3.19552E-04	5.55421E+00
3.19559E-04	5.55639E+00
3.19585E-04	5.56203E+00
3.19617E-04	5.57117E+00
3.19650E-04	5.58255E+00
3.19672E-04	5.59159E+00
3.19693E-04	5.60194E+00
3.19715E-04	5.61376E+00
3.19737E-04	5.62724E+00
3.19759E-04	5.64257E+00
3.19780E-04	5.65997E+00
3.19800E-04	5.67795E+00
3.19819E-04	5.69615E+00
3.19837E-04	5.71629E+00
3.19855E-04	5.73857E+00
3.19873E-04	5.76318E+00
3.19891E-04	5.79033E+00
3.19909E-04	5.82026E+00
3.19927E-04	5.85322E+00
3.19936E-04	5.87134E+00
3.19945E-04	5.88919E+00
3.19964E-04	5.92846E+00
3.19982E-04	5.97163E+00
3.20000E-04	6.01900E+00
3.20018E-04	6.07094E+00
3.20036E-04	6.12781E+00
3.20054E-04	6.18999E+00
3.20072E-04	6.25789E+00
3.20089E-04	6.32426E+00
3.20110E-04	6.42105E+00
3.20132E-04	6.52810E+00
3.20154E-04	6.64623E+00
3.20176E-04	6.77632E+00
3.20198E-04	6.91929E+00
3.20219E-04	7.07607E+00
3.20227E-04	7.13325E+00
3.20241E-04	7.25009E+00
3.20263E-04	7.44107E+00
3.20285E-04	7.64872E+00
3.20306E-04	7.87402E+00
3.20326E-04	8.09267E+00
3.20344E-04	8.31360E+00
