E(MeV)	Lu-175
6.82368E-11	454.660425
6.96915E-11	449.950188
7.02822E-11	448.039682
7.20848E-11	442.457382
7.23903E-11	441.512362
7.45603E-11	435.085075
7.67967E-11	428.749561
7.71208E-11	427.870414
7.90987E-11	422.511338
7.97692E-11	420.771845
8.14712E-11	416.361317
8.25086E-11	413.787201
8.39134E-11	410.305368
8.53421E-11	406.914877
8.64304E-11	404.335079
8.82729E-11	400.153093
8.90212E-11	398.456526
9.13043E-11	393.500322
9.16913E-11	392.661134
9.44399E-11	386.954484
9.72725E-11	381.329654
9.76831E-11	380.548864
1.00188E-10	375.790948
1.01038E-10	374.245463
1.03193E-10	370.331538
1.04507E-10	368.046371
1.06287E-10	364.954428
1.08555E-10	361.18198
1.09475E-10	359.65357
1.12756E-10	354.434354
1.16139E-10	349.289544
1.17123E-10	347.85661
1.19620E-10	344.224876
1.21657E-10	341.388064
1.23208E-10	339.230686
1.26368E-10	335.022398
1.26901E-10	334.31343
1.30707E-10	329.466694
1.31259E-10	328.793731
1.34626E-10	324.693927
1.36342E-10	322.692915
1.38664E-10	319.988512
1.41620E-10	316.692632
1.42820E-10	315.356234
1.47104E-10	310.788735
1.51513E-10	306.292938
1.52798E-10	305.03871
1.56058E-10	301.860564
1.58715E-10	299.380338
1.60736E-10	297.496003
1.64858E-10	293.816607
1.65557E-10	293.193382
1.70520E-10	288.957017
1.71243E-10	288.366161
1.75635E-10	284.781116
1.77871E-10	283.033587
1.80899E-10	280.669811
1.84759E-10	277.785493
1.86325E-10	276.616654
1.91911E-10	272.62504
1.97667E-10	268.691454
1.99343E-10	267.594938
2.03592E-10	264.818385
2.07936E-10	262.101064
2.09699E-10	260.999604
2.15985E-10	257.23991
2.16900E-10	256.715953
2.22463E-10	253.534399
2.26251E-10	251.460583
2.29132E-10	249.885241
2.36004E-10	246.287732
2.43079E-10	242.746569
2.46178E-10	241.261621
2.50370E-10	239.255353
2.56791E-10	236.313616
2.57875E-10	235.817568
2.65610E-10	232.429178
2.67861E-10	231.485254
2.73572E-10	229.093264
2.79409E-10	226.752773
2.81777E-10	225.804406
2.90224E-10	222.566223
2.92684E-10	221.663439
2.98929E-10	219.374526
3.06596E-10	216.684678
3.07890E-10	216.231253
3.17125E-10	213.133458
3.21163E-10	211.836922
3.26631E-10	210.083395
3.36428E-10	207.075852
3.46513E-10	204.116061
3.52412E-10	202.458735
3.56906E-10	201.197643
3.67605E-10	198.323983
3.69163E-10	197.923396
3.78631E-10	195.492045
3.88342E-10	193.105158
3.89981E-10	192.702803
4.01678E-10	189.954146
4.08517E-10	188.415948
4.13719E-10	187.247377
4.26128E-10	184.579063
4.29740E-10	183.83562
4.38901E-10	181.952353
4.52066E-10	179.362091
4.65617E-10	176.813132
4.77559E-10	174.663136
4.79583E-10	174.299195
4.93959E-10	171.824981
5.04498E-10	170.088904
5.08775E-10	169.38522
5.24026E-10	166.983569
5.32948E-10	165.638836
5.39744E-10	164.615767
5.55923E-10	162.284565
5.63012E-10	161.306969
5.72598E-10	159.986648
5.89762E-10	157.723918
5.97283E-10	156.774971
6.07452E-10	155.493509
6.25661E-10	153.297352
6.33639E-10	152.376397
6.44427E-10	151.132567
6.63744E-10	149.00095
6.72208E-10	148.107077
6.83653E-10	146.899854
7.04146E-10	144.830988
7.16135E-10	143.672634
7.25267E-10	142.791391
7.47007E-10	140.783527
7.62946E-10	139.374695
7.69413E-10	138.803776
7.92477E-10	136.855075
8.16247E-10	134.933066
8.40715E-10	133.041901
8.65932E-10	131.17663
8.73272E-10	130.657018
8.91889E-10	129.340709
9.18641E-10	127.530555
9.38225E-10	126.262368
9.46178E-10	125.747981
