E(MeV)	pendfb7/Cs133:1
1.12706E-08	47.3222802
1.13182E-08	47.2296761
1.16577E-08	46.5974481
1.20071E-08	45.9748676
1.23672E-08	45.3610442
1.27380E-08	44.756639
1.31200E-08	44.1606704
1.35133E-08	43.5737826
1.39186E-08	42.9951402
1.40959E-08	42.7530849
1.43359E-08	42.4255347
1.47659E-08	41.8641086
1.52085E-08	41.3112523
1.56647E-08	40.7661797
1.61342E-08	40.2294317
1.66182E-08	39.7002446
1.71163E-08	39.1791445
1.76297E-08	38.6653899
1.81582E-08	38.1594906
1.87028E-08	37.6610923
1.92635E-08	37.1703345
1.98412E-08	36.686518
2.04360E-08	36.2101222
2.10490E-08	35.740468
2.16799E-08	35.2780172
2.23302E-08	34.8221107
2.29996E-08	34.3731961
2.36894E-08	33.930632
2.43996E-08	33.4948531
2.52687E-08	32.9867123
2.53000E-08	32.9689353
2.60589E-08	32.5473943
2.68400E-08	32.1323359
2.76450E-08	31.7231725
2.84737E-08	31.3203106
2.93278E-08	30.9231771
3.02069E-08	30.5321619
3.11130E-08	30.1467025
3.20456E-08	29.7671709
3.30068E-08	29.3930181
3.39962E-08	29.024605
3.50159E-08	28.6614026
3.59140E-08	28.3554146
3.60655E-08	28.3038032
3.71473E-08	27.9514788
3.82608E-08	27.6045758
3.94084E-08	27.262606
4.05898E-08	26.9259119
4.18072E-08	26.594018
4.30604E-08	26.2672537
4.43520E-08	25.9451552
4.56815E-08	25.6280409
4.70517E-08	25.3154592
4.84621E-08	25.0077184
4.99157E-08	24.7043808
5.14120E-08	24.4057474
5.29541E-08	24.1113955
5.45414E-08	23.8216198
5.47726E-08	23.7812611
5.61773E-08	23.5361848
5.78613E-08	23.255241
5.95968E-08	22.9783618
6.13833E-08	22.7058152
6.32245E-08	22.4371989
6.51197E-08	22.1727601
6.70729E-08	21.9121058
6.90835E-08	21.6554861
7.11556E-08	21.4025383
7.32886E-08	21.1535216
7.54868E-08	20.9080917
7.77496E-08	20.6664993
8.00817E-08	20.4284046
8.24822E-08	20.1940447
8.49562E-08	19.9630867
8.75029E-08	19.7357583
9.01274E-08	19.5117361
9.28291E-08	19.2912409
9.40128E-08	19.1988683
9.56135E-08	19.0740445
9.84796E-08	18.8603436
1.01433E-07	18.6497704
1.04474E-07	18.4425334
1.07608E-07	18.2383388
1.10833E-07	18.0373922
1.14158E-07	17.8394162
1.17580E-07	17.6446195
1.21106E-07	17.4527351
1.24737E-07	17.2639453
1.28478E-07	17.077952
1.32329E-07	16.894905
1.36298E-07	16.7145297
1.40384E-07	16.5370152
1.44595E-07	16.3621283
1.48929E-07	16.1900552
1.53396E-07	16.0205564
1.57995E-07	15.8538015
1.62733E-07	15.6895559
1.67612E-07	15.527985
1.72639E-07	15.3688598
1.77814E-07	15.2123376
1.83147E-07	15.0581952
1.88637E-07	14.9065852
1.94296E-07	14.7572925
2.00120E-07	14.6104659
2.02672E-07	14.549006
2.06122E-07	14.4659354
2.12301E-07	14.3238376
2.18669E-07	14.1839476
2.25224E-07	14.0464185
2.31979E-07	13.911082
2.38933E-07	13.7780806
2.47138E-07	13.6286952
2.55625E-07	13.482036
2.64404E-07	13.3380782
2.73484E-07	13.1968305
2.82876E-07	13.0582749
2.92590E-07	12.9223785
3.02638E-07	12.7891075
3.13031E-07	12.6584288
3.23781E-07	12.5303103
3.34901E-07	12.4047214
3.46402E-07	12.2816324
3.58298E-07	12.1610148
3.70602E-07	12.0428415
3.83329E-07	11.9270865
3.96493E-07	11.8137252
4.10109E-07	11.7027341
4.24193E-07	11.5940915
4.38761E-07	11.487782
4.53829E-07	11.3838284
4.69414E-07	11.2822603
4.85534E-07	11.1829255
5.02208E-07	11.0857475
5.19455E-07	10.9907931
5.37294E-07	10.8980769
5.55745E-07	10.8075916
5.74830E-07	10.7193304
5.94571E-07	10.6332886
6.14990E-07	10.549464
6.36109E-07	10.4678568
6.57954E-07	10.38847
6.80549E-07	10.3113094
7.00962E-07	10.2458683
7.03921E-07	10.2363583
7.28094E-07	10.1634727
7.53098E-07	10.0928429
7.78961E-07	10.0244881
8.05712E-07	9.95843204
8.33381E-07	9.89470273
8.62001E-07	9.83333331
8.91603E-07	9.7743641
9.22222E-07	9.71789315
9.53893E-07	9.6640264
9.86651E-07	9.61257302
1.01196E-06	9.57566406
1.02623E-06	9.55625419
1.04051E-06	9.53670274
1.06987E-06	9.4994546
1.10006E-06	9.46411144
1.13110E-06	9.43072872
1.16301E-06	9.39936769
1.19583E-06	9.37009599
1.22957E-06	9.34298823
1.26427E-06	9.31812672
1.29994E-06	9.29560228
1.33662E-06	9.27551516
1.37433E-06	9.25753326
1.41311E-06	9.24220911
1.48727E-06	9.22143313
1.52924E-06	9.21443513
1.57239E-06	9.21069709
1.61676E-06	9.21057062
1.64696E-06	9.21417337
1.70928E-06	9.22070979
1.75751E-06	9.23157919
1.80710E-06	9.24693185
1.85809E-06	9.26711313
1.91052E-06	9.29253649
1.96443E-06	9.32364736
1.97329E-06	9.32960917
2.01986E-06	9.36015491
2.07685E-06	9.40321542
2.13545E-06	9.45361099
2.19571E-06	9.51206692
2.25766E-06	9.5794116
2.26785E-06	9.59175293
2.32137E-06	9.65557533
2.38687E-06	9.74244005
2.45422E-06	9.84145994
2.52347E-06	9.95409808
2.57061E-06	10.0388294
2.59467E-06	10.0815182
2.64958E-06	10.1878916
2.70552E-06	10.3047475
2.76251E-06	10.4331157
2.82056E-06	10.5741606
2.87326E-06	10.7123942
2.88025E-06	10.7305554
2.94106E-06	10.9014258
3.00302E-06	11.0898955
3.06612E-06	11.2979998
3.13101E-06	11.529903
3.16686E-06	11.669257
3.19711E-06	11.7860457
3.24159E-06	11.9710415
3.28733E-06	12.1729367
3.33306E-06	12.3874327
3.38008E-06	12.6220515
3.42711E-06	12.8719842
3.44257E-06	12.9596653
3.47546E-06	13.1450673
3.52381E-06	13.4364502
3.57352E-06	13.7572993
3.62324E-06	14.1015372
3.67435E-06	14.4820662
3.72547E-06	14.8920516
3.77803E-06	15.3473154
3.81745E-06	15.7132565
3.85761E-06	16.1095449
3.89815E-06	16.5354382
3.93868E-06	16.9895659
3.98035E-06	17.4884873
4.02203E-06	18.0227247
4.06410E-06	18.6011165
4.10695E-06	19.2345781
4.14980E-06	19.917177
4.18287E-06	20.4862124
4.19346E-06	20.6686812
4.23752E-06	21.491282
4.26689E-06	22.0783873
4.29668E-06	22.7081755
4.30090E-06	22.8026332
4.32688E-06	23.3861992
4.35709E-06	24.1058844
4.38729E-06	24.8704075
4.41792E-06	25.6953635
4.42225E-06	25.8198687
4.44897E-06	26.5894531
4.48003E-06	27.5447588
4.51108E-06	28.5664588
4.51584E-06	28.7340783
4.54258E-06	29.679662
4.57451E-06	30.8920325
4.60644E-06	32.1968232
4.61296E-06	32.4844107
4.63837E-06	33.608459
4.66255E-06	34.7535322
4.67804E-06	35.5336861
4.68717E-06	35.9943695
4.71179E-06	37.3173431
4.72685E-06	38.1795931
4.73642E-06	38.7286635
4.76104E-06	40.2369963
4.77658E-06	41.2541442
4.78567E-06	41.850516
4.81099E-06	43.6308833
