E(MeV)	pendfb7/Gd157:1
2.368945E-08	261386.654
2.378943E-08	260957.009
2.450298E-08	258008.321
2.526874E-08	254843.422
2.530000E-08	254716.651
2.639068E-08	250363.931
2.684000E-08	248570.435
2.695376E-08	248128.854
2.741267E-08	246347.52
2.847374E-08	242228.083
2.871511E-08	241290.822
2.895853E-08	240366.609
2.945157E-08	238494.613
3.046299E-08	234653.763
3.111296E-08	232185.014
3.137671E-08	231199.184
3.150913E-08	230704.189
3.245423E-08	227170.93
3.328659E-08	224058.618
3.414030E-08	220865.913
3.437098E-08	220003.194
3.486811E-08	218143.655
3.540192E-08	216164.353
3.646313E-08	212228.739
3.652543E-08	211997.654
3.755682E-08	208171.872
3.858517E-08	204356.621
3.868262E-08	203995.06
3.967472E-08	200313.631
4.058975E-08	196917.626
4.069227E-08	196540.533
4.173591E-08	192701.011
4.251902E-08	189819.502
4.280632E-08	188762.365
4.390418E-08	184722.051
4.416481E-08	183762.742
4.435200E-08	183082.502
4.503020E-08	180618.006
4.587512E-08	177547.177
4.618510E-08	176420.584
4.685310E-08	173992.394
4.725028E-08	172570.901
4.736962E-08	172143.779
4.846211E-08	168233.145
4.858451E-08	167795.01
4.908008E-08	166020.893
4.970503E-08	163821.374
4.983057E-08	163379.542
5.097983E-08	159334.212
5.132521E-08	158140.433
5.228731E-08	154814.565
5.273055E-08	153282.346
5.286374E-08	152830.698
5.362834E-08	150237.437
5.431218E-08	147918.099
5.444935E-08	147461.655
5.500375E-08	145616.69
5.570513E-08	143282.619
5.617734E-08	141742.027
5.631923E-08	141279.123
5.713381E-08	138621.272
5.737495E-08	137851.576
5.849919E-08	134263.124
5.859913E-08	133944.079
5.959683E-08	130828.725
5.984837E-08	130043.298
6.061152E-08	127711.595
6.102107E-08	126460.275
6.112532E-08	126141.722
6.138331E-08	125371.637
6.216603E-08	123035.213
6.242841E-08	122252.018
6.295762E-08	120707.303
6.349131E-08	119149.495
6.376042E-08	118380.345
6.457230E-08	116059.857
6.539569E-08	113757.95
6.567170E-08	112986.322
6.622840E-08	111465.64
6.678982E-08	109932.067
6.707291E-08	109177.304
6.792697E-08	106900.223
6.821488E-08	106151.801
6.838717E-08	105703.934
6.908349E-08	103893.98
6.937630E-08	103152.695
7.025970E-08	100916.278
7.055749E-08	100180.22
7.103425E-08	99001.834
7.115561E-08	98701.8909
7.175879E-08	97242.4033
7.206166E-08	96509.5793
7.267253E-08	95063.3772
7.298055E-08	94334.1444
7.316487E-08	93907.4223
7.359920E-08	92902.0257
7.390984E-08	92182.9633
7.453637E-08	90765.6032
7.485229E-08	90050.9136
7.504135E-08	89633.1952
7.548682E-08	88649.0203
7.580542E-08	87945.1388
7.644802E-08	86559.32
7.677205E-08	85860.5372
7.696595E-08	85452.5907
7.709607E-08	85178.8551
7.774961E-08	83804.0285
7.840870E-08	82452.193
7.860673E-08	82046.0042
7.874103E-08	81770.5753
7.907337E-08	81106.4162
7.974367E-08	79766.8366
8.028393E-08	78715.3278
8.041966E-08	78451.1818
8.076052E-08	77787.846
8.110138E-08	77142.1802
8.178887E-08	75839.8979
8.199545E-08	75459.2312
8.248220E-08	74562.3898
8.283180E-08	73918.2481
8.318140E-08	73291.951
8.374494E-08	72282.3831
8.388653E-08	72028.7759
8.495620E-08	70166.852
8.517077E-08	69804.0919
8.603798E-08	68338.1753
8.662088E-08	67381.6776
8.713509E-08	66538.0138
8.809567E-08	65008.8774
8.824461E-08	64771.818
8.936986E-08	63035.0048
8.959558E-08	62697.3113
9.050784E-08	61332.7221
9.112102E-08	60444.1222
9.166194E-08	59660.3658
9.243896E-08	58564.2813
9.267243E-08	58241.9953
9.282911E-08	58025.7534
9.322257E-08	57482.7183
9.401282E-08	56415.6283
9.425026E-08	56101.9953
9.480976E-08	55363.0937
9.545039E-08	54535.6788
9.561346E-08	54325.083
9.642398E-08	53301.6377
9.666752E-08	53001.009
9.724137E-08	52292.7353
9.789842E-08	51500.0777
9.806568E-08	51298.3308
9.889698E-08	50318.4458
9.914677E-08	50030.7749
9.973533E-08	49353.0352
1.004092E-07	48594.9717
1.005808E-07	48402.031
1.014334E-07	47465.4317
1.016896E-07	47190.6153
1.022933E-07	46543.1698
1.029845E-07	45819.3727
1.031604E-07	45635.1549
1.040349E-07	44741.3666
1.042977E-07	44479.247
1.049168E-07	43861.7176
1.056257E-07	43171.7139
1.058062E-07	42996.0982
1.067031E-07	42144.4701
1.069726E-07	41894.8363
1.076076E-07	41306.7282
1.083347E-07	40649.9133
1.085198E-07	40482.7453
1.089778E-07	40079.3173
1.094397E-07	39672.4681
1.097161E-07	39435.0646
1.103675E-07	38875.7747
1.111132E-07	38251.4281
1.113030E-07	38092.5261
