E(MeV)	Nb-nat			
4.08516E-05	5.96781			
4.09022E-05	5.97294			
4.09494E-05	5.97833			
4.09966E-05	5.98441			
4.10437E-05	5.99127			
4.10909E-05	5.99905			
4.11381E-05	6.00793			
4.11735E-05	6.01542			
4.12089E-05	6.02374			
4.12443E-05	6.03301			
4.12839E-05	6.0447			
4.13117E-05	6.05386			
4.13394E-05	6.06393			
4.13672E-05	6.07504			
4.13949E-05	6.08733			
4.14227E-05	6.10099			
4.14505E-05	6.11622			
4.14782E-05	6.13328			
4.15032E-05	6.15047			
4.15282E-05	6.16968			
4.15532E-05	6.19124			
4.15719E-05	6.20922			
4.15907E-05	6.22897			
4.16094E-05	6.25074			
4.16281E-05	6.27483			
4.16469E-05	6.30158			
4.16656E-05	6.3314			
4.16781E-05	6.35322			
4.16937E-05	6.38282			
4.17092E-05	6.41547			
4.17248E-05	6.45158			
4.17403E-05	6.4916			
4.17559E-05	6.53606			
4.17714E-05	6.58553			
4.17869E-05	6.64068			
4.17986E-05	6.68618			
4.18108E-05	6.73806			
4.18233E-05	6.796			
4.18358E-05	6.8593			
4.18483E-05	6.92847			
4.18608E-05	7.00399			
4.18747E-05	7.09597			
4.18858E-05	7.17613			
4.18969E-05	7.26253			
4.19080E-05	7.35552			
4.19180E-05	7.44544			
4.19191E-05	7.45544			
4.19302E-05	7.56267			
4.19413E-05	7.67743			
4.19524E-05	7.79994			
4.19691E-05	7.99868			
4.19857E-05	8.21569			
4.20024E-05	8.45097			
4.20190E-05	8.70405			
4.20357E-05	8.97396			
4.20579E-05	9.35715			
4.20857E-05	9.86547			
4.21468E-05	11.0185			
4.21690E-05	11.4143			
4.21912E-05	11.777			
4.22078E-05	12.0195			
4.22245E-05	12.2307			
4.22400E-05	12.3955			
4.22556E-05	12.5256			
4.22722E-05	12.6235			
4.22879E-05	12.6744			
4.23000E-05	12.6856			
4.23155E-05	12.664			
4.23322E-05	12.5963			
4.23500E-05	12.4752			
4.23677E-05	12.307			
4.23844E-05	12.1103			
4.24011E-05	11.8807			
4.24177E-05	11.623			
4.24399E-05	11.2453			
4.24732E-05	10.6325			
4.25232E-05	9.69179			
4.25454E-05	9.29228			
4.25676E-05	8.91521			
4.25843E-05	8.65026			
4.26009E-05	8.40224			
4.26176E-05	8.172			
4.26343E-05	7.95988			
4.26509E-05	7.76578			
4.26620E-05	7.64618			
4.26731E-05	7.53419			
4.26842E-05	7.42955			
4.26953E-05	7.33198			
4.27064E-05	7.24116			
4.27175E-05	7.15676			
4.27320E-05	7.05605			
4.27464E-05	6.9648			
4.27609E-05	6.88225			
4.27753E-05	6.80763			
4.27867E-05	6.7539			
4.27981E-05	6.70431			
4.28094E-05	6.65852			
4.28208E-05	6.61624			
4.28322E-05	6.57716			
4.28493E-05	6.52399			
4.28664E-05	6.47662			
4.28820E-05	6.43774			
4.28976E-05	6.40261			
4.29132E-05	6.37079			
4.29288E-05	6.34188			
4.29444E-05	6.31556			
4.29601E-05	6.29153			
4.29809E-05	6.2626			
4.30017E-05	6.23676			
4.30225E-05	6.21358			
4.30468E-05	6.18941			
4.30676E-05	6.17082			
4.30885E-05	6.15392			
4.31162E-05	6.13367			
4.31440E-05	6.11565			
4.31717E-05	6.09955			
4.31995E-05	6.08507			
4.32273E-05	6.07201			
4.32550E-05	6.06018			
4.32911E-05	6.04639			
4.33272E-05	6.03412			
4.33633E-05	6.02317			
4.33994E-05	6.01334			
4.34355E-05	6.00447			
4.34716E-05	5.99645			
4.35077E-05	5.98916			
4.35438E-05	5.98251			
4.35965E-05	5.9738			
4.36493E-05	5.9661			
4.37020E-05	5.95925			
4.37548E-05	5.95314			
4.38075E-05	5.94766			
4.38603E-05	5.94271			
4.39394E-05	5.93615			
4.40005E-05	5.93168			
4.40699E-05	5.92712			
4.41393E-05	5.92305			
4.42087E-05	5.91938			
4.43128E-05	5.91453			
4.44169E-05	5.91032			
4.45210E-05	5.90663			
4.46388E-05	5.90297			
4.47565E-05	5.89976			
4.48351E-05	5.89782			
4.49921E-05	5.89435			
4.51491E-05	5.89132			
4.53084E-05	5.88863			
4.54676E-05	5.88622			
4.57065E-05	5.88306			
4.59476E-05	5.88028			
4.61091E-05	5.87861			
4.64320E-05	5.87559			
4.67596E-05	5.87289			
4.70871E-05	5.87045			
4.75853E-05	5.86711			
4.80883E-05	5.86406			
4.87667E-05	5.8603			
4.94547E-05	5.85678			
5.05037E-05	5.85176			
5.15775E-05	5.84691			
5.30431E-05	5.84059			
5.49325E-05	5.83274			
5.76946E-05	5.82161			
6.14474E-05	5.80685			
6.59060E-05	5.78964			
7.06881E-05	5.77149			
7.32952E-05	5.76172			
7.69805E-05	5.74808			
7.97225E-05	5.73814			
8.19879E-05	5.73014			
8.37311E-05	5.72424			
8.49124E-05	5.72043			
8.58088E-05	5.71772			
8.67135E-05	5.7152			
8.73252E-05	5.71369			
8.79369E-05	5.7124			
8.84021E-05	5.71162			
8.88674E-05	5.71109			
8.93348E-05	5.7109			
8.96493E-05	5.71104			
8.99639E-05	5.71147			
9.01998E-05	5.71204			
9.04357E-05	5.71287			
9.06797E-05	5.7141			
9.08628E-05	5.71533			
9.10459E-05	5.7169			
9.12289E-05	5.71888			
9.13510E-05	5.72049			
9.15135E-05	5.72307			
9.16658E-05	5.72604			
9.17674E-05	5.7284			
9.18689E-05	5.73112			
9.19704E-05	5.73426			
9.20720E-05	5.73791			
9.21735E-05	5.74218			
9.22525E-05	5.74601			
9.23371E-05	5.75071			
9.24217E-05	5.75614			
9.24781E-05	5.76025			
9.25345E-05	5.7648			
9.25909E-05	5.76987			
9.26473E-05	5.77554			
9.27003E-05	5.78149			
9.27500E-05	5.78771			
9.27996E-05	5.79463			
9.28492E-05	5.80239			
9.28989E-05	5.81111			
9.29485E-05	5.82098			
9.29857E-05	5.82925			
9.30230E-05	5.8384			
9.30602E-05	5.84855			
9.30907E-05	5.85772			
9.31267E-05	5.86974			
9.31629E-05	5.88324			
9.31989E-05	5.89848			
9.32260E-05	5.91126			
9.32531E-05	5.9254			
9.32802E-05	5.94111			
9.33073E-05	5.95868			
9.33343E-05	5.97843			
9.33614E-05	6.00077			
9.33840E-05	6.02173			
