E(MeV)	"HF-177(N,TOT)"	
1.09031E-06	27317.5	
1.09219E-06	27587.1	
1.09272E-06	27633.3	
1.09484E-06	27814.1	
1.09583E-06	27843.5	
1.09719E-06	27880.8	
1.09855E-06	27835.2	
1.09903E-06	27818.6	
1.10026E-06	27774.6	
1.10146E-06	27654.5	
1.10296E-06	27502.8	
1.10390E-06	27355.1	
1.10552E-06	27097.1	
1.10638E-06	26918	
1.10808E-06	26557.1	
1.10894E-06	26337.3	
1.11065E-06	25894.6	
1.11236E-06	25372.4	
1.11407E-06	24847	
1.11620E-06	24098.1	
1.11749E-06	23646.8	
1.12005E-06	22649.1	
1.12261E-06	21648.7	
1.12445E-06	20891.6	
1.13313E-06	17312.8	
1.13548E-06	16378.4	
1.13680E-06	15852.6	
1.14048E-06	14465.4	
1.14052E-06	14450.3	
1.14415E-06	13168.6	
1.14479E-06	12957.3	
1.14704E-06	12219.7	
1.14800E-06	11924	
1.14992E-06	11334	
1.15120E-06	10968.1	
1.15280E-06	10511.9	
1.15441E-06	10089.3	
1.15569E-06	9752.13	
1.15761E-06	9285.26	
1.15857E-06	9052.5	
1.16082E-06	8547.87	
1.16338E-06	8011.91	
1.16402E-06	7887.73	
1.16594E-06	7516.38	
1.16723E-06	7287.14	
1.16851E-06	7058.62	
1.17043E-06	6741.38	
1.17107E-06	6635.93	
1.17289E-06	6359.45	
1.17364E-06	6245.89	
1.17567E-06	5960.64	
1.17620E-06	5885.77	
1.17844E-06	5594.66	
1.17876E-06	5553.19	
1.18122E-06	5259.55	
1.18154E-06	5221.35	
1.18400E-06	4952.38	
1.18453E-06	4894.06	
1.18678E-06	4669.56	
1.18752E-06	4594.92	
1.18955E-06	4408.98	
1.19052E-06	4321.18	
1.19351E-06	4070.13	
1.19372E-06	4053.61	
1.19650E-06	3839.79	
1.19757E-06	3763.96	
1.19949E-06	3627.94	
1.20141E-06	3502.32	
1.20248E-06	3432.76	
1.20526E-06	3265.94	
1.20569E-06	3240.36	
1.20910E-06	3052.27	
1.20910E-06	3052.27	
1.21252E-06	2880.08	
1.21295E-06	2860.27	
1.21594E-06	2722.06	
1.21680E-06	2685.64	
1.21936E-06	2576.74	
1.22064E-06	2526.43	
1.22278E-06	2442.85	
1.22449E-06	2380.96	
1.22620E-06	2319.26	
1.22876E-06	2235	
1.23132E-06	2151.02	
1.23303E-06	2100.4	
1.23560E-06	2024.71	
1.23731E-06	1978.54	
1.23987E-06	1909.5	
1.24158E-06	1867.28	
1.24414E-06	1804.19	
1.24799E-06	1717.2	
1.24842E-06	1707.58	
1.25269E-06	1618.92	
1.25440E-06	1586.18	
1.25696E-06	1537.28	
1.26089E-06	1467.97	
1.26124E-06	1461.92	
1.26755E-06	1361.07	
1.26774E-06	1358.05	
1.27421E-06	1266.19	
1.27444E-06	1262.99	
1.28087E-06	1181.57	
1.28113E-06	1178.26	
1.28753E-06	1105.81	
1.28783E-06	1102.44	
1.29419E-06	1037.72	
1.29452E-06	1034.33	
1.30104E-06	974.616	
1.30122E-06	972.943	
1.30788E-06	917.783	
1.30810E-06	915.967	
1.31499E-06	864.475	
1.31701E-06	850.692	
1.32187E-06	817.776	
1.32614E-06	791.391	
1.32876E-06	775.312	
1.33540E-06	737.952	
1.33564E-06	736.607	
1.34265E-06	700.662	
1.34479E-06	690.783	
1.35209E-06	657.108	
1.35417E-06	648.538	
1.36153E-06	618.397	
1.36356E-06	610.942	
1.37097E-06	583.878	
1.37308E-06	576.948	
1.38054E-06	552.593	
1.38273E-06	546.157	
1.39024E-06	524.215	
1.39238E-06	518.587	
1.39995E-06	498.809	
1.40686E-06	482.507	
1.40965E-06	475.97	
1.41949E-06	455.164	
1.42175E-06	450.859	
1.42947E-06	436.212	
1.43663E-06	423.933	
1.43945E-06	419.139	
1.45166E-06	400.768	
1.45442E-06	396.649	
1.46697E-06	380.514	
1.46980E-06	376.889	
1.48227E-06	363.237	
1.48519E-06	360.06	
1.49787E-06	348.279	
1.50073E-06	345.639	
1.51360E-06	335.545	
1.51655E-06	333.252	
1.52934E-06	324.874	
1.53238E-06	322.905	
1.54553E-06	315.814	
1.54850E-06	314.228	
1.56171E-06	308.495	
1.56477E-06	307.185	
1.58104E-06	301.681	
1.58309E-06	301.154	
1.59369E-06	298.488	
1.59777E-06	297.483	
1.61450E-06	294.63	
1.61618E-06	294.478	
1.63531E-06	292.86	
1.63866E-06	292.783	
1.64497E-06	292.678	
1.66178E-06	293.466	
1.66818E-06	293.807	
1.68490E-06	296.154	
1.69139E-06	297.104	
1.70273E-06	299.75	
1.71525E-06	302.74	
1.72056E-06	304.484	
1.73855E-06	310.507	
1.73911E-06	310.698	
1.75688E-06	318.234	
1.75751E-06	318.506	
1.77521E-06	327.481	
1.77592E-06	327.842	
1.79389E-06	338.547	
1.79449E-06	338.91	
1.81274E-06	351.544	
1.81341E-06	352.017	
1.83159E-06	366.548	
1.83233E-06	367.153	
1.85097E-06	384.284	
1.85161E-06	384.883	
1.87035E-06	404.653	
1.87106E-06	405.419	
1.88327E-06	420.148	
1.89052E-06	428.984	
1.89655E-06	437.321	
1.90984E-06	455.849	
1.91052E-06	456.816	
1.92312E-06	476.557	
1.92386E-06	477.725	
1.93641E-06	499.379	
1.93720E-06	500.754	
1.95007E-06	525.261	
1.95072E-06	526.518	
1.96373E-06	553.911	
1.96443E-06	555.414	
1.97739E-06	585.66	
1.97814E-06	587.451	
1.99105E-06	620.935	
1.99186E-06	623.062	
2.00158E-06	651.188	
2.00576E-06	663.4	
2.01211E-06	683.951	
2.01986E-06	709.255	
2.02265E-06	719.242	
2.03044E-06	747.427	
2.03318E-06	758.212	
2.04101E-06	789.273	
2.04371E-06	800.947	
2.05158E-06	835.261	
2.05445E-06	848.883	
2.06236E-06	886.933	
2.06528E-06	902.322	
2.07323E-06	944.697	
2.07611E-06	961.559	
2.08410E-06	1008.93	
2.08694E-06	1027.47	
2.09416E-06	1075.12	
2.09498E-06	1080.55	
2.10138E-06	1127.71	
2.10585E-06	1160.88	
2.10849E-06	1182.64	
2.11549E-06	1240.77	
2.11652E-06	1249.43	
2.12248E-06	1304.95	
2.12678E-06	1345.35	
2.12948E-06	1373	
2.13363E-06	1415.96	
2.13647E-06	1447.69	
2.14047E-06	1492.63	
2.14347E-06	1529.02	
2.14731E-06	1576.06	
2.15047E-06	1617.8	
2.15415E-06	1667.09	
2.15746E-06	1714.96	
2.16100E-06	1766.62	
2.16354E-06	1806.95	
2.16784E-06	1875.88	
2.17128E-06	1935.42	
2.17343E-06	1973.09	
2.17902E-06	2078.22	
2.18418E-06	2183.72	
2.18461E-06	2192.59	
2.18934E-06	2297.74	
2.19020E-06	2317.04	
2.19450E-06	2421.24	
