E(MeV)	mcnp/Pd-105:1	
4.938683924E-05	4.649097443	
4.964660911E-05	4.654776096	
4.990636080E-05	4.662816525	
5.016611249E-05	4.673619747	
5.042586781E-05	4.687878609	
5.068561950E-05	4.706510544	
5.094537119E-05	4.730758667	
5.120511923E-05	4.762308121	
5.146487092E-05	4.803504944	
5.172461897E-05	4.857664585	
5.198437793E-05	4.929494858	
5.224412234E-05	5.025176048	
5.237400910E-05	5.085257053	
5.250389950E-05	5.15629673	
5.263376806E-05	5.240627289	
5.276364027E-05	5.341222763	
5.289351975E-05	5.462080002	
5.302339923E-05	5.608585835	
5.315327871E-05	5.788003922	
5.328316183E-05	6.010258675	
5.341304131E-05	6.28905201	
5.354290988E-05	6.643722057	
5.360784780E-05	6.858083725	
5.367278936E-05	7.103537083	
5.373772728E-05	7.38644886	
5.380266884E-05	7.714873791	
5.386761040E-05	8.099033356	
5.393254105E-05	8.55188942	
5.399747897E-05	9.090657234	
5.406242053E-05	9.738010406	
5.412736209E-05	10.52506256	
5.419230001E-05	11.4951086	
5.425722702E-05	12.7104702	
5.432216858E-05	14.26536083	
5.435464118E-05	15.21291637	
5.438711742E-05	16.30625916	
5.441957910E-05	17.57885361	
5.445204806E-05	19.07536697	
5.448450975E-05	20.85286522	
5.451697871E-05	22.99150276	
5.454946222E-05	25.59566879	
5.458192027E-05	28.80521011	
5.461440014E-05	32.80685043	
5.464685819E-05	37.84073257	
5.467932715E-05	44.21781921	
5.469555981E-05	48.0257988	
5.471179975E-05	52.31516647	
5.472803241E-05	57.14278793	
5.474425780E-05	62.57097244	
5.476049046E-05	68.65942383	
5.477673039E-05	75.47973633	
5.479295942E-05	83.08187866	
5.480919936E-05	91.53000641	
5.482543202E-05	100.8767624	
5.484167195E-05	111.1660004	
5.485790825E-05	122.4243698	
5.487414091E-05	134.6730042	
5.489036994E-05	147.8974762	
5.490660988E-05	162.0970917	
5.492283890E-05	177.1981201	
5.493907884E-05	193.143219	
5.497155144E-05	227.0776367	
5.501213673E-05	271.6671448	
5.503649299E-05	298.3173523	
5.507706737E-05	339.7874756	
5.510142728E-05	361.4255066	
5.513838914E-05	387.2435608	
5.516302917E-05	398.6601868	
5.520000195E-05	405.7960205	
5.523696746E-05	400.4012451	
5.527392932E-05	383.1061707	
5.531119314E-05	355.5059509	
5.534904994E-05	319.8661499	
5.538692130E-05	279.9211426	
5.545002932E-05	212.4755096	
