E (MeV)	Na-23	
8.46198E-03	5.57626	
8.47147E-03	5.57276	
8.48572E-03	5.5675	
8.49286E-03	5.56487	
8.50000E-03	5.56223	
8.50762E-03	5.55942	
8.56095E-03	5.53974	
8.66866E-03	5.49999	
8.75033E-03	5.46986	
8.87429E-03	5.42412	
8.91403E-03	5.40945	
9.00000E-03	5.38681	
9.50000E-03	5.25508	
9.94640E-03	5.13748	
1.00000E-02	5.12825	
1.04664E-02	5.04791	
1.11116E-02	4.93675	
1.18713E-02	4.80589	
1.20000E-02	4.7929	
1.24900E-02	4.74345	
1.30000E-02	4.69199	
1.32431E-02	4.66746	
1.34907E-02	4.64247	
1.37112E-02	4.62022	
1.40000E-02	4.59108	
1.44922E-02	4.54142	
1.44961E-02	4.54102	
1.45000E-02	4.54063	
1.45062E-02	4.54	
1.45179E-02	4.53882	
1.45282E-02	4.53779	
1.45371E-02	4.53688	
1.45518E-02	4.5354	
1.45639E-02	4.53418	
1.45729E-02	4.53327	
1.45797E-02	4.53259	
1.45898E-02	4.53156	
1.46000E-02	4.53054	
1.46062E-02	4.52991	
1.46499E-02	4.5255	
1.46937E-02	4.52108	
1.47000E-02	4.52045	
1.47062E-02	4.51982	
1.47125E-02	4.51919	
1.47234E-02	4.51809	
1.47329E-02	4.51712	
1.47413E-02	4.51664	
1.47486E-02	4.51623	
1.47615E-02	4.51551	
1.47711E-02	4.51496	
1.48000E-02	4.51334	
1.48031E-02	4.51316	
1.48062E-02	4.51299	
1.48249E-02	4.51194	
1.48437E-02	4.51088	
1.48577E-02	4.51009	
1.49000E-02	4.50771	
1.49282E-02	4.50613	
1.49371E-02	4.50563	
1.49518E-02	4.5048	
1.49639E-02	4.50412	
1.49729E-02	4.50362	
1.49797E-02	4.50324	
1.49898E-02	4.50266	
1.49949E-02	4.50238	
1.50000E-02	4.50209	
1.50046E-02	4.50183	
1.50093E-02	4.50157	
1.50372E-02	4.5	
1.51025E-02	4.49633	
1.51516E-02	4.49357	
1.51886E-02	4.49149	
1.52442E-02	4.48836	
1.53000E-02	4.48522	
1.56500E-02	4.46554	
1.60000E-02	4.44586	
1.60498E-02	4.44307	
1.61153E-02	4.43938	
1.61576E-02	4.437	
1.62000E-02	4.43462	
1.63000E-02	4.429	
1.64000E-02	4.42337	
1.64997E-02	4.41777	
1.66000E-02	4.41213	
1.66872E-02	4.40722	
1.67435E-02	4.40406	
1.68000E-02	4.40088	
1.68875E-02	4.39596	
1.69000E-02	4.39526	
1.69062E-02	4.39491	
1.69125E-02	4.39456	
1.69343E-02	4.39333	
1.69630E-02	4.39171	
1.69815E-02	4.39068	
1.69908E-02	4.39016	
1.70000E-02	4.38964	
1.70062E-02	4.38929	
1.70179E-02	4.38863	
1.70282E-02	4.38805	
1.70371E-02	4.38755	
1.70518E-02	4.38672	
1.70579E-02	4.38638	
1.70684E-02	4.38579	
1.70822E-02	4.38501	
1.70956E-02	4.38426	
1.71000E-02	4.38401	
1.71063E-02	4.38366	
1.71500E-02	4.3812	
1.72000E-02	4.37839	
1.72437E-02	4.37593	
1.73000E-02	4.37277	
1.73176E-02	4.37178	
1.73278E-02	4.3712	
1.73369E-02	4.37069	
1.73447E-02	4.37025	
1.73577E-02	4.36952	
1.73682E-02	4.36893	
