E(MeV)	j33-k300/In113K3:1
1.0523E-06	12.1715
1.06636E-06	12.4302
1.07749E-06	12.6351
1.08041E-06	12.6959
1.09447E-06	12.9885
1.1079E-06	13.2678
1.10853E-06	13.283
1.1179E-06	13.506
1.12728E-06	13.7291
1.13665E-06	13.9521
1.1383E-06	13.9914
1.14602E-06	14.1989
1.15539E-06	14.4507
1.1611E-06	14.6041
1.16477E-06	14.7138
1.17414E-06	14.9944
1.18351E-06	15.275
1.1839E-06	15.2867
1.19288E-06	15.588
1.20085E-06	15.8553
1.20756E-06	16.0806
1.21069E-06	16.1995
1.21725E-06	16.4489
1.22381E-06	16.6983
1.23037E-06	16.9477
1.23294E-06	17.0453
1.23693E-06	17.219
1.2435E-06	17.5043
1.25006E-06	17.7896
1.25709E-06	18.0953
1.25832E-06	18.1489
1.26411E-06	18.4319
1.27114E-06	18.7751
1.27523E-06	18.9749
1.27817E-06	19.1328
1.28286E-06	19.3846
1.28755E-06	19.6365
1.29215E-06	19.884
1.29692E-06	20.167
1.3016E-06	20.4451
1.30629E-06	20.7233
1.30907E-06	20.8882
1.31098E-06	21.0138
1.31566E-06	21.3224
1.32035E-06	21.631
1.32504E-06	21.9395
1.32599E-06	22.0022
1.32972E-06	22.2743
1.33441E-06	22.6159
1.33792E-06	22.872
1.34105E-06	23.1002
1.34144E-06	23.1316
1.34495E-06	23.4188
1.34847E-06	23.706
1.35198E-06	23.9932
1.3555E-06	24.2805
1.35901E-06	24.5677
1.36088E-06	24.7203
1.36253E-06	24.8707
1.36639E-06	25.2237
1.37026E-06	25.5767
1.37409E-06	25.9271
1.37799E-06	26.3172
1.38186E-06	26.7044
1.38549E-06	27.0681
1.38731E-06	27.2506
1.389E-06	27.437
1.39252E-06	27.8244
1.39603E-06	28.2117
1.39955E-06	28.599
1.40053E-06	28.707
1.40423E-06	29.1581
1.40892E-06	29.7285
1.41374E-06	30.3156
1.41595E-06	30.6132
1.42696E-06	32.0988
1.4272E-06	32.1343
1.43212E-06	32.873
1.43704E-06	33.6117
1.44018E-06	34.0828
1.4436E-06	34.6602
1.44688E-06	35.2137
1.45016E-06	35.7672
1.45344E-06	36.3207
1.45484E-06	36.5575
1.45672E-06	36.9095
1.45918E-06	37.3709
1.46281E-06	38.052
1.46462E-06	38.3912
1.46562E-06	38.5965
1.46984E-06	39.4599
1.47406E-06	40.3234
1.4744E-06	40.3929
1.47828E-06	41.2619
1.48249E-06	42.2071
1.48418E-06	42.584
1.48671E-06	43.2077
1.49374E-06	44.937
1.49395E-06	44.9894
1.50373E-06	47.638
1.50499E-06	48.0139
1.50967E-06	49.4163
1.51351E-06	50.5641
1.51436E-06	50.8463
1.51905E-06	52.401
1.52256E-06	53.5671
1.52329E-06	53.808
1.52608E-06	54.8374
1.52959E-06	56.135
1.53307E-06	57.4177
1.53662E-06	58.884
1.54013E-06	60.3337
1.54284E-06	61.4508
1.54365E-06	61.8184
1.54716E-06	63.421
1.55018E-06	64.7944
1.55068E-06	65.0448
1.55419E-06	66.7964
1.55751E-06	68.4492
1.55771E-06	68.5576
1.56122E-06	70.4776
1.56474E-06	72.3976
1.56825E-06	74.5026
1.57177E-06	76.6134
1.57218E-06	76.8594
1.57528E-06	78.916
1.5788E-06	81.244
1.57951E-06	81.7167
1.58231E-06	83.7699
1.58583E-06	86.3463
1.58684E-06	87.0922
1.58934E-06	89.1255
1.59403E-06	92.9413
1.59871E-06	97.1827
1.60151E-06	99.7228
1.6034E-06	101.644
1.60809E-06	106.41
1.60884E-06	107.181
1.61277E-06	111.586
1.61373E-06	112.663
1.61746E-06	117.191
1.61862E-06	118.605
1.62214E-06	123.258
1.62351E-06	125.062
1.62683E-06	129.838
1.6284E-06	132.094
1.63152E-06	136.99
1.63329E-06	139.772
1.6362E-06	144.784
1.63818E-06	148.177
1.64089E-06	153.296
1.64307E-06	157.404
1.64558E-06	162.618
1.64795E-06	167.561
1.6526E-06	178.228
1.65284E-06	178.776
1.65773E-06	191.197
1.65917E-06	195.242
1.66262E-06	204.998
1.66549E-06	214.029
1.66751E-06	220.379
1.67118E-06	233.094
1.67182E-06	235.516
1.67484E-06	246.942
1.67814E-06	260.513
1.67833E-06	261.262
1.68181E-06	276.84
1.68447E-06	289.8
1.68529E-06	293.806
1.68878E-06	312.303
1.6908E-06	324.012
1.69226E-06	332.489
1.69574E-06	354.529
1.69712E-06	364.068
1.69923E-06	378.602
1.70271E-06	404.894
1.70556E-06	428.367
1.70619E-06	433.595
1.70968E-06	464.898
1.71334E-06	500.866
1.71399E-06	507.865
1.71738E-06	544.246
1.72141E-06	591.851
1.72243E-06	604.996
1.72544E-06	643.864
1.72948E-06	700.385
1.7318E-06	735.562
1.73351E-06	761.408
1.7384E-06	841.199
1.74118E-06	889.809
1.74329E-06	926.829
1.74818E-06	1017.34
1.75055E-06	1063.19
1.75992E-06	1244.55
1.76529E-06	1348.43
1.76929E-06	1421.44
1.77018E-06	1437.58
1.77507E-06	1519.24
1.77867E-06	1571.72
1.77996E-06	1590.54
1.78362E-06	1635.59
1.78729E-06	1672.29
1.78804E-06	1677.91
1.79096E-06	1699.81
1.79413E-06	1715.73
1.79741E-06	1723.34
1.79804E-06	1724.81
0.0000018	1724.91
1.8033E-06	1718.39
1.8066E-06	1703.59
1.80678E-06	1702.4
1.8088E-06	1689.26
1.8132E-06	1650.47
1.81616E-06	1616.11
1.8176E-06	1599.31
1.822E-06	1537.43
1.82553E-06	1480.77
1.8264E-06	1466.76
1.83227E-06	1362.36
1.83959E-06	1222.23
1.84107E-06	1193.88
1.85084E-06	1005.89
1.85365E-06	954.625
1.85573E-06	916.387
1.86062E-06	831.749
1.86551E-06	752.867
1.8677E-06	719.945
1.86918E-06	697.805
1.87284E-06	646.375
1.87651E-06	598.588
1.87883E-06	570.596
1.88018E-06	554.388
1.88329E-06	519.553
1.88641E-06	487.133
1.88953E-06	457.019
1.89172E-06	437.37
1.89264E-06	429.089
1.89576E-06	403.215
1.89888E-06	379.267
1.90199E-06	357.114
1.90461E-06	339.937
1.90511E-06	336.626
1.90823E-06	317.678
1.91134E-06	300.151
1.91465E-06	283.016
1.9175E-06	269.435
1.91831E-06	265.544
1.92198E-06	249.565
1.92565E-06	234.935
1.92931E-06	221.521
1.93038E-06	217.924
1.93298E-06	209.202
1.93665E-06	197.871
1.94031E-06	187.431
1.94327E-06	179.76
1.9452E-06	174.751
1.95009E-06	163.323
1.95498E-06	152.993
1.95616E-06	150.736
1.95987E-06	143.627
1.96476E-06	135.113
1.96904E-06	128.305
1.96965E-06	127.35
1.97453E-06	120.255
1.97942E-06	113.753
1.98431E-06	107.781
1.98662E-06	105.188
1.9892E-06	102.282
1.99531E-06	96.001
2.00081E-06	90.8486
2.00331E-06	88.6976
2.00631E-06	86.1166
2.01365E-06	80.3852
2.02001E-06	75.9156
2.02098E-06	75.2327
2.02831E-06	70.5833
2.03565E-06	66.3735
2.0367E-06	65.8228
2.04298E-06	62.5495
2.05031E-06	59.0655
2.0534E-06	57.7267
2.05765E-06	55.8823
2.06453E-06	53.1463
2.06498E-06	52.9663
2.07476E-06	49.4443
2.08453E-06	46.2878
2.08679E-06	45.6339
2.09431E-06	43.4479
2.10409E-06	40.8839
2.10905E-06	39.7068
2.11387E-06	38.5613
2.12365E-06	36.4506
2.13131E-06	34.9438
2.13342E-06	34.527
2.1432E-06	32.769
2.15298E-06	31.1582
2.15357E-06	31.0696
2.16276E-06	29.6787
2.177E-06	27.7343
2.17742E-06	27.6758
2.19209E-06	25.8982
2.20043E-06	24.9974
2.20676E-06	24.3135
2.21947E-06	23.0753
2.22386E-06	22.6856
2.23218E-06	21.947
2.24489E-06	20.9159
2.24729E-06	20.7413
2.26396E-06	19.5278
2.27072E-06	19.0935
2.28302E-06	18.3035
2.29415E-06	17.6704
2.30209E-06	17.2187
2.31758E-06	16.4277
2.31822E-06	16.395
2.33778E-06	15.4968
2.34102E-06	15.364
2.35734E-06	14.6938
2.37616E-06	13.9996
2.37689E-06	13.9726
2.39645E-06	13.3224
2.41131E-06	12.8753
2.416E-06	12.7341
2.43556E-06	12.2004
2.44646E-06	11.9359
2.46489E-06	11.4884
2.4816E-06	11.1305
2.48934E-06	10.9648
2.51378E-06	10.4955
2.51675E-06	10.4443
2.53823E-06	10.0733
2.54561E-06	9.96103
2.57489E-06	9.51548
2.57989E-06	9.44978
2.61156E-06	9.03376
2.61418E-06	9.00386
2.64823E-06	8.61518
2.68275E-06	8.27078
2.68489E-06	8.2494
2.71704E-06	7.96778
2.72156E-06	7.92815
2.75132E-06	7.69808
2.75823E-06	7.64469
2.80275E-06	7.34567
2.80712E-06	7.31635
2.84229E-06	7.11438
2.85601E-06	7.03565
2.88184E-06	6.91004
2.91645E-06	6.74172
2.92138E-06	6.7216
2.96092E-06	6.56035
2.97689E-06	6.49524
3.00046E-06	6.4144
3.03733E-06	6.28799
3.04001E-06	6.28025
3.07955E-06	6.16596
3.09777E-06	6.11329
3.11909E-06	6.06273
3.16412E-06	5.95596
3.17836E-06	5.92221
3.17913E-06	5.92077
3.21385E-06	5.85639
3.24856E-06	5.79202
3.26773E-06	5.75646
3.28327E-06	5.73473
3.30642E-06	5.70238
3.32956E-06	5.67002
3.3527E-06	5.63766
3.35711E-06	5.6315
3.37241E-06	5.61619
3.39682E-06	5.59176
3.4131E-06	5.57547
3.42938E-06	5.55919
3.44565E-06	5.5429
3.44649E-06	5.54206
3.46193E-06	5.53231
3.4782E-06	5.52202
3.49041E-06	5.51431
3.50465E-06	5.50531
3.51483E-06	5.49888
3.525E-06	5.49246
3.53517E-06	5.48603
3.53586E-06	5.48559
3.54534E-06	5.48302
3.55552E-06	5.48026
3.56569E-06	5.4775
3.57332E-06	5.47543
3.57993E-06	5.47363
3.58807E-06	5.47143
3.59621E-06	5.46922
3.60434E-06	5.46701
3.61045E-06	5.46535
3.61655E-06	5.4637
3.62036E-06	5.46267
3.62265E-06	5.46261
3.62876E-06	5.46248
3.63486E-06	5.46235
3.64096E-06	5.46221
3.64605E-06	5.4621
3.64852E-06	5.46204
3.65114E-06	5.46267
3.65622E-06	5.46388
3.66131E-06	5.46509
3.6664E-06	5.46629
3.67148E-06	5.4675
3.67657E-06	5.46871
3.68038E-06	5.46962
3.6842E-06	5.47053
3.68801E-06	5.47144
3.69183E-06	5.47234
3.69564E-06	5.47325
3.69946E-06	5.47416
3.70327E-06	5.47506
3.70709E-06	5.47597
3.7109E-06	5.47688
3.71471E-06	5.47779
3.71853E-06	5.47869
3.72234E-06	5.4796
3.7273E-06	5.48078
3.72832E-06	5.48102
3.73226E-06	5.48372
3.73722E-06	5.48711
3.74218E-06	5.49051
3.74879E-06	5.49503
3.75642E-06	5.50025
3.77422E-06	5.51244
3.78185E-06	5.51766
3.78694E-06	5.52114
3.79203E-06	5.52462
3.79711E-06	5.5281
3.8022E-06	5.53158
3.80728E-06	5.53506
3.80812E-06	5.53564
3.81237E-06	5.54061
3.81746E-06	5.54656
0.00000382	5.54953
3.82458E-06	5.55488
3.82916E-06	5.56024
3.83373E-06	5.56559
3.83831E-06	5.57095
3.84365E-06	5.57719
3.84899E-06	5.58344
3.85255E-06	5.5876
3.85967E-06	5.59593
3.86679E-06	5.60426
3.86797E-06	5.60564
3.88714E-06	5.63819
3.89477E-06	5.65114
3.89985E-06	5.65978
3.90494E-06	5.66842
3.9099E-06	5.67684
3.91473E-06	5.68504
3.91956E-06	5.69325
3.9244E-06	5.70145
3.92782E-06	5.70727
3.92923E-06	5.71045
3.93406E-06	5.72137
3.93768E-06	5.72955
3.94131E-06	5.73774
3.94493E-06	5.74593
3.94868E-06	5.75441
3.9525E-06	5.76302
3.95631E-06	5.77164
3.96013E-06	5.78026
3.96394E-06	5.78888
3.96772E-06	5.79742
3.96903E-06	5.80119
3.97411E-06	5.81585
3.9792E-06	5.83051
3.98429E-06	5.84516
3.98963E-06	5.86056
3.99522E-06	5.87668
4.00082E-06	5.89281
4.00641E-06	5.90893
4.01201E-06	5.92506
4.01466E-06	5.93271
4.0176E-06	5.94369
4.0232E-06	5.96459
4.02879E-06	5.9855
4.03667E-06	6.01495
4.0443E-06	6.04345
4.05193E-06	6.07195
4.05956E-06	6.10045
4.0616E-06	6.10808
4.06719E-06	6.13431
4.07482E-06	6.17013
4.08245E-06	6.20595
4.09262E-06	6.25371
4.09681E-06	6.27337
4.1028E-06	6.30778
4.11297E-06	6.36625
4.12314E-06	6.42473
4.13201E-06	6.47574
4.13331E-06	6.48491
4.14349E-06	6.55676
4.15366E-06	6.62861
4.16605E-06	6.71611
4.16892E-06	6.74097
4.18418E-06	6.8731
4.19773E-06	6.9905
4.19918E-06	7.00537
4.21368E-06	7.15418
4.21886E-06	7.20735
4.22817E-06	7.31766
4.23998E-06	7.45747
4.24267E-06	7.4944
4.2611E-06	7.74765
4.262E-06	7.76197
4.28132E-06	8.07208
4.28223E-06	8.08656
4.29807E-06	8.37936
4.30065E-06	8.43355
4.31391E-06	8.71181
4.31998E-06	8.85678
4.32917E-06	9.0763
4.33931E-06	9.35154
4.34325E-06	9.45857
4.35733E-06	9.893
4.36169E-06	10.0465
4.37141E-06	10.3896
4.3855E-06	10.9607
4.38712E-06	11.0369
4.39958E-06	11.6224
4.40897E-06	12.1236
4.41255E-06	12.3364
4.41835E-06	12.6815
4.42774E-06	13.3051
4.43713E-06	14.0056
4.43798E-06	14.0771
4.44652E-06	14.7964
4.45591E-06	15.6943
4.46295E-06	16.4505
4.46999E-06	17.2894
4.47613E-06	18.1103
4.47797E-06	18.3569
4.48454E-06	19.3445
4.49111E-06	20.4469
4.49768E-06	21.6827
4.50426E-06	23.0744
4.50919E-06	24.2364
4.51411E-06	25.5144
4.51904E-06	26.9234
4.52397E-06	28.4806
4.5296E-06	30.4667
4.5343E-06	32.3125
4.53899E-06	34.3545
4.54369E-06	36.6162
4.54838E-06	39.1232
4.55242E-06	41.5156
4.55307E-06	41.9035
4.55777E-06	44.9867
4.56246E-06	48.4042
4.56716E-06	52.1884
4.57185E-06	56.3723
4.57655E-06	60.9884
4.58124E-06	66.068
4.58593E-06	71.6398
4.59063E-06	77.7285
4.59311E-06	81.2318
4.59532E-06	84.3532
4.60002E-06	91.526
4.60401E-06	98.0562
4.60893E-06	106.666
4.61386E-06	115.855
4.61879E-06	125.585
4.62536E-06	139.298
4.62865E-06	146.42
4.6338E-06	157.972
4.65212E-06	199.065
4.65916E-06	213.956
4.6662E-06	227.543
4.67184E-06	237.13
4.67747E-06	245.311
4.6831E-06	251.872
4.68873E-06	256.633
4.69437E-06	259.465
0.0000047	260.289
4.70469E-06	259.425
4.70939E-06	257.171
4.71408E-06	253.573
4.71878E-06	248.702
4.72371E-06	242.323
4.72863E-06	234.778
4.73521E-06	223.172
4.74178E-06	210.163
4.74976E-06	193.077
4.75587E-06	179.438
4.76853E-06	151.181
4.77557E-06	136.073
4.78262E-06	121.782
4.78731E-06	112.809
4.792E-06	104.331
4.7967E-06	96.3737
4.80139E-06	88.9504
4.80609E-06	82.0641
4.81078E-06	75.7082
4.81547E-06	69.8679
4.81691E-06	68.2393
4.82017E-06	64.5228
4.82486E-06	59.6473
4.82956E-06	55.2132
4.83425E-06	51.1898
4.83895E-06	47.5458
4.84364E-06	44.2499
4.84833E-06	41.2711
4.85303E-06	38.5802
4.85772E-06	36.1489
4.86242E-06	33.9513
4.86711E-06	31.9631
4.8718E-06	30.1624
4.8765E-06	28.5291
4.87794E-06	28.0732
4.88119E-06	27.045
4.88589E-06	25.6941
4.89058E-06	24.4618
4.89527E-06	23.3353
4.90232E-06	21.8195
4.90936E-06	20.4835
4.9164E-06	19.3002
4.92344E-06	18.2468
4.93048E-06	17.3047
4.93752E-06	16.4584
4.94222E-06	15.941
4.9516E-06	15.0036
4.95423E-06	14.7724
4.96099E-06	14.1784
4.97038E-06	13.4476
4.97977E-06	12.7969
4.98916E-06	12.2147
4.99854E-06	11.6914
5.00793E-06	11.2192
5.02201E-06	10.5924
5.03053E-06	10.2633
5.0361E-06	10.048
5.05206E-06	9.51274
5.0652E-06	9.12639
5.07834E-06	8.78149
5.09806E-06	8.32935
5.11777E-06	7.94187
5.13225E-06	7.69599
5.13749E-06	7.60705
5.16119E-06	7.26122
5.18232E-06	6.99578
5.20344E-06	6.76349
5.23398E-06	6.47648
5.23513E-06	6.46568
5.26681E-06	6.21656
5.2985E-06	6.00589
5.33136E-06	5.81987
5.3594E-06	5.68454
5.36656E-06	5.64999
5.4135E-06	5.46082
5.43396E-06	5.39286
5.46044E-06	5.3049
5.50738E-06	5.17473
5.57427E-06	5.02304
5.58308E-06	5.00696
5.64117E-06	4.90096
5.73035E-06	4.77171
5.73221E-06	4.7696
5.81954E-06	4.67021
5.88133E-06	4.61531
5.93455E-06	4.56802
6.04687E-06	4.49249
6.07537E-06	4.47332
6.21241E-06	4.40674
6.2866E-06	4.37069
6.37796E-06	4.3395
6.51811E-06	4.29165
6.5435E-06	4.28547
6.7065E-06	4.24577
6.79015E-06	4.2254
6.8695E-06	4.21186
7.01213E-06	4.18753
7.15288E-06	4.16351
7.15475E-06	4.16331
7.29738E-06	4.14783
7.40434E-06	4.13622
7.49094E-06	4.12681
7.59281E-06	4.11576
7.66922E-06	4.10746
7.74563E-06	4.09917
7.75837E-06	4.09778
7.82203E-06	4.09382
7.8857E-06	4.08985
7.94301E-06	4.08629
8.00031E-06	4.08272
8.05762E-06	4.07915
8.09582E-06	4.07677
8.13402E-06	4.0744
8.17859E-06	4.07162
8.2168E-06	4.06924
0.000008255	4.06686
8.2932E-06	4.06449
8.31867E-06	4.0629
8.34414E-06	4.06131
8.36897E-06	4.05977
8.39317E-06	4.05826
8.40943E-06	4.05725
8.41736E-06	4.05705
8.44156E-06	4.05644
8.46575E-06	4.05583
8.48995E-06	4.05522
8.5081E-06	4.05476
8.52624E-06	4.05431
8.54439E-06	4.05385
8.56445E-06	4.05334
8.57845E-06	4.05299
8.59246E-06	4.05264
8.60647E-06	4.05228
8.62048E-06	4.05193
8.63448E-06	4.05158
8.64849E-06	4.05123
8.6625E-06	4.05087
8.67269E-06	4.05062
8.68288E-06	4.05036
8.69306E-06	4.0501
8.70325E-06	4.04985
8.71344E-06	4.04959
8.72363E-06	4.04933
8.73381E-06	4.04908
0.000008744	4.04882
8.75419E-06	4.04856
8.76183E-06	4.04837
8.76947E-06	4.04818
8.77711E-06	4.04799
8.78475E-06	4.04779
8.79239E-06	4.0476
8.80003E-06	4.04741
8.80767E-06	4.04722
8.81531E-06	4.04702
8.82041E-06	4.04689
8.82728E-06	4.04672
8.83263E-06	4.04659
8.83798E-06	4.04645
8.84333E-06	4.04632
8.84868E-06	4.04618
8.85403E-06	4.04605
8.85937E-06	4.04591
8.86472E-06	4.04578
8.87007E-06	4.04564
8.87542E-06	4.04551
8.88077E-06	4.04537
8.8851E-06	4.04526
8.89019E-06	4.04514
8.89528E-06	4.04501
8.90038E-06	4.04488
8.90547E-06	4.04475
8.91057E-06	4.04462
8.91566E-06	4.04449
8.92075E-06	4.04437
8.92559E-06	4.04424
8.93018E-06	4.04413
8.93476E-06	4.04401
8.93935E-06	4.0439
8.94622E-06	4.04372
8.9531E-06	4.04355
8.95998E-06	4.04338
8.96762E-06	4.04319
8.97526E-06	4.04299
8.99054E-06	4.04261
9.00582E-06	4.04222
9.01601E-06	4.04197
9.02365E-06	4.04177
9.03129E-06	4.04158
9.03893E-06	4.04139
9.04708E-06	4.04118
9.05268E-06	4.04104
9.05828E-06	4.0409
9.06389E-06	4.04076
0.00000907	4.04061
9.07688E-06	4.04043
9.08375E-06	4.04026
9.08834E-06	4.04014
9.09547E-06	4.03996
9.1026E-06	4.03978
9.10973E-06	4.0396
9.11686E-06	4.03942
9.12705E-06	4.03917
9.13122E-06	4.03906
9.13724E-06	4.03912
9.16245E-06	4.03938
9.17213E-06	4.03947
9.17939E-06	4.03955
9.18665E-06	4.03962
9.19391E-06	4.03969
9.19887E-06	4.03974
9.20397E-06	4.03979
9.20906E-06	4.03984
9.21415E-06	4.03989
9.21925E-06	4.03995
9.22434E-06	4.04
9.22943E-06	4.04005
9.23453E-06	4.0401
9.23962E-06	4.04015
9.24472E-06	4.0402
9.24981E-06	4.04025
9.2549E-06	4.0403
9.26E-06	4.04035
9.26509E-06	4.0404
9.27018E-06	4.04046
9.27528E-06	4.04051
9.28024E-06	4.04056
9.28508E-06	4.0406
9.28992E-06	4.04065
9.29476E-06	4.0407
9.2996E-06	4.04075
9.30444E-06	4.0408
9.3117E-06	4.04087
9.31896E-06	4.04094
9.32622E-06	4.04102
9.33347E-06	4.04109
9.34073E-06	4.04116
9.34799E-06	4.04124
9.35525E-06	4.04131
9.36289E-06	4.04138
9.37053E-06	4.04146
9.37817E-06	4.04154
9.38581E-06	4.04161
0.000009396	4.04172
9.40619E-06	4.04182
9.41638E-06	4.04192
9.42656E-06	4.04202
9.43675E-06	4.04212
9.44796E-06	4.04224
9.45916E-06	4.04235
9.47037E-06	4.04246
9.48158E-06	4.04257
9.49278E-06	4.04269
9.50959E-06	4.04285
9.5264E-06	4.04302
9.54321E-06	4.04319
9.56002E-06	4.04336
9.57683E-06	4.04353
9.59364E-06	4.0437
9.61045E-06	4.04387
9.62726E-06	4.04403
9.64654E-06	4.04423
9.65247E-06	4.04453
9.67361E-06	4.04561
9.69908E-06	4.0469
9.72455E-06	4.0482
9.75002E-06	4.0495
9.77548E-06	4.05079
9.80095E-06	4.05209
9.82642E-06	4.05339
9.86463E-06	4.05533
9.90283E-06	4.05728
9.94103E-06	4.05922
9.97923E-06	4.06117
1.00174E-05	4.06311
1.00684E-05	4.0657
1.01228E-05	4.06847
1.01618E-05	4.07046
1.01772E-05	4.07212
1.02316E-05	4.078
1.0286E-05	4.08389
1.03586E-05	4.09173
1.04242E-05	4.09883
1.04899E-05	4.10593
1.05775E-05	4.1154
1.06127E-05	4.1192
1.06651E-05	4.12863
1.07526E-05	4.14439
1.08402E-05	4.16015
1.09278E-05	4.17591
1.09508E-05	4.18004
1.10154E-05	4.19744
1.11292E-05	4.22811
1.11993E-05	4.24698
1.12623E-05	4.26396
1.12637E-05	4.26432
1.13254E-05	4.28695
1.13884E-05	4.31006
1.14357E-05	4.3274
1.14638E-05	4.3377
1.14708E-05	4.34098
1.15093E-05	4.3592
1.15478E-05	4.37743
1.15767E-05	4.3911
1.16056E-05	4.40477
1.16293E-05	4.41596
1.16529E-05	4.42714
1.1664E-05	4.43239
1.16687E-05	4.43526
