E(MeV)	Fe-nat
1.151590E-03	16.5458
1.151630E-03	16.2182
1.151680E-03	15.7339
1.151740E-03	15.2831
1.151790E-03	14.864
1.151840E-03	14.5465
1.151850E-03	14.4767
1.151900E-03	14.127
1.151970E-03	13.7683
1.152030E-03	13.4387
1.152090E-03	13.1558
1.152150E-03	12.8683
1.152210E-03	12.6224
1.152280E-03	12.3966
1.152340E-03	12.1891
1.152400E-03	11.9981
1.152460E-03	11.831
1.152520E-03	11.6774
1.152590E-03	11.5246
1.152670E-03	11.3642
1.152740E-03	11.2188
1.152820E-03	11.0864
1.152860E-03	11.0251
1.152900E-03	10.9695
1.152980E-03	10.867
1.153050E-03	10.7733
1.153130E-03	10.6874
1.153230E-03	10.5833
1.153340E-03	10.4895
1.153420E-03	10.4193
1.153520E-03	10.3436
1.153620E-03	10.274
1.153720E-03	10.2098
1.153770E-03	10.1804
1.153850E-03	10.1358
1.153980E-03	10.0714
1.154110E-03	10.013
1.154250E-03	9.95976
1.154380E-03	9.91094
1.154530E-03	9.86063
1.154690E-03	9.80969
1.154860E-03	9.76325
1.155020E-03	9.7207
1.155190E-03	9.68156
1.155270E-03	9.66347
1.155350E-03	9.64726
1.155520E-03	9.61747
1.155680E-03	9.59001
1.155870E-03	9.56157
1.156070E-03	9.53268
1.156280E-03	9.50628
1.156490E-03	9.48208
1.156690E-03	9.4598
1.156900E-03	9.43925
1.157110E-03	9.42021
1.157310E-03	9.40253
1.157550E-03	9.38371
1.157820E-03	9.36413
1.158090E-03	9.34616
1.158350E-03	9.32958
1.158620E-03	9.31425
1.158890E-03	9.3
1.159160E-03	9.28674
1.159310E-03	9.27959
1.159430E-03	9.2751
1.159730E-03	9.26418
1.160060E-03	9.25313
1.160380E-03	9.243
1.160720E-03	9.2337
1.161050E-03	9.22512
1.161370E-03	9.21719
1.161710E-03	9.20984
1.162200E-03	9.19977
1.162610E-03	9.19216
1.163030E-03	9.18515
1.163440E-03	9.17869
1.163850E-03	9.1727
1.164260E-03	9.16715
1.164670E-03	9.16197
1.165290E-03	9.15485
1.165790E-03	9.14963
1.166370E-03	9.14401
1.166940E-03	9.13883
1.167520E-03	9.13403
1.168100E-03	9.12958
1.168680E-03	9.12542
1.169250E-03	9.12153
1.169830E-03	9.11788
1.170490E-03	9.11396
1.171230E-03	9.10984
1.171980E-03	9.106
1.172720E-03	9.10238
1.173460E-03	9.09898
1.174200E-03	9.09576
1.174950E-03	9.0927
1.176060E-03	9.08838
1.177050E-03	9.08477
1.178040E-03	9.08134
1.179030E-03	9.07808
1.180020E-03	9.07497
1.181010E-03	9.07198
1.182000E-03	9.0691
1.183490E-03	9.06495
1.185050E-03	9.06077
1.186660E-03	9.05667
1.188270E-03	9.05271
1.189880E-03	9.04888
1.191490E-03	9.04517
1.192560E-03	9.04274
1.194540E-03	9.03836
1.196520E-03	9.03409
1.198500E-03	9.0299
1.200480E-03	9.02579
1.202410E-03	9.02185
1.205310E-03	9.01603
1.208210E-03	9.01031
1.211110E-03	9.00468
1.214010E-03	8.99911
1.217100E-03	8.99322
1.220580E-03	8.98667
1.224060E-03	8.98016
1.227540E-03	8.97371
1.232170E-03	8.96516
1.236810E-03	8.95666
1.241450E-03	8.9482
1.246860E-03	8.93839
1.249950E-03	8.93279
1.256140E-03	8.92164
1.262320E-03	8.91051
1.271600E-03	8.89388
1.280880E-03	8.8773
1.289910E-03	8.86118
1.298950E-03	8.84508
1.311800E-03	8.82222
1.324170E-03	8.80025
1.342720E-03	8.76733
1.358420E-03	8.7395
1.377580E-03	8.70554
1.398380E-03	8.66872
1.428110E-03	8.6161
1.467310E-03	8.54676
1.509000E-03	8.48095
1.541090E-03	8.43033
1.561290E-03	8.39847
1.576440E-03	8.3746
1.587090E-03	8.35785
1.593530E-03	8.34776
1.597820E-03	8.34105
1.601040E-03	8.33603
1.604250E-03	8.33105
1.606400E-03	8.32774
1.608550E-03	8.32446
1.610150E-03	8.32203
1.611760E-03	8.31962
1.613220E-03	8.31748
1.614370E-03	8.31582
1.615520E-03	8.3142
1.616280E-03	8.31315
1.617050E-03	8.31213
1.617820E-03	8.31115
1.618390E-03	8.31045
1.618970E-03	8.30978
1.619600E-03	8.30909
1.620020E-03	8.30867
1.620440E-03	8.30828
1.620860E-03	8.30793
1.621280E-03	8.30764
1.621600E-03	8.30746
1.621920E-03	8.30732
1.622230E-03	8.30724
1.622470E-03	8.30721
1.622740E-03	8.30723
1.623010E-03	8.30731
1.623280E-03	8.30747
1.623480E-03	8.30764
1.623680E-03	8.30787
1.623880E-03	8.30817
1.624080E-03	8.30856
1.624280E-03	8.30905
1.624420E-03	8.30944
1.624570E-03	8.30997
1.624690E-03	8.31049
1.624820E-03	8.31109
1.624950E-03	8.31179
1.625070E-03	8.31261
1.625200E-03	8.31357
1.625280E-03	8.31431
1.625370E-03	8.31513
1.625450E-03	8.31606
1.625540E-03	8.31709
1.625620E-03	8.31826
1.625710E-03	8.31957
1.625790E-03	8.32183
1.625860E-03	8.32396
1.625950E-03	8.32689
1.626020E-03	8.329
1.626080E-03	8.33125
1.626140E-03	8.33366
1.626200E-03	8.33624
1.626260E-03	8.339
1.626320E-03	8.34196
1.626380E-03	8.34515
1.626440E-03	8.34857
1.626510E-03	8.35225
1.626570E-03	8.3562
1.626630E-03	8.36046
1.626690E-03	8.36504
1.626750E-03	8.36996
1.626810E-03	8.37526
1.626880E-03	8.38113
1.626940E-03	8.38745
1.627000E-03	8.39425
1.627070E-03	8.40155
1.627130E-03	8.40938
1.627190E-03	8.41778
1.627250E-03	8.42675
1.627320E-03	8.43634
1.627380E-03	8.44657
1.627440E-03	8.45745
1.627520E-03	8.47155
1.627590E-03	8.48511
1.627660E-03	8.49952
1.627730E-03	8.51478
1.627800E-03	8.53091
1.627900E-03	8.5567
1.628000E-03	8.58437
1.628090E-03	8.60826
1.628190E-03	8.63793
1.628280E-03	8.66811
1.628340E-03	8.68553
1.628530E-03	8.75201
1.628910E-03	8.885
1.629090E-03	8.94635
1.629220E-03	8.98415
1.629340E-03	9.01855
1.629460E-03	9.04877
1.629580E-03	9.07414
1.629710E-03	9.09406
1.629830E-03	9.10809
1.629930E-03	9.11485
1.629940E-03	9.11545
1.630000E-03	9.11536
1.630110E-03	9.11087
1.630180E-03	9.10503
1.630310E-03	9.09038
1.630430E-03	9.06989
1.630550E-03	9.04401
1.630670E-03	9.01336
1.630800E-03	8.97863
1.630920E-03	8.94057
1.631100E-03	8.87904
1.631560E-03	8.71848
1.631730E-03	8.66286
1.631860E-03	8.6205
1.631970E-03	8.58853
1.632060E-03	8.56369
1.632160E-03	8.53626
1.632260E-03	8.51073
1.632330E-03	8.49478
1.632400E-03	8.47969
1.632470E-03	8.46544
1.632540E-03	8.45202
1.632620E-03	8.43738
1.632690E-03	8.42568
1.632760E-03	8.41474
1.632830E-03	8.40451
1.632900E-03	8.39497
1.632970E-03	8.38607
1.633030E-03	8.3778
1.633100E-03	8.3701
1.633170E-03	8.36295
1.633240E-03	8.3563
1.633310E-03	8.35012
1.633370E-03	8.345
1.633430E-03	8.3402
1.633460E-03	8.33795
1.633490E-03	8.33617
1.633560E-03	8.3329
1.633620E-03	8.32988
1.633680E-03	8.3271
1.633740E-03	8.32454
1.633800E-03	8.32218
1.633860E-03	8.32
1.633920E-03	8.318
1.633980E-03	8.31615
1.634050E-03	8.31444
1.634140E-03	8.31211
1.634230E-03	8.31005
1.634290E-03	8.30879
1.634390E-03	8.30701
1.634480E-03	8.30541
1.634580E-03	8.30398
1.634670E-03	8.30269
1.634770E-03	8.30152
1.634870E-03	8.30045
1.634960E-03	8.29947
1.635110E-03	8.29815
1.635250E-03	8.29697
1.635390E-03	8.29591
1.635540E-03	8.29495
1.635680E-03	8.29407
1.635820E-03	8.29325
1.635980E-03	8.29245
1.636210E-03	8.29134
1.636440E-03	8.29034
1.636670E-03	8.28943
1.636900E-03	8.28858
1.637130E-03	8.28778
1.637360E-03	8.28704
1.637660E-03	8.28611
1.637970E-03	8.28525
1.638280E-03	8.28443
1.638650E-03	8.2835
1.639020E-03	8.28262
1.639400E-03	8.28178
1.639770E-03	8.28097
1.640270E-03	8.27995
1.640770E-03	8.27896
1.641260E-03	8.27802
1.642010E-03	8.27665
1.642640E-03	8.27553
1.643410E-03	8.27421
1.644180E-03	8.27293
1.644940E-03	8.27167
1.646090E-03	8.26982
1.647240E-03	8.26801
1.648390E-03	8.26622
1.650230E-03	8.26341
1.652070E-03	8.26062
1.654520E-03	8.25695
1.656970E-03	8.25331
1.660650E-03	8.24788
1.665550E-03	8.24068
1.670460E-03	8.23351
1.677810E-03	8.22277
1.689810E-03	8.20531
1.709800E-03	8.17624
1.746160E-03	8.12342
1.798800E-03	8.04696
1.882930E-03	7.92482
1.909490E-03	7.88626
1.947360E-03	7.83805
2.030950E-03	7.73163
2.118120E-03	7.62066
2.209040E-03	7.50494
2.256430E-03	7.44465
2.290350E-03	7.40669
2.296230E-03	7.40011
2.310930E-03	7.38368
2.316810E-03	7.37712
2.322060E-03	7.37127
2.325530E-03	7.36743
2.329000E-03	7.3636
2.330990E-03	7.36141
