E(MeV)	TB-159(N,TOT)
1.08116E-05	481.623
1.08150E-05	496.435
1.08171E-05	506.663
1.08211E-05	525.764
1.08226E-05	533.754
1.08272E-05	557.855
1.08278E-05	561.341
1.08327E-05	589.021
1.08327E-05	589.405
1.08376E-05	620.267
1.08398E-05	634.234
1.08425E-05	653.2
1.08470E-05	684.844
1.08474E-05	688.162
1.08518E-05	722.008
1.08523E-05	726.622
1.08565E-05	762.207
1.08572E-05	768.314
1.08613E-05	805.731
1.08621E-05	813.551
1.08660E-05	852.26
1.08661E-05	852.868
1.08704E-05	899.504
1.08711E-05	907.433
1.08748E-05	950.472
1.08765E-05	970.675
1.08792E-05	1005.23
1.08819E-05	1039.99
1.08836E-05	1064.07
1.08873E-05	1115.97
1.08880E-05	1127.24
1.08924E-05	1195.28
1.08929E-05	1203.45
1.08973E-05	1277.49
1.08978E-05	1286.36
1.09022E-05	1366.7
1.09027E-05	1376.32
1.09071E-05	1463.39
1.09076E-05	1473.79
1.09120E-05	1568.03
1.09125E-05	1579.27
1.09169E-05	1681.08
1.09174E-05	1693.2
1.09218E-05	1802.96
1.09223E-05	1816
1.09267E-05	1934.05
1.09272E-05	1948.04
1.09316E-05	2074.68
1.09320E-05	2089.65
1.09364E-05	2225.1
1.09369E-05	2241.05
1.09413E-05	2385.46
1.09418E-05	2402.64
1.09467E-05	2575.35
1.09487E-05	2644.78
1.09516E-05	2756.98
1.09560E-05	2926.07
1.09565E-05	2946.12
1.09634E-05	3228.4
1.09638E-05	3249.71
1.09707E-05	3549.68
1.09712E-05	3572.19
1.09785E-05	3911.57
1.09805E-05	4002.47
1.09883E-05	4380.21
1.10074E-05	5303.74
1.10152E-05	5664.22
1.10172E-05	5753.85
1.10245E-05	6066.22
1.10250E-05	6085.21
1.10316E-05	6339.47
1.10323E-05	6364.42
1.10386E-05	6574.2
1.10397E-05	6605.49
1.10455E-05	6769.76
1.10470E-05	6802.02
1.10529E-05	6928.04
1.10543E-05	6949.72
1.10602E-05	7033.11
1.10617E-05	7043.74
1.10668E-05	7078.31
1.10674E-05	7081.66
1.10696E-05	7085.33
1.10732E-05	7078.91
1.10743E-05	7076.39
1.10770E-05	7056.54
1.10803E-05	7030.52
1.10832E-05	6988.84
1.10876E-05	6923.8
1.10905E-05	6862.97
1.10935E-05	6800.41
1.10979E-05	6685.01
1.10994E-05	6645.74
1.11052E-05	6459.55
1.11067E-05	6412.29
1.11126E-05	6195.36
1.11140E-05	6140.52
1.11199E-05	5895.47
1.11238E-05	5730.6
1.11297E-05	5462.98
1.11336E-05	5283.37
1.11395E-05	5003.7
1.11605E-05	3998
1.11664E-05	3730.45
1.11703E-05	3552.72
1.11762E-05	3299.86
1.11776E-05	3236.92
1.11835E-05	2999.18
1.11850E-05	2940.02
1.11908E-05	2718.74
1.11923E-05	2663.73
1.11972E-05	2491.47
1.11982E-05	2458.83
1.12021E-05	2329.1
1.12055E-05	2221.9
1.12070E-05	2176.28
1.12119E-05	2033.11
1.12128E-05	2006.22
1.12168E-05	1899.49
1.12202E-05	1812
1.12217E-05	1774.81
1.12265E-05	1658.94
1.12275E-05	1637.31
1.12314E-05	1551.58
1.12349E-05	1481.68
1.12363E-05	1452
1.12412E-05	1359.97
1.12422E-05	1342.85
1.12461E-05	1275.07
1.12495E-05	1219.99
1.12510E-05	1196.62
1.12559E-05	1124.31
1.12569E-05	1110.92
1.12610E-05	1054.47
1.12618E-05	1045.27
1.12662E-05	990.494
1.12691E-05	956.738
1.12713E-05	931.677
1.12764E-05	877.615
1.12764E-05	877.615
1.12816E-05	828.104
1.12838E-05	808.33
1.12859E-05	789.844
1.12910E-05	747.253
1.12911E-05	746.313
1.12961E-05	708.144
1.12989E-05	688.257
1.13013E-05	672.001
1.13064E-05	638.591
1.13068E-05	636.406
1.13141E-05	593.174
1.13146E-05	590.575
1.13218E-05	552.639
1.13224E-05	549.715
1.13287E-05	520.189
1.13303E-05	513.266
1.13351E-05	492.441
1.13381E-05	480.5
1.13415E-05	466.983
1.13459E-05	451.076
1.13501E-05	436.216
1.13568E-05	414.421
1.13586E-05	408.543
1.13660E-05	387.148
1.13672E-05	383.622
1.13758E-05	361.084
1.13782E-05	355.179
1.13843E-05	340.611
1.13904E-05	327.214
1.13929E-05	321.921
1.14027E-05	302.507
1.14027E-05	302.507
1.14124E-05	284.956
1.14149E-05	280.927
1.14222E-05	268.981
1.14271E-05	261.648
1.14320E-05	254.397
1.14393E-05	244.353
1.14418E-05	241.041
1.14516E-05	228.777
1.14516E-05	228.777
1.14614E-05	217.542
1.14699E-05	208.397
1.14711E-05	207.109
1.14834E-05	195.215
1.14883E-05	190.842
1.14956E-05	184.377
1.15066E-05	175.443
1.15078E-05	174.464
1.15201E-05	165.418
1.15250E-05	162.066
1.15323E-05	157.105
1.15433E-05	150.196
1.15445E-05	149.439
1.15568E-05	142.402
1.15678E-05	136.496
1.15690E-05	135.85
1.15849E-05	128.095
1.15953E-05	123.436
1.16008E-05	121.013
1.16167E-05	114.567
1.16228E-05	112.276
1.16326E-05	108.674
1.16485E-05	103.253
1.16503E-05	102.672
1.16644E-05	98.2931
1.16778E-05	94.3954
1.16803E-05	93.698
1.16962E-05	89.4732
1.17065E-05	86.9313
1.17157E-05	84.6885
1.17353E-05	80.3158
1.17374E-05	79.878
1.17549E-05	76.3324
1.17684E-05	73.7912
1.17744E-05	72.6644
1.17940E-05	69.2948
1.17993E-05	68.4455
1.18136E-05	66.1972
1.18332E-05	63.3209
1.18406E-05	62.3017
1.18527E-05	60.6638
1.18736E-05	58.0315
1.18821E-05	57.0325
1.18945E-05	55.5992
