E(MeV)	mcnp/Cd:1
0.000062558	5.470339993
6.26404E-05	5.478486127
6.27228E-05	5.499385261
6.28054E-05	5.539916665
6.28467E-05	5.571172087
0.000062888	5.612897008
6.29271E-05	5.665179278
6.29661E-05	5.734281077
6.29954E-05	5.800738628
6.30248E-05	5.883365841
6.30468E-05	5.958440243
6.30688E-05	6.047146349
6.31018E-05	6.211474508
6.31349E-05	6.422583925
6.31679E-05	6.693209125
0.000063201	7.038442433
6.32251E-05	7.346734297
6.32462E-05	7.662657724
6.32646E-05	7.978930161
6.32808E-05	8.289402614
6.33091E-05	8.916454665
6.33303E-05	9.464191227
6.33462E-05	9.922598285
6.33701E-05	10.69257279
0.000063394	11.56755819
6.34266E-05	12.94372154
6.34684E-05	15.0197815
6.35135E-05	17.66729236
6.35631E-05	21.01298286
6.36454E-05	27.20516602
6.37305E-05	33.49776217
6.37839E-05	36.73663201
0.000063816	38.22707513
6.38585E-05	39.54385908
0.000063901	40.02200825
6.39425E-05	39.64517367
0.000063984	38.46620421
0.000064022	36.76160203
6.40505E-05	35.15447135
0.000064136	29.21545364
6.42226E-05	22.71649869
6.42655E-05	19.71932148
6.42984E-05	17.61827267
6.43442E-05	15.0309036
6.43886E-05	12.91983727
0.000064406	12.19939561
6.44289E-05	11.34010618
6.44489E-05	10.6658672
6.44664E-05	10.1323239
0.000064497	9.315776102
0.00006452	8.792864443
6.45372E-05	8.446326331
6.45631E-05	7.991990586
0.000064589	7.608101277
0.000064601	7.45140384
6.46204E-05	7.223519307
6.46398E-05	7.0239993
6.46592E-05	6.849567724
6.46786E-05	6.697154503
6.47077E-05	6.504034006
6.47369E-05	6.346566614
6.47806E-05	6.162785437
6.48244E-05	6.026673425
6.48682E-05	5.9251121
0.000064912	5.849107385
6.49586E-05	5.789163224
6.50053E-05	5.745663743
6.50985E-05	5.69496212
6.51918E-05	5.681132201
0.000065285	5.700810226
0.000065362	5.746255069
0.000065439	5.825796342
6.54917E-05	5.905889759
