E(MeV)	"PR-141(N,TOT)"
1.27428E-04	0.679133
1.28710E-04	0.676024
1.30137E-04	0.674102
1.32150E-04	0.671593
1.33835E-04	0.67109
1.35390E-04	0.670804
1.35828E-04	0.670972
1.36674E-04	0.671933
1.38716E-04	0.674435
1.39517E-04	0.676375
1.41658E-04	0.681774
1.42413E-04	0.68455
1.43657E-04	0.689279
1.45441E-04	0.697968
1.45684E-04	0.699182
1.48201E-04	0.715247
1.48526E-04	0.717814
1.49928E-04	0.729112
1.51570E-04	0.744567
1.51654E-04	0.745378
1.53381E-04	0.764522
1.54244E-04	0.775545
1.55107E-04	0.78674
1.56834E-04	0.812378
1.57697E-04	0.826442
1.59423E-04	0.858033
1.61150E-04	0.894294
1.62855E-04	0.935409
1.63424E-04	0.950883
1.64576E-04	0.982599
1.65729E-04	1.01872
1.66311E-04	1.03712
1.67474E-04	1.07788
1.68631E-04	1.12233
1.69207E-04	1.14639
1.69783E-04	1.17063
1.70934E-04	1.22339
1.72085E-04	1.28126
1.72660E-04	1.31279
1.73236E-04	1.34458
1.74386E-04	1.41388
1.75538E-04	1.4901
1.76113E-04	1.53175
1.76689E-04	1.57373
1.77839E-04	1.66557
1.78990E-04	1.76696
1.79566E-04	1.82088
1.80717E-04	1.93821
1.81868E-04	2.06797
1.83019E-04	2.21175
1.84170E-04	2.371
1.85033E-04	2.50213
1.85321E-04	2.54949
1.85896E-04	2.64476
1.86472E-04	2.74787
1.86760E-04	2.79973
1.87623E-04	2.96834
1.88486E-04	3.15253
1.88774E-04	3.21931
1.89350E-04	3.35368
1.89925E-04	3.50015
1.90213E-04	3.57385
1.91076E-04	3.81526
1.91939E-04	4.08101
1.92803E-04	4.374
1.93666E-04	4.69797
1.94529E-04	5.05715
1.95392E-04	5.45673
1.95968E-04	5.74873
1.96255E-04	5.90549
1.96543E-04	6.06315
1.97119E-04	6.40221
1.97694E-04	6.76962
1.97982E-04	6.96789
1.98270E-04	7.16738
1.98845E-04	7.59876
1.99421E-04	8.06861
1.99996E-04	8.58103
2.00572E-04	9.14126
2.01147E-04	9.75534
2.01723E-04	10.4304
2.02298E-04	11.1746
2.02838E-04	11.9432
2.03341E-04	12.7275
2.03845E-04	13.5919
2.04348E-04	14.5457
2.04852E-04	15.5999
2.05356E-04	16.7693
2.05733E-04	17.7331
2.05859E-04	18.0807
2.06111E-04	18.7793
2.06237E-04	19.158
2.06489E-04	19.9189
2.06614E-04	20.3324
2.06866E-04	21.1632
2.06992E-04	21.616
2.07244E-04	22.5258
2.07370E-04	23.0229
2.07622E-04	24.0221
2.07748E-04	24.5697
2.07999E-04	25.6705
2.08125E-04	26.2758
2.08377E-04	27.4928
2.08503E-04	28.1642
2.08755E-04	29.5145
2.08881E-04	30.2624
2.09132E-04	31.7666
2.09258E-04	32.603
2.09510E-04	34.2859
2.09636E-04	35.2079
2.09762E-04	36.1346
2.09888E-04	37.1343
2.10014E-04	38.1383
2.10139E-04	39.2234
2.10265E-04	40.3133
2.10391E-04	41.4933
2.10517E-04	42.6788
2.10643E-04	43.9597
2.10744E-04	44.99
2.10945E-04	47.2448
2.11046E-04	48.3792
2.11247E-04	50.9063
2.11348E-04	52.1766
2.11449E-04	53.5695
2.11549E-04	54.9683
2.11650E-04	56.4771
2.11751E-04	57.9925
2.11852E-04	59.6303
2.11952E-04	61.2757
2.12053E-04	63.0584
2.12154E-04	64.8495
2.12254E-04	66.7885
2.12341E-04	68.4594
2.12492E-04	71.6119
2.12513E-04	72.065
2.12686E-04	75.9694
2.12729E-04	77.0241
2.12859E-04	80.2042
2.12887E-04	80.97
2.13031E-04	84.8153
2.13046E-04	85.2331
2.13204E-04	89.8488
2.13362E-04	94.8982
2.13377E-04	95.3595
2.13520E-04	100.395
2.13549E-04	101.407
2.13700E-04	107.193
2.13715E-04	107.799
2.13895E-04	115.412
2.13909E-04	116.079
2.14024E-04	121.441
2.14038E-04	122.163
2.14154E-04	127.969
2.14168E-04	128.752
2.14283E-04	135.052
2.14297E-04	135.904
2.14413E-04	142.756
2.14427E-04	143.685
2.14542E-04	151.157
2.14556E-04	152.173
2.14671E-04	160.347
2.14707E-04	163.155
2.14823E-04	172.196
2.14859E-04	175.335
2.14959E-04	184.172
2.14974E-04	185.44
2.15060E-04	193.77
2.15074E-04	195.165
