E(MeV)	Y-89-nat			
2.59164E-03	3.62043			
2.59180E-03	3.70723			
2.59186E-03	3.74262			
2.59200E-03	3.83279			
2.59203E-03	3.85437			
2.59219E-03	3.98721			
2.59219E-03	3.98723			
2.59236E-03	4.14734			
2.59239E-03	4.18078			
2.59247E-03	4.27129			
2.59254E-03	4.35582			
2.59258E-03	4.41157			
2.59268E-03	4.56134			
2.59269E-03	4.57046			
2.59280E-03	4.75281			
2.59283E-03	4.8093			
2.59291E-03	4.96124			
2.59298E-03	5.10494			
2.59302E-03	5.19966			
2.59311E-03	5.40908			
2.59313E-03	5.45845			
2.59320E-03	5.66266			
2.59328E-03	5.88821			
2.59329E-03	5.94646			
2.59339E-03	6.26841			
2.59340E-03	6.31608			
2.59348E-03	6.63443			
2.59352E-03	6.82153			
2.59354E-03	6.90401			
2.59360E-03	7.19901			
2.59364E-03	7.42079			
2.59366E-03	7.51823			
2.59372E-03	7.86701			
2.59374E-03	7.94202			
2.59379E-03	8.24833			
2.59383E-03	8.53654			
2.59385E-03	8.6627			
2.59391E-03	9.11481			
2.59392E-03	9.21213			
2.59397E-03	9.60936			
2.59401E-03	9.98337			
2.59403E-03	10.147			
2.59409E-03	10.658			
2.59411E-03	10.8622			
2.59416E-03	11.3752			
2.59420E-03	11.8623			
2.59422E-03	12.1631			
2.59426E-03	12.6045			
2.59429E-03	13.0339			
2.59435E-03	13.8382			
2.59436E-03	13.9893			
2.59443E-03	15.0417			
2.59444E-03	15.2446			
2.59450E-03	16.1998			
2.59454E-03	16.843			
2.59457E-03	17.4692			
2.59463E-03	18.6393			
2.59464E-03	18.8588			
2.59471E-03	20.3825			
2.59472E-03	20.6753			
2.59478E-03	22.0507			
2.59481E-03	22.9653			
2.59483E-03	23.4503			
2.59489E-03	25.1696			
2.59491E-03	25.5366			
2.59495E-03	27.0276			
2.59500E-03	28.4182			
2.59502E-03	29.0233			
2.59508E-03	31.1697			
2.59509E-03	31.6262			
2.59514E-03	33.4782			
2.59518E-03	35.1986			
2.59520E-03	35.9462			
2.59526E-03	38.5873			
2.59527E-03	39.1457			
2.59532E-03	41.2673			
2.59537E-03	43.5276			
2.59540E-03	45.3587			
2.59546E-03	48.3088			
2.59549E-03	49.8004			
2.59554E-03	52.8885			
2.59557E-03	54.6106			
2.59564E-03	59.054			
2.59565E-03	59.7899			
2.59574E-03	65.351			
2.59574E-03	65.7879			
2.59581E-03	70.986			
2.59584E-03	73.1224			
2.59589E-03	76.9644			
2.59596E-03	82.0821			
2.59597E-03	83.2746			
2.59608E-03	92.0636			
2.59609E-03	92.9505			
2.59620E-03	103.244			
2.59625E-03	107.943			
2.59630E-03	112.681			
2.59644E-03	127.54			
2.59644E-03	127.541			
2.59664E-03	148.334			
2.59689E-03	174.789			
2.59704E-03	190.532			
2.59708E-03	195.541			
2.59718E-03	205.439			
2.59723E-03	210.076			
2.59733E-03	219.214			
2.59738E-03	223.364			
2.59747E-03	231.09			
2.59753E-03	235.021			
2.59761E-03	240.61			
2.59763E-03	241.793			
2.59772E-03	247.567			
2.59773E-03	247.988			
2.59782E-03	252.269			
2.59783E-03	252.64			
2.59792E-03	255.807			
2.59796E-03	256.818			
2.59801E-03	257.861			
2.59804E-03	258.603			
2.59811E-03	259.259			
2.59815E-03	259.585			
2.59820E-03	259.586			
2.59821E-03	259.507			
2.59830E-03	258.612			
2.59831E-03	258.505			
2.59840E-03	256.217			
2.59843E-03	255.479			
2.59853E-03	251.898			
2.59855E-03	250.961			
2.59868E-03	244.633			
