E(MeV)	mcnp/Li-6:1
4.37500E-06	72.27028045
4.93750E-06	68.05438611
5.50000E-06	64.53787798
6.62500E-06	58.87562187
7.75000E-06	54.46726184
8.87500E-06	50.91697074
1.00000E-05	48.01012922
1.18176E-05	44.22712013
1.36352E-05	41.20844248
1.54528E-05	38.74149613
1.72704E-05	36.68663119
2.09056E-05	33.40613195
2.45409E-05	30.8753224
2.81761E-05	28.85335356
3.18113E-05	27.19561515
3.90817E-05	24.60088218
4.66965E-05	22.55693808
5.43113E-05	20.96032302
6.19261E-05	19.66880028
6.95409E-05	18.59870949
8.47704E-05	16.90754047
1.00000E-04	15.61837909
1.25000E-04	14.03825137
1.50000E-04	12.87062413
1.75000E-04	11.96315816
2.00000E-04	11.23271823
2.44265E-04	10.22499012
3.44265E-04	8.714644105
4.00000E-04	8.131880446
5.00000E-04	7.341963859
6.00000E-04	6.75893291
7.50000E-04	6.113950524
8.50000E-04	5.78207134
9.50000E-04	5.505168754
1.20778E-03	4.956257267
1.50000E-03	4.513780389
1.70611E-03	4.273473706
2.00000E-03	3.997272911
2.41550E-03	3.696126001
3.41215E-03	3.214261404
4.00000E-03	3.019235813
4.93237E-03	2.784985923
5.50000E-03	2.672860038
6.50000E-03	2.512628625
7.50000E-03	2.384545848
8.50000E-03	2.28160821
1.00000E-02	2.156553696
1.23307E-02	2.010250381
1.50000E-02	1.88611159
1.73798E-02	1.802507148
2.00000E-02	1.727987295
2.40000E-02	1.640163039
3.50000E-02	1.489222829
4.00000E-02	1.44695188
4.50000E-02	1.412454598
5.00000E-02	1.387924963
5.50000E-02	1.368467675
6.50000E-02	1.34643181
7.50000E-02	1.343086992
8.50000E-02	1.357642746
9.50000E-02	1.391059393
1.00000E-01	1.413854963
1.10000E-01	1.481135172
1.20000E-01	1.578117515
1.30000E-01	1.713716015
1.40000E-01	1.900712996
1.50000E-01	2.157053277
1.60000E-01	2.508711928
1.70000E-01	2.9923938
1.80000E-01	3.657734908
1.85057E-01	4.096508521
1.90000E-01	4.564246444
1.95064E-01	5.146656304
2.00000E-01	5.770208752
2.05000E-01	6.490055639
2.19000E-01	8.78864696
2.24000E-01	9.591685603
2.30000E-01	10.46074421
2.35000E-01	10.9860518
2.41000E-01	11.32774147
2.45000E-01	11.36725451
2.47000E-01	11.32397948
2.52000E-01	11.08771207
2.58000E-01	10.59628751
2.69000E-01	9.370310358
2.75000E-01	8.645228314
2.85000E-01	7.527794591
2.95000E-01	6.561835024
3.00000E-01	6.142493899
3.10000E-01	5.42674906
3.20000E-01	4.842627379
3.29743E-01	4.389068359
3.40000E-01	3.979461727
3.50000E-01	3.665327108
3.60000E-01	3.39054953
3.75000E-01	3.070848713
3.85000E-01	2.893666655
4.00000E-01	2.671178791
4.20000E-01	2.441487836
4.35000E-01	2.304018128
4.50000E-01	2.187114079
4.75000E-01	2.03123325
5.00000E-01	1.909135198
5.40000E-01	1.763734512
5.50000E-01	1.731788384
6.00000E-01	1.609628478
6.50000E-01	1.521525027
7.00000E-01	1.455521137
8.00000E-01	1.364617195
9.40000E-01	1.290870322
1.05000E+00	1.258166965
1.10000E+00	1.248111505
1.15000E+00	1.24099787
1.20000E+00	1.236011457
1.25000E+00	1.233410478
1.30000E+00	1.232481413
1.35000E+00	1.233589767
1.40000E+00	1.236201372
1.45000E+00	1.240857746
1.50000E+00	1.246871334
1.55000E+00	1.254691296
1.60000E+00	1.263821299
1.65000E+00	1.274918323
1.70000E+00	1.287451266
1.75150E+00	1.302329224
1.75154E+00	1.302340805
1.80000E+00	1.32325
1.90000E+00	1.365678995
2.00000E+00	1.407956998
2.04350E+00	1.425530319
2.10000E+00	1.448046001
2.20000E+00	1.486093996
2.30000E+00	1.535400002
2.33540E+00	1.551673161
2.40000E+00	1.581199998
2.50000E+00	1.621314913
2.55140E+00	1.642309186
2.55140E+00	1.642309748
2.60000E+00	1.662899998
2.62730E+00	1.675381507
2.70000E+00	1.711491491
2.80000E+00	1.762999997
2.90000E+00	1.81860472
2.91920E+00	1.82842151
2.91922E+00	1.82842874
3.00000E+00	1.870399991
3.10000E+00	1.921400063
3.18460E+00	1.965966173
3.18464E+00	1.965986764
3.20000E+00	1.974100067
3.21110E+00	1.979283531
3.30000E+00	2.01980005
3.40000E+00	2.059699985
3.50000E+00	2.094499909
3.50310E+00	2.095301205
3.60000E+00	2.120599874
3.70000E+00	2.14009992
3.79500E+00	2.151410673
3.80000E+00	2.152000056
3.90000E+00	2.157600052
4.00000E+00	2.160700069
4.05000E+00	2.161439388
4.08690E+00	2.160200262
4.08691E+00	2.160167209
4.10000E+00	2.161299946
4.15000E+00	2.159817334
4.15900E+00	2.158918048
4.15931E+00	2.158905975
4.20000E+00	2.157499968
4.25000E+00	2.1553116
4.30000E+00	2.152700042
4.31800E+00	2.15198222
4.31812E+00	2.151977466
4.35000E+00	2.15090511
4.37880E+00	2.148803969
4.40000E+00	2.147200028
4.45000E+00	2.144199986
4.50000E+00	2.141499977
4.55000E+00	2.138090803
4.60000E+00	2.135100049
4.65000E+00	2.132395325
4.67080E+00	2.131397915
4.70000E+00	2.13010007
4.75000E+00	2.126862549
4.80000E+00	2.123599994
4.83000E+00	2.122183148
4.85000E+00	2.120977215
4.90000E+00	2.118299958
5.00000E+00	2.111700063
5.05000E+00	2.107705525
5.10000E+00	2.104999945
5.15000E+00	2.100953433
5.20000E+00	2.097800014
5.25460E+00	2.093740954
5.25460E+00	2.093734437
5.30000E+00	2.090499968
5.40000E+00	2.082999897
5.50000E+00	2.075000086
5.60000E+00	2.067500025
5.70000E+00	2.059322195
5.80000E+00	2.051500073
5.83840E+00	2.048251317
5.83845E+00	2.048233824
5.90000E+00	2.043096297
6.00000E+00	2.034999993
6.20000E+00	2.018999971
6.40000E+00	2.001999966
6.42230E+00	2.000042934
6.60000E+00	1.984999997
6.80000E+00	1.969000083
7.00000E+00	1.952500047
7.00610E+00	1.95198873
7.00614E+00	1.951978118
7.20000E+00	1.936500036
7.40000E+00	1.920999967
7.59000E+00	1.90578834
7.60000E+00	1.904999964
7.80000E+00	1.889329936
8.00000E+00	1.873999925
8.17380E+00	1.860488906
8.17383E+00	1.860478048
8.20000E+00	1.858500076
8.40000E+00	1.842999979
8.50000E+00	1.83499456
8.60000E+00	1.827500057
8.75770E+00	1.816092867
8.80000E+00	1.813000028
9.00000E+00	1.797999954
9.20000E+00	1.78276954
9.34150E+00	1.771968727
9.34152E+00	1.771966396
9.40000E+00	1.767551594
9.50000E+00	1.76000498
9.60000E+00	1.752585085
9.80000E+00	1.737756804
9.92530E+00	1.728487923
9.92536E+00	1.728478532
1.00000E+01	1.723000045
1.02000E+01	1.708488086
1.04000E+01	1.693000018
1.05000E+01	1.685171489
1.05090E+01	1.684566511
1.05092E+01	1.684545317
1.06000E+01	1.678306622
1.08000E+01	1.663500007
1.10000E+01	1.649000032
1.10930E+01	1.642496724
1.10931E+01	1.642491044
1.12000E+01	1.634955978
1.14000E+01	1.62061927
1.15000E+01	1.613451752
1.16000E+01	1.606471267
1.16770E+01	1.601202848
1.18000E+01	1.59242598
1.20000E+01	1.578999911
1.22500E+01	1.562474422
1.22610E+01	1.561764119
1.25000E+01	1.545999965
1.27500E+01	1.529213783
1.28450E+01	1.522896125
1.30000E+01	1.512500031
1.32500E+01	1.496231255
1.34280E+01	1.484657572
1.34284E+01	1.484611257
1.35000E+01	1.480000007
1.37500E+01	1.464177495
1.40000E+01	1.449000009
1.40120E+01	1.448268299
1.40123E+01	1.448248344
1.42500E+01	1.434562323
1.45000E+01	1.420999966
1.45960E+01	1.415688523
1.45961E+01	1.415680443
1.47500E+01	1.407427498
1.50000E+01	1.393500079
1.51800E+01	1.383591547
1.52500E+01	1.37971591
1.55000E+01	1.365999983
1.57500E+01	1.352724201
1.57640E+01	1.35198784
1.60000E+01	1.339500015
1.62500E+01	1.326447591
1.63480E+01	1.321367037
1.65000E+01	1.313500043
1.67500E+01	1.301058546
1.69310E+01	1.292339995
1.69315E+01	1.292303294
1.70000E+01	1.288999986
1.72500E+01	1.278000584
1.75000E+01	1.26749993
1.75150E+01	1.266894131
1.75154E+01	1.266876633
1.77500E+01	1.257167711
1.80000E+01	1.246999976
1.80990E+01	1.243077847
1.80992E+01	1.243068703
1.82500E+01	1.237138546
1.85000E+01	1.227500051
1.87500E+01	1.218129198
1.90000E+01	1.208999981
1.92500E+01	1.200730147
1.95000E+01	1.193000045
1.97500E+01	1.185356785
2.00000E+01	1.17800003
